channel_0,sample #,type
0.5088868,23628602,B
0.4382434,23628603,NC
0.33384144,23628604,NC
0.23791023,23628605,NC
0.14254677,23628606,NC
0.053590734,23628607,NC
-0.077414006,23628608,NC
-0.2082922,23628609,NC
-0.32343313,23628610,NC
-0.4298205,23628611,NC
-0.5432968,23628612,NC
-0.69519526,23628613,NC
-0.8715332,23628614,NC
-1.0286329,23628615,NC
-1.1865878,23628616,NC
-1.280028,23628617,NC
-1.3566008,23628618,NC
-1.4498188,23628619,NC
-1.5358963,23628620,NC
-1.6266044,23628621,NC
-1.6969553,23628622,NC
-1.7115433,23628623,NC
-1.7241268,23628624,NC
-1.7446617,23628625,NC
-1.752423,23628626,NC
-1.738086,23628627,NC
-1.7198825,23628628,NC
-1.6461245,23628629,NC
-1.5912784,23628630,NC
-1.5158097,23628631,NC
-1.432238,23628632,NC
-1.3392131,23628633,NC
-1.1930276,23628634,NC
-1.0333836,23628635,NC
-0.87840426,23628636,NC
-0.78379756,23628637,NC
-0.7646049,23628638,NC
-0.7244235,23628639,NC
-0.6738443,23628640,NC
-0.58807427,23628641,NC
-0.50543445,23628642,NC
-0.44453666,23628643,NC
-0.3689258,23628644,NC
-0.32040033,23628645,NC
-0.25922507,23628646,NC
-0.18168095,23628647,NC
-0.11443682,23628648,NC
-0.062216673,23628649,NC
-0.01405138,23628650,NC
0.013634886,23628651,NC
0.07006394,23628652,NC
0.10444336,23628653,NC
0.13531062,23628654,NC
0.14620045,23628655,NC
0.146562,23628656,NC
0.17010622,23628657,NC
0.1729747,23628658,NC
0.20854741,23628659,NC
0.22662611,23628660,NC
0.22352964,23628661,NC
0.20955233,23628662,NC
0.21134487,23628663,NC
0.24327315,23628664,NC
0.25759178,23628665,NC
0.2812952,23628666,NC
0.29200315,23628667,NC
0.25539112,23628668,NC
0.26832646,23628669,NC
0.27061537,23628670,NC
0.2993921,23628671,NC
0.32292616,23628672,NC
0.32606173,23628673,NC
0.31188643,23628674,NC
0.3103195,23628675,NC
0.3139912,23628676,NC
0.34224823,23628677,NC
0.39930737,23628678,NC
0.3885463,23628679,NC
0.39754835,23628680,NC
0.41353592,23628681,NC
0.4188006,23628682,NC
0.4373038,23628683,NC
0.47951096,23628684,NC
0.49129695,23628685,NC
0.49055853,23628686,NC
0.51577574,23628687,NC
0.5274137,23628688,NC
0.5580142,23628689,NC
0.58487105,23628690,NC
0.6015966,23628691,NC
0.60181373,23628692,NC
0.6173417,23628693,NC
0.6538745,23628694,NC
0.6958268,23628695,NC
0.724997,23628696,NC
0.7383397,23628697,NC
0.7536896,23628698,NC
0.768876,23628699,NC
0.78766286,23628700,NC
0.83534276,23628701,NC
0.8758083,23628702,NC
0.8848728,23628703,NC
0.8817201,23628704,NC
0.89744604,23628705,NC
0.90214187,23628706,NC
0.9326202,23628707,NC
0.9513313,23628708,NC
0.9820387,23628709,NC
1.0036787,23628710,NC
1.0061809,23628711,NC
1.013327,23628712,NC
1.0371833,23628713,NC
1.0670161,23628714,NC
1.0617508,23628715,NC
1.0587863,23628716,NC
1.0511448,23628717,NC
1.0354716,23628718,NC
1.0348067,23628719,NC
1.0347891,23628720,NC
1.0150601,23628721,NC
0.9785785,23628722,NC
0.9509545,23628723,NC
0.9343985,23628724,NC
0.9279797,23628725,NC
0.9222214,23628726,NC
0.8702613,23628727,NC
0.8507765,23628728,NC
0.8035307,23628729,NC
0.7844939,23628730,NC
0.73899496,23628731,NC
0.69920874,23628732,NC
0.6468145,23628733,NC
0.5646987,23628734,NC
0.5139518,23628735,NC
0.48538765,23628736,NC
0.4659745,23628737,NC
0.4440592,23628738,NC
0.40932354,23628739,NC
0.34374982,23628740,NC
0.28535283,23628741,NC
0.22661868,23628742,NC
0.18743426,23628743,NC
0.16596916,23628744,NC
0.13911392,23628745,NC
0.096477136,23628746,NC
0.04788432,23628747,NC
0.028311653,23628748,NC
0.046649244,23628749,NC
0.03080607,23628750,NC
0.007958477,23628751,NC
-0.02425261,23628752,NC
-0.039747953,23628753,NC
-0.065021664,23628754,NC
-0.05514709,23628755,NC
-0.04375668,23628756,NC
-0.05914096,23628757,NC
-0.07135286,23628758,NC
-0.098972626,23628759,NC
-0.08653127,23628760,NC
-0.076169595,23628761,NC
-0.08881748,23628762,NC
-0.1057706,23628763,NC
-0.11985586,23628764,NC
-0.12604047,23628765,NC
-0.12397966,23628766,NC
-0.108148314,23628767,NC
-0.101835065,23628768,NC
-0.10029422,23628769,NC
-0.106038705,23628770,NC
-0.12417093,23628771,NC
-0.12490447,23628772,NC
-0.12852414,23628773,NC
-0.123445235,23628774,NC
-0.121913195,23628775,NC
-0.110434175,23628776,NC
-0.12591076,23628777,NC
-0.12175183,23628778,NC
-0.13341929,23628779,NC
-0.119282685,23628780,NC
-0.12051279,23628781,NC
-0.13682002,23628782,NC
-0.13691285,23628783,NC
-0.11819292,23628784,NC
-0.10409557,23628785,NC
-0.086018965,23628786,NC
-0.071526915,23628787,NC
