channel_0,sample #,type
1.7539881,4817786,B
1.7125678,4817787,NC
1.6292142,4817788,NC
1.5583767,4817789,NC
1.4926884,4817790,NC
1.41305,4817791,NC
1.3400198,4817792,NC
1.2764332,4817793,NC
1.1951123,4817794,NC
1.1121873,4817795,NC
1.0097789,4817796,NC
0.84471554,4817797,NC
0.7160727,4817798,NC
0.59054834,4817799,NC
0.45034906,4817800,NC
0.31093088,4817801,NC
0.16526678,4817802,NC
-0.012055142,4817803,NC
-0.2016016,4817804,NC
-0.3864351,4817805,NC
-0.57590836,4817806,NC
-0.7131006,4817807,NC
-0.82811624,4817808,NC
-0.9431404,4817809,NC
-1.017766,4817810,NC
-1.0773277,4817811,NC
-1.1573272,4817812,NC
-1.1968265,4817813,NC
-1.2668948,4817814,NC
-1.3393869,4817815,NC
-1.454629,4817816,NC
-1.5375234,4817817,NC
-1.6437789,4817818,NC
-1.7090958,4817819,NC
-1.8108195,4817820,NC
-1.8963423,4817821,NC
-1.9797739,4817822,NC
-1.984065,4817823,NC
-1.8929646,4817824,NC
-1.7082783,4817825,NC
-1.4981048,4817826,NC
-1.322966,4817827,NC
-1.1448119,4817828,NC
-0.996249,4817829,NC
-0.8637148,4817830,NC
-0.77957046,4817831,NC
-0.7335921,4817832,NC
-0.707639,4817833,NC
-0.7030883,4817834,NC
-0.6792474,4817835,NC
-0.6596936,4817836,NC
-0.654265,4817837,NC
-0.6679086,4817838,NC
-0.642991,4817839,NC
-0.6348403,4817840,NC
-0.59226257,4817841,NC
-0.5555795,4817842,NC
-0.4941756,4817843,NC
-0.44877902,4817844,NC
-0.37211642,4817845,NC
-0.28919467,4817846,NC
-0.23362942,4817847,NC
-0.21606028,4817848,NC
-0.2033225,4817849,NC
-0.18398273,4817850,NC
-0.15768652,4817851,NC
-0.09588504,4817852,NC
-0.010293002,4817853,NC
0.041345052,4817854,NC
0.06715021,4817855,NC
0.06295735,4817856,NC
0.09959975,4817857,NC
0.14370336,4817858,NC
0.19297032,4817859,NC
0.19321376,4817860,NC
0.14865476,4817861,NC
0.14990206,4817862,NC
0.15364528,4817863,NC
0.16060875,4817864,NC
0.17265403,4817865,NC
0.22323479,4817866,NC
0.22821414,4817867,NC
0.25950852,4817868,NC
0.2624771,4817869,NC
0.27540845,4817870,NC
0.2930037,4817871,NC
0.3242133,4817872,NC
0.3256818,4817873,NC
0.33471516,4817874,NC
0.3316571,4817875,NC
0.35340178,4817876,NC
0.37375265,4817877,NC
0.4137497,4817878,NC
0.4445756,4817879,NC
0.46537995,4817880,NC
0.494136,4817881,NC
0.49754658,4817882,NC
0.5277417,4817883,NC
0.55938196,4817884,NC
0.5687528,4817885,NC
0.5867053,4817886,NC
0.60246444,4817887,NC
0.6428812,4817888,NC
0.6614089,4817889,NC
0.69962287,4817890,NC
0.7337711,4817891,NC
0.778175,4817892,NC
0.78833854,4817893,NC
0.8098078,4817894,NC
0.83353525,4817895,NC
0.8485634,4817896,NC
0.83236825,4817897,NC
0.8124301,4817898,NC
0.8388299,4817899,NC
0.8706698,4817900,NC
0.933168,4817901,NC
0.9357431,4817902,NC
0.924174,4817903,NC
0.89784485,4817904,NC
0.8936349,4817905,NC
0.89896315,4817906,NC
0.9135277,4817907,NC
0.91951424,4817908,NC
0.9100732,4817909,NC
0.85907096,4817910,NC
0.81712013,4817911,NC
0.8170311,4817912,NC
0.8353896,4817913,NC
0.8434058,4817914,NC
0.8240432,4817915,NC
0.79216135,4817916,NC
0.7421581,4817917,NC
0.73730356,4817918,NC
0.7181693,4817919,NC
0.6819523,4817920,NC
0.65263397,4817921,NC
0.62270504,4817922,NC
0.56709254,4817923,NC
0.53203773,4817924,NC
0.4913989,4817925,NC
0.4449964,4817926,NC
0.40044743,4817927,NC
0.35329187,4817928,NC
0.3138333,4817929,NC
0.27679604,4817930,NC
0.25158247,4817931,NC
0.23694865,4817932,NC
0.18777518,4817933,NC
0.14179716,4817934,NC
0.10167399,4817935,NC
0.09261219,4817936,NC
0.089346424,4817937,NC
0.059508592,4817938,NC
-0.00044442882,4817939,NC
-0.077646434,4817940,NC
-0.11885418,4817941,NC
-0.108041085,4817942,NC
-0.08832102,4817943,NC
-0.075779565,4817944,NC
-0.10177101,4817945,NC
-0.14576654,4817946,NC
-0.17151521,4817947,NC
-0.19574225,4817948,NC
-0.18266273,4817949,NC
-0.15902767,4817950,NC
-0.17850359,4817951,NC
-0.20124675,4817952,NC
-0.2234609,4817953,NC
-0.22702862,4817954,NC
-0.22082931,4817955,NC
-0.21813157,4817956,NC
-0.22185747,4817957,NC
-0.2466096,4817958,NC
-0.26653555,4817959,NC
-0.2866887,4817960,NC
-0.27070826,4817961,NC
-0.23854293,4817962,NC
-0.2140659,4817963,NC
-0.21740648,4817964,NC
-0.23059013,4817965,NC
-0.24170557,4817966,NC
-0.27292207,4817967,NC
-0.27595133,4817968,NC
-0.2893371,4817969,NC
-0.29115453,4817970,NC
-0.28749093,4817971,NC
-0.28184354,4817972,NC
-0.2628644,4817973,NC
-0.23985949,4817974,NC
-0.2329556,4817975,NC
-0.2601343,4817976,NC
-0.29509243,4817977,NC
-0.28765944,4817978,NC
-0.25211027,4817979,NC
-0.22005229,4817980,NC
-0.19194454,4817981,NC
-0.22020704,4817982,NC
-0.26547575,4817983,NC
-0.26262528,4817984,NC
-0.2633059,4817985,NC
-0.24748625,4817986,NC
-0.21136409,4817987,NC
-0.20433098,4817988,NC
-0.22993235,4817989,NC
-0.2588546,4817990,NC
-0.23384558,4817991,NC
-0.2038046,4817992,NC
-0.19968149,4817993,NC
-0.18018709,4817994,NC
-0.22138451,4817995,NC
-0.23339927,4817996,NC
-0.25238138,4817997,NC
-0.21702048,4817998,NC
-0.20552547,4817999,NC
-0.15772137,4818000,NC
-0.13746178,4818001,NC
-0.14807436,4818002,NC
-0.1595892,4818003,NC
-0.17009981,4818004,NC
-0.1991034,4818005,NC
-0.24047841,4818006,NC
-0.23990929,4818007,NC
-0.23397548,4818008,NC
-0.2184229,4818009,NC
-0.19187234,4818010,NC
-0.1990769,4818011,NC
-0.20515269,4818012,NC
-0.1837272,4818013,NC
-0.2026234,4818014,NC
-0.21888594,4818015,NC
-0.22851622,4818016,NC
-0.23480128,4818017,NC
-0.22245254,4818018,NC
-0.2216247,4818019,NC
-0.22310857,4818020,NC
-0.22891988,4818021,NC
-0.20445609,4818022,NC
-0.20686698,4818023,NC
-0.20027332,4818024,NC
-0.23082641,4818025,NC
-0.21775806,4818026,NC
-0.20374049,4818027,NC
-0.18694898,4818028,NC
-0.17898917,4818029,NC
-0.16666359,4818030,NC
-0.17485467,4818031,NC
-0.18272601,4818032,NC
-0.20825538,4818033,NC
-0.20319816,4818034,NC
-0.2077772,4818035,NC
-0.20202978,4818036,NC
-0.19471915,4818037,NC
-0.19030556,4818038,NC
-0.17498548,4818039,NC
-0.17260979,4818040,NC
-0.18912414,4818041,NC
-0.22936916,4818042,NC
-0.23809372,4818043,NC
-0.23112172,4818044,NC
-0.21048458,4818045,NC
-0.17801036,4818046,NC
-0.17377757,4818047,NC
-0.17445222,4818048,NC
-0.18670164,4818049,NC
-0.1890856,4818050,NC
-0.1848903,4818051,NC
-0.18187845,4818052,NC
-0.1666313,4818053,NC
-0.14981192,4818054,NC
-0.14456932,4818055,NC
-0.13083725,4818056,NC
-0.106809154,4818057,NC
-0.0644839,4818058,NC
-0.035484783,4818059,NC
-0.038450085,4818060,NC
-0.050267093,4818061,NC
-0.035357572,4818062,NC
0.024524309,4818063,NC
0.058777783,4818064,NC
0.061845254,4818065,NC
0.0591772,4818066,NC
0.058007464,4818067,NC
0.093051344,4818068,NC
0.15008292,4818069,NC
0.20506406,4818070,NC
0.25031316,4818071,NC
0.27675435,4818072,NC
0.3652671,4818073,NC
0.59876114,4818074,NC
1.0399189,4818075,NC
1.5761578,4818076,NC
1.9966837,4818077,NC
2.1502721,4818078,NC
2.0979671,4818079,NC
2.0456374,4818080,NC
2.0145097,4818081,NC
1.9985332,4818082,B
1.9268198,4818083,NC
1.8414801,4818084,NC
1.7202761,4818085,NC
1.6429532,4818086,NC
1.556841,4818087,NC
1.4931399,4818088,NC
1.3989338,4818089,NC
1.2935454,4818090,NC
1.1588427,4818091,NC
1.0269091,4818092,NC
0.9067675,4818093,NC
0.7586786,4818094,NC
0.609582,4818095,NC
0.43869427,4818096,NC
0.24195121,4818097,NC
0.05689813,4818098,NC
-0.11252441,4818099,NC
-0.28518015,4818100,NC
-0.47454193,4818101,NC
-0.63625187,4818102,NC
-0.80930716,4818103,NC
-0.94112426,4818104,NC
-1.0451719,4818105,NC
-1.1128299,4818106,NC
-1.1873974,4818107,NC
-1.2521478,4818108,NC
-1.316754,4818109,NC
-1.3798133,4818110,NC
-1.4385737,4818111,NC
-1.5015638,4818112,NC
-1.5735823,4818113,NC
-1.6487296,4818114,NC
-1.7653859,4818115,NC
-1.8788743,4818116,NC
-1.971328,4818117,NC
-2.0771587,4818118,NC
-2.1006343,4818119,NC
-2.0731912,4818120,NC
-1.9303552,4818121,NC
-1.7254957,4818122,NC
-1.5527481,4818123,NC
-1.3993735,4818124,NC
-1.2867111,4818125,NC
-1.1908004,4818126,NC
-1.1123476,4818127,NC
-1.0450674,4818128,NC
-0.9853737,4818129,NC
-0.9420617,4818130,NC
-0.91986394,4818131,NC
-0.9016824,4818132,NC
-0.8803023,4818133,NC
-0.8702675,4818134,NC
-0.8387607,4818135,NC
-0.82735956,4818136,NC
-0.79830575,4818137,NC
-0.80383086,4818138,NC
-0.76420575,4818139,NC
-0.70200455,4818140,NC
-0.60236853,4818141,NC
-0.51936686,4818142,NC
-0.47226405,4818143,NC
-0.44626153,4818144,NC
-0.4072236,4818145,NC
-0.34007668,4818146,NC
-0.26349986,4818147,NC
-0.19382073,4818148,NC
-0.14048511,4818149,NC
-0.09059983,4818150,NC
-0.02224898,4818151,NC
0.050882224,4818152,NC
0.107646964,4818153,NC
0.16057894,4818154,NC
0.2045772,4818155,NC
0.22518599,4818156,NC
0.20880651,4818157,NC
0.19633631,4818158,NC
0.20288417,4818159,NC
0.22785836,4818160,NC
0.26460412,4818161,NC
0.26163578,4818162,NC
0.254784,4818163,NC
0.26649034,4818164,NC
0.3171184,4818165,NC
0.35911778,4818166,NC
0.40696612,4818167,NC
0.42748594,4818168,NC
0.4414457,4818169,NC
0.4570256,4818170,NC
0.46240288,4818171,NC
0.4923924,4818172,NC
0.5097708,4818173,NC
0.52345675,4818174,NC
0.5431252,4818175,NC
0.5842141,4818176,NC
0.6137208,4818177,NC
0.64380616,4818178,NC
0.68548006,4818179,NC
0.7166237,4818180,NC
0.7322554,4818181,NC
0.75387293,4818182,NC
0.74008983,4818183,NC
0.7597329,4818184,NC
0.7805095,4818185,NC
0.8162815,4818186,NC
0.8346452,4818187,NC
0.85513186,4818188,NC
0.8839487,4818189,NC
0.9343337,4818190,NC
0.9574974,4818191,NC
0.9795581,4818192,NC
