channel_0,sample #,type
0.06625,2883116,B
0.025000002,2883117,NC
-0.011249999,2883118,NC
-0.05125,2883119,NC
-0.05125,2883120,NC
-0.06625,2883121,NC
-0.0925,2883122,NC
-0.114999995,2883123,NC
-0.13125,2883124,NC
-0.14375001,2883125,NC
-0.1575,2883126,NC
-0.17750001,2883127,NC
-0.20625,2883128,NC
-0.23249999,2883129,NC
-0.25375,2883130,NC
-0.27499998,2883131,NC
-0.29375,2883132,NC
-0.31625003,2883133,NC
-0.3475,2883134,NC
-0.38,2883135,NC
-0.41,2883136,NC
-0.43875003,2883137,NC
-0.46375,2883138,NC
-0.49,2883139,NC
-0.52500004,2883140,NC
-0.57125,2883141,NC
-0.62875,2883142,NC
-0.69125,2883143,NC
-0.7475,2883144,NC
-0.79875004,2883145,NC
-0.83500004,2883146,NC
-0.86375,2883147,NC
-0.8875,2883148,NC
-0.90000004,2883149,NC
-0.91125005,2883150,NC
-0.915,2883151,NC
-0.915,2883152,NC
-0.91125,2883153,NC
-0.9,2883154,NC
-0.8875,2883155,NC
-0.87625,2883156,NC
-0.86875004,2883157,NC
-0.86249995,2883158,NC
-0.84875,2883159,NC
-0.82375,2883160,NC
-0.79,2883161,NC
-0.75124997,2883162,NC
-0.71,2883163,NC
-0.66499996,2883164,NC
-0.61999995,2883165,NC
-0.5749999,2883166,NC
-0.53375,2883167,NC
-0.4975,2883168,NC
-0.4575,2883169,NC
-0.42125,2883170,NC
-0.39,2883171,NC
-0.35875,2883172,NC
-0.335,2883173,NC
-0.30874997,2883174,NC
-0.28875,2883175,NC
-0.27624997,2883176,NC
-0.26624998,2883177,NC
-0.25875,2883178,NC
-0.245,2883179,NC
-0.22625001,2883180,NC
-0.21249999,2883181,NC
-0.2025,2883182,NC
-0.19125,2883183,NC
-0.18375,2883184,NC
-0.17,2883185,NC
-0.15625,2883186,NC
-0.14874999,2883187,NC
-0.1425,2883188,NC
-0.14125,2883189,NC
-0.1375,2883190,NC
-0.1325,2883191,NC
-0.12875,2883192,NC
-0.12875,2883193,NC
-0.13374999,2883194,NC
-0.13499999,2883195,NC
-0.13499999,2883196,NC
-0.1275,2883197,NC
-0.1225,2883198,NC
-0.11750001,2883199,NC
-0.115,2883200,NC
-0.1175,2883201,NC
-0.113749996,2883202,NC
-0.11125,2883203,NC
-0.107499994,2883204,NC
-0.105000004,2883205,NC
-0.10625,2883206,NC
-0.10625,2883207,NC
-0.105,2883208,NC
-0.10125,2883209,NC
-0.09625,2883210,NC
-0.095,2883211,NC
-0.095,2883212,NC
-0.09,2883213,NC
-0.083749995,2883214,NC
-0.0775,2883215,NC
-0.07,2883216,NC
-0.0725,2883217,NC
-0.0775,2883218,NC
-0.08,2883219,NC
-0.08125,2883220,NC
-0.072500005,2883221,NC
-0.06375,2883222,NC
-0.058750004,2883223,NC
-0.058750004,2883224,NC
-0.06125,2883225,NC
-0.06125,2883226,NC
-0.052500002,2883227,NC
-0.04625,2883228,NC
-0.04,2883229,NC
-0.0375,2883230,NC
-0.0425,2883231,NC
-0.0375,2883232,NC
-0.0325,2883233,NC
-0.025,2883234,NC
-0.01625,2883235,NC
-0.015,2883236,NC
-0.015,2883237,NC
-0.012499999,2883238,NC
-0.0112499995,2883239,NC
-0.008749999,2883240,NC
-0.00875,2883241,NC
