channel_0,sample #,type
1.5185667,4798781,B
1.4687513,4798782,NC
1.38519,4798783,NC
1.2919871,4798784,NC
1.2019978,4798785,NC
1.1216503,4798786,NC
1.0429099,4798787,NC
0.95934856,4798788,NC
0.8597176,4798789,NC
0.75205207,4798790,NC
0.62992394,4798791,NC
0.50136805,4798792,NC
0.3583496,4798793,NC
0.2008686,4798794,NC
0.030532021,4798795,NC
-0.12855592,4798796,NC
-0.27639523,4798797,NC
-0.41298586,4798798,NC
-0.55600435,4798799,NC
-0.69902277,4798800,NC
-0.84043425,4798801,NC
-0.9802388,4798802,NC
-1.1200433,4798803,NC
-1.2405645,4798804,NC
-1.3305537,4798805,NC
-1.3980455,4798806,NC
-1.4607166,4798807,NC
-1.5233874,4798808,NC
-1.5860586,4798809,NC
-1.6631923,4798810,NC
-1.76443,4798811,NC
-1.8849511,4798812,NC
-1.9926168,4798813,NC
-2.0890336,4798814,NC
-2.1693811,4798815,NC
-2.2561564,4798816,NC
-2.3332899,4798817,NC
-2.3847122,4798818,NC
-2.3734634,4798819,NC
-2.294723,4798820,NC
-2.172595,4798821,NC
-2.042432,4798822,NC
-1.9251248,4798823,NC
-1.8062106,4798824,NC
-1.6872963,4798825,NC
-1.573203,4798826,NC
-1.4864277,4798827,NC
-1.4237567,4798828,NC
-1.3803692,4798829,NC
-1.3482301,4798830,NC
-1.3289467,4798831,NC
-1.3128773,4798832,NC
-1.2952008,4798833,NC
-1.2759174,4798834,NC
-1.2694896,4798835,NC
-1.2646688,4798836,NC
-1.2518133,4798837,NC
-1.2052116,4798838,NC
-1.1393267,4798839,NC
-1.0589793,4798840,NC
-0.978632,4798841,NC
-0.90631914,4798842,NC
-0.8452551,4798843,NC
-0.79865366,4798844,NC
-0.7584799,4798845,NC
-0.7183061,4798846,NC
-0.6700977,4798847,NC
-0.6009989,4798848,NC
-0.52065146,4798849,NC
-0.43548316,4798850,NC
-0.3647774,4798851,NC
-0.30853418,4798852,NC
-0.26675352,4798853,NC
-0.2330076,4798854,NC
-0.19765472,4798855,NC
-0.1606949,4798856,NC
-0.12373506,4798857,NC
-0.107665576,4798858,NC
-0.10927252,4798859,NC
-0.11730726,4798860,NC
-0.110879466,4798861,NC
-0.08516829,4798862,NC
-0.05142236,4798863,NC
-0.014462542,4798864,NC
0.009641694,4798865,NC
0.020890336,4798866,NC
0.022497285,4798867,NC
0.027318131,4798868,NC
0.04338762,4798869,NC
0.06267101,4798870,NC
0.083561346,4798871,NC
0.098023884,4798872,NC
0.109272525,4798873,NC
0.12534201,4798874,NC
0.14141151,4798875,NC
0.16551574,4798876,NC
0.17997828,4798877,NC
0.1944408,4798878,NC
0.2072964,4798879,NC
0.2265798,4798880,NC
0.25229096,4798881,NC
0.2796091,4798882,NC
0.30692723,4798883,NC
0.33103147,4798884,NC
0.3615635,4798885,NC
0.39048856,4798886,NC
0.4194137,4798887,NC
0.43548316,4798888,NC
0.4563735,4798889,NC
0.48529854,4798890,NC
0.5286862,4798891,NC
0.5720738,4798892,NC
0.60742664,4798893,NC
0.63153094,4798894,NC
0.6476004,4798895,NC
0.66688377,4798896,NC
0.6958089,4798897,NC
0.7359826,4798898,NC
0.7793702,4798899,NC
0.81633013,4798900,NC
0.8404343,4798901,NC
0.8581107,4798902,NC
0.87257326,4798903,NC
0.8918566,4798904,NC
0.91114,4798905,NC
0.91917473,4798906,NC
0.91274697,4798907,NC
0.8886427,4798908,NC
0.87257326,4798909,NC
0.86775243,4798910,NC
0.86775243,4798911,NC
0.8532899,4798912,NC
0.8307926,4798913,NC
0.80668837,4798914,NC
0.787405,4798915,NC
0.76490766,4798916,NC
0.7472312,4798917,NC
0.73276865,4798918,NC
0.7183061,4798919,NC
0.6861672,4798920,NC
0.6395657,4798921,NC
0.5704669,4798922,NC
0.502975,4798923,NC
0.43709007,4798924,NC
0.3872747,4798925,NC
0.34228012,4798926,NC
0.31014112,4798927,NC
0.2796091,4798928,NC
0.24907707,4798929,NC
0.19926165,4798930,NC
0.12855592,4798931,NC
0.040173724,4798932,NC
-0.046601515,4798933,NC
-0.11409338,4798934,NC
-0.1606949,4798935,NC
-0.19926167,4798936,NC
-0.23622149,4798937,NC
-0.2796091,4798938,NC
-0.32621062,4798939,NC
-0.37281215,4798940,NC
-0.41298586,4798941,NC
-0.440304,4798942,NC
-0.46119434,4798943,NC
-0.47887078,4798944,NC
-0.49976107,4798945,NC
-0.5254723,4798946,NC
-0.5479696,4798947,NC
-0.5704669,4798948,NC
-0.58975023,4798949,NC
-0.6170684,4798950,NC
-0.63635176,4798951,NC
-0.6427796,4798952,NC
-0.6315309,4798953,NC
-0.6234961,4798954,NC
-0.6234961,4798955,NC
-0.6347448,4798956,NC
-0.64920735,4798957,NC
-0.66206294,4798958,NC
-0.6733116,4798959,NC
-0.6877741,4798960,NC
-0.7054506,4798961,NC
-0.7263409,4798962,NC
-0.73758954,4798963,NC
-0.73758954,4798964,NC
-0.7166992,4798965,NC
-0.69098806,4798966,NC
-0.6733116,4798967,NC
-0.6733116,4798968,NC
-0.6877741,4798969,NC
-0.7134853,4798970,NC
-0.7391965,4798971,NC
-0.75847983,4798972,NC
-0.7584799,4798973,NC
-0.7391965,4798974,NC
-0.7134853,4798975,NC
-0.69420195,4798976,NC
-0.692595,4798977,NC
-0.6958089,4798978,NC
-0.69902277,4798979,NC
-0.7102714,4798980,NC
-0.7295548,4798981,NC
-0.75526595,4798982,NC
-0.7649077,4798983,NC
-0.7649077,4798984,NC
-0.7600869,4798985,NC
-0.75847995,4798986,NC
-0.7600869,4798987,NC
-0.755266,4798988,NC
-0.7488381,4798989,NC
-0.73758954,4798990,NC
-0.72794783,4798991,NC
-0.72473395,4798992,NC
-0.72794783,4798993,NC
-0.73276865,4798994,NC
-0.7359826,4798995,NC
-0.7391965,4798996,NC
-0.7359826,4798997,NC
-0.7311617,4798998,NC
-0.7183061,4798999,NC
-0.7086645,4799000,NC
-0.69420195,4799001,NC
-0.6877741,4799002,NC
-0.69420195,4799003,NC
-0.7086645,4799004,NC
-0.7199131,4799005,NC
-0.7183061,4799006,NC
-0.7102714,4799007,NC
-0.7054506,4799008,NC
-0.70705754,4799009,NC
-0.7102714,4799010,NC
-0.7006297,4799011,NC
-0.6797394,4799012,NC
-0.6540282,4799013,NC
-0.64117265,4799014,NC
-0.6540282,4799015,NC
-0.6861672,4799016,NC
-0.7102714,4799017,NC
-0.7086645,4799018,NC
-0.6861672,4799019,NC
-0.66688377,4799020,NC
-0.66688377,4799021,NC
-0.6765255,4799022,NC
-0.67973936,4799023,NC
-0.6652768,4799024,NC
-0.6427796,4799025,NC
-0.62992394,4799026,NC
-0.629924,4799027,NC
-0.6379587,4799028,NC
-0.6459935,4799029,NC
-0.6476004,4799030,NC
-0.64920735,4799031,NC
-0.65242124,4799032,NC
-0.65884906,4799033,NC
-0.6652768,4799034,NC
-0.660456,4799035,NC
-0.6476004,4799036,NC
-0.62992394,4799037,NC
-0.6267101,4799038,NC
-0.6331379,4799039,NC
-0.6476004,4799040,NC
-0.6508143,4799041,NC
-0.6459935,4799042,NC
-0.63474476,4799043,NC
-0.628317,4799044,NC
-0.629924,4799045,NC
