channel_0,sample #,type
0.76288176,1733207,B
0.6015385,1733208,NC
0.2960357,1733209,NC
0.1119403,1733210,NC
0.070982926,1733211,NC
0.08560197,1733212,NC
0.10347786,1733213,NC
0.10377494,1733214,NC
0.10550403,1733215,NC
0.096064575,1733216,NC
0.0917482,1733217,NC
0.10224197,1733218,NC
0.11087825,1733219,NC
0.09840353,1733220,NC
0.078817345,1733221,NC
0.06951009,1733222,NC
0.06749226,1733223,NC
0.06577351,1733224,NC
0.060193196,1733225,NC
0.04506116,1733226,NC
0.01859571,1733227,NC
-0.021258816,1733228,NC
-0.05685032,1733229,NC
-0.097866036,1733230,NC
-0.15177727,1733231,NC
-0.21117938,1733232,NC
-0.26731607,1733233,NC
-0.33232498,1733234,NC
-0.41548836,1733235,NC
-0.5015662,1733236,NC
-0.5678698,1733237,NC
-0.60102075,1733238,NC
-0.58806956,1733239,NC
-0.54700524,1733240,NC
-0.5091593,1733241,NC
-0.47443166,1733242,NC
-0.44733933,1733243,NC
-0.44295993,1733244,NC
-0.45416525,1733245,NC
-0.45844096,1733246,NC
-0.4662827,1733247,NC
-0.46253324,1733248,NC
-0.44465515,1733249,NC
-0.4266517,1733250,NC
-0.40563914,1733251,NC
-0.38389662,1733252,NC
-0.36261266,1733253,NC
-0.350656,1733254,NC
-0.3449491,1733255,NC
-0.35240003,1733256,NC
-0.36597764,1733257,NC
-0.38419834,1733258,NC
-0.39522082,1733259,NC
-0.399634,1733260,NC
-0.410072,1733261,NC
-0.41124794,1733262,NC
-0.40178537,1733263,NC
-0.4019459,1733264,NC
-0.40762368,1733265,NC
-0.39139616,1733266,NC
-0.37663493,1733267,NC
-0.37459576,1733268,NC
-0.37820232,1733269,NC
-0.38672805,1733270,NC
-0.39295605,1733271,NC
-0.3903553,1733272,NC
-0.38276356,1733273,NC
-0.37231296,1733274,NC
-0.37494752,1733275,NC
-0.38424695,1733276,NC
-0.38532132,1733277,NC
-0.38365516,1733278,NC
-0.38160697,1733279,NC
-0.3746705,1733280,NC
-0.37611416,1733281,NC
-0.38552886,1733282,NC
-0.3862574,1733283,NC
-0.39112264,1733284,NC
-0.38613722,1733285,NC
-0.38642046,1733286,NC
-0.3894449,1733287,NC
-0.39572978,1733288,NC
-0.39701477,1733289,NC
-0.39911675,1733290,NC
-0.38773108,1733291,NC
-0.3827218,1733292,NC
-0.39295292,1733293,NC
-0.39081886,1733294,NC
-0.3944655,1733295,NC
-0.39732194,1733296,NC
-0.38818276,1733297,NC
-0.38050136,1733298,NC
-0.3848724,1733299,NC
-0.38739204,1733300,NC
-0.38775188,1733301,NC
-0.38634285,1733302,NC
-0.37239277,1733303,NC
-0.37039685,1733304,NC
-0.37305802,1733305,NC
-0.38424686,1733306,NC
-0.38094333,1733307,NC
-0.36853072,1733308,NC
-0.3569256,1733309,NC
-0.35451195,1733310,NC
-0.3534098,1733311,NC
-0.35713804,1733312,NC
-0.35516807,1733313,NC
-0.33817557,1733314,NC
-0.31886512,1733315,NC
-0.3006118,1733316,NC
-0.29375458,1733317,NC
-0.29971087,1733318,NC
-0.29419914,1733319,NC
-0.26872543,1733320,NC
-0.25977758,1733321,NC
-0.2555699,1733322,NC
-0.25164664,1733323,NC
-0.24483728,1733324,NC
-0.23619986,1733325,NC
-0.21534203,1733326,NC
-0.19810484,1733327,NC
-0.18316612,1733328,NC
-0.17717901,1733329,NC
-0.18348296,1733330,NC
-0.19788024,1733331,NC
-0.19341508,1733332,NC
-0.17591548,1733333,NC
-0.16194344,1733334,NC
-0.16082545,1733335,NC
-0.16396794,1733336,NC
-0.16288207,1733337,NC
-0.16360421,1733338,NC
-0.16884437,1733339,NC
-0.16935807,1733340,NC
-0.17596163,1733341,NC
-0.1942093,1733342,NC
-0.20233318,1733343,NC
-0.20805547,1733344,NC
-0.20491998,1733345,NC
-0.19476311,1733346,NC
-0.19622836,1733347,NC
-0.20337518,1733348,NC
-0.21313459,1733349,NC
-0.22185814,1733350,NC
-0.22032383,1733351,NC
-0.21801561,1733352,NC
-0.2260116,1733353,NC
-0.23555295,1733354,NC
-0.24614419,1733355,NC
-0.2512626,1733356,NC
-0.24217595,1733357,NC
-0.24398583,1733358,NC
-0.2510882,1733359,NC
-0.2572824,1733360,NC
-0.27036804,1733361,NC
-0.27501968,1733362,NC
-0.27092978,1733363,NC
-0.27789724,1733364,NC
-0.2860777,1733365,NC
-0.29476348,1733366,NC
-0.2928789,1733367,NC
-0.28361177,1733368,NC
-0.28351015,1733369,NC
-0.28674635,1733370,NC
-0.2868633,1733371,NC
