channel_0,sample #,type
2.705,5068024,B
2.6599998,5068025,NC
2.5725,5068026,NC
2.4875,5068027,NC
2.4099998,5068028,NC
2.3400002,5068029,NC
2.27,5068030,NC
2.185,5068031,NC
2.0700002,5068032,NC
1.9375,5068033,NC
1.7950001,5068034,NC
1.6500001,5068035,NC
1.5,5068036,NC
1.3325,5068037,NC
1.1600001,5068038,NC
1.005,5068039,NC
0.85,5068040,NC
0.6775,5068041,NC
0.4925,5068042,NC
0.3025,5068043,NC
0.114999995,5068044,NC
-0.0675,5068045,NC
-0.235,5068046,NC
-0.3825,5068047,NC
-0.4975,5068048,NC
-0.59000003,5068049,NC
-0.6825,5068050,NC
-0.77,5068051,NC
-0.8325,5068052,NC
-0.8675,5068053,NC
-0.9,5068054,NC
-0.97249997,5068055,NC
-1.0975,5068056,NC
-1.2349999,5068057,NC
-1.3399999,5068058,NC
-1.4200001,5068059,NC
-1.52,5068060,NC
-1.6324999,5068061,NC
-1.7125,5068062,NC
-1.7225001,5068063,NC
-1.6575,5068064,NC
-1.56,5068065,NC
-1.4475,5068066,NC
-1.335,5068067,NC
-1.2275,5068068,NC
-1.1099999,5068069,NC
-1.0174999,5068070,NC
-0.97,5068071,NC
-0.95,5068072,NC
-0.9375,5068073,NC
-0.9175,5068074,NC
-0.87,5068075,NC
-0.7925,5068076,NC
-0.74,5068077,NC
-0.735,5068078,NC
-0.76,5068079,NC
-0.7825,5068080,NC
-0.765,5068081,NC
-0.7,5068082,NC
-0.615,5068083,NC
-0.5425,5068084,NC
-0.4925,5068085,NC
-0.46249998,5068086,NC
-0.425,5068087,NC
-0.35250002,5068088,NC
-0.2625,5068089,NC
-0.17750001,5068090,NC
-0.087500006,5068091,NC
0.025000002,5068092,NC
0.15,5068093,NC
0.265,5068094,NC
0.3525,5068095,NC
0.4125,5068096,NC
0.4625,5068097,NC
0.51250005,5068098,NC
0.5725,5068099,NC
0.63750005,5068100,NC
0.685,5068101,NC
0.7175,5068102,NC
0.72249997,5068103,NC
0.7025,5068104,NC
0.6825,5068105,NC
0.6825,5068106,NC
0.7125,5068107,NC
0.7475,5068108,NC
0.77,5068109,NC
0.7825,5068110,NC
0.805,5068111,NC
0.84000003,5068112,NC
0.875,5068113,NC
0.8975,5068114,NC
0.9225,5068115,NC
0.96500003,5068116,NC
1.0125,5068117,NC
1.0699999,5068118,NC
1.1175001,5068119,NC
1.1175001,5068120,NC
1.0675,5068121,NC
1.0074999,5068122,NC
0.9925,5068123,NC
1.03,5068124,NC
1.085,5068125,NC
1.1225,5068126,NC
1.1324999,5068127,NC
1.1275,5068128,NC
1.1175001,5068129,NC
1.1025,5068130,NC
1.105,5068131,NC
1.13,5068132,NC
1.1800001,5068133,NC
1.2475,5068134,NC
1.2925,5068135,NC
1.2974999,5068136,NC
1.255,5068137,NC
1.1875,5068138,NC
1.135,5068139,NC
1.12,5068140,NC
1.1475,5068141,NC
1.1875,5068142,NC
1.2225001,5068143,NC
1.235,5068144,NC
1.2125001,5068145,NC
1.1700001,5068146,NC
