channel_0,sample #,type
0.31901675,3165378,B
0.029447703,3165379,NC
-0.024539752,3165380,NC
0.014723851,3165381,NC
0.024539752,3165382,NC
-0.0049079503,3165383,NC
-0.03435565,3165384,NC
-0.058895405,3165385,NC
-0.07361926,3165386,NC
-0.078527205,3165387,NC
-0.078527205,3165388,NC
-0.083435155,3165389,NC
-0.10797491,3165390,NC
-0.1276067,3165391,NC
-0.1374226,3165392,NC
-0.13251467,3165393,NC
-0.14233056,3165394,NC
-0.15705441,3165395,NC
-0.16687031,3165396,NC
-0.19631802,3165397,NC
-0.21594982,3165398,NC
-0.23558162,3165399,NC
-0.24539752,3165400,NC
-0.26993728,3165401,NC
-0.29447705,3165402,NC
-0.33374062,3165403,NC
-0.39263603,3165404,NC
-0.4466235,3165405,NC
-0.50551885,3165406,NC
-0.5349666,3165407,NC
-0.5742302,3165408,NC
-0.5889541,3165409,NC
-0.62821764,3165410,NC
-0.6478495,3165411,NC
-0.6723892,3165412,NC
-0.6772972,3165413,NC
-0.7116528,3165414,NC
-0.7116528,3165415,NC
-0.7165608,3165416,NC
-0.7067449,3165417,NC
-0.7067449,3165418,NC
-0.7312846,3165419,NC
-0.72637665,3165420,NC
-0.7361926,3165421,NC
-0.72146875,3165422,NC
-0.68711305,3165423,NC
-0.6478495,3165424,NC
-0.60858583,3165425,NC
-0.5840461,3165426,NC
-0.53987455,3165427,NC
-0.50061095,3165428,NC
-0.4466235,3165429,NC
-0.41226783,3165430,NC
-0.36318833,3165431,NC
-0.3386486,3165432,NC
-0.31901675,3165433,NC
-0.29938498,3165434,NC
-0.2846611,3165435,NC
-0.28956905,3165436,NC
-0.2748452,3165437,NC
-0.26993728,3165438,NC
-0.25030547,3165439,NC
-0.25030547,3165440,NC
-0.23558162,3165441,NC
-0.22085777,3165442,NC
-0.22085777,3165443,NC
-0.22576572,3165444,NC
-0.21594982,3165445,NC
-0.22576572,3165446,NC
-0.23067367,3165447,NC
-0.21104187,3165448,NC
-0.20613392,3165449,NC
-0.21594982,3165450,NC
-0.22576572,3165451,NC
-0.23067367,3165452,NC
-0.21104187,3165453,NC
-0.19141006,3165454,NC
-0.17177826,3165455,NC
-0.17668623,3165456,NC
-0.16687031,3165457,NC
-0.17668623,3165458,NC
-0.15214646,3165459,NC
-0.13251467,3165460,NC
-0.11779081,3165461,NC
-0.11779081,3165462,NC
-0.12269876,3165463,NC
-0.1374226,3165464,NC
-0.1276067,3165465,NC
-0.11779081,3165466,NC
-0.10797491,3165467,NC
-0.09325106,3165468,NC
-0.11779081,3165469,NC
-0.11288286,3165470,NC
-0.10306696,3165471,NC
-0.083435155,3165472,NC
-0.078527205,3165473,NC
-0.09325106,3165474,NC
-0.09815901,3165475,NC
-0.10306696,3165476,NC
-0.083435155,3165477,NC
-0.08834311,3165478,NC
-0.07361926,3165479,NC
-0.0687113,3165480,NC
-0.083435155,3165481,NC
-0.083435155,3165482,NC
-0.07361926,3165483,NC
-0.0687113,3165484,NC
-0.078527205,3165485,NC
-0.078527205,3165486,NC
-0.078527205,3165487,NC
-0.09325106,3165488,NC
-0.07361926,3165489,NC
-0.058895405,3165490,NC
-0.058895405,3165491,NC
-0.053987455,3165492,NC
-0.053987455,3165493,NC
-0.058895405,3165494,NC
-0.058895405,3165495,NC
-0.044171557,3165496,NC
-0.019631801,3165497,NC
-0.029447703,3165498,NC
-0.019631801,3165499,NC
-0.009815901,3165500,NC
0.0049079503,3165501,NC
0.019631801,3165502,NC
0.029447703,3165503,NC
0.019631801,3165504,NC
0.029447703,3165505,NC
0.014723851,3165506,NC
0.03435565,3165507,NC
0.039263602,3165508,NC
0.058895405,3165509,NC
0.0687113,3165510,NC
0.0687113,3165511,NC
0.07361926,3165512,NC
0.08834311,3165513,NC
0.09815901,3165514,NC
0.11288286,3165515,NC
0.11288286,3165516,NC
0.09815901,3165517,NC
0.09325106,3165518,NC
0.083435155,3165519,NC
0.078527205,3165520,NC
0.0687113,3165521,NC
0.053987455,3165522,NC
0.03435565,3165523,NC
