channel_0,sample #,type
0.3930997,23914438,B
0.2932057,23914439,NC
0.19331169,23914440,NC
0.083417624,23914441,NC
-0.011476468,23914442,NC
-0.10137059,23914443,NC
-0.21626475,23914444,NC
-0.35115898,23914445,NC
-0.5060532,23914446,NC
-0.66594744,23914447,NC
-0.8258417,23914448,NC
-0.9757361,23914449,NC
-1.1356304,23914450,NC
-1.2955248,23914451,NC
-1.4304193,23914452,NC
-1.5553138,23914453,NC
-1.6552083,23914454,NC
-1.7251028,23914455,NC
-1.8049974,23914456,NC
-1.879892,23914457,NC
-1.9547867,23914458,NC
-1.9946814,23914459,NC
-2.004576,23914460,NC
-1.999471,23914461,NC
-1.9593657,23914462,NC
-1.9092605,23914463,NC
-1.8891553,23914464,NC
-1.8440503,23914465,NC
-1.7689453,23914466,NC
-1.6438403,23914467,NC
-1.4937352,23914468,NC
-1.3636303,23914469,NC
-1.2135253,23914470,NC
-1.0984205,23914471,NC
-1.0033156,23914472,NC
-0.94321084,23914473,NC
-0.9331061,23914474,NC
-0.90800136,23914475,NC
-0.8678967,23914476,NC
-0.83279204,23914477,NC
-0.74268746,23914478,NC
-0.6625828,23914479,NC
-0.5774783,23914480,NC
-0.5173738,23914481,NC
-0.46226934,23914482,NC
-0.38716492,23914483,NC
-0.30706054,23914484,NC
-0.21695617,23914485,NC
-0.14685187,23914486,NC
-0.08674762,23914487,NC
-0.061643377,23914488,NC
-0.021539181,23914489,NC
0.013564974,23914490,NC
0.07366909,23914491,NC
0.098773174,23914492,NC
0.10887721,23914493,NC
0.09898122,23914494,NC
0.09408518,23914495,NC
0.0991891,23914496,NC
0.13429299,23914497,NC
0.15439683,23914498,NC
0.15950064,23914499,NC
0.14960441,23914500,NC
0.15970814,23914501,NC
0.15981182,23914502,NC
0.18491548,23914503,NC
0.21001908,23914504,NC
0.22012265,23914505,NC
0.20022619,23914506,NC
0.18032967,23914507,NC
0.17043312,23914508,NC
0.19553652,23914509,NC
0.2206399,23914510,NC
0.22074324,23914511,NC
0.21084651,23914512,NC
0.22094977,23914513,NC
0.231053,23914514,NC
0.26615614,23914515,NC
0.28625926,23914516,NC
0.30636236,23914517,NC
0.3114654,23914518,NC
0.3165684,23914519,NC
0.34167138,23914520,NC
0.3617743,23914521,NC
0.39687717,23914522,NC
0.40698,23914523,NC
0.41708285,23914524,NC
0.4121856,23914525,NC
0.4122883,23914526,NC
0.44239098,23914527,NC
0.4724936,23914528,NC
0.4725962,23914529,NC
0.43769875,23914530,NC
0.46780127,23914531,NC
0.52290374,23914532,NC
0.58300614,23914533,NC
0.6231085,23914534,NC
0.6532109,23914535,NC
0.6733132,23914536,NC
0.6884154,23914537,NC
0.72351766,23914538,NC
0.7586198,23914539,NC
0.76372194,23914540,NC
0.76882404,23914541,NC
0.77392614,23914542,NC
0.7790281,23914543,NC
0.8041301,23914544,NC
0.84923196,23914545,NC
0.88933384,23914546,NC
0.88943565,23914547,NC
0.9145375,23914548,NC
0.91463923,23914549,NC
0.9347409,23914550,NC
0.9548425,23914551,NC
0.95494413,23914552,NC
0.9500457,23914553,NC
0.9401472,23914554,NC
0.91524875,23914555,NC
0.9203502,23914556,NC
0.9154516,23914557,NC
0.9405529,23914558,NC
0.91565424,23914559,NC
0.89575547,23914560,NC
0.8908567,23914561,NC
0.88595784,23914562,NC
0.896059,23914563,NC
0.8761601,23914564,NC
0.8212611,23914565,NC
0.7663621,23914566,NC
0.70646304,23914567,NC
0.69156396,23914568,NC
0.67166483,23914569,NC
0.63176566,23914570,NC
0.6068664,23914571,NC
0.56196713,23914572,NC
0.52706784,23914573,NC
0.48716846,23914574,NC
0.43226907,23914575,NC
0.3923696,23914576,NC
0.32747012,23914577,NC
0.28757057,23914578,NC
0.25267094,23914579,NC
0.2327713,23914580,NC
0.24287164,23914581,NC
0.21797189,23914582,NC
0.18807212,23914583,NC
0.1181723,23914584,NC
0.07327244,23914585,NC
0.058372524,23914586,NC
0.038472563,23914587,NC
0.023572553,23914588,NC
-0.011327501,23914589,NC
-0.0362276,23914590,NC
-0.046127744,23914591,NC
-0.05102794,23914592,NC
-0.05592818,23914593,NC
-0.050828468,23914594,NC
-0.0807288,23914595,NC
-0.095629185,23914596,NC
-0.11552961,23914597,NC
-0.1204301,23914598,NC
-0.100330606,23914599,NC
-0.09523118,23914600,NC
-0.13513179,23914601,NC
-0.14003247,23914602,NC
-0.15993318,23914603,NC
-0.13483393,23914604,NC
-0.11973475,23914605,NC
-0.094635606,23914606,NC
-0.11953651,23914607,NC
-0.14443746,23914608,NC
-0.17433846,23914609,NC
-0.1692395,23914610,NC
-0.1491406,23914611,NC
-0.14404175,23914612,NC
-0.15394294,23914613,NC
-0.16384417,23914614,NC
-0.16874547,23914615,NC
-0.17364681,23914616,NC
-0.16354819,23914617,NC
-0.16344963,23914618,NC
-0.1483511,23914619,NC
-0.13825265,23914620,NC
-0.13815424,23914621,NC
-0.13805586,23914622,NC
-0.12795754,23914623,NC
-0.12785926,23914624,NC
-0.16276105,23914625,NC
-0.16766289,23914626,NC
-0.18256477,23914627,NC
-0.15246668,23914628,NC
-0.117368676,23914629,NC
-0.1022707,23914630,NC
-0.11717278,23914631,NC
-0.14207488,23914632,NC
-0.14697707,23914633,NC
-0.17687929,23914634,NC
-0.14678156,23914635,NC
-0.1466839,23914636,NC
-0.16158627,23914637,NC
-0.1664887,23914638,NC
-0.17139119,23914639,NC
-0.1412937,23914640,NC
-0.1261963,23914641,NC
-0.12609892,23914642,NC
-0.14600159,23914643,NC
-0.17090434,23914644,NC
-0.2008071,23914645,NC
-0.19570994,23914646,NC
-0.18561283,23914647,NC
-0.18551576,23914648,NC
-0.19541875,23914649,NC
-0.20032176,23914650,NC
-0.21022488,23914651,NC
-0.20012799,23914652,NC
-0.1900312,23914653,NC
-0.17493445,23914654,NC
-0.16483775,23914655,NC
-0.1647411,23914656,NC
-0.17464447,23914657,NC
-0.16454795,23914658,NC
-0.15945143,23914659,NC
-0.149355,23914660,NC
-0.17425859,23914661,NC
-0.17416224,23914662,NC
-0.17406596,23914663,NC
-0.16896972,23914664,NC
-0.15887353,23914665,NC
-0.1387774,23914666,NC
-0.13368133,23914667,NC
-0.1385853,23914668,NC
-0.14348933,23914669,NC
-0.1383934,23914670,NC
-0.13829753,23914671,NC
-0.13320172,23914672,NC
-0.14810595,23914673,NC
-0.15301025,23914674,NC
-0.15791458,23914675,NC
-0.14781898,23914676,NC
-0.14272343,23914677,NC
-0.14262792,23914678,NC
-0.15753248,23914679,NC
-0.17743711,23914680,NC
-0.17234176,23914681,NC
-0.1622465,23914682,NC
-0.13215126,23914683,NC
-0.122056074,23914684,NC
-0.12696095,23914685,NC
-0.1518659,23914686,NC
-0.17177087,23914687,NC
-0.1916759,23914688,NC
-0.196581,23914689,NC
-0.16648616,23914690,NC
-0.17139137,23914691,NC
-0.18129662,23914692,NC
-0.18620193,23914693,NC
-0.1661073,23914694,NC
-0.14101273,23914695,NC
-0.1409182,23914696,NC
-0.13082373,23914697,NC
-0.14072931,23914698,NC
-0.14563496,23914699,NC
-0.14054066,23914700,NC
-0.15044641,23914701,NC
-0.17035222,23914702,NC
-0.17525807,23914703,NC
-0.200164,23914704,NC
-0.20006998,23914705,NC
-0.19497597,23914706,NC
-0.17488208,23914707,NC
-0.17478822,23914708,NC
-0.17969441,23914709,NC
-0.16960067,23914710,NC
-0.14950697,23914711,NC
-0.11941333,23914712,NC
-0.09931975,23914713,NC
-0.08422623,23914714,NC
-0.10413275,23914715,NC
-0.12903935,23914716,NC
-0.15394598,23914717,NC
-0.17885268,23914718,NC
-0.14375944,23914719,NC
-0.12366625,23914720,NC
-0.12857312,23914721,NC
-0.123480044,23914722,NC
-0.11838703,23914723,NC
-0.09329408,23914724,NC
-0.063201174,23914725,NC
-0.048108317,23914726,NC
-0.018015534,23914727,NC
0.0420772,23914728,NC
0.23716989,23914729,NC
0.63226247,23914730,NC
1.112355,23914731,NC
1.3824475,23914732,NC
1.31254,23914733,NC
1.0626324,23914734,NC
0.8477247,23914735,NC
0.75281703,23914736,NC
0.73790926,23914737,NC
0.6880014,23914738,NC
0.60309345,23914739,NC
0.4931855,23914740,NC
0.3932775,23914741,B
0.27336943,23914742,NC
0.14346129,23914743,NC
0.013553102,23914744,NC
-0.12635516,23914745,NC
-0.24626344,23914746,NC
-0.37617183,23914747,NC
-0.5110802,23914748,NC
-0.6359887,23914749,NC
-0.7858973,23914750,NC
-0.95080584,23914751,NC
-1.1007144,23914752,NC
-1.2656233,23914753,NC
-1.390532,23914754,NC
-1.510441,23914755,NC
-1.6003497,23914756,NC
-1.7002587,23914757,NC
-1.8201678,23914758,NC
-1.8800769,23914759,NC
-1.949986,23914760,NC
-1.9898952,23914761,NC
-2.0248044,23914762,NC
-2.0647137,23914763,NC
-2.109623,23914764,NC
-2.1245325,23914765,NC
-2.124442,23914766,NC
-2.0693514,23914767,NC
-1.9942611,23914768,NC
-1.9191709,23914769,NC
-1.8490806,23914770,NC
-1.7789904,23914771,NC
-1.6689003,23914772,NC
-1.5388101,23914773,NC
-1.4037201,23914774,NC
-1.2636302,23914775,NC
-1.1285403,23914776,NC
-0.9834503,23914777,NC
-0.8483606,23914778,NC
-0.75827086,23914779,NC
-0.6981812,23914780,NC
-0.6780916,23914781,NC
-0.6480021,23914782,NC
-0.6079126,23914783,NC
-0.5528232,23914784,NC
-0.4977338,23914785,NC
-0.42764452,23914786,NC
-0.3975553,23914787,NC
-0.3424661,23914788,NC
-0.292377,23914789,NC
-0.20728794,23914790,NC
-0.14219895,23914791,NC
-0.07211004,23914792,NC
-0.022021174,23914793,NC
0.03306763,23914794,NC
0.07315637,23914795,NC
0.12824506,23914796,NC
0.17833367,23914797,NC
0.20842221,23914798,NC
0.21351072,23914799,NC
0.22859916,23914800,NC
0.22868752,23914801,NC
0.23377582,23914802,NC
0.25386405,23914803,NC
0.26395226,23914804,NC
0.27904037,23914805,NC
0.2691284,23914806,NC
0.26921642,23914807,NC
0.28930432,23914808,NC
0.3193922,23914809,NC
0.35948002,23914810,NC
0.36456776,23914811,NC
0.36965543,23914812,NC
0.34974304,23914813,NC
0.36983058,23914814,NC
0.3899181,23914815,NC
0.40500548,23914816,NC
0.40509284,23914817,NC
0.40018016,23914818,NC
0.4002674,23914819,NC
0.42035457,23914820,NC
0.44544166,23914821,NC
0.4705287,23914822,NC
0.47561568,23914823,NC
0.4807026,23914824,NC
0.50078946,23914825,NC
0.51087624,23914826,NC
0.5509629,23914827,NC
0.5760496,23914828,NC
0.57613623,23914829,NC
0.58622277,23914830,NC
0.6013092,23914831,NC
0.63639563,23914832,NC
0.6614819,23914833,NC
0.67156816,23914834,NC
0.6716544,23914835,NC
0.66674054,23914836,NC
0.6668266,23914837,NC
0.67691267,23914838,NC
0.6969986,23914839,NC
0.7570845,23914840,NC
0.7721703,23914841,NC
0.772256,23914842,NC
0.7873417,23914843,NC
0.81742734,23914844,NC
0.8475129,23914845,NC
0.8975984,23914846,NC
0.9226838,23914847,NC
0.9327692,23914848,NC
0.93785447,23914849,NC
0.9579397,23914850,NC
0.98802483,23914851,NC
1.0181099,23914852,NC
1.023195,23914853,NC
1.0432799,23914854,NC
1.0483649,23914855,NC
1.0634497,23914856,NC
1.1085345,23914857,NC
1.1386191,23914858,NC
1.1387037,23914859,NC
1.1537883,23914860,NC
1.1538728,23914861,NC
1.1839573,23914862,NC
1.2040416,23914863,NC
1.209126,23914864,NC
1.1942102,23914865,NC
1.1892943,23914866,NC
1.1843785,23914867,NC
1.1944625,23914868,NC
1.1945465,23914869,NC
1.1946304,23914870,NC
1.1847142,23914871,NC
1.159798,23914872,NC
1.1348816,23914873,NC
1.1349652,23914874,NC
1.1300488,23914875,NC
1.1001323,23914876,NC
1.0802157,23914877,NC
1.0352991,23914878,NC
1.0053824,23914879,NC
0.9754656,23914880,NC
0.9405488,23914881,NC
0.91563183,23914882,NC
0.8707149,23914883,NC
0.83079785,23914884,NC
0.7758807,23914885,NC
0.75096357,23914886,NC
0.7160463,23914887,NC
0.681129,23914888,NC
0.6362116,23914889,NC
0.5862941,23914890,NC
0.5313766,23914891,NC
0.501459,23914892,NC
0.47154132,23914893,NC
0.4616236,23914894,NC
0.4367058,23914895,NC
0.40178794,23914896,NC
0.37186998,23914897,NC
0.34695196,23914898,NC
0.3120339,23914899,NC
0.28211576,23914900,NC
0.23219755,23914901,NC
0.18727927,23914902,NC
0.15236092,23914903,NC
0.1324425,23914904,NC
0.13252401,23914905,NC
0.13260543,23914906,NC
0.12268682,23914907,NC
0.11776812,23914908,NC
0.092849344,23914909,NC
0.07293051,23914910,NC
0.07301159,23914911,NC
0.04809262,23914912,NC
0.043173566,23914913,NC
0.028254453,23914914,NC
0.008335263,23914915,NC
0.028416004,23914916,NC
0.028496679,23914917,NC
0.038577277,23914918,NC
0.018657811,23914919,NC
0.013738267,23914920,NC
0.003818661,23914921,NC
-0.011101022,23914922,NC
0.013979226,23914923,NC
0.019059405,23914924,NC
0.024139516,23914925,NC
0.0042195544,23914926,NC
0.0042995214,23914927,NC
0.014379412,23914928,NC
0.03945924,23914929,NC
0.029538993,23914930,NC
0.024618678,23914931,NC
0.019698285,23914932,NC
0.0047778264,23914933,NC
0.024857298,23914934,NC
0.024936698,23914935,NC
0.04501602,23914936,NC
0.050095275,23914937,NC
0.03017446,23914938,NC
0.020253576,23914939,NC
0.010332614,23914940,NC
0.025411583,23914941,NC
0.030490484,23914942,NC
0.015569299,23914943,NC
-0.0043519363,23914944,NC
-0.019273259,23914945,NC
-0.014194645,23914946,NC
-0.014116108,23914947,NC
0.0009623468,23914948,NC
-0.008959256,23914949,NC
-0.013880931,23914950,NC
-0.028802678,23914951,NC
-0.013724506,23914952,NC
-0.008646406,23914953,NC
-0.0035683736,23914954,NC
-0.013490409,23914955,NC
-0.023412526,23914956,NC
-0.023334712,23914957,NC
-0.023256972,23914958,NC
-0.013179302,23914959,NC
-0.013101704,23914960,NC
-0.013024181,23914961,NC
-0.022946738,23914962,NC
-0.037869357,23914963,NC
-0.027792051,23914964,NC
-0.017714828,23914965,NC
-0.0026376694,23914966,NC
-0.027560584,23914967,NC
-0.04748358,23914968,NC
-0.062406637,23914969,NC
-0.05232977,23914970,NC
-0.052252978,23914971,NC
-0.042176276,23914972,NC
-0.047099628,23914973,NC
-0.072023064,23914974,NC
-0.076946564,23914975,NC
-0.07187015,23914976,NC
-0.06679379,23914977,NC
-0.061717518,23914978,NC
-0.051641315,23914979,NC
-0.061565198,23914980,NC
-0.061489142,23914981,NC
-0.051413164,23914982,NC
-0.036337256,23914983,NC
-0.041261442,23914984,NC
-0.051185675,23914985,NC
-0.076110005,23914986,NC
-0.0860344,23914987,NC
-0.07595886,23914988,NC
-0.070883416,23914989,NC
-0.07080803,23914990,NC
-0.07573272,23914991,NC
-0.08565749,23914992,NC
-0.09558233,23914993,NC
-0.100507244,23914994,NC
-0.08543225,23914995,NC
-0.085357316,23914996,NC
-0.100282446,23914997,NC
-0.09520767,23914998,NC
-0.09513296,23914999,NC
-0.09505833,23915000,NC
-0.08498378,23915001,NC
-0.079909295,23915002,NC
-0.079834886,23915003,NC
-0.089760564,23915004,NC
-0.09468631,23915005,NC
-0.08961213,23915006,NC
-0.08953802,23915007,NC
-0.064463995,23915008,NC
-0.06939005,23915009,NC
-0.06931618,23915010,NC
-0.08924237,23915011,NC
-0.09416864,23915012,NC
-0.074095,23915013,NC
-0.06402142,23915014,NC
-0.08394794,23915015,NC
-0.093874514,23915016,NC
-0.09380117,23915017,NC
-0.08372791,23915018,NC
-0.063654706,23915019,NC
-0.0735816,23915020,NC
-0.07350856,23915021,NC
-0.1084356,23915022,NC
-0.11836272,23915023,NC
-0.11828991,23915024,NC
-0.113217175,23915025,NC
-0.09314452,23915026,NC
-0.093071945,23915027,NC
-0.107999444,23915028,NC
-0.11792703,23915029,NC
-0.102854684,23915030,NC
-0.07778241,23915031,NC
-0.072710216,23915032,NC
-0.0926381,23915033,NC
-0.11256606,23915034,NC
-0.1224941,23915035,NC
-0.11242221,23915036,NC
-0.09735041,23915037,NC
-0.097278684,23915038,NC
-0.08720704,23915039,NC
-0.102135465,23915040,NC
-0.10206397,23915041,NC
-0.086992554,23915042,NC
-0.07692121,23915043,NC
-0.061849944,23915044,NC
-0.05177877,23915045,NC
-0.051707663,23915046,NC
-0.051636636,23915047,NC
-0.01656568,23915048,NC
0.023505189,23915049,NC
0.11857599,23915050,NC
0.2536467,23915051,NC
0.57871735,23915052,NC
0.9737879,23915053,NC
1.2988584,23915054,NC
1.3989288,23915055,NC
1.2689991,23915056,NC
1.0590693,23915057,NC
0.9391395,23915058,NC
0.8542096,23915059,NC
