channel_0,sample #,type
0.048333332,2811352,B
0.014999999,2811353,NC
-0.010000001,2811354,NC
0.005,2811355,NC
-0.013333333,2811356,NC
-0.058333334,2811357,NC
-0.1,2811358,NC
-0.11666667,2811359,NC
-0.115,2811360,NC
-0.116666675,2811361,NC
-0.13,2811362,NC
-0.15833333,2811363,NC
-0.18833333,2811364,NC
-0.22333333,2811365,NC
-0.25,2811366,NC
-0.27833337,2811367,NC
-0.30333334,2811368,NC
-0.32833335,2811369,NC
-0.3466667,2811370,NC
-0.36,2811371,NC
-0.37666667,2811372,NC
-0.4,2811373,NC
-0.43333337,2811374,NC
-0.48000002,2811375,NC
-0.5333333,2811376,NC
-0.6016667,2811377,NC
-0.665,2811378,NC
-0.725,2811379,NC
-0.765,2811380,NC
-0.7966666,2811381,NC
-0.8266667,2811382,NC
-0.8483334,2811383,NC
-0.8600001,2811384,NC
-0.8550001,2811385,NC
-0.85666674,2811386,NC
-0.8600001,2811387,NC
-0.87000006,2811388,NC
-0.86666673,2811389,NC
-0.855,2811390,NC
-0.83833337,2811391,NC
-0.82500005,2811392,NC
-0.8133334,2811393,NC
-0.79,2811394,NC
-0.7583333,2811395,NC
-0.72,2811396,NC
-0.68500006,2811397,NC
-0.6433333,2811398,NC
-0.5966667,2811399,NC
-0.54833335,2811400,NC
-0.5083333,2811401,NC
-0.47666666,2811402,NC
-0.445,2811403,NC
-0.4166667,2811404,NC
-0.39,2811405,NC
-0.36833334,2811406,NC
-0.3466667,2811407,NC
-0.32833332,2811408,NC
-0.32,2811409,NC
-0.31833333,2811410,NC
-0.315,2811411,NC
-0.31166667,2811412,NC
-0.30333334,2811413,NC
-0.2916667,2811414,NC
-0.27833334,2811415,NC
-0.27,2811416,NC
-0.27,2811417,NC
-0.27333334,2811418,NC
-0.27,2811419,NC
-0.26333335,2811420,NC
-0.25166667,2811421,NC
-0.24833333,2811422,NC
-0.255,2811423,NC
-0.2616667,2811424,NC
-0.26000002,2811425,NC
-0.24166667,2811426,NC
-0.22333333,2811427,NC
-0.20833334,2811428,NC
-0.20166667,2811429,NC
-0.19333333,2811430,NC
-0.18333334,2811431,NC
-0.17000002,2811432,NC
-0.15833333,2811433,NC
-0.15,2811434,NC
-0.14833334,2811435,NC
-0.14500001,2811436,NC
-0.13666667,2811437,NC
-0.125,2811438,NC
-0.11666667,2811439,NC
-0.11666667,2811440,NC
-0.120000005,2811441,NC
-0.12166666,2811442,NC
-0.11333333,2811443,NC
-0.10166667,2811444,NC
-0.09166667,2811445,NC
-0.08833334,2811446,NC
-0.08833334,2811447,NC
-0.08333334,2811448,NC
-0.07833333,2811449,NC
-0.06666667,2811450,NC
-0.061666667,2811451,NC
-0.061666667,2811452,NC
-0.06666666,2811453,NC
-0.065,2811454,NC
-0.05666667,2811455,NC
-0.043333337,2811456,NC
-0.03666667,2811457,NC
-0.03666667,2811458,NC
-0.04,2811459,NC
-0.04,2811460,NC
-0.033333335,2811461,NC
-0.023333333,2811462,NC
-0.013333334,2811463,NC
-0.005,2811464,NC
-0.010000001,2811465,NC
-0.013333334,2811466,NC
-0.016666668,2811467,NC
-0.0049999994,2811468,NC
0.005,2811469,NC
0.015,2811470,NC
0.015000001,2811471,NC
0.011666667,2811472,NC
0.008333333,2811473,NC
0.013333334,2811474,NC
0.021666666,2811475,NC
0.026666667,2811476,NC
0.023333333,2811477,NC
0.018333334,2811478,NC
0.011666667,2811479,NC
0.013333334,2811480,NC
0.015000001,2811481,NC
0.02,2811482,NC
0.02,2811483,NC
0.02,2811484,NC
0.021666668,2811485,NC
0.021666668,2811486,NC
0.018333334,2811487,NC
0.008333333,2811488,NC
-0.0033333332,2811489,NC
-0.008333334,2811490,NC
-0.005,2811491,NC
0.0033333334,2811492,NC
0.008333333,2811493,NC
0.0033333334,2811494,NC
-0.0033333334,2811495,NC
-0.016666666,2811496,NC
-0.018333334,2811497,NC
-0.021666666,2811498,NC
-0.02,2811499,NC
-0.026666667,2811500,NC
-0.03666667,2811501,NC
-0.046666667,2811502,NC
-0.05333334,2811503,NC
-0.06166667,2811504,NC
-0.07000001,2811505,NC
-0.08500001,2811506,NC
-0.09833334,2811507,NC
-0.11000001,2811508,NC
-0.11666667,2811509,NC
-0.11666667,2811510,NC
-0.120000005,2811511,NC
-0.12833333,2811512,NC
-0.14333335,2811513,NC
-0.15,2811514,NC
-0.15166667,2811515,NC
-0.15,2811516,NC
-0.15833335,2811517,NC
-0.16833334,2811518,NC
-0.18166667,2811519,NC
-0.19,2811520,NC
-0.19833332,2811521,NC
-0.19999999,2811522,NC
-0.20333335,2811523,NC
-0.20833334,2811524,NC
-0.22166668,2811525,NC
-0.23166667,2811526,NC
-0.235,2811527,NC
-0.22833334,2811528,NC
-0.22500001,2811529,NC
-0.22166668,2811530,NC
-0.23000002,2811531,NC
-0.235,2811532,NC
-0.24333334,2811533,NC
-0.245,2811534,NC
-0.24666667,2811535,NC
-0.25166667,2811536,NC
-0.26,2811537,NC
-0.27,2811538,NC
-0.27,2811539,NC
-0.26500002,2811540,NC
-0.25666666,2811541,NC
-0.25666666,2811542,NC
-0.265,2811543,NC
-0.275,2811544,NC
-0.27833334,2811545,NC
-0.27166668,2811546,NC
-0.27333334,2811547,NC
-0.27833334,2811548,NC
-0.28833333,2811549,NC
-0.28666666,2811550,NC
-0.28333333,2811551,NC
-0.27333334,2811552,NC
-0.275,2811553,NC
-0.275,2811554,NC
-0.28333333,2811555,NC
-0.28333333,2811556,NC
-0.28333333,2811557,NC
-0.27833334,2811558,NC
-0.27666667,2811559,NC
-0.28166667,2811560,NC
-0.2916667,2811561,NC
-0.3,2811562,NC
-0.30166668,2811563,NC
-0.29333335,2811564,NC
-0.28166667,2811565,NC
-0.27666667,2811566,NC
-0.28,2811567,NC
-0.285,2811568,NC
-0.29,2811569,NC
-0.28666666,2811570,NC
-0.28666666,2811571,NC
-0.28166667,2811572,NC
-0.285,2811573,NC
-0.29000002,2811574,NC
-0.29500002,2811575,NC
-0.29333335,2811576,NC
-0.28666666,2811577,NC
-0.28666666,2811578,NC
-0.29666668,2811579,NC
-0.305,2811580,NC
-0.30666667,2811581,NC
-0.3,2811582,NC
-0.29500002,2811583,NC
-0.29666668,2811584,NC
-0.30166668,2811585,NC
-0.30833334,2811586,NC
-0.31,2811587,NC
-0.30666667,2811588,NC
-0.30666667,2811589,NC
-0.31,2811590,NC
-0.31666666,2811591,NC
-0.32,2811592,NC
-0.31666666,2811593,NC
-0.31166667,2811594,NC
-0.305,2811595,NC
-0.30666667,2811596,NC
-0.3166667,2811597,NC
-0.32333332,2811598,NC
-0.32166666,2811599,NC
-0.31,2811600,NC
-0.30333334,2811601,NC
-0.30333334,2811602,NC
