channel_0,sample #,type
0.32,23472019,B
0.225,23472020,NC
0.14,23472021,NC
0.045,23472022,NC
-0.055,23472023,NC
-0.175,23472024,NC
-0.325,23472025,NC
-0.475,23472026,NC
-0.6,23472027,NC
-0.73,23472028,NC
-0.85,23472029,NC
-0.985,23472030,NC
-1.15,23472031,NC
-1.32,23472032,NC
-1.465,23472033,NC
-1.59,23472034,NC
-1.67,23472035,NC
-1.75,23472036,NC
-1.84,23472037,NC
-1.93,23472038,NC
-2.01,23472039,NC
-2.045,23472040,NC
-2.08,23472041,NC
-2.085,23472042,NC
-2.115,23472043,NC
-2.115,23472044,NC
-2.11,23472045,NC
-2.05,23472046,NC
-2.01,23472047,NC
-1.965,23472048,NC
-1.91,23472049,NC
-1.835,23472050,NC
-1.72,23472051,NC
-1.585,23472052,NC
-1.445,23472053,NC
-1.29,23472054,NC
-1.165,23472055,NC
-1.095,23472056,NC
-1.05,23472057,NC
-0.995,23472058,NC
-0.935,23472059,NC
-0.88,23472060,NC
-0.82,23472061,NC
-0.775,23472062,NC
-0.71,23472063,NC
-0.65,23472064,NC
-0.555,23472065,NC
-0.5,23472066,NC
-0.435,23472067,NC
-0.375,23472068,NC
-0.315,23472069,NC
-0.255,23472070,NC
-0.2,23472071,NC
-0.17,23472072,NC
-0.165,23472073,NC
-0.15,23472074,NC
-0.125,23472075,NC
-0.125,23472076,NC
-0.085,23472077,NC
-0.05,23472078,NC
-0.035,23472079,NC
-0.03,23472080,NC
-0.03,23472081,NC
-0.025,23472082,NC
0.005,23472083,NC
0.015,23472084,NC
0.01,23472085,NC
0.005,23472086,NC
0.005,23472087,NC
0.025,23472088,NC
0.05,23472089,NC
0.075,23472090,NC
0.08,23472091,NC
0.075,23472092,NC
0.085,23472093,NC
0.11,23472094,NC
0.13,23472095,NC
0.14,23472096,NC
0.135,23472097,NC
0.125,23472098,NC
0.155,23472099,NC
0.18,23472100,NC
0.195,23472101,NC
0.215,23472102,NC
0.22,23472103,NC
0.225,23472104,NC
0.245,23472105,NC
0.265,23472106,NC
