channel_0,sample #,type
1.1479172,18915634,N
0.93964535,18915635,NC
0.5279451,18915636,NC
0.14046244,18915637,NC
-0.12593184,18915638,NC
-0.2518637,18915639,NC
-0.31482962,18915640,NC
-0.34389082,18915641,NC
-0.33904728,18915642,NC
-0.34389082,18915643,NC
-0.32936022,18915644,NC
-0.33420375,18915645,NC
-0.34873438,18915646,NC
-0.37779555,18915647,NC
-0.35842142,18915648,NC
-0.34389082,18915649,NC
-0.36326495,18915650,NC
-0.3874826,18915651,NC
-0.39232615,18915652,NC
-0.372952,18915653,NC
-0.36810848,18915654,NC
-0.35842142,18915655,NC
-0.36810848,18915656,NC
-0.4020132,18915657,NC
-0.39716968,18915658,NC
-0.40685675,18915659,NC
-0.39232615,18915660,NC
-0.3826391,18915661,NC
-0.35842142,18915662,NC
-0.3826391,18915663,NC
-0.3874826,18915664,NC
-0.39716968,18915665,NC
-0.37779555,18915666,NC
-0.35842142,18915667,NC
-0.35842142,18915668,NC
-0.36326495,18915669,NC
-0.372952,18915670,NC
-0.36810848,18915671,NC
-0.34389082,18915672,NC
-0.33904728,18915673,NC
-0.34873438,18915674,NC
-0.34389082,18915675,NC
-0.34873438,18915676,NC
-0.34389082,18915677,NC
-0.34873438,18915678,NC
-0.32936022,18915679,NC
-0.31482962,18915680,NC
-0.30514255,18915681,NC
-0.31967318,18915682,NC
-0.30998608,18915683,NC
-0.30514255,18915684,NC
-0.2809249,18915685,NC
-0.27123782,18915686,NC
-0.27608135,18915687,NC
-0.27608135,18915688,NC
-0.2809249,18915689,NC
-0.24217664,18915690,NC
-0.22764604,18915691,NC
-0.2228025,18915692,NC
-0.2228025,18915693,NC
-0.2082719,18915694,NC
-0.19858484,18915695,NC
-0.17921071,18915696,NC
-0.14530599,18915697,NC
-0.12593184,18915698,NC
-0.116244785,18915699,NC
-0.13561891,18915700,NC
-0.14046244,18915701,NC
-0.12593184,18915702,NC
-0.087183595,18915703,NC
-0.07749652,18915704,NC
-0.10171419,18915705,NC
-0.10171419,18915706,NC
-0.09202712,18915707,NC
-0.067809455,18915708,NC
-0.01937413,18915709,NC
-0.01937413,18915710,NC
-0.029061196,18915711,NC
-0.058122393,18915712,NC
-0.043591797,18915713,NC
-0.01937413,18915714,NC
-0.0048435326,18915715,NC
-0.009687065,18915716,NC
-0.043591797,18915717,NC
-0.07749652,18915718,NC
-0.10655772,18915719,NC
-0.09202712,18915720,NC
-0.09202712,18915721,NC
-0.11140125,18915722,NC
-0.13561891,18915723,NC
-0.14530599,18915724,NC
-0.17436719,18915725,NC
-0.1937413,18915726,NC
-0.2228025,18915727,NC
-0.2373331,18915728,NC
-0.26639432,18915729,NC
-0.27123782,18915730,NC
-0.28576842,18915731,NC
-0.28576842,18915732,NC
-0.29545552,18915733,NC
-0.30998608,18915734,NC
-0.34389082,18915735,NC
-0.35842142,18915736,NC
-0.36326495,18915737,NC
-0.3535779,18915738,NC
-0.34873438,18915739,NC
-0.35842142,18915740,NC
-0.3874826,18915741,NC
-0.3826391,18915742,NC
-0.3874826,18915743,NC
-0.36326495,18915744,NC
-0.3535779,18915745,NC
-0.36326495,18915746,NC
-0.39232615,18915747,NC
-0.39232615,18915748,NC
-0.3826391,18915749,NC
-0.36810848,18915750,NC
-0.35842142,18915751,NC
-0.34873438,18915752,NC
-0.34873438,18915753,NC
-0.35842142,18915754,NC
-0.3535779,18915755,NC
-0.34873438,18915756,NC
-0.33904728,18915757,NC
-0.33420375,18915758,NC
-0.3535779,18915759,NC
-0.36810848,18915760,NC
-0.37779555,18915761,NC
-0.36810848,18915762,NC
