channel_0,sample #,type
1.4216228,19179484,N
1.4879841,19179485,NC
1.326625,19179486,NC
0.97963035,19179487,NC
0.58003545,19179488,NC
0.18771376,19179489,NC
-0.14654316,19179490,NC
-0.35061336,19179491,NC
-0.4131312,19179492,NC
-0.43911254,19179493,NC
-0.41797787,19179494,NC
-0.41735813,19179495,NC
-0.40902793,19179496,NC
-0.37531185,19179497,NC
-0.37058467,19179498,NC
-0.37088037,19179499,NC
-0.39017057,19179500,NC
-0.36777347,19179501,NC
-0.37050655,19179502,NC
-0.37559718,19179503,NC
-0.39323547,19179504,NC
-0.4124381,19179505,NC
-0.41629088,19179506,NC
-0.38425383,19179507,NC
-0.3883851,19179508,NC
-0.37292048,19179509,NC
-0.39909613,19179510,NC
-0.39958397,19179511,NC
-0.39173862,19179512,NC
-0.3876631,19179513,NC
-0.36868176,19179514,NC
-0.36739698,19179515,NC
-0.39370796,19179516,NC
-0.39394146,19179517,NC
-0.39822796,19179518,NC
-0.35426247,19179519,NC
-0.33554715,19179520,NC
-0.34263027,19179521,NC
-0.35184777,19179522,NC
-0.36459517,19179523,NC
-0.3577321,19179524,NC
-0.3568981,19179525,NC
-0.32945648,19179526,NC
-0.32913068,19179527,NC
-0.3366757,19179528,NC
-0.3408986,19179529,NC
-0.32661942,19179530,NC
-0.3166155,19179531,NC
-0.3010346,19179532,NC
-0.28876388,19179533,NC
-0.29885706,19179534,NC
-0.3014787,19179535,NC
-0.28970745,19179536,NC
-0.2724356,19179537,NC
-0.2603593,19179538,NC
-0.265939,19179539,NC
-0.26324105,19179540,NC
-0.2838995,19179541,NC
-0.24838111,19179542,NC
-0.23554406,19179543,NC
-0.21771888,19179544,NC
-0.2014345,19179545,NC
-0.21702348,19179546,NC
-0.20478036,19179547,NC
-0.20388427,19179548,NC
-0.18806024,19179549,NC
-0.15073632,19179550,NC
-0.1417516,19179551,NC
-0.14107093,19179552,NC
-0.123648,19179553,NC
-0.11538187,19179554,NC
-0.08088547,19179555,NC
-0.055426426,19179556,NC
-0.037558332,19179557,NC
-0.03324665,19179558,NC
-0.024971668,19179559,NC
-0.0023628296,19179560,NC
0.024184946,19179561,NC
0.05590935,19179562,NC
0.05948418,19179563,NC
0.056095682,19179564,NC
0.060691375,19179565,NC
0.0831687,19179566,NC
0.108993486,19179567,NC
0.13308956,19179568,NC
0.14262268,19179569,NC
0.14371866,19179570,NC
0.13252588,19179571,NC
0.1520895,19179572,NC
0.16142362,19179573,NC
0.16918492,19179574,NC
0.16423923,19179575,NC
0.16320382,19179576,NC
0.14469162,19179577,NC
0.1385337,19179578,NC
0.122729816,19179579,NC
0.13309903,19179580,NC
0.11460064,19179581,NC
0.0714237,19179582,NC
0.017691748,19179583,NC
0.016318113,19179584,NC
0.0018196359,19179585,NC
-0.016637893,19179586,NC
-0.041495454,19179587,NC
-0.08441925,19179588,NC
-0.11651525,19179589,NC
-0.13681883,19179590,NC
-0.1466664,19179591,NC
-0.17423306,19179592,NC
-0.20482035,19179593,NC
-0.24489187,19179594,NC
-0.29569858,19179595,NC
-0.2901627,19179596,NC
-0.28390422,19179597,NC
-0.28400412,19179598,NC
-0.2901729,19179599,NC
-0.32540485,19179600,NC
-0.32964963,19179601,NC
-0.33548206,19179602,NC
-0.31922564,19179603,NC
-0.3222017,19179604,NC
-0.31651416,19179605,NC
-0.3513604,19179606,NC
-0.35974774,19179607,NC
-0.37451887,19179608,NC
-0.36123273,19179609,NC
-0.35683075,19179610,NC
-0.35539767,19179611,NC
-0.36608344,19179612,NC
-0.37822062,19179613,NC
-0.36741844,19179614,NC
-0.35408282,19179615,NC
-0.3563785,19179616,NC
-0.34575877,19179617,NC
-0.37077817,19179618,NC
-0.38303873,19179619,NC
-0.36148396,19179620,NC
-0.34433413,19179621,NC
-0.33153886,19179622,NC
-0.32776982,19179623,NC
-0.34703907,19179624,NC
-0.35899162,19179625,NC
-0.35766456,19179626,NC
-0.3452772,19179627,NC
-0.31627995,19179628,NC
-0.3302509,19179629,NC
-0.3430215,19179630,NC
-0.35555202,19179631,NC
