channel_0,sample #,type
2.099557,21533943,N
2.041,21533944,NC
1.8035738,21533945,NC
1.4147978,21533946,NC
0.9526413,21533947,NC
0.4629692,21533948,NC
0.02833797,21533949,NC
-0.33749306,21533950,NC
-0.6024187,21533951,NC
-0.78478485,21533952,NC
-0.8616593,21533953,NC
-0.84221506,21533954,NC
-0.76314384,21533955,NC
-0.66113764,21533956,NC
-0.5728884,21533957,NC
-0.49380955,21533958,NC
-0.4468336,21533959,NC
-0.4319607,21533960,NC
-0.4262585,21533961,NC
-0.4343135,21533962,NC
-0.4469529,21533963,NC
-0.45500377,21533964,NC
-0.46305272,21533965,NC
-0.47109985,21533966,NC
-0.4699722,21533967,NC
-0.48718867,21533968,NC
-0.49064416,21533969,NC
-0.49409807,21533970,NC
-0.49755046,21533971,NC
-0.49182856,21533972,NC
-0.49986473,21533973,NC
-0.4987267,21533974,NC
-0.48841456,21533975,NC
-0.4826878,21533976,NC
-0.47696,21533977,NC
-0.47123128,21533978,NC
-0.4838476,21533979,NC
-0.4964631,21533980,NC
-0.4953185,21533981,NC
-0.5079327,21533982,NC
-0.506787,21533983,NC
-0.49188128,21533984,NC
-0.46321586,21533985,NC
-0.4483095,21533986,NC
-0.43798935,21533987,NC
-0.42766908,21533988,NC
-0.41734877,21533989,NC
-0.39785543,21533990,NC
-0.3875352,21533991,NC
-0.36345565,21533992,NC
-0.36230874,21533993,NC
-0.33822975,21533994,NC
-0.31415114,21533995,NC
-0.29924598,21533996,NC
-0.27058196,21533997,NC
-0.23733206,21533998,NC
-0.24077468,21533999,NC
-0.2029398,21534000,NC
-0.1788652,21534001,NC
-0.12268627,21534002,NC
-0.094027154,21534003,NC
-0.06078267,21534004,NC
-0.04588527,21534005,NC
-0.035575587,21534006,NC
0.0068380795,21534007,NC
0.05383681,21534008,NC
0.10542054,21534009,NC
0.15700269,21534010,NC
0.20399673,21534011,NC
0.24640259,21534012,NC
0.27046075,21534013,NC
0.2991035,21534014,NC
0.3369173,21534015,NC
0.37014258,21534016,NC
0.40795222,21534017,NC
0.43200025,21534018,NC
0.46521902,21534019,NC
0.5030219,21534020,NC
0.5362359,21534021,NC
0.56486094,21534022,NC
0.59348345,21534023,NC
0.6312762,21534024,NC
0.6598934,21534025,NC
0.68850774,21534026,NC
0.7033599,21534027,NC
0.718209,21534028,NC
0.71929574,21534029,NC
0.70662004,21534030,NC
0.693941,21534031,NC
0.6996048,21534032,NC
0.70067877,21534033,NC
0.7017494,21534034,NC
0.71198946,21534035,NC
0.6901207,21534036,NC
0.66824836,21534037,NC
0.6509588,21534038,NC
0.62907904,21534039,NC
0.6163685,21534040,NC
0.6357593,21534041,NC
0.62304085,21534042,NC
0.6103184,21534043,NC
0.5746594,21534044,NC
0.55734223,21534045,NC
0.5262613,21534046,NC
0.49517617,21534047,NC
0.47325954,21534048,NC
0.455925,21534049,NC
0.43399942,21534050,NC
0.41665572,21534051,NC
0.36720207,21534052,NC
0.3360896,21534053,NC
0.3095588,21534054,NC
0.29219615,21534055,NC
0.28400147,21534056,NC
0.26662886,21534057,NC
0.25383767,21534058,NC
0.23186842,21534059,NC
0.20072103,21534060,NC
0.16956837,21534061,NC
0.14299688,21534062,NC
0.12559295,21534063,NC
0.10818356,21534064,NC
0.09076867,21534065,NC
0.077934675,21534066,NC
0.065095045,21534067,NC
0.056836184,21534068,NC
0.06233098,21534069,NC
0.058647003,21534070,NC
