channel_0,sample #,type
2.346082,21744592,N
2.3074028,21744593,NC
2.0331492,21744594,NC
1.6639582,21744595,NC
1.2314947,21744596,NC
0.79310566,21744597,NC
0.33813268,21744598,NC
-0.07916671,21744599,NC
-0.4968362,21744600,NC
-0.8607033,21744601,NC
-1.1995695,21744602,NC
-1.4090223,21744603,NC
-1.4718473,21744604,NC
-1.4234536,21744605,NC
-1.2858559,21744606,NC
-1.137229,21744607,NC
-0.99685717,21744608,NC
-0.8934124,21744609,NC
-0.8639057,21744610,NC
-0.8913717,21744611,NC
-0.9175822,21744612,NC
-0.9486924,21744613,NC
-0.97447294,21744614,NC
-0.99738985,21744615,NC
-1.0223657,21744616,NC
-1.0209725,21744617,NC
-1.0364021,21744618,NC
-1.0618514,21744619,NC
-1.0683424,21744620,NC
-1.0673522,21744621,NC
-1.0734506,21744622,NC
-1.0756305,21744623,NC
-1.0551162,21744624,NC
-1.062278,21744625,NC
-1.052635,21744626,NC
-1.0885267,21744627,NC
-1.1067382,21744628,NC
-1.1010711,21744629,NC
-1.1017998,21744630,NC
-1.1130911,21744631,NC
-1.1040462,21744632,NC
-1.1053622,21744633,NC
-1.0973517,21744634,NC
-1.0911418,21744635,NC
-1.0980405,21744636,NC
-1.089698,21744637,NC
-1.0955259,21744638,NC
-1.0643461,21744639,NC
-1.0563995,21744640,NC
-1.0705829,21744641,NC
-1.0591996,21744642,NC
-1.0369931,21744643,NC
-1.0235436,21744644,NC
-1.0133651,21744645,NC
-0.9729803,21744646,NC
-0.93184596,21744647,NC
-0.8976889,21744648,NC
-0.86571306,21744649,NC
-0.847048,21744650,NC
-0.8547199,21744651,NC
-0.86741096,21744652,NC
-0.87015986,21744653,NC
-0.84760433,21744654,NC
-0.82434785,21744655,NC
-0.7619862,21744656,NC
-0.7225564,21744657,NC
-0.6814819,21744658,NC
-0.65750057,21744659,NC
-0.62231845,21744660,NC
-0.6003827,21744661,NC
-0.569341,21744662,NC
-0.5212533,21744663,NC
-0.51563,21744664,NC
-0.48065102,21744665,NC
-0.42693993,21744666,NC
-0.3981457,21744667,NC
-0.37273175,21744668,NC
-0.33870152,21744669,NC
-0.30269873,21744670,NC
-0.26118296,21744671,NC
-0.22042404,21744672,NC
-0.18536718,21744673,NC
-0.14116862,21744674,NC
-0.10279522,21744675,NC
-0.08020429,21744676,NC
-0.05634794,21744677,NC
-0.017029062,21744678,NC
0.004070989,21744679,NC
0.030788582,21744680,NC
0.08468099,21744681,NC
0.08791441,21744682,NC
0.116305806,21744683,NC
0.11833044,21744684,NC
0.109463245,21744685,NC
0.10700452,21744686,NC
0.10654446,21744687,NC
0.107378066,21744688,NC
0.10442901,21744689,NC
0.11206836,21744690,NC
0.11967708,21744691,NC
0.083838575,21744692,NC
0.08198664,21744693,NC
0.052883577,21744694,NC
0.03969582,21744695,NC
0.020017562,21744696,NC
-0.003848323,21744697,NC
-0.016966073,21744698,NC
-0.0378229,21744699,NC
-0.068942375,21744700,NC
-0.09323101,21744701,NC
-0.12484997,21744702,NC
-0.18106288,21744703,NC
-0.2213429,21744704,NC
-0.24589421,21744705,NC
-0.27196512,21744706,NC
-0.28833538,21744707,NC
-0.30525795,21744708,NC
-0.32963774,21744709,NC
-0.37655666,21744710,NC
-0.4075618,21744711,NC
-0.4361129,21744712,NC
-0.4686167,21744713,NC
-0.48481366,21744714,NC
-0.4927739,21744715,NC
-0.50829095,21744716,NC
-0.51687616,21744717,NC
-0.5372235,21744718,NC
-0.5596236,21744719,NC
-0.55932325,21744720,NC
-0.57134855,21744721,NC
-0.56034905,21744722,NC
-0.57447684,21744723,NC
-0.56737375,21744724,NC
-0.5879946,21744725,NC
-0.59178233,21744726,NC
-0.5922287,21744727,NC
-0.59523183,21744728,NC
-0.5928799,21744729,NC
-0.5444905,21744730,NC
-0.51925486,21744731,NC
-0.5067423,21744732,NC
-0.46042576,21744733,NC
-0.42713782,21744734,NC
-0.38989815,21744735,NC
-0.382454,21744736,NC
-0.35216686,21744737,NC
-0.31463575,21744738,NC
-0.29806653,21744739,NC
-0.27682748,21744740,NC
-0.2606855,21744741,NC
-0.2630819,21744742,NC
-0.2833348,21744743,NC
-0.30515566,21744744,NC
-0.33047137,21744745,NC
-0.35702476,21744746,NC
-0.36911446,21744747,NC
-0.4064286,21744748,NC
-0.47706416,21744749,NC
-0.5362432,21744750,NC
-0.6083476,21744751,NC
-0.6933059,21744752,NC
-0.7260989,21744753,NC
-0.71998006,21744754,NC
-0.7151058,21744755,NC
-0.7090163,21744756,NC
-0.70125,21744757,NC
-0.6961609,21744758,NC
-0.70807254,21744759,NC
-0.7175101,21744760,NC
-0.7316458,21744761,NC
-0.733639,21744762,NC
-0.7466402,21744763,NC
-0.76019436,21744764,NC
-0.7654038,21744765,NC
-0.7697517,21744766,NC
-0.8152244,21744767,NC
-0.8111113,21744768,NC
-0.8072041,21744769,NC
-0.7638249,21744770,NC
-0.6851922,21744771,NC
-0.57163745,21744772,NC
-0.42913315,21744773,NC
-0.27585614,21744774,NC
-0.11166225,21744775,NC
0.060224827,21744776,NC
0.2467022,21744777,NC
0.4514718,21744778,NC
0.69122803,21744779,NC
0.9618898,21744780,NC
1.2606384,21744781,NC
1.5649989,21744782,NC
1.8749751,21744783,NC
2.1751695,21744784,NC
2.4545496,21744785,NC
2.673461,21744786,NC
2.8456266,21744787,NC
2.9061725,21744788,F
2.883895,21744789,NC
2.7469969,21744790,NC
2.5372503,21744791,NC
2.21543,21744792,NC
1.757695,21744793,NC
1.2479528,21744794,NC
0.6873248,21744795,NC
0.076494515,21744796,NC
-0.4897922,21744797,NC
-0.9206816,21744798,NC
-1.1839919,21744799,NC
-1.255082,21744800,NC
-1.2146825,21744801,NC
-1.1534826,21744802,NC
-1.0920552,21744803,NC
-1.0540144,21744804,NC
-1.0913508,21744805,NC
-1.1755427,21744806,NC
-1.2355964,21744807,NC
-1.2865504,21744808,NC
-1.3160287,21744809,NC
-1.3402929,21744810,NC
-1.3538209,21744811,NC
-1.3750547,21744812,NC
-1.384557,21744813,NC
-1.4065881,21744814,NC
-1.3963255,21744815,NC
-1.3940576,21744816,NC
-1.3966831,21744817,NC
-1.4193485,21744818,NC
-1.4364425,21744819,NC
-1.4694473,21744820,NC
-1.5084031,21744821,NC
-1.5195038,21744822,NC
-1.5466489,21744823,NC
-1.57145,21744824,NC
-1.5742971,21744825,NC
-1.5839678,21744826,NC
-1.6014742,21744827,NC
-1.6156428,21744828,NC
-1.6358466,21744829,NC
-1.6449286,21744830,NC
-1.6469642,21744831,NC
-1.6358378,21744832,NC
-1.6652493,21744833,NC
-1.6583838,21744834,NC
-1.6774791,21744835,NC
-1.6840507,21744836,NC
-1.6826309,21744837,NC
-1.6907736,21744838,NC
-1.6834862,21744839,NC
-1.679631,21744840,NC
-1.6457205,21744841,NC
-1.6451689,21744842,NC
-1.6364053,21744843,NC
-1.6271279,21744844,NC
-1.6206006,21744845,NC
-1.6104918,21744846,NC
-1.586754,21744847,NC
-1.5767208,21744848,NC
-1.5422399,21744849,NC
-1.4917644,21744850,NC
-1.4578211,21744851,NC
-1.419162,21744852,NC
-1.3768936,21744853,NC
-1.3507775,21744854,NC
-1.3413032,21744855,NC
-1.2739456,21744856,NC
-1.2421322,21744857,NC
-1.1979928,21744858,NC
-1.15066,21744859,NC
-1.1049443,21744860,NC
-1.0654904,21744861,NC
-1.0258392,21744862,NC
-0.95389473,21744863,NC
-0.9072614,21744864,NC
-0.83915126,21744865,NC
-0.77593476,21744866,NC
-0.7202349,21744867,NC
-0.6686936,21744868,NC
-0.64012,21744869,NC
-0.6068981,21744870,NC
-0.56948674,21744871,NC
-0.5320197,21744872,NC
-0.4630112,21744873,NC
-0.41085374,21744874,NC
-0.36661562,21744875,NC
-0.34902105,21744876,NC
-0.3344081,21744877,NC
-0.32545316,21744878,NC
-0.28648582,21744879,NC
-0.27749372,21744880,NC
-0.2604962,21744881,NC
-0.25274873,21744882,NC
-0.25073326,21744883,NC
-0.24535151,21744884,NC
-0.24493887,21744885,NC
-0.2758818,21744886,NC
-0.2811158,21744887,NC
-0.2824318,21744888,NC
-0.2784663,21744889,NC
-0.30050257,21744890,NC
-0.32557207,21744891,NC
-0.3407331,21744892,NC
-0.37674844,21744893,NC
-0.3828618,21744894,NC
-0.4221652,21744895,NC
-0.4280631,21744896,NC
-0.44499764,21744897,NC
-0.44260943,21744898,NC
-0.46637598,21744899,NC
-0.48004276,21744900,NC
-0.5053079,21744901,NC
-0.5168236,21744902,NC
-0.57160306,21744903,NC
-0.5892305,21744904,NC
-0.60578036,21744905,NC
-0.6251271,21744906,NC
-0.61634016,21744907,NC
-0.63997525,21744908,NC
-0.65095556,21744909,NC
-0.6634465,21744910,NC
-0.65104043,21744911,NC
-0.639074,21744912,NC
-0.63462096,21744913,NC
-0.6131372,21744914,NC
-0.6188384,21744915,NC
-0.62004304,21744916,NC
-0.6338522,21744917,NC
-0.6464766,21744918,NC
-0.627313,21744919,NC
-0.620096,21744920,NC
-0.57410514,21744921,NC
-0.5189295,21744922,NC
-0.4925094,21744923,NC
-0.44619027,21744924,NC
-0.42762816,21744925,NC
-0.4042618,21744926,NC
-0.39820206,21744927,NC
-0.3806332,21744928,NC
-0.3656399,21744929,NC
-0.3437013,21744930,NC
-0.31824252,21744931,NC
-0.3236871,21744932,NC
-0.32107574,21744933,NC
-0.31269082,21744934,NC
-0.33262527,21744935,NC
-0.3612912,21744936,NC
-0.37230167,21744937,NC
-0.3970133,21744938,NC
-0.46010998,21744939,NC
-0.52866113,21744940,NC
-0.5705391,21744941,NC
-0.6194614,21744942,NC
-0.650601,21744943,NC
