channel_0,sample #,type
2.176366,22092855,N
2.0733263,22092856,NC
1.8783863,22092857,NC
1.5734445,22092858,NC
1.182172,22092859,NC
0.74077207,22092860,NC
0.28684032,22092861,NC
-0.14759746,22092862,NC
-0.5249456,22092863,NC
-0.8284951,22092864,NC
-1.0498912,22092865,NC
-1.1682477,22092866,NC
-1.191919,22092867,NC
-1.1348294,22092868,NC
-1.0248275,22092869,NC
-0.90647113,22092870,NC
-0.811786,22092871,NC
-0.7588737,22092872,NC
-0.743557,22092873,NC
-0.7560888,22092874,NC
-0.78393734,22092875,NC
-0.80900115,22092876,NC
-0.83127993,22092877,NC
-0.84659666,22092878,NC
-0.85216635,22092879,NC
-0.84938145,22092880,NC
-0.84520423,22092881,NC
-0.8354572,22092882,NC
-0.8257103,22092883,NC
-0.8284951,22092884,NC
-0.83128,22092885,NC
-0.84659666,22092886,NC
-0.8633058,22092887,NC
-0.8758377,22092888,NC
-0.8869771,22092889,NC
-0.8897619,22092890,NC
-0.8911544,22092891,NC
-0.88836956,22092892,NC
-0.8869771,22092893,NC
-0.8855847,22092894,NC
-0.8827998,22092895,NC
-0.88001496,22092896,NC
-0.87444526,22092897,NC
-0.8633058,22092898,NC
-0.85077393,22092899,NC
-0.8424194,22092900,NC
-0.83128,22092901,NC
-0.82710266,22092902,NC
-0.828495,22092903,NC
-0.8173557,22092904,NC
-0.80760866,22092905,NC
-0.7908995,22092906,NC
-0.7602661,22092907,NC
-0.7296326,22092908,NC
-0.69342947,22092909,NC
-0.6586188,22092910,NC
-0.63494754,22092911,NC
-0.6238081,22092912,NC
-0.6140611,22092913,NC
-0.6029216,22092914,NC
-0.58342767,22092915,NC
-0.5458321,22092916,NC
-0.49988192,22092917,NC
-0.44696963,22092918,NC
-0.39544976,22092919,NC
-0.34671474,22092920,NC
-0.30633432,22092921,NC
-0.2715236,22092922,NC
-0.23392802,22092923,NC
-0.19494003,22092924,NC
-0.14759745,22092925,NC
-0.09886243,22092926,NC
-0.05291229,22092927,NC
-0.013924288,22092928,NC
0.018101573,22092929,NC
0.051519863,22092930,NC
0.090507865,22092931,NC
0.13785043,22092932,NC
0.19076274,22092933,NC
0.2422826,22092934,NC
0.28684032,22092935,NC
0.3188662,22092936,NC
0.34671476,22092937,NC
0.3689936,22092938,NC
0.3912725,22092939,NC
0.42051348,22092940,NC
0.44696963,22092941,NC
0.47203332,22092942,NC
0.49709702,22092943,NC
0.50823647,22092944,NC
0.516591,22092945,NC
0.5165911,22092946,NC
0.5096289,22092947,NC
0.5026668,22092948,NC
0.49709707,22092949,NC
0.49570465,22092950,NC
0.4943122,22092951,NC
0.49013492,22092952,NC
0.47899547,22092953,NC
0.46367878,22092954,NC
0.44418478,22092955,NC
0.43026048,22092956,NC
0.4177286,22092957,NC
0.40519676,22092958,NC
0.38988006,22092959,NC
0.36342388,22092960,NC
0.33000562,22092961,NC
0.2910176,22092962,NC
0.25620687,22092963,NC
0.22557345,22092964,NC
0.20468703,22092965,NC
0.19076273,22092966,NC
0.17544603,22092967,NC
0.16291416,22092968,NC
0.13645802,22092969,NC
