channel_0,sample #,type
2.2331543,21735079,N
2.0477395,21735080,NC
1.7175928,21735081,NC
1.3191608,21735082,NC
0.8886182,21735083,NC
0.47969258,21735084,NC
0.09159258,21735085,NC
-0.25387836,21735086,NC
-0.59147,21735087,NC
-0.8861161,21735088,NC
-1.1182274,21735089,NC
-1.2423933,21735090,NC
-1.2412161,21735091,NC
-1.1519088,21735092,NC
-1.0118136,21735093,NC
-0.8792266,21735094,NC
-0.7978744,21735095,NC
-0.77403384,21735096,NC
-0.7878878,21735097,NC
-0.83038306,21735098,NC
-0.8704396,21735099,NC
-0.8999695,21735100,NC
-0.89497614,21735101,NC
-0.8917278,21735102,NC
-0.89092505,21735103,NC
-0.8835956,21735104,NC
-0.8993913,21735105,NC
-0.91908985,21735106,NC
-0.93638647,21735107,NC
-0.9625936,21735108,NC
-0.9625277,21735109,NC
-0.9713201,21735110,NC
-0.9600806,21735111,NC
-0.9599535,21735112,NC
-0.96753216,21735113,NC
-0.9736328,21735114,NC
-0.98949647,21735115,NC
-0.99272317,21735116,NC
-0.9992536,21735117,NC
-0.99259806,21735118,NC
-0.9878655,21735119,NC
-1.0017172,21735120,NC
-1.000897,21735121,NC
-1.0214072,21735122,NC
-1.028608,21735123,NC
-1.03349,21735124,NC
-1.0232239,21735125,NC
-1.0076195,21735126,NC
-0.9883152,21735127,NC
-0.9664254,21735128,NC
-0.9487989,21735129,NC
-0.9388134,21735130,NC
-0.93377584,21735131,NC
-0.93585086,21735132,NC
-0.93041945,21735133,NC
-0.9155061,21735134,NC
-0.8938263,21735135,NC
-0.8617746,21735136,NC
-0.8355568,21735137,NC
-0.80395335,21735138,NC
-0.78075767,21735139,NC
-0.73469627,21735140,NC
-0.70904535,21735141,NC
-0.66463864,21735142,NC
-0.6348854,21735143,NC
-0.59178656,21735144,NC
-0.5663867,21735145,NC
-0.53461564,21735146,NC
-0.506504,21735147,NC
-0.46725577,21735148,NC
-0.42734578,21735149,NC
-0.38523,21735150,NC
-0.33081728,21735151,NC
-0.2830668,21735152,NC
-0.24700171,21735153,NC
-0.21908987,21735154,NC
-0.19312236,21735155,NC
-0.16480324,21735156,NC
-0.12824112,21735157,NC
-0.09196691,21735158,NC
-0.03729666,21735159,NC
0.016121713,21735160,NC
0.05246428,21735161,NC
0.10633987,21735162,NC
0.12701306,21735163,NC
0.15902379,21735164,NC
0.174509,21735165,NC
0.1984756,21735166,NC
0.2211021,21735167,NC
0.24816047,21735168,NC
0.26133195,21735169,NC
0.2688692,21735170,NC
0.27098233,21735171,NC
0.26168263,21735172,NC
0.2652775,21735173,NC
0.25893366,21735174,NC
0.26596498,21735175,NC
0.27285242,21735176,NC
0.26530766,21735177,NC
0.25837567,21735178,NC
0.23285885,21735179,NC
0.20686679,21735180,NC
0.17210045,21735181,NC
0.14568365,21735182,NC
0.13859805,21735183,NC
0.11737872,21735184,NC
0.10178603,21735185,NC
0.072990194,21735186,NC
0.06274109,21735187,NC
0.028474212,21735188,NC
-0.009105649,21735189,NC
-0.020095026,21735190,NC
-0.051253762,21735191,NC
-0.062332477,21735192,NC
-0.095801085,21735193,NC
-0.11972152,21735194,NC
-0.14188392,21735195,NC
-0.16633348,21735196,NC
-0.19164877,21735197,NC
-0.20967202,21735198,NC
-0.23780781,21735199,NC
-0.24052769,21735200,NC
-0.26623717,21735201,NC
-0.2861522,21735202,NC
-0.30192932,21735203,NC
-0.32233423,21735204,NC
-0.35792983,21735205,NC
-0.37927344,21735206,NC
-0.39181048,21735207,NC
-0.3889622,21735208,NC
-0.37721545,21735209,NC
-0.3622463,21735210,NC
-0.36932778,21735211,NC
-0.3700565,21735212,NC
-0.38275084,21735213,NC
-0.37802404,21735214,NC
-0.38548177,21735215,NC
-0.37055314,21735216,NC
-0.35019425,21735217,NC
-0.31648314,21735218,NC
-0.29604697,21735219,NC
-0.26743856,21735220,NC
-0.24261042,21735221,NC
-0.20679225,21735222,NC
-0.18474996,21735223,NC
-0.17119588,21735224,NC
-0.13955525,21735225,NC
-0.113969915,21735226,NC
-0.0945296,21735227,NC
-0.08857628,21735228,NC
-0.100474544,21735229,NC
-0.11194031,21735230,NC
-0.14342389,21735231,NC
-0.17325348,21735232,NC
-0.20873727,21735233,NC
-0.2541242,21735234,NC
-0.30383244,21735235,NC
-0.36684087,21735236,NC
-0.4251594,21735237,NC
-0.4849819,21735238,NC
-0.50350744,21735239,NC
-0.5200341,21735240,NC
-0.5353251,21735241,NC
-0.52989966,21735242,NC
-0.53249574,21735243,NC
-0.52127886,21735244,NC
-0.52225137,21735245,NC
-0.5265303,21735246,NC
-0.52420896,21735247,NC
-0.51372427,21735248,NC
-0.52051777,21735249,NC
-0.50010186,21735250,NC
-0.51274425,21735251,NC
-0.503704,21735252,NC
-0.5275257,21735253,NC
-0.54033923,21735254,NC
-0.5461616,21735255,NC
-0.54616445,21735256,NC
-0.55560696,21735257,NC
-0.5550183,21735258,NC
-0.55572265,21735259,NC
-0.56148976,21735260,NC
-0.5579075,21735261,NC
-0.5328791,21735262,NC
-0.48664927,21735263,NC
-0.41674584,21735264,NC
-0.28419697,21735265,NC
-0.11047613,21735266,NC
0.116724014,21735267,NC
0.41439697,21735268,NC
0.758078,21735269,NC
1.1653432,21735270,NC
1.5974042,21735271,NC
2.0162203,21735272,NC
2.3796782,21735273,NC
2.650974,21735274,NC
2.8053007,21735275,NC
2.8355665,21735276,F
2.7437909,21735277,NC
2.5328486,21735278,NC
2.2586052,21735279,NC
1.8990852,21735280,NC
1.4831556,21735281,NC
1.0331256,21735282,NC
0.5313177,21735283,NC
0.036827024,21735284,NC
-0.39756757,21735285,NC
-0.7017708,21735286,NC
-0.8567682,21735287,NC
-0.8934662,21735288,NC
-0.8536314,21735289,NC
-0.81888306,21735290,NC
-0.79271847,21735291,NC
-0.8033302,21735292,NC
-0.83489114,21735293,NC
-0.88036567,21735294,NC
-0.91798115,21735295,NC
-0.9494963,21735296,NC
-0.97176474,21735297,NC
-0.9894405,21735298,NC
-1.0155995,21735299,NC
-1.0342369,21735300,NC
-1.0599322,21735301,NC
-1.0717225,21735302,NC
-1.0903736,21735303,NC
-1.1009868,21735304,NC
-1.1007055,21735305,NC
-1.1047343,21735306,NC
-1.1265911,21735307,NC
-1.1460699,21735308,NC
-1.1682355,21735309,NC
-1.1808536,21735310,NC
-1.1975653,21735311,NC
-1.2098297,21735312,NC
-1.2234352,21735313,NC
-1.2428217,21735314,NC
-1.2656676,21735315,NC
-1.2755668,21735316,NC
-1.2724764,21735317,NC
-1.2644117,21735318,NC
-1.2572871,21735319,NC
-1.2586077,21735320,NC
-1.2501065,21735321,NC
-1.246791,21735322,NC
-1.2480129,21735323,NC
-1.2645831,21735324,NC
-1.2551532,21735325,NC
-1.249036,21735326,NC
-1.2385427,21735327,NC
-1.2189959,21735328,NC
-1.196788,21735329,NC
-1.1719488,21735330,NC
-1.1518116,21735331,NC
-1.1232513,21735332,NC
-1.0900877,21735333,NC
-1.0705211,21735334,NC
-1.0398337,21735335,NC
-1.0092696,21735336,NC
-0.9887156,21735337,NC
-0.95416886,21735338,NC
-0.91558486,21735339,NC
-0.8760801,21735340,NC
-0.8307446,21735341,NC
-0.7740832,21735342,NC
-0.70358187,21735343,NC
-0.66535324,21735344,NC
-0.62812495,21735345,NC
-0.6114299,21735346,NC
-0.5770267,21735347,NC
-0.5502818,21735348,NC
-0.5027614,21735349,NC
-0.44989216,21735350,NC
-0.39891213,21735351,NC
-0.35060862,21735352,NC
-0.29481786,21735353,NC
-0.25288296,21735354,NC
-0.22001533,21735355,NC
-0.16886291,21735356,NC
-0.12253918,21735357,NC
-0.07480218,21735358,NC
-0.04222406,21735359,NC
-0.018672066,21735360,NC
0.0010724642,21735361,NC
0.019981947,21735362,NC
0.023022331,21735363,NC
0.035342857,21735364,NC
0.057652548,21735365,NC
0.08820074,21735366,NC
0.09729199,21735367,NC
0.105482586,21735368,NC
0.1008074,21735369,NC
0.081643105,21735370,NC
0.050713535,21735371,NC
0.034078196,21735372,NC
0.026148811,21735373,NC
0.017400363,21735374,NC
0.0024335948,21735375,NC
-0.017895168,21735376,NC
-0.037089426,21735377,NC
-0.061003547,21735378,NC
-0.08791975,21735379,NC
-0.0947997,21735380,NC
-0.1132021,21735381,NC
-0.13716556,21735382,NC
-0.15724626,21735383,NC
-0.18657887,21735384,NC
