channel_0,sample #,type
1.8260219,19087360,N
1.774984,19087361,NC
1.4460732,19087362,NC
0.9697197,19087363,NC
0.47635353,19087364,NC
0.06237963,19087365,NC
-0.14744276,19087366,NC
-0.22683501,19087367,NC
-0.2551894,19087368,NC
-0.28354377,19087369,NC
-0.29488552,19087370,NC
-0.24951851,19087371,NC
-0.20982239,19087372,NC
-0.18713889,19087373,NC
-0.22116412,19087374,NC
-0.2551894,19087375,NC
-0.26653114,19087376,NC
-0.24951851,19087377,NC
-0.22683501,19087378,NC
-0.22116412,19087379,NC
-0.24951851,19087380,NC
-0.26653114,19087381,NC
-0.28354377,19087382,NC
-0.26653114,19087383,NC
-0.24951851,19087384,NC
-0.24384764,19087385,NC
-0.2551894,19087386,NC
-0.29488552,19087387,NC
-0.2778729,19087388,NC
-0.24384764,19087389,NC
-0.21549326,19087390,NC
-0.21549326,19087391,NC
-0.24951851,19087392,NC
-0.23817676,19087393,NC
-0.24384764,19087394,NC
-0.23250589,19087395,NC
-0.22116412,19087396,NC
-0.24951851,19087397,NC
-0.23250589,19087398,NC
-0.23817676,19087399,NC
-0.22683501,19087400,NC
-0.19280976,19087401,NC
-0.15878451,19087402,NC
-0.16445538,19087403,NC
-0.18713889,19087404,NC
-0.20982239,19087405,NC
-0.19848064,19087406,NC
-0.17012626,19087407,NC
-0.15878451,19087408,NC
-0.14744276,19087409,NC
-0.16445538,19087410,NC
-0.16445538,19087411,NC
-0.15878451,19087412,NC
-0.13043013,19087413,NC
-0.113417506,19087414,NC
-0.10207576,19087415,NC
-0.113417506,19087416,NC
-0.10207576,19087417,NC
-0.07372138,19087418,NC
-0.045367002,19087419,NC
-0.022683501,19087420,NC
-0.0056708753,19087421,NC
0.0056708753,19087422,NC
0.0056708753,19087423,NC
0.022683501,19087424,NC
0.05103788,19087425,NC
0.079392254,19087426,NC
0.090734005,19087427,NC
0.10774663,19087428,NC
0.113417506,19087429,NC
0.11908838,19087430,NC
0.15878451,19087431,NC
0.18713889,19087432,NC
0.21549326,19087433,NC
0.22683501,19087434,NC
0.24384764,19087435,NC
0.26086026,19087436,NC
0.2778729,19087437,NC
0.30622727,19087438,NC
0.31189814,19087439,NC
0.30622727,19087440,NC
0.30622727,19087441,NC
0.28921464,19087442,NC
0.29488552,19087443,NC
0.29488552,19087444,NC
0.2778729,19087445,NC
0.23250589,19087446,NC
0.20415153,19087447,NC
0.18713889,19087448,NC
0.15878451,19087449,NC
0.17579713,19087450,NC
0.14177188,19087451,NC
0.10207576,19087452,NC
0.056708753,19087453,NC
0.0056708753,19087454,NC
0.0,19087455,NC
-0.028354377,19087456,NC
-0.039696127,19087457,NC
-0.08506313,19087458,NC
-0.14744276,19087459,NC
-0.16445538,19087460,NC
-0.16445538,19087461,NC
-0.16445538,19087462,NC
-0.17579713,19087463,NC
-0.19280976,19087464,NC
-0.21549326,19087465,NC
-0.22116412,19087466,NC
-0.23250589,19087467,NC
-0.19848064,19087468,NC
-0.21549326,19087469,NC
-0.22683501,19087470,NC
