channel_0,sample #,type
1.5219836,19012186,N
1.5180665,19012187,NC
1.3068084,19012188,NC
0.98496723,19012189,NC
0.63087136,19012190,NC
0.32284862,19012191,NC
0.130012,19012192,NC
0.0431464,19012193,NC
0.0023538657,19012194,NC
-0.029225934,19012195,NC
-0.10227589,19012196,NC
-0.13386044,19012197,NC
-0.1055495,19012198,NC
-0.08184859,19012199,NC
-0.05815018,19012200,NC
-0.080529675,19012201,NC
-0.08908914,19012202,NC
-0.116081394,19012203,NC
-0.120038666,19012204,NC
-0.11017603,19012205,NC
-0.10031615,19012206,NC
-0.104281664,19012207,NC
-0.12668014,19012208,NC
-0.12143627,19012209,NC
-0.11619531,19012210,NC
-0.10174222,19012211,NC
-0.09189964,19012212,NC
-0.09127514,19012213,NC
-0.1044763,19012214,NC
-0.12228807,19012215,NC
-0.10324271,19012216,NC
-0.093415566,19012217,NC
-0.0789841,19012218,NC
-0.073770925,19012219,NC
-0.096206225,19012220,NC
-0.10482222,19012221,NC
-0.09501143,19012222,NC
-0.07598893,19012223,NC
-0.0615774,19012224,NC
-0.07020697,19012225,NC
-0.06962496,19012226,NC
-0.06904646,19012227,NC
-0.068471506,19012228,NC
-0.054077543,19012229,NC
-0.04429473,19012230,NC
-0.03912309,19012231,NC
-0.047777742,19012232,NC
-0.047221042,19012233,NC
-0.04206056,19012234,NC
-0.027688794,19012235,NC
-0.0041057765,19012236,NC
0.0010432675,19012237,NC
-0.016849242,19012238,NC
-0.020923056,19012239,NC
-0.006570682,19012240,NC
0.012385245,19012241,NC
0.03133717,19012242,NC
0.031854928,19012243,NC
0.023153547,19012244,NC
0.032878213,19012245,NC
0.047206275,19012246,NC
0.07074525,19012247,NC
0.089672506,19012248,NC
0.09016541,19012249,NC
0.081439,19012250,NC
0.09574599,19012251,NC
0.1146562,19012252,NC
0.13816962,19012253,NC
0.15707114,19012254,NC
0.17136073,19012255,NC
0.1672158,19012256,NC
0.17228147,19012257,NC
0.19577283,19012258,NC
0.22386721,19012259,NC
0.2565646,19012260,NC
0.26621976,19012261,NC
0.26204777,19012262,NC
0.2624787,19012263,NC
0.28594264,19012264,NC
0.30479446,19012265,NC
0.32364154,19012266,NC
0.3470915,19012267,NC
0.33367646,19012268,NC
0.33868676,19012269,NC
0.3529074,19012270,NC
0.37633827,19012271,NC
0.3905493,19012272,NC
0.39093286,19012273,NC
0.35905883,19012274,NC
0.35943264,19012275,NC
0.34597892,19012276,NC
0.364773,19012277,NC
