channel_0,sample #,type
1.7165858,29992291,N
1.7071663,29992292,NC
1.6477408,29992293,NC
1.5283093,29992294,NC
1.3688718,29992295,NC
1.1244282,29992296,NC
0.8499783,29992297,NC
0.58052236,29992298,NC
0.35606024,29992299,NC
0.1865919,29992300,NC
0.082117304,29992301,NC
0.012636475,29992302,NC
-0.016850665,29992303,NC
-0.0463441,29992304,NC
-0.08084385,29992305,NC
-0.11534996,29992306,NC
-0.15486245,29992307,NC
-0.19438137,29992308,NC
-0.2239067,29992309,NC
-0.24843845,29992310,NC
-0.24297668,29992311,NC
-0.2525214,29992312,NC
-0.25207263,29992313,NC
-0.24663043,29992314,NC
-0.25119475,29992315,NC
-0.27076566,29992316,NC
-0.27034318,29992317,NC
-0.27992725,29992318,NC
-0.28451806,29992319,NC
-0.26411545,29992320,NC
-0.26871952,29992321,NC
-0.26333028,29992322,NC
-0.2629478,29992323,NC
-0.28257203,29992324,NC
-0.29220295,29992325,NC
-0.29684067,29992326,NC
-0.30648518,29992327,NC
-0.3011365,29992328,NC
-0.3007946,29992329,NC
-0.30545956,29992330,NC
-0.30513135,29992331,NC
-0.30481002,29992332,NC
-0.2844956,29992333,NC
-0.284188,29992334,NC
-0.2988873,29992335,NC
-0.30359358,29992336,NC
-0.3083068,29992337,NC
-0.30802694,29992338,NC
-0.31775403,29992339,NC
-0.32248813,29992340,NC
-0.3222292,29992341,NC
-0.33197725,29992342,NC
-0.33673236,29992343,NC
-0.32649446,29992344,NC
-0.33126357,29992345,NC
-0.34103978,29992346,NC
-0.355823,29992347,NC
-0.34561333,29992348,NC
-0.37041068,29992349,NC
-0.38521522,29992350,NC
-0.40502676,29992351,NC
-0.4198454,29992352,NC
-0.4396712,29992353,NC
-0.4345041,29992354,NC
-0.44934416,29992355,NC
-0.45919132,29992356,NC
-0.45904565,29992357,NC
-0.4739071,29992358,NC
-0.47877574,29992359,NC
-0.4886515,29992360,NC
-0.5185345,29992361,NC
-0.5334246,29992362,NC
-0.5533219,29992363,NC
-0.56822646,29992364,NC
-0.5931381,29992365,NC
-0.61305696,29992366,NC
-0.61298305,29992367,NC
-0.61291635,29992368,NC
-0.6128568,29992369,NC
-0.59780455,29992370,NC
-0.6077594,29992371,NC
-0.61272156,29992372,NC
-0.62269086,29992373,NC
-0.62766737,29992374,NC
-0.6376512,29992375,NC
-0.65264213,29992376,NC
-0.63764036,29992377,NC
-0.6376458,29992378,NC
-0.6226584,29992379,NC
-0.61767817,29992380,NC
-0.59270525,29992381,NC
-0.5727396,29992382,NC
-0.532781,29992383,NC
-0.5128298,29992384,NC
-0.49288562,29992385,NC
-0.47794876,29992386,NC
-0.45301908,29992387,NC
-0.42309657,29992388,NC
-0.4081813,29992389,NC
-0.3832732,29992390,NC
-0.34837228,29992391,NC
-0.31847855,29992392,NC
-0.28859198,29992393,NC
-0.24371263,29992394,NC
-0.21884042,29992395,NC
-0.19897535,29992396,NC
-0.18411748,29992397,NC
-0.17926674,29992398,NC
-0.1694231,29992399,NC
-0.14958665,29992400,NC
-0.14475727,29992401,NC
-0.13493505,29992402,NC
-0.120119944,29992403,NC
-0.09531191,29992404,NC
-0.080510974,29992405,NC
-0.08571711,29992406,NC
-0.060930327,29992407,NC
-0.071150616,29992408,NC
-0.07137795,29992409,NC
-0.07661231,29992410,NC
-0.07685372,29992411,NC
-0.102102146,29992412,NC
-0.10235757,29992413,NC
-0.107619986,29992414,NC
-0.107889384,29992415,NC
-0.098165765,29992416,NC
-0.093449086,29992417,NC
-0.063739344,29992418,NC
-0.07403655,29992419,NC
-0.059340656,29992420,NC
-0.06465167,29992421,NC
-0.06996958,29992422,NC
-0.07529433,29992423,NC
-0.08062595,29992424,NC
-0.09096442,29992425,NC
-0.081309706,29992426,NC
-0.0866618,29992427,NC
-0.08702068,29992428,NC
-0.077386335,29992429,NC
-0.07275875,29992430,NC
-0.068137884,29992431,NC
-0.06852375,29992432,NC
-0.07391633,29992433,NC
-0.07431558,29992434,NC
-0.0747215,29992435,NC
-0.07513407,29992436,NC
-0.08055325,29992437,NC
-0.08597903,29992438,NC
-0.08141142,29992439,NC
-0.05685036,29992440,NC
-0.032295853,29992441,NC
-0.02774787,29992442,NC
-0.008206382,29992443,NC
0.02132862,29992444,NC
0.030857183,29992445,NC
0.04537928,29992446,NC
0.054894984,29992447,NC
0.049404286,29992448,NC
0.058907226,29992449,NC
0.07840384,29992450,NC
0.09789412,29992451,NC
0.1323781,29992452,NC
0.16685581,29992453,NC
0.21632728,29992454,NC
0.24079253,29992455,NC
0.26025158,29992456,NC
0.24970445,29992457,NC
0.2491512,29992458,NC
0.2335918,29992459,NC
0.23302633,29992460,NC
0.23245478,29992461,NC
0.23187721,29992462,NC
0.23629363,29992463,NC
0.25070405,29992464,NC
0.26510853,29992465,NC
0.2745071,29992466,NC
0.27889973,29992467,NC
0.27828652,29992468,NC
0.27266747,29992469,NC
0.26704258,29992470,NC
0.28641194,29992471,NC
0.34077555,29992472,NC
0.40513343,29992473,NC
0.47948563,29992474,NC
0.5588321,29992475,NC
0.613173,29992476,NC
0.66750836,29992477,NC
0.72183806,29992478,NC
0.78616226,29992479,NC
0.85548097,29992480,NC
0.9247942,29992481,NC
1.004102,29992482,NC
1.0884044,29992483,NC
1.1577013,29992484,NC
1.2019931,29992485,NC
1.2262794,29992486,NC
1.2005606,29992487,NC
1.1148363,29992488,NC
0.93410695,29992489,NC
0.66837245,29992490,NC
0.2976328,29992491,NC
-0.12811193,29992492,NC
-0.5388617,29992493,NC
-0.9096166,29992494,NC
-1.2003764,29992495,NC
-1.3711412,29992496,NC
-1.4519109,29992497,NC
-1.4476855,29992498,F
-1.3884649,29992499,NC
-1.2792492,29992500,NC
-1.1750382,29992501,NC
-1.0808319,29992502,NC
-1.0066304,29992503,NC
-0.95243347,29992504,NC
-0.8832413,29992505,NC
-0.80905354,29992506,NC
-0.73487043,29992507,NC
-0.6306918,29992508,NC
-0.5265176,29992509,NC
-0.4323479,29992510,NC
-0.35818255,29992511,NC
-0.30902156,29992512,NC
-0.29986486,29992513,NC
-0.29071245,29992514,NC
-0.30656427,29992515,NC
-0.30742028,29992516,NC
-0.30828044,29992517,NC
-0.30914468,29992518,NC
-0.300013,29992519,NC
-0.29088536,29992520,NC
-0.2967617,29992521,NC
-0.28264198,29992522,NC
-0.28852618,29992523,NC
-0.2844142,29992524,NC
-0.26530606,29992525,NC
-0.26620167,29992526,NC
-0.25710106,29992527,NC
-0.24300411,29992528,NC
-0.25391084,29992529,NC
-0.2698211,29992530,NC
-0.265735,29992531,NC
-0.27165237,29992532,NC
-0.28757325,29992533,NC
-0.27849752,29992534,NC
-0.2744252,29992535,NC
-0.27035624,29992536,NC
-0.27129057,29992537,NC
-0.26222816,29992538,NC
-0.27316892,29992539,NC
-0.27411288,29992540,NC
-0.28005996,29992541,NC
-0.2860101,29992542,NC
-0.2769633,29992543,NC
-0.28791946,29992544,NC
-0.29387856,29992545,NC
-0.28984058,29992546,NC
-0.27580544,29992547,NC
-0.26677307,29992548,NC
-0.2627435,29992549,NC
-0.25371665,29992550,NC
-0.25469244,29992551,NC
-0.25567085,29992552,NC
-0.25165182,29992553,NC
-0.25763535,29992554,NC
-0.24362133,29992555,NC
-0.23960976,29992556,NC
-0.23560059,29992557,NC
-0.22159377,29992558,NC
-0.2075892,29992559,NC
-0.19358689,29992560,NC
-0.1695868,29992561,NC
-0.16058883,29992562,NC
-0.136593,29992563,NC
-0.13259919,29992564,NC
-0.1186074,29992565,NC
-0.114617586,29992566,NC
-0.10562967,29992567,NC
-0.091643624,29992568,NC
-0.08265939,29992569,NC
-0.07367694,29992570,NC
-0.059696198,29992571,NC
-0.04571713,29992572,NC
-0.026739687,29992573,NC
-0.03276382,29992574,NC
-0.013789482,29992575,NC
-0.019816618,29992576,NC
-0.020845186,29992577,NC
-0.021875136,29992578,NC
-0.037906416,29992579,NC
-0.048938982,29992580,NC
-0.054972775,29992581,NC
-0.06600777,29992582,NC
-0.07204388,29992583,NC
-0.08308109,29992584,NC
-0.09411934,29992585,NC
