channel_0,sample #,type
2.269612,21533559,N
2.2548373,21533560,NC
2.0334325,21533561,NC
1.6791936,21533562,NC
1.2413195,21533563,NC
0.7690079,21533564,NC
0.32129666,21533565,NC
-0.07721534,21533566,NC
-0.39700922,21533567,NC
-0.67252356,21533568,NC
-0.87915945,21533569,NC
-1.0267564,21533570,NC
-1.075956,21533571,NC
-1.0415176,21533572,NC
-0.93820083,21533573,NC
-0.81520355,21533574,NC
-0.70696443,21533575,NC
-0.63316274,21533576,NC
-0.59871817,21533577,NC
-0.60855067,21533578,NC
-0.6085423,21533579,NC
-0.6134525,21533580,NC
-0.6183614,21533581,NC
-0.63310874,21533582,NC
-0.6478548,21533583,NC
-0.6675195,21533584,NC
-0.67242354,21533585,NC
-0.67732626,21533586,NC
-0.68714756,21533587,NC
-0.68220824,21533588,NC
-0.6920271,21533589,NC
-0.6821655,21533590,NC
-0.70182145,21533591,NC
-0.70179695,21533592,NC
-0.706691,21533593,NC
-0.7017443,21533594,NC
-0.69187653,21533595,NC
-0.70168674,21533596,NC
-0.69181645,21533597,NC
-0.69178456,21533598,NC
-0.69667125,21533599,NC
-0.70155674,21533600,NC
-0.7113607,21533601,NC
-0.71624374,21533602,NC
-0.70636606,21533603,NC
-0.68172777,21533604,NC
-0.66692793,21533605,NC
-0.6373673,21533606,NC
-0.6225649,21533607,NC
-0.6176009,21533608,NC
-0.61755556,21533609,NC
-0.6224287,21533610,NC
-0.6076215,21533611,NC
-0.6026525,21533612,NC
-0.5681636,21533613,NC
-0.53859323,21533614,NC
-0.51394147,21533615,NC
-0.4942083,21533616,NC
-0.48431346,21533617,NC
-0.46949765,21533618,NC
-0.4497608,21533619,NC
-0.42510295,21533620,NC
-0.40044388,21533621,NC
-0.37086377,21533622,NC
-0.34128246,21533623,NC
-0.31169996,21533624,NC
-0.30179542,21533625,NC
-0.27713028,21533626,NC
-0.23278473,21533627,NC
-0.17859836,21533628,NC
-0.13425037,21533629,NC
-0.08006159,21533630,NC
-0.05047063,21533631,NC
-0.03563788,21533632,NC
-0.015884126,21533633,NC
0.013710434,21533634,NC
0.03346659,21533635,NC
0.06798335,21533636,NC
0.10742111,21533637,NC
0.15177986,21533638,NC
0.20597942,21533639,NC
0.22082172,21533640,NC
0.26518404,21533641,NC
0.28494853,21533642,NC
0.3047142,21533643,NC
0.3392405,21533644,NC
0.35408872,21533645,NC
0.37385792,21533646,NC
0.39854813,21533647,NC
0.39864048,21533648,NC
0.3888944,21533649,NC
0.40374854,21533650,NC
0.4038444,21533651,NC
0.41378105,21533652,NC
0.40403962,21533653,NC
0.42381823,21533654,NC
0.418999,21533655,NC
0.4191007,21533656,NC
0.39460453,21533657,NC
0.3602699,21533658,NC
0.33085626,21533659,NC
0.30144376,21533660,NC
0.28679183,21533661,NC
0.27214104,21533662,NC
0.27225083,21533663,NC
0.25760233,21533664,NC
0.24295503,21533665,NC
0.21846923,21533666,NC
0.18414497,21533667,NC
0.14982183,21533668,NC
0.11549983,21533669,NC
0.08117896,21533670,NC
0.061618645,21533671,NC
0.037139665,21533672,NC
0.02250141,21533673,NC
-0.031494156,21533674,NC
-0.046130158,21533675,NC
-0.06568485,21533676,NC
-0.075398795,21533677,NC
-0.09495125,21533678,NC
-0.10466298,21533679,NC
-0.13897263,21533680,NC
-0.15852173,21533681,NC
-0.18790935,21533682,NC
-0.20745625,21533683,NC
-0.21716245,21533684,NC
-0.22194773,21533685,NC
-0.22673193,21533686,NC
-0.2118358,21533687,NC
-0.18709895,21533688,NC
-0.19187987,21533689,NC
-0.1917399,21533690,NC
-0.19159883,21533691,NC
-0.2062161,21533692,NC
-0.21591248,21533693,NC
-0.22068799,21533694,NC
-0.21562278,21533695,NC
-0.20071693,21533696,NC
-0.17597039,21533697,NC
-0.13646336,21533698,NC
-0.101875074,21533699,NC
-0.062365923,21533700,NC
-0.027775522,21533701,NC
0.006815933,21533702,NC
0.046328247,21533703,NC
0.07600201,21533704,NC
0.0909174,21533705,NC
0.100914,21533706,NC
0.09615226,21533707,NC
0.08155194,21533708,NC
0.10631109,21533709,NC
0.11139205,21533710,NC
0.10663443,21533711,NC
0.10187783,21533712,NC
0.08728265,21533713,NC
0.038249858,21533714,NC
-0.025541337,21533715,NC
-0.089331515,21533716,NC
-0.15804048,21533717,NC
-0.21198905,21533718,NC
-0.2511772,21533719,NC
-0.2805247,21533720,NC
-0.29019198,21533721,NC
-0.3047781,21533722,NC
-0.3095236,21533723,NC
-0.30442855,21533724,NC
-0.30917206,21533725,NC
-0.3089948,21533726,NC
-0.30881658,21533727,NC
-0.29879776,21533728,NC
-0.2936978,21533729,NC
-0.30827603,21533730,NC
-0.32777315,21533731,NC
-0.32759008,21533732,NC
-0.33724564,21533733,NC
-0.33706066,21533734,NC
-0.32703513,21533735,NC
-0.31208882,21533736,NC
-0.29222175,21533737,NC
-0.29203296,21533738,NC
-0.29184327,21533739,NC
-0.3014922,21533740,NC
-0.33081946,21533741,NC
-0.33554676,21533742,NC
-0.35503256,21533743,NC
-0.37943724,21533744,NC
-0.36940232,21533745,NC
-0.35444674,21533746,NC
-0.34932983,21533747,NC
-0.31469318,21533748,NC
-0.2357774,21533749,NC
-0.08306363,21533750,NC
0.11392928,21533751,NC
0.38472015,21533752,NC
0.69487035,21533753,NC
1.0640591,21533754,NC
1.452928,21533755,NC
1.836878,21533756,NC
2.132272,21533757,NC
2.2702336,21533758,F
2.2163236,21533759,NC
2.0099003,21533760,NC
1.6952422,21533761,NC
1.3018681,21533762,NC
0.9183344,21533763,NC
0.5446412,21533764,NC
0.23982611,21533765,NC
-0.015790077,21533766,NC
-0.2517262,21533767,NC
-0.49750113,21533768,NC
-0.7039168,21533769,NC
-0.83161473,21533770,NC
-0.8707553,21533771,NC
-0.81149906,21533772,NC
-0.71288353,21533773,NC
-0.6093474,21533774,NC
-0.55008864,21533775,NC
-0.53018767,21533776,NC
-0.5496442,21533777,NC
-0.5691,21533778,NC
-0.62299365,21533779,NC
-0.65228754,21533780,NC
-0.6766607,21533781,NC
-0.681354,21533782,NC
-0.6811267,21533783,NC
-0.67597884,21533784,NC
-0.67574996,21533785,NC
-0.67060053,21533786,NC
-0.6556108,21533787,NC
-0.6750589,21533788,NC
-0.69450635,21533789,NC
-0.7188727,21533790,NC
-0.728479,21533791,NC
-0.74792427,21533792,NC
-0.7476895,21533793,NC
-0.75237375,21533794,NC
-0.73245835,21533795,NC
-0.7322214,21533796,NC
-0.71722436,21533797,NC
-0.7317454,21533798,NC
-0.7364262,21533799,NC
-0.7411063,21533800,NC
-0.7507055,21533801,NC
-0.7504644,21533802,NC
-0.75022256,21533803,NC
-0.7450602,21533804,NC
-0.7300576,21533805,NC
-0.7199742,21533806,NC
-0.7049703,21533807,NC
-0.709645,21533808,NC
-0.69955957,21533809,NC
-0.6894735,21533810,NC
-0.66954714,21533811,NC
-0.65454,21533812,NC
-0.6395322,21533813,NC
-0.619604,21533814,NC
-0.6095147,21533815,NC
-0.59942484,21533816,NC
-0.58933437,21533817,NC
-0.5644838,21533818,NC
-0.5297931,21533819,NC
-0.4951017,21533820,NC
-0.46040973,21533821,NC
-0.43063697,21533822,NC
-0.41070324,21533823,NC
-0.40060854,21533824,NC
-0.37083402,21533825,NC
-0.35581836,21533826,NC
-0.30636346,21533827,NC
-0.26674762,21533828,NC
-0.22713125,21533829,NC
-0.17767467,21533830,NC
-0.13805714,21533831,NC
-0.103358895,21533832,NC
-0.08341951,21533833,NC
-0.04872016,21533834,NC
-0.014020281,21533835,NC
0.025599932,21533836,NC
0.060300868,21533837,NC
0.090082504,21533838,NC
0.11986469,21533839,NC
0.14472753,21533840,NC
0.16959092,21533841,NC
0.1993746,21533842,NC
0.2389984,21533843,NC
0.27370286,21533844,NC
0.3084078,21533845,NC
0.34803304,21533846,NC
0.36797956,21533847,NC
0.37808692,21533848,NC
0.37835512,21533849,NC
0.37862384,21533850,NC
0.38381276,21533851,NC
0.37916255,21533852,NC
0.40403163,21533853,NC
0.41906148,21533854,NC
0.42425224,21533855,NC
0.41960377,21533856,NC
0.41003594,21533857,NC
0.3955487,21533858,NC
0.37614208,21533859,NC
0.3714953,21533860,NC
0.36684895,21533861,NC
0.35728315,21533862,NC
0.3575574,21533863,NC
0.333233,21533864,NC
0.30398917,21533865,NC
0.28458533,21533866,NC
0.27994126,21533867,NC
0.25561836,21533868,NC
0.26081467,21533869,NC
0.24633215,21533870,NC
0.23184992,21533871,NC
0.21244828,21533872,NC
0.18320736,21533873,NC
0.14904697,21533874,NC
0.12472654,21533875,NC
0.09056684,21533876,NC
0.071166866,21533877,NC
0.051767204,21533878,NC
0.052047092,21533879,NC
0.04248767,21533880,NC
0.01816914,21533881,NC
0.0036905212,21533882,NC
-0.02554722,21533883,NC
-0.05478467,21533884,NC
-0.06926242,21533885,NC
-0.0837399,21533886,NC
-0.09329729,21533887,NC
-0.102854416,21533888,NC
-0.10749147,21533889,NC
-0.11704807,21533890,NC
-0.13644403,21533891,NC
-0.12632091,21533892,NC
-0.14079657,21533893,NC
-0.14051259,21533894,NC
-0.13038877,21533895,NC
-0.13010432,21533896,NC
-0.119980045,21533897,NC
-0.10493574,21533898,NC
-0.08989124,21533899,NC
-0.06992672,21533900,NC
-0.020443166,21533901,NC
0.014281168,21533902,NC
0.0588453,21533903,NC
0.10340962,21533904,NC
0.12337509,21533905,NC
0.14826053,21533906,NC
0.14854713,21533907,NC
0.14391407,21533908,NC
0.15896042,21533909,NC
0.1690871,21533910,NC
0.17921391,21533911,NC
0.17950127,21533912,NC
0.16994916,21533913,NC
0.15547737,21533914,NC
0.101647265,21533915,NC
0.047817282,21533916,NC
-0.015852192,21533917,NC
-0.074601755,21533918,NC
-0.12351159,21533919,NC
-0.14290251,21533920,NC
-0.17705275,21533921,NC
-0.20136328,21533922,NC
-0.22567372,21533923,NC
-0.2450643,21533924,NC
-0.26937458,21533925,NC
-0.23956695,21533926,NC
-0.22451869,21533927,NC
-0.21439016,21533928,NC
-0.19442198,21533929,NC
-0.19413295,21533930,NC
-0.21352313,21533931,NC
-0.22307365,21533932,NC
-0.22770432,21533933,NC
-0.22249536,21533934,NC
-0.227126,21533935,NC
-0.221917,21533936,NC
-0.216708,21533937,NC
-0.211499,21533938,NC
-0.21612962,21533939,NC
-0.22568002,21533940,NC
-0.22047104,21533941,NC
-0.21526207,21533942,NC
-0.21989273,21533943,NC
-0.22944322,21533944,NC
-0.24883337,21533945,NC
-0.25346413,21533946,NC
-0.24825533,21533947,NC
-0.16924949,21533948,NC
-0.02628624,21533949,NC
0.21015324,21533950,NC
0.48103133,21533951,NC
0.77650833,21533952,NC
1.1211833,21533953,NC
1.4953771,21533954,NC
1.88433,21533955,NC
2.1896462,21533956,NC
2.3129299,21533957,N
