channel_0,sample #,type
1.1220164,19324662,N
1.1990482,19324663,NC
1.0344056,19324664,NC
0.7155025,19324665,NC
0.36060563,19324666,NC
-0.02000111,19324667,NC
-0.36975557,19324668,NC
-0.57553333,19324669,NC
-0.61676645,19324670,NC
-0.6014371,19324671,NC
-0.6118177,19324672,NC
-0.6530501,19324673,NC
-0.67371434,19324674,NC
-0.6738102,19324675,NC
-0.6224857,19324676,NC
-0.560877,19324677,NC
-0.5609723,19324678,NC
-0.59706134,19324679,NC
-0.6382923,19324680,NC
-0.66923904,19324681,NC
-0.6796175,19324682,NC
-0.6899957,19324683,NC
-0.67980564,19324684,NC
-0.70046747,19324685,NC
-0.690277,19324686,NC
-0.68008626,19324687,NC
-0.6596113,19324688,NC
-0.6597042,19324689,NC
-0.65979683,19324690,NC
-0.68559945,19324691,NC
-0.6754076,19324692,NC
-0.65493155,19324693,NC
-0.63445526,19324694,NC
-0.6448309,19324695,NC
-0.63463825,19324696,NC
-0.6244454,19324697,NC
-0.6296783,19324698,NC
-0.629769,19324699,NC
-0.6401435,19324700,NC
-0.6093817,19324701,NC
-0.61461383,19324702,NC
-0.6198456,19324703,NC
-0.61479324,19324704,NC
-0.6148826,19324705,NC
-0.58926165,19324706,NC
-0.5893506,19324707,NC
-0.5842973,19324708,NC
-0.57410175,19324709,NC
-0.584474,19324710,NC
-0.5897041,19324711,NC
-0.6206441,19324712,NC
-0.6155897,19324713,NC
-0.64138705,19324714,NC
-0.6569003,19324715,NC
-0.66212916,19324716,NC
-0.6724999,19324717,NC
-0.6520183,19324718,NC
-0.6726726,19324719,NC
-0.6676166,19324720,NC
-0.6522764,19324721,NC
-0.652362,19324722,NC
-0.6215952,19324723,NC
-0.58054423,19324724,NC
-0.554919,19324725,NC
-0.5292936,19324726,NC
-0.529378,19324727,NC
-0.5294622,19324728,NC
-0.51412016,19324729,NC
-0.4782098,19324730,NC
-0.45772526,19324731,NC
-0.44238248,19324732,NC
-0.44246554,19324733,NC
-0.4476904,19324734,NC
-0.4220629,19324735,NC
-0.41186124,19324736,NC
-0.40165934,19324737,NC
-0.37088913,19324738,NC
-0.3349767,19324739,NC
-0.31963214,19324740,NC
-0.32485533,19324741,NC
-0.29408422,19324742,NC
-0.2478868,19324743,NC
-0.19140515,19324744,NC
-0.16577534,19324745,NC
-0.15042935,19324746,NC
-0.1350831,19324747,NC
-0.1094526,19324748,NC
-0.08896388,19324749,NC
-0.10961104,19324750,NC
-0.12511596,19324751,NC
-0.15090469,19324752,NC
-0.14584108,19324753,NC
-0.15106124,19324754,NC
-0.15628119,19324755,NC
-0.15635888,19324756,NC
-0.16672038,19324757,NC
-0.1667976,19324758,NC
-0.18744263,19324759,NC
-0.21837147,19324760,NC
-0.26472613,19324761,NC
-0.31622255,19324762,NC
-0.3574347,19324763,NC
-0.38322058,19324764,NC
-0.41414824,19324765,NC
-0.4245076,19324766,NC
-0.46571878,19324767,NC
-0.50692976,19324768,NC
-0.53785646,19324769,NC
-0.56364083,19324770,NC
-0.58428305,19324771,NC
-0.59978294,19324772,NC
-0.6049986,19324773,NC
-0.6307821,19324774,NC
-0.6668494,19324775,NC
-0.69263244,19324776,NC
-0.7029891,19324777,NC
-0.7030615,19324778,NC
-0.69799167,19324779,NC
-0.6980636,19324780,NC
-0.6981353,19324781,NC
-0.7136328,19324782,NC
-0.72913,19324783,NC
-0.729201,19324784,NC
-0.72927177,19324785,NC
-0.7447683,19324786,NC
-0.77054864,19324787,NC
-0.7911867,19324788,NC
-0.78611445,19324789,NC
-0.7604739,19324790,NC
-0.74511707,19324791,NC
-0.7503282,19324792,NC
-0.760681,19324793,NC
-0.8070276,19324794,NC
-0.8225219,19324795,NC
-0.82258993,19324796,NC
-0.81751573,19324797,NC
-0.8124413,19324798,NC
-0.8073665,19324799,NC
-0.80743355,19324800,NC
-0.8023583,19324801,NC
-0.812709,19324802,NC
-0.7922072,19324803,NC
-0.7974152,19324804,NC
-0.80776507,19324805,NC
-0.8386828,19324806,NC
-0.8438901,19324807,NC
-0.81824505,19324808,NC
-0.7617477,19324809,NC
-0.75152826,19324810,NC
-0.7361665,19324811,NC
-0.7567986,19324812,NC
-0.7774305,19324813,NC
-0.79292005,19324814,NC
-0.8032674,19324815,NC
-0.8187566,19324816,NC
-0.8393875,19324817,NC
-0.844592,19324818,NC
-0.8240863,19324819,NC
-0.8190063,19324820,NC
-0.8139261,19324821,NC
-0.8191297,19324822,NC
-0.819191,19324823,NC
-0.84496206,19324824,NC
-0.8501649,19324825,NC
-0.8296574,19324826,NC
-0.80400753,19324827,NC
-0.8143517,19324828,NC
-0.82469547,19324829,NC
-0.85046506,19324830,NC
-0.84538233,19324831,NC
-0.81458926,19324832,NC
-0.78379595,19324833,NC
-0.75300235,19324834,NC
-0.7582027,19324835,NC
-0.8045387,19324836,NC
-0.82516456,19324837,NC
-0.8406481,19324838,NC
-0.83556336,19324839,NC
-0.8253363,19324840,NC
-0.815109,19324841,NC
-0.81002337,19324842,NC
-0.8203637,19324843,NC
-0.80499357,19324844,NC
-0.7741972,19324845,NC
-0.7588266,19324846,NC
-0.75888175,19324847,NC
-0.7692207,19324848,NC
-0.7641334,19324849,NC
-0.7384777,19324850,NC
-0.7282478,19324851,NC
-0.7128757,19324852,NC
-0.7232134,19324853,NC
-0.7489768,19324854,NC
-0.77474,19324855,NC
-0.7747929,19324856,NC
-0.74399334,19324857,NC
-0.7080516,19324858,NC
-0.67725164,19324859,NC
-0.6875875,19324860,NC
-0.677355,19324861,NC
-0.6722643,19324862,NC
-0.6620313,19324863,NC
-0.6775082,19324864,NC
-0.7084108,19324865,NC
-0.7444551,19324866,NC
-0.76507324,19324867,NC
-0.780549,19324868,NC
-0.79602456,19324869,NC
-0.8063578,19324870,NC
-0.8372588,19324871,NC
-0.8475916,19324872,NC
-0.84764004,19324873,NC
-0.83226216,19324874,NC
-0.8220261,19324875,NC
-0.8169317,19324876,NC
-0.81697905,19324877,NC
-0.80674213,19324878,NC
-0.7605109,19324879,NC
-0.7194214,19324880,NC
-0.6526215,19324881,NC
-0.6063894,19324882,NC
-0.54987305,19324883,NC
-0.48821443,19324884,NC
-0.40598747,19324885,NC
-0.3186182,19324886,NC
-0.20553863,19324887,NC
-0.10788481,19324888,NC
-0.030798806,19324889,NC
0.025719402,19324890,NC
0.077095866,19324891,NC
0.1387566,19324892,NC
0.2261277,19324893,NC
0.32892513,19324894,NC
0.39058667,19324895,NC
0.4213964,19324896,NC
0.46249038,19324897,NC
0.5601468,19324898,NC
0.7297918,19324899,NC
0.8737269,19324900,NC
0.9662422,19324901,NC
1.0433317,19324902,NC
1.1409893,19324903,NC
1.2489315,19324904,NC
