channel_0,sample #,type
1.9244349,21515101,N
1.8113617,21515102,NC
1.5245188,21515103,NC
1.0656273,21515104,NC
0.5587209,21515105,NC
0.05155849,21515106,NC
-0.40064374,21515107,NC
-0.7574324,21515108,NC
-1.0416645,21515109,NC
-1.2492987,21515110,NC
-1.3845851,21515111,NC
-1.4307339,21515112,NC
-1.4158217,21515113,NC
-1.3060206,21515114,NC
-1.1856986,21515115,NC
-1.0383333,21515116,NC
-0.95717263,21515117,NC
-0.8935984,21515118,NC
-0.89659566,21515119,NC
-0.8860299,21515120,NC
-0.8898997,21515121,NC
-0.92402685,21515122,NC
-0.9283567,21515123,NC
-0.9141362,21515124,NC
-0.92544675,21515125,NC
-0.9263742,21515126,NC
-0.9394984,21515127,NC
-0.9456063,21515128,NC
-0.9551789,21515129,NC
-0.95729065,21515130,NC
-0.9565273,21515131,NC
-0.9685585,21515132,NC
-0.9594753,21515133,NC
-0.9600884,21515134,NC
-0.96303475,21515135,NC
-0.9495735,21515136,NC
-0.9491941,21515137,NC
-0.93831086,21515138,NC
-0.94244736,21515139,NC
-0.942012,21515140,NC
-0.940374,21515141,NC
-0.93918747,21515142,NC
-0.93815964,21515143,NC
-0.9355914,21515144,NC
-0.91389054,21515145,NC
-0.8816342,21515146,NC
-0.8437637,21515147,NC
-0.82297665,21515148,NC
-0.80639803,21515149,NC
-0.8001125,21515150,NC
-0.8005804,21515151,NC
-0.79890734,21515152,NC
-0.79472464,21515153,NC
-0.79072195,21515154,NC
-0.75291675,21515155,NC
-0.7417892,21515156,NC
-0.698923,21515157,NC
-0.65445644,21515158,NC
-0.6475687,21515159,NC
-0.5908185,21515160,NC
-0.5699775,21515161,NC
-0.5251327,21515162,NC
-0.4992086,21515163,NC
-0.4801537,21515164,NC
-0.44347858,21515165,NC
-0.4103894,21515166,NC
-0.41171646,21515167,NC
-0.39766136,21515168,NC
-0.34880978,21515169,NC
-0.2951241,21515170,NC
-0.24102992,21515171,NC
-0.19082594,21515172,NC
-0.15241966,21515173,NC
-0.10676848,21515174,NC
-0.09679137,21515175,NC
-0.07603662,21515176,NC
-0.047839347,21515177,NC
-0.0025197044,21515178,NC
0.02899692,21515179,NC
0.091927,21515180,NC
0.13705313,21515181,NC
0.16172196,21515182,NC
0.1862563,21515183,NC
0.22370377,21515184,NC
0.26929536,21515185,NC
0.3025558,21515186,NC
0.3098099,21515187,NC
0.32522655,21515188,NC
0.31195965,21515189,NC
0.30849585,21515190,NC
0.30462125,21515191,NC
0.2807914,21515192,NC
0.28621158,21515193,NC
0.2840498,21515194,NC
0.314658,21515195,NC
0.30929697,21515196,NC
0.29509747,21515197,NC
0.27199584,21515198,NC
0.24699262,21515199,NC
0.20612812,21515200,NC
0.18752187,21515201,NC
0.15585625,21515202,NC
0.13511008,21515203,NC
0.13013493,21515204,NC
0.091211595,21515205,NC
0.08431756,21515206,NC
0.030760579,21515207,NC
0.024572285,21515208,NC
-0.004771628,21515209,NC
-0.021989956,21515210,NC
-0.042322155,21515211,NC
-0.07847481,21515212,NC
-0.10442089,21515213,NC
-0.14251009,21515214,NC
-0.17644435,21515215,NC
-0.23456566,21515216,NC
-0.24487284,21515217,NC
-0.259806,21515218,NC
-0.2667602,21515219,NC
-0.25967795,21515220,NC
-0.28489935,21515221,NC
-0.29049826,21515222,NC
-0.3223971,21515223,NC
-0.33751425,21515224,NC
-0.36408934,21515225,NC
-0.34967732,21515226,NC
-0.34206924,21515227,NC
-0.3435859,21515228,NC
-0.33573353,21515229,NC
-0.3470969,21515230,NC
-0.34631044,21515231,NC
-0.34688392,21515232,NC
-0.3383202,21515233,NC
-0.3301713,21515234,NC
-0.3116261,21515235,NC
-0.30437872,21515236,NC
-0.28686082,21515237,NC
-0.27076608,21515238,NC
-0.2423765,21515239,NC
-0.20204176,21515240,NC
-0.16311954,21515241,NC
-0.11176416,21515242,NC
-0.07797271,21515243,NC
-0.033706542,21515244,NC
-0.026040113,21515245,NC
