channel_0,sample #,type
2.256612,21871712,N
2.190389,21871713,NC
1.9307846,21871714,NC
1.5440953,21871715,NC
1.1120378,21871716,NC
0.63477963,21871717,NC
0.1760029,21871718,NC
-0.22664948,21871719,NC
-0.5737694,21871720,NC
-0.84856975,21871721,NC
-1.0571958,21871722,NC
-1.1639202,21871723,NC
-1.1638229,21871724,NC
-1.0679096,21871725,NC
-0.9421146,21871726,NC
-0.82004786,21871727,NC
-0.71454185,21871728,NC
-0.6652568,21871729,NC
-0.6500469,21871730,NC
-0.6692557,21871731,NC
-0.6940917,21871732,NC
-0.7172656,21871733,NC
-0.7410234,21871734,NC
-0.7454076,21871735,NC
-0.73743176,21871736,NC
-0.72030026,21871737,NC
-0.71519876,21871738,NC
-0.70628446,21871739,NC
-0.71115327,21871740,NC
-0.7172577,21871741,NC
-0.7261223,21871742,NC
-0.7434812,21871743,NC
-0.7501925,21871744,NC
-0.77018875,21871745,NC
-0.7819976,21871746,NC
-0.7820616,21871747,NC
-0.78338164,21871748,NC
-0.7758983,21871749,NC
-0.773654,21871750,NC
-0.77423525,21871751,NC
-0.76325125,21871752,NC
-0.7537848,21871753,NC
-0.73812556,21871754,NC
-0.7355758,21871755,NC
-0.7511319,21871756,NC
-0.75206816,21871757,NC
-0.7639852,21871758,NC
-0.74723125,21871759,NC
-0.7438326,21871760,NC
-0.70901185,21871761,NC
-0.68264616,21871762,NC
-0.6615934,21871763,NC
-0.6496417,21871764,NC
-0.64617896,21871765,NC
-0.64541477,21871766,NC
-0.64986676,21871767,NC
-0.64010674,21871768,NC
-0.6185354,21871769,NC
-0.59500563,21871770,NC
-0.5560115,21871771,NC
-0.5259589,21871772,NC
-0.51489246,21871773,NC
-0.49305013,21871774,NC
-0.48906487,21871775,NC
-0.46863678,21871776,NC
-0.43943655,21871777,NC
-0.40058604,21871778,NC
-0.36463866,21871779,NC
-0.32894176,21871780,NC
-0.3078281,21871781,NC
-0.2815297,21871782,NC
-0.26269498,21871783,NC
-0.23578769,21871784,NC
-0.20504451,21871785,NC
-0.16895741,21871786,NC
-0.12173126,21871787,NC
-0.073924154,21871788,NC
-0.050632067,21871789,NC
-0.026919534,21871790,NC
-0.024512427,21871791,NC
0.0010242593,21871792,NC
0.019586543,21871793,NC
0.058539327,21871794,NC
0.09480127,21871795,NC
0.12950294,21871796,NC
0.18167576,21871797,NC
0.22545895,21871798,NC
0.24173519,21871799,NC
0.2661705,21871800,NC
0.27922386,21871801,NC
0.28477228,21871802,NC
0.28354284,21871803,NC
0.29079038,21871804,NC
0.2978235,21871805,NC
0.31242606,21871806,NC
0.29386622,21871807,NC
0.27800813,21871808,NC
0.287665,21871809,NC
0.28701872,21871810,NC
0.28488353,21871811,NC
0.28267983,21871812,NC
0.25983968,21871813,NC
0.22917369,21871814,NC
0.20073675,21871815,NC
0.1568661,21871816,NC
0.13336143,21871817,NC
0.09578758,21871818,NC
0.08187172,21871819,NC
0.066559315,21871820,NC
0.04614245,21871821,NC
0.02861327,21871822,NC
-0.025470335,21871823,NC
-0.056146044,21871824,NC
-0.086800195,21871825,NC
-0.10869712,21871826,NC
-0.123491414,21871827,NC
-0.15337731,21871828,NC
-0.18028058,21871829,NC
-0.21323468,21871830,NC
-0.2359304,21871831,NC
-0.2635232,21871832,NC
-0.2998805,21871833,NC
-0.31769204,21871834,NC
-0.33420655,21871835,NC
-0.3403858,21871836,NC
-0.35930452,21871837,NC
-0.38783696,21871838,NC
-0.41304302,21871839,NC
-0.4446033,21871840,NC
-0.45570457,21871841,NC
-0.47933814,21871842,NC
-0.46857184,21871843,NC
-0.45608044,21871844,NC
-0.45188943,21871845,NC
-0.44289938,21871846,NC
-0.4578686,21871847,NC
-0.4518796,21871848,NC
-0.46966887,21871849,NC
-0.46566576,21871850,NC
-0.47595832,21871851,NC
-0.47344506,21871852,NC
-0.46031767,21871853,NC
-0.45241264,21871854,NC
-0.43364468,21871855,NC
-0.4105982,21871856,NC
-0.4030797,21871857,NC
-0.37510467,21871858,NC
-0.3332678,21871859,NC
-0.2964092,21871860,NC
-0.27988583,21871861,NC
-0.24688946,21871862,NC
-0.23068276,21871863,NC
-0.23309077,21871864,NC
-0.22613594,21871865,NC
-0.20464087,21871866,NC
-0.18356346,21871867,NC
-0.14422913,21871868,NC
-0.10972645,21871869,NC
-0.09111753,21871870,NC
-0.08439287,21871871,NC
-0.09098936,21871872,NC
-0.12276787,21871873,NC
-0.17695048,21871874,NC
-0.2220899,21871875,NC
-0.28590414,21871876,NC
-0.343173,21871877,NC
-0.39428806,21871878,NC
-0.4293483,21871879,NC
-0.47066525,21871880,NC
