channel_0,sample #,type
2.0352914,21666506,N
1.9559691,21666507,NC
1.6952448,21666508,NC
1.2784979,21666509,NC
0.79743373,21666510,NC
0.3003316,21666511,NC
-0.17871618,21666512,NC
-0.5968906,21666513,NC
-0.9287597,21666514,NC
-1.1669143,21666515,NC
-1.2858524,21666516,NC
-1.2942277,21666517,NC
-1.2245699,21666518,NC
-1.0892191,21666519,NC
-0.9688074,21666520,NC
-0.8534882,21666521,NC
-0.805479,21666522,NC
-0.77481115,21666523,NC
-0.7885901,21666524,NC
-0.8244604,21666525,NC
-0.8555331,21666526,NC
-0.8934603,21666527,NC
-0.9161697,21666528,NC
-0.92271614,21666529,NC
-0.9046619,21666530,NC
-0.9121721,21666531,NC
-0.9041005,21666532,NC
-0.9260082,21666533,NC
-0.9332539,21666534,NC
-0.9477839,21666535,NC
-0.94403565,21666536,NC
-0.9553196,21666537,NC
-0.9649231,21666538,NC
-0.9608693,21666539,NC
-0.9548705,21666540,NC
-0.9693244,21666541,NC
-0.9676042,21666542,NC
-0.98855764,21666543,NC
-0.9918565,21666544,NC
-1.0011923,21666545,NC
-0.9870301,21666546,NC
-0.9791276,21666547,NC
-0.97596574,21666548,NC
-0.9774561,21666549,NC
-0.97813576,21666550,NC
-0.98181033,21666551,NC
-0.9834571,21666552,NC
-0.98670864,21666553,NC
-0.9642547,21666554,NC
-0.9606875,21666555,NC
-0.9277797,21666556,NC
-0.91560304,21666557,NC
-0.90541255,21666558,NC
-0.8857772,21666559,NC
-0.8774721,21666560,NC
-0.8669456,21666561,NC
-0.84651303,21666562,NC
-0.8216461,21666563,NC
-0.77711475,21666564,NC
-0.77459633,21666565,NC
-0.7589538,21666566,NC
-0.7515746,21666567,NC
-0.7267259,21666568,NC
-0.70035714,21666569,NC
-0.6713743,21666570,NC
-0.6327027,21666571,NC
-0.58611137,21666572,NC
-0.5391662,21666573,NC
-0.5219243,21666574,NC
-0.47439322,21666575,NC
-0.47924307,21666576,NC
-0.4338665,21666577,NC
-0.3986933,21666578,NC
-0.3503214,21666579,NC
-0.29225424,21666580,NC
-0.24074994,21666581,NC
-0.20590341,21666582,NC
-0.18390687,21666583,NC
-0.15349245,21666584,NC
-0.13145474,21666585,NC
-0.12735103,21666586,NC
-0.09959401,21666587,NC
-0.06166806,21666588,NC
-0.027158305,21666589,NC
-0.001827048,21666590,NC
0.032847732,21666591,NC
0.055470966,21666592,NC
0.07337086,21666593,NC
0.10103979,21666594,NC
0.118464425,21666595,NC
0.13642116,21666596,NC
0.1495754,21666597,NC
0.16026793,21666598,NC
0.1429014,21666599,NC
0.13325974,21666600,NC
0.12006048,21666601,NC
0.10870181,21666602,NC
0.11099096,21666603,NC
0.116243735,21666604,NC
0.11944133,21666605,NC
0.120025724,21666606,NC
0.10846515,21666607,NC
0.07873892,21666608,NC
0.042566862,21666609,NC
0.024899874,21666610,NC
-0.00579546,21666611,NC
-0.0455574,21666612,NC
-0.06534549,21666613,NC
-0.07453415,21666614,NC
-0.086415246,21666615,NC
-0.11676517,21666616,NC
-0.14166151,21666617,NC
-0.17408432,21666618,NC
-0.20535982,21666619,NC
-0.22620992,21666620,NC
-0.22640447,21666621,NC
-0.2495999,21666622,NC
-0.27568445,21666623,NC
-0.28396338,21666624,NC
-0.3392178,21666625,NC
-0.36650315,21666626,NC
-0.36784816,21666627,NC
-0.38713282,21666628,NC
-0.38748288,21666629,NC
-0.38992783,21666630,NC
-0.38853765,21666631,NC
-0.4006186,21666632,NC
-0.4073132,21666633,NC
-0.42533875,21666634,NC
-0.43724155,21666635,NC
-0.444096,21666636,NC
-0.4410833,21666637,NC
-0.43564245,21666638,NC
-0.4382369,21666639,NC
-0.40924707,21666640,NC
-0.42738694,21666641,NC
-0.40736017,21666642,NC
-0.38112015,21666643,NC
-0.37246132,21666644,NC
-0.32687637,21666645,NC
-0.30108657,21666646,NC
-0.28497982,21666647,NC
-0.26861858,21666648,NC
-0.25751385,21666649,NC
-0.26982367,21666650,NC
-0.2539989,21666651,NC
-0.22325277,21666652,NC
-0.19406243,21666653,NC
-0.16515402,21666654,NC
-0.15886717,21666655,NC
-0.18122812,21666656,NC
-0.2017147,21666657,NC
-0.22738528,21666658,NC
-0.27950007,21666659,NC
-0.3334173,21666660,NC
-0.37458932,21666661,NC
-0.42383415,21666662,NC
-0.45468903,21666663,NC
-0.4795224,21666664,NC
-0.51600194,21666665,NC
-0.52849257,21666666,NC
-0.5487158,21666667,NC
-0.56136847,21666668,NC
-0.5514231,21666669,NC
-0.5656319,21666670,NC
-0.5551548,21666671,NC
-0.5589543,21666672,NC
-0.5680458,21666673,NC
-0.5659088,21666674,NC
-0.5837468,21666675,NC
-0.57580954,21666676,NC
-0.5658767,21666677,NC
-0.5608697,21666678,NC
-0.54077494,21666679,NC
-0.5408426,21666680,NC
-0.53378993,21666681,NC
-0.5356098,21666682,NC
-0.55206925,21666683,NC
-0.57849765,21666684,NC
-0.585612,21666685,NC
-0.58498436,21666686,NC
-0.59501636,21666687,NC
