channel_0,sample #,type
2.1561136,21539051,N
2.0976286,21539052,NC
1.8223102,21539053,NC
1.3715535,21539054,NC
0.83621633,21539055,NC
0.27818272,21539056,NC
-0.2681939,21539057,NC
-0.72854435,21539058,NC
-1.132283,21539059,NC
-1.4050225,21539060,NC
-1.5570618,21539061,NC
-1.587951,21539062,NC
-1.5046389,21539063,NC
-1.381369,21539064,NC
-1.2491282,21539065,NC
-1.1443436,21539066,NC
-1.0700653,21539067,NC
-1.0703753,21539068,NC
-1.0891379,21539069,NC
-1.1305803,21539070,NC
-1.1682699,21539071,NC
-1.2024614,21539072,NC
-1.2297499,21539073,NC
-1.2328302,21539074,NC
-1.2327083,21539075,NC
-1.2218024,21539076,NC
-1.2303755,21539077,NC
-1.2285755,21539078,NC
-1.2529855,21539079,NC
-1.2630044,21539080,NC
-1.2603687,21539081,NC
-1.265322,21539082,NC
-1.2602186,21539083,NC
-1.254289,21539084,NC
-1.2722365,21539085,NC
-1.2867767,21539086,NC
-1.291764,21539087,NC
-1.3169242,21539088,NC
-1.3216547,21539089,NC
-1.3180176,21539090,NC
-1.311424,21539091,NC
-1.2936871,21539092,NC
-1.2931888,21539093,NC
-1.2815855,21539094,NC
-1.278947,21539095,NC
-1.2856424,21539096,NC
-1.2708814,21539097,NC
-1.2621516,21539098,NC
-1.2373625,21539099,NC
-1.213217,21539100,NC
-1.2007928,21539101,NC
-1.1799374,21539102,NC
-1.1544588,21539103,NC
-1.1337878,21539104,NC
-1.1195041,21539105,NC
-1.0794573,21539106,NC
-1.0175713,21539107,NC
-0.98581624,21539108,NC
-0.97067606,21539109,NC
-0.9383167,21539110,NC
-0.913122,21539111,NC
-0.8777224,21539112,NC
-0.8112984,21539113,NC
-0.74592376,21539114,NC
-0.69731194,21539115,NC
-0.64162296,21539116,NC
-0.59586895,21539117,NC
-0.54744166,21539118,NC
-0.53148013,21539119,NC
-0.502037,21539120,NC
-0.427008,21539121,NC
-0.39485085,21539122,NC
-0.3215721,21539123,NC
-0.30019978,21539124,NC
-0.2535921,21539125,NC
-0.21963418,21539126,NC
-0.16109976,21539127,NC
-0.119461216,21539128,NC
-0.065322205,21539129,NC
-0.006284078,21539130,NC
0.026768178,21539131,NC
0.053367637,21539132,NC
0.07861449,21539133,NC
0.08317624,21539134,NC
0.07711528,21539135,NC
0.07010823,21539136,NC
0.08534642,21539137,NC
0.09686861,21539138,NC
0.118987076,21539139,NC
0.11021093,21539140,NC
0.09545367,21539141,NC
0.10565112,21539142,NC
0.08494735,21539143,NC
0.07297945,21539144,NC
0.069431834,21539145,NC
0.05331339,21539146,NC
0.02077409,21539147,NC
-0.01229341,21539148,NC
-0.044820048,21539149,NC
-0.0843534,21539150,NC
-0.08954181,21539151,NC
-0.114431515,21539152,NC
-0.13274571,21539153,NC
-0.116800025,21539154,NC
-0.14753261,21539155,NC
-0.16564994,21539156,NC
-0.20202391,21539157,NC
-0.2318889,21539158,NC
-0.2697786,21539159,NC
-0.28630945,21539160,NC
-0.30007386,21539161,NC
-0.31068015,21539162,NC
-0.30902138,21539163,NC
-0.32432273,21539164,NC
-0.36916366,21539165,NC
-0.41020215,21539166,NC
-0.4399307,21539167,NC
-0.49024552,21539168,NC
-0.51040494,21539169,NC
-0.54858017,21539170,NC
-0.55389947,21539171,NC
-0.57390136,21539172,NC
-0.5911665,21539173,NC
-0.5979373,21539174,NC
-0.615941,21539175,NC
-0.60904557,21539176,NC
-0.6091623,21539177,NC
-0.6133315,21539178,NC
-0.5985625,21539179,NC
-0.6147716,21539180,NC
