channel_0,sample #,type
1.4454862,19001959,N
1.345999,19001960,NC
1.0273986,19001961,NC
0.6388585,19001962,NC
0.20541167,19001963,NC
-0.18349199,19001964,NC
-0.41253334,19001965,NC
-0.52684313,19001966,NC
-0.54062724,19001967,NC
-0.5229047,19001968,NC
-0.48780724,19001969,NC
-0.49331343,19001970,NC
-0.47446465,19001971,NC
-0.46929616,19001972,NC
-0.4779305,19001973,NC
-0.4899567,19001974,NC
-0.47417903,19001975,NC
-0.47287944,19001976,NC
-0.47257724,19001977,NC
-0.50122046,19001978,NC
-0.52408165,19001979,NC
-0.49695033,19001980,NC
-0.4645628,19001981,NC
-0.4642441,19001982,NC
-0.47254363,19001983,NC
-0.47439027,19001984,NC
-0.4881723,19001985,NC
-0.4727535,19001986,NC
-0.471787,19001987,NC
-0.46344066,19001988,NC
-0.45918372,19001989,NC
-0.48056617,19001990,NC
-0.46915957,19001991,NC
-0.47834834,19001992,NC
-0.43733472,19001993,NC
-0.4198779,19001994,NC
-0.42859155,19001995,NC
-0.445252,19001996,NC
-0.4368016,19001997,NC
-0.4141046,19001998,NC
-0.41206172,19001999,NC
-0.3982608,19002000,NC
-0.40906414,19002001,NC
-0.40985227,19002002,NC
-0.39751935,19002003,NC
-0.37273908,19002004,NC
-0.37254453,19002005,NC
-0.34969142,19002006,NC
-0.34564987,19002007,NC
-0.3375873,19002008,NC
-0.3454004,19002009,NC
-0.3300619,19002010,NC
-0.32432973,19002011,NC
-0.30105087,19002012,NC
-0.2826231,19002013,NC
-0.28933263,19002014,NC
-0.28082535,19002015,NC
-0.24522203,19002016,NC
-0.2051745,19002017,NC
-0.17397864,19002018,NC
-0.14506681,19002019,NC
-0.14227942,19002020,NC
-0.13088614,19002021,NC
-0.099898934,19002022,NC
-0.06352634,19002023,NC
-0.026605219,19002024,NC
-0.0131440535,19002025,NC
-0.0037567168,19002026,NC
0.016877756,19002027,NC
0.0358746,19002028,NC
0.054186277,19002029,NC
0.06542802,19002030,NC
0.059142888,19002031,NC
0.047215186,19002032,NC
0.02984247,19002033,NC
0.025450706,19002034,NC
0.033832557,19002035,NC
0.004348211,19002036,NC
-0.024624256,19002037,NC
-0.06828559,19002038,NC
-0.12056715,19002039,NC
-0.14356416,19002040,NC
-0.1671954,19002041,NC
-0.19472457,19002042,NC
-0.22626045,19002043,NC
-0.2530196,19002044,NC
-0.2832675,19002045,NC
-0.2953485,19002046,NC
-0.30489486,19002047,NC
-0.31013888,19002048,NC
-0.3382266,19002049,NC
-0.36814645,19002050,NC
-0.38712218,19002051,NC
-0.39552343,19002052,NC
-0.380709,19002053,NC
-0.367773,19002054,NC
-0.38348722,19002055,NC
-0.40745234,19002056,NC
-0.4155386,19002057,NC
-0.40984118,19002058,NC
-0.39860013,19002059,NC
-0.39438802,19002060,NC
-0.38500056,19002061,NC
-0.4252487,19002062,NC
-0.4384176,19002063,NC
-0.42290226,19002064,NC
-0.4000005,19002065,NC
-0.4008829,19002066,NC
-0.41536152,19002067,NC
-0.42988944,19002068,NC
-0.42380482,19002069,NC
-0.40935692,19002070,NC
-0.38945845,19002071,NC
-0.377095,19002072,NC
-0.38330522,19002073,NC
-0.39185774,19002074,NC
-0.40041846,19002075,NC
-0.40019497,19002076,NC
-0.39734504,19002077,NC
-0.3892224,19002078,NC
-0.3980339,19002079,NC
-0.40468106,19002080,NC
-0.39180303,19002081,NC
-0.37142563,19002082,NC
-0.3541802,19002083,NC
-0.3556856,19002084,NC
-0.3565067,19002085,NC
-0.37768272,19002086,NC
-0.386763,19002087,NC
-0.37940398,19002088,NC
-0.35371968,19002089,NC
-0.35569748,19002090,NC
-0.36258268,19002091,NC
-0.35382694,19002092,NC
-0.36811492,19002093,NC
-0.35090804,19002094,NC
-0.35509655,19002095,NC
-0.3528769,19002096,NC
-0.34086114,19002097,NC
-0.35119012,19002098,NC
-0.3466792,19002099,NC
-0.32853487,19002100,NC
-0.31007338,19002101,NC
-0.2922044,19002102,NC
-0.29600888,19002103,NC
-0.2874158,19002104,NC
-0.27600494,19002105,NC
-0.25608703,19002106,NC
-0.24985209,19002107,NC
-0.22531858,19002108,NC
-0.22011757,19002109,NC
-0.23752096,19002110,NC
-0.22070111,19002111,NC
-0.19510539,19002112,NC
-0.17426643,19002113,NC
-0.15670717,19002114,NC
-0.16432513,19002115,NC
-0.16985247,19002116,NC
-0.16761017,19002117,NC
-0.16315238,19002118,NC
-0.17184374,19002119,NC
-0.18484168,19002120,NC
-0.19606955,19002121,NC
-0.20117837,19002122,NC
-0.22100599,19002123,NC
-0.24085741,19002124,NC
-0.24561396,19002125,NC
-0.25698704,19002126,NC
-0.27925712,19002127,NC
-0.30204025,19002128,NC
-0.2988725,19002129,NC
-0.28137264,19002130,NC
-0.29535195,19002131,NC
-0.2672161,19002132,NC
-0.25748143,19002133,NC
-0.22114888,19002134,NC
-0.20262182,19002135,NC
-0.1332336,19002136,NC
-0.034989573,19002137,NC
0.052758798,19002138,NC
0.12931778,19002139,NC
0.18947841,19002140,NC
0.23750927,19002141,NC
0.28950247,19002142,NC
0.38852552,19002143,NC
0.47239912,19002144,NC
0.5496535,19002145,NC
0.5888772,19002146,NC
0.68135625,19002147,NC
0.75269634,19002148,NC
0.8901192,19002149,NC
0.97714883,19002150,NC
1.0785154,19002151,NC
1.1570376,19002152,NC
1.262875,19002153,NC
1.3614489,19002154,NC
1.4459149,19002155,NC
1.5116694,19002156,NC
1.525104,19002157,NC
1.5596786,19002158,NC
1.6055261,19002159,F
1.6828549,19002160,NC
1.7788985,19002161,NC
1.8733106,19002162,NC
1.9459038,19002163,NC
2.0199294,19002164,NC
2.0741405,19002165,NC
2.046579,19002166,NC
1.865328,19002167,NC
1.4959301,19002168,NC
1.1102043,19002169,NC
0.74121886,19002170,NC
0.43548244,19002171,NC
0.172748,19002172,NC
0.006695278,19002173,NC
-0.1296051,19002174,NC
-0.20447388,19002175,NC
-0.30954325,19002176,NC
-0.3644632,19002177,NC
-0.39933562,19002178,NC
-0.41303387,19002179,NC
-0.43054345,19002180,NC
-0.45218015,19002181,NC
-0.4902252,19002182,NC
-0.51820415,19002183,NC
-0.5230349,19002184,NC
-0.5275736,19002185,NC
-0.51672715,19002186,NC
-0.5369884,19002187,NC
-0.554724,19002188,NC
-0.56786585,19002189,NC
-0.5754809,19002190,NC
-0.5498064,19002191,NC
-0.55073357,19002192,NC
-0.5586131,19002193,NC
-0.582779,19002194,NC
-0.5983213,19002195,NC
-0.58353037,19002196,NC
-0.58700204,19002197,NC
-0.5728436,19002198,NC
-0.5879638,19002199,NC
-0.61275375,19002200,NC
-0.6251296,19002201,NC
-0.63150734,19002202,NC
-0.63005435,19002203,NC
-0.6389424,19002204,NC
-0.6479488,19002205,NC
-0.65374154,19002206,NC
-0.67329544,19002207,NC
-0.67018217,19002208,NC
-0.66655356,19002209,NC
-0.68220913,19002210,NC
-0.6838715,19002211,NC
-0.7050291,19002212,NC
-0.7247579,19002213,NC
-0.7142824,19002214,NC
-0.70431614,19002215,NC
-0.71564925,19002216,NC
-0.7147142,19002217,NC
-0.74056005,19002218,NC
-0.75173676,19002219,NC
-0.7375941,19002220,NC
-0.73620117,19002221,NC
-0.7493277,19002222,NC
-0.76261497,19002223,NC
-0.78606015,19002224,NC
-0.77057904,19002225,NC
-0.7725244,19002226,NC
-0.75492847,19002227,NC
-0.7645263,19002228,NC
-0.744835,19002229,NC
-0.7412579,19002230,NC
-0.754885,19002231,NC
