channel_0,sample #,type
2.6439123,21618544,N
2.624646,21618545,NC
2.4106016,21618546,NC
2.0160983,21618547,NC
1.5508415,21618548,NC
1.0153588,21618549,NC
0.48841953,21618550,NC
0.027017986,21618551,NC
-0.36109218,21618552,NC
-0.66590464,21618553,NC
-0.88829815,21618554,NC
-0.9954976,21618555,NC
-1.0092827,21618556,NC
-0.93127894,21618557,NC
-0.7784989,21618558,NC
-0.63079244,21618559,NC
-0.5157646,21618560,NC
-0.42189047,21618561,NC
-0.38787207,21618562,NC
-0.4095841,21618563,NC
-0.43488786,21618564,NC
-0.48551938,21618565,NC
-0.51616144,21618566,NC
-0.52656585,21618567,NC
-0.524076,21618568,NC
-0.53250855,21618569,NC
-0.5029247,21618570,NC
-0.51821214,21618571,NC
-0.51589185,21618572,NC
-0.52232766,21618573,NC
-0.5149742,21618574,NC
-0.50890887,21618575,NC
-0.50907916,21618576,NC
-0.5166457,21618577,NC
-0.52477,21618578,NC
-0.54987895,21618579,NC
-0.5572088,21618580,NC
-0.5470681,21618581,NC
-0.53056675,21618582,NC
-0.50780004,21618583,NC
-0.49057493,21618584,NC
-0.49465415,21618585,NC
-0.47941205,21618586,NC
-0.47153738,21618587,NC
-0.45622304,21618588,NC
-0.42370057,21618589,NC
-0.41850787,21618590,NC
-0.39988992,21618591,NC
-0.39727965,21618592,NC
-0.3574866,21618593,NC
-0.34227735,21618594,NC
-0.32850862,21618595,NC
-0.29646125,21618596,NC
-0.27717227,21618597,NC
-0.23868665,21618598,NC
-0.2148981,21618599,NC
-0.19601242,21618600,NC
-0.16244805,21618601,NC
-0.12913263,21618602,NC
-0.11736112,21618603,NC
-0.09236537,21618604,NC
-0.04900129,21618605,NC
-0.0069107376,21618606,NC
0.056596193,21618607,NC
0.09112117,21618608,NC
0.11093865,21618609,NC
0.16064055,21618610,NC
0.18657127,21618611,NC
0.21602708,21618612,NC
0.25120568,21618613,NC
0.2964268,21618614,NC
0.31591648,21618615,NC
0.3640256,21618616,NC
0.3906643,21618617,NC
0.4163514,21618618,NC
0.4508558,21618619,NC
0.5061422,21618620,NC
0.56367695,21618621,NC
0.59751916,21618622,NC
0.62892646,21618623,NC
0.65973026,21618624,NC
0.6767656,21618625,NC
0.69239,21618626,NC
0.70213413,21618627,NC
0.7179197,21618628,NC
0.7381405,21618629,NC
0.76396424,21618630,NC
0.7548042,21618631,NC
0.7509444,21618632,NC
0.7481566,21618633,NC
0.7395142,21618634,NC
0.7218134,21618635,NC
0.7047749,21618636,NC
0.6887475,21618637,NC
0.6861785,21618638,NC
0.67268205,21618639,NC
0.63962555,21618640,NC
0.6110472,21618641,NC
0.59005404,21618642,NC
0.55651766,21618643,NC
0.54163104,21618644,NC
0.5238129,21618645,NC
0.51365316,21618646,NC
0.4629639,21618647,NC
0.4346592,21618648,NC
0.3958187,21618649,NC
0.33547577,21618650,NC
0.29279727,21618651,NC
0.24730687,21618652,NC
0.23313865,21618653,NC
0.21349955,21618654,NC
0.20137824,21618655,NC
0.16129239,21618656,NC
0.13825734,21618657,NC
0.102818266,21618658,NC
0.062103786,21618659,NC
0.03651134,21618660,NC
0.00011328478,21618661,NC
0.0010635668,21618662,NC
-0.020356957,21618663,NC
-0.03259239,21618664,NC
-0.0546826,21618665,NC
-0.07250543,21618666,NC
-0.081621766,21618667,NC
-0.08032881,21618668,NC
-0.07018562,21618669,NC
