channel_0,sample #,type
1.4469814,26949339,N
1.5731302,26949340,NC
1.6015347,26949341,NC
1.5155857,26949342,NC
1.2371701,26949343,NC
0.82032764,26949344,NC
0.29206812,26949345,NC
-0.1919172,26949346,NC
-0.5721999,26949347,NC
-0.8215434,26949348,NC
-0.9088751,26949349,NC
-0.91067725,26949350,NC
-0.8619966,26949351,NC
-0.80562633,26949352,NC
-0.7282306,26949353,NC
-0.69071776,26949354,NC
-0.6678617,26949355,NC
-0.6631382,26949356,NC
-0.682747,26949357,NC
-0.68964106,26949358,NC
-0.7044275,26949359,NC
-0.71766347,26949360,NC
-0.7254346,26949361,NC
-0.7273306,26949362,NC
-0.7127243,26949363,NC
-0.7054669,26949364,NC
-0.6961249,26949365,NC
-0.70027167,26949366,NC
-0.71205014,26949367,NC
-0.70411617,26949368,NC
-0.71841323,26949369,NC
-0.7251048,26949370,NC
-0.7307901,26949371,NC
-0.73553544,26949372,NC
-0.731006,26949373,NC
-0.7277827,26949374,NC
-0.7253889,26949375,NC
-0.73282766,26949376,NC
-0.7272331,26949377,NC
-0.7333137,26949378,NC
-0.7295206,26949379,NC
-0.73397136,26949380,NC
-0.73916245,26949381,NC
-0.7463345,26949382,NC
-0.7648517,26949383,NC
-0.7708751,26949384,NC
-0.769486,26949385,NC
-0.76832414,26949386,NC
-0.7563289,26949387,NC
-0.7474124,26949388,NC
-0.7614789,26949389,NC
-0.7554383,26949390,NC
-0.77427804,26949391,NC
-0.7839406,26949392,NC
-0.78769,26949393,NC
-0.79927164,26949394,NC
-0.8064389,26949395,NC
-0.8015326,26949396,NC
-0.8016663,26949397,NC
-0.8085707,26949398,NC
-0.814985,26949399,NC
-0.80905056,26949400,NC
-0.8064306,26949401,NC
-0.8037328,26949402,NC
-0.81860816,26949403,NC
-0.8281573,26949404,NC
-0.8348749,26949405,NC
-0.8405206,26949406,NC
-0.84546274,26949407,NC
-0.85576075,26949408,NC
-0.85413253,26949409,NC
-0.8518176,26949410,NC
-0.8458222,26949411,NC
-0.84670883,26949412,NC
-0.8451219,26949413,NC
-0.86365134,26949414,NC
-0.8718704,26949415,NC
-0.8710382,26949416,NC
-0.87148565,26949417,NC
-0.8753961,26949418,NC
-0.89363647,26949419,NC
-0.889603,26949420,NC
-0.8778222,26949421,NC
-0.87128556,26949422,NC
-0.852388,26949423,NC
-0.83854336,26949424,NC
-0.8285451,26949425,NC
-0.81703246,26949426,NC
-0.81296366,26949427,NC
-0.8045002,26949428,NC
-0.7976138,26949429,NC
-0.79675263,26949430,NC
-0.79088676,26949431,NC
-0.7722093,26949432,NC
-0.7332536,26949433,NC
-0.7229624,26949434,NC
-0.70765245,26949435,NC
-0.6722464,26949436,NC
-0.6550243,26949437,NC
-0.6399104,26949438,NC
-0.6299011,26949439,NC
-0.6119879,26949440,NC
-0.6155725,26949441,NC
-0.60022724,26949442,NC
-0.5995231,26949443,NC
-0.58053124,26949444,NC
-0.56676435,26949445,NC
-0.5543033,26949446,NC
-0.53993845,26949447,NC
-0.53015244,26949448,NC
-0.5120276,26949449,NC
-0.50510114,26949450,NC
-0.50362486,26949451,NC
-0.5056033,26949452,NC
-0.508812,26949453,NC
-0.5085414,26949454,NC
-0.52681017,26949455,NC
-0.5337064,26949456,NC
-0.5210739,26949457,NC
-0.51663125,26949458,NC
-0.5116094,26949459,NC
-0.4962611,26949460,NC
-0.49811387,26949461,NC
-0.49418622,26949462,NC
-0.50819504,26949463,NC
-0.50830716,26949464,NC
-0.51289487,26949465,NC
-0.5265422,26949466,NC
-0.52454454,26949467,NC
-0.54150337,26949468,NC
-0.54290766,26949469,NC
-0.5371056,26949470,NC
-0.5343382,26949471,NC
-0.52134246,26949472,NC
-0.52507854,26949473,NC
-0.51217574,26949474,NC
-0.5141923,26949475,NC
-0.5102893,26949476,NC
-0.5287416,26949477,NC
-0.54130936,26949478,NC
-0.5475975,26949479,NC
-0.5587099,26949480,NC
-0.55626786,26949481,NC
-0.5573669,26949482,NC
-0.5527799,26949483,NC
-0.55675906,26949484,NC
-0.5572437,26949485,NC
-0.552303,26949486,NC
-0.5638993,26949487,NC
-0.5649283,26949488,NC
-0.56762254,26949489,NC
-0.57495284,26949490,NC
-0.60176784,26949491,NC
-0.5845438,26949492,NC
-0.58851844,26949493,NC
-0.5881328,26949494,NC
-0.5820573,26949495,NC
-0.58749324,26949496,NC
-0.5815488,26949497,NC
-0.570953,26949498,NC
-0.57912207,26949499,NC
-0.5967899,26949500,NC
-0.59780717,26949501,NC
-0.598667,26949502,NC
-0.60238194,26949503,NC
-0.609364,26949504,NC
-0.5988513,26949505,NC
-0.59373814,26949506,NC
-0.5844481,26949507,NC
-0.56829244,26949508,NC
-0.55020154,26949509,NC
-0.5512334,26949510,NC
-0.5470099,26949511,NC
-0.53572863,26949512,NC
-0.5431144,26949513,NC
-0.5413659,26949514,NC
-0.5470145,26949515,NC
-0.5434762,26949516,NC
-0.5427508,26949517,NC
-0.5243824,26949518,NC
-0.516956,26949519,NC
-0.5120133,26949520,NC
-0.49010178,26949521,NC
-0.47347072,26949522,NC
-0.46520934,26949523,NC
-0.4904119,26949524,NC
-0.4858693,26949525,NC
-0.46519834,26949526,NC
-0.4621788,26949527,NC
-0.4577143,26949528,NC
-0.45319602,26949529,NC
-0.4418388,26949530,NC
-0.4288814,26949531,NC
-0.40039918,26949532,NC
-0.37982753,26949533,NC
-0.37082416,26949534,NC
-0.36112034,26949535,NC
-0.3413265,26949536,NC
-0.34186366,26949537,NC
-0.34305906,26949538,NC
-0.35315973,26949539,NC
-0.34652212,26949540,NC
-0.37724626,26949541,NC
-0.36142093,26949542,NC
-0.3677194,26949543,NC
-0.36840257,26949544,NC
-0.3685226,26949545,NC
-0.36653715,26949546,NC
-0.3826119,26949547,NC
-0.39459673,26949548,NC
-0.39185637,26949549,NC
-0.41856042,26949550,NC
-0.41443127,26949551,NC
-0.43328083,26949552,NC
-0.41811675,26949553,NC
-0.4084307,26949554,NC
-0.4020655,26949555,NC
-0.3769677,26949556,NC
-0.3445029,26949557,NC
-0.30906254,26949558,NC
-0.2634585,26949559,NC
-0.21567382,26949560,NC
-0.16954297,26949561,NC
-0.12869602,26949562,NC
-0.03359384,26949563,NC
0.052558735,26949564,NC
0.14255773,26949565,NC
0.24240127,26949566,NC
0.37789583,26949567,NC
0.49127054,26949568,NC
0.63691837,26949569,NC
0.77923983,26949570,NC
0.9218942,26949571,NC
1.0599487,26949572,NC
1.1759704,26949573,NC
1.2897757,26949574,NC
1.4097898,26949575,NC
1.4966497,26949576,NC
1.5829519,26949577,NC
1.6288098,26949578,F
1.5983253,26949579,NC
1.4968832,26949580,NC
1.3173684,26949581,NC
1.0714797,26949582,NC
0.7614876,26949583,NC
0.42655358,26949584,NC
0.091262266,26949585,NC
-0.26150587,26949586,NC
-0.58146197,26949587,NC
-0.8616531,26949588,NC
-1.0806732,26949589,NC
-1.2066001,26949590,NC
-1.244891,26949591,NC
-1.2198809,26949592,NC
-1.1296988,26949593,NC
-1.0192049,26949594,NC
-0.9390317,26949595,NC
-0.8456338,26949596,NC
-0.8101167,26949597,NC
-0.7803961,26949598,NC
-0.7569616,26949599,NC
-0.7665349,26949600,NC
-0.77822995,26949601,NC
-0.778601,26949602,NC
-0.7780422,26949603,NC
-0.78538877,26949604,NC
-0.7803989,26949605,NC
-0.77471954,26949606,NC
-0.77223116,26949607,NC
-0.77745396,26949608,NC
-0.7842853,26949609,NC
-0.785052,26949610,NC
-0.80705214,26949611,NC
-0.8055235,26949612,NC
-0.7994227,26949613,NC
-0.79608476,26949614,NC
-0.8044797,26949615,NC
-0.8057814,26949616,NC
-0.80880564,26949617,NC
-0.795364,26949618,NC
-0.8113921,26949619,NC
-0.81605285,26949620,NC
-0.8323881,26949621,NC
-0.853101,26949622,NC
-0.86348546,26949623,NC
-0.87273735,26949624,NC
-0.88121706,26949625,NC
-0.8792405,26949626,NC
-0.87996733,26949627,NC
-0.8757827,26949628,NC
-0.8788064,26949629,NC
-0.8865669,26949630,NC
-0.88898265,26949631,NC
-0.89574087,26949632,NC
