channel_0,sample #,type
-0.8482649,5592555,N
-0.81677324,5592556,NC
-0.7771075,5592557,NC
-0.7297747,5592558,NC
-0.69638443,5592559,NC
-0.6688262,5592560,NC
-0.6293404,5592561,NC
-0.58800036,5592562,NC
-0.54328203,5592563,NC
-0.51192474,5592564,NC
-0.50339794,5592565,NC
-0.5004108,5592566,NC
-0.49792808,5592567,NC
-0.48928744,5592568,NC
-0.4799692,5592569,NC
-0.47346655,5592570,NC
-0.47317713,5592571,NC
-0.46733546,5592572,NC
-0.45422167,5592573,NC
-0.4432777,5592574,NC
-0.43357712,5592575,NC
-0.43408695,5592576,NC
-0.4407187,5592577,NC
-0.4406029,5592578,NC
-0.43666685,5592579,NC
-0.4266995,5592580,NC
-0.41603434,5592581,NC
-0.4150508,5592582,NC
-0.42313108,5592583,NC
-0.43063027,5592584,NC
-0.43332636,5592585,NC
-0.43194067,5592586,NC
-0.42197382,5592587,NC
-0.4216141,5592588,NC
-0.42615837,5592589,NC
-0.427096,5592590,NC
-0.42578954,5592591,NC
-0.4189021,5592592,NC
-0.41384524,5592593,NC
-0.4145679,5592594,NC
-0.41605338,5592595,NC
-0.4176975,5592596,NC
-0.4130233,5592597,NC
-0.40115944,5592598,NC
-0.39333493,5592599,NC
-0.3894642,5592600,NC
-0.39090836,5592601,NC
-0.3897457,5592602,NC
-0.3815653,5592603,NC
-0.37362117,5592604,NC
-0.37044817,5592605,NC
-0.37709057,5592606,NC
-0.38691416,5592607,NC
-0.38962597,5592608,NC
-0.384125,5592609,NC
-0.37645894,5592610,NC
-0.37280476,5592611,NC
-0.3710183,5592612,NC
-0.3688679,5592613,NC
-0.36275962,5592614,NC
-0.35766238,5592615,NC
-0.35274693,5592616,NC
-0.34871042,5592617,NC
-0.35366207,5592618,NC
-0.3512575,5592619,NC
-0.34745786,5592620,NC
-0.34588414,5592621,NC
-0.33738142,5592622,NC
-0.3297752,5592623,NC
-0.32331553,5592624,NC
-0.31231362,5592625,NC
-0.30168164,5592626,NC
-0.28884614,5592627,NC
-0.27627054,5592628,NC
-0.2713488,5592629,NC
-0.2706032,5592630,NC
-0.2753537,5592631,NC
-0.27895623,5592632,NC
-0.2776842,5592633,NC
-0.26938453,5592634,NC
-0.262964,5592635,NC
-0.2594204,5592636,NC
-0.25495705,5592637,NC
-0.24772151,5592638,NC
-0.2362733,5592639,NC
-0.22413915,5592640,NC
-0.21072814,5592641,NC
-0.20724525,5592642,NC
-0.2052735,5592643,NC
-0.20202515,5592644,NC
-0.2001755,5592645,NC
-0.19149786,5592646,NC
-0.18082151,5592647,NC
-0.1729616,5592648,NC
-0.16952023,5592649,NC
-0.16477388,5592650,NC
-0.15632106,5592651,NC
-0.14861806,5592652,NC
-0.14079893,5592653,NC
-0.14598063,5592654,NC
-0.16249974,5592655,NC
-0.17540705,5592656,NC
-0.18101174,5592657,NC
-0.17145742,5592658,NC
-0.16293874,5592659,NC
-0.15880598,5592660,NC
-0.1592663,5592661,NC
-0.16179582,5592662,NC
-0.15157917,5592663,NC
-0.1382688,5592664,NC
-0.12691365,5592665,NC
-0.12637089,5592666,NC
-0.1350096,5592667,NC
-0.14544532,5592668,NC
-0.15246756,5592669,NC
-0.1542975,5592670,NC
-0.15154755,5592671,NC
-0.14988099,5592672,NC
-0.15249005,5592673,NC
-0.1502552,5592674,NC
-0.14650974,5592675,NC
-0.14189154,5592676,NC
-0.14589313,5592677,NC
-0.1649726,5592678,NC
-0.18816024,5592679,NC
-0.20775597,5592680,NC
-0.21078317,5592681,NC
-0.20220676,5592682,NC
-0.19181296,5592683,NC
-0.18481228,5592684,NC
-0.18493827,5592685,NC
-0.18469249,5592686,NC
-0.1851796,5592687,NC
-0.18549797,5592688,NC
-0.18659052,5592689,NC
-0.19288048,5592690,NC
-0.20349014,5592691,NC
