channel_0,sample #,type
2.522043,21751384,N
2.39377,21751385,NC
2.0323255,21751386,NC
1.4886466,21751387,NC
0.87570137,21751388,NC
0.2752793,21751389,NC
-0.26218358,21751390,NC
-0.67683226,21751391,NC
-0.97807527,21751392,NC
-1.1938887,21751393,NC
-1.3246704,21751394,NC
-1.3509032,21751395,NC
-1.2838384,21751396,NC
-1.1763302,21751397,NC
-1.0434583,21751398,NC
-0.9175153,21751399,NC
-0.8403562,21751400,NC
-0.82165986,21751401,NC
-0.81359094,21751402,NC
-0.83454686,21751403,NC
-0.86303335,21751404,NC
-0.8670672,21751405,NC
-0.89286035,21751406,NC
-0.89914596,21751407,NC
-0.89246845,21751408,NC
-0.88147676,21751409,NC
-0.8773488,21751410,NC
-0.88996375,21751411,NC
-0.9008531,21751412,NC
-0.92582184,21751413,NC
-0.94443256,21751414,NC
-0.95685863,21751415,NC
-0.9505274,21751416,NC
-0.930286,21751417,NC
-0.9064977,21751418,NC
-0.9142165,21751419,NC
-0.91962206,21751420,NC
-0.9040068,21751421,NC
-0.9141547,21751422,NC
-0.9072667,21751423,NC
-0.91157365,21751424,NC
-0.88290805,21751425,NC
-0.8817653,21751426,NC
-0.8605352,21751427,NC
-0.8604868,21751428,NC
-0.8599641,21751429,NC
-0.83426994,21751430,NC
-0.8471499,21751431,NC
-0.8255457,21751432,NC
-0.7995578,21751433,NC
-0.7827519,21751434,NC
-0.7625475,21751435,NC
-0.74476177,21751436,NC
-0.7295018,21751437,NC
-0.7216558,21751438,NC
-0.7007525,21751439,NC
-0.67075545,21751440,NC
-0.6184391,21751441,NC
-0.5732788,21751442,NC
-0.54028326,21751443,NC
-0.5122765,21751444,NC
-0.46999216,21751445,NC
-0.4663159,21751446,NC
-0.4728814,21751447,NC
-0.43988392,21751448,NC
-0.4049334,21751449,NC
-0.34206304,21751450,NC
-0.2922692,21751451,NC
-0.27062863,21751452,NC
-0.24069265,21751453,NC
-0.1975495,21751454,NC
-0.19629176,21751455,NC
-0.15711567,21751456,NC
-0.1062419,21751457,NC
-0.07420583,21751458,NC
-0.031737514,21751459,NC
0.008158539,21751460,NC
0.008156715,21751461,NC
0.033263158,21751462,NC
0.061869264,21751463,NC
0.099443085,21751464,NC
0.14412561,21751465,NC
0.17832752,21751466,NC
0.21493165,21751467,NC
0.23941907,21751468,NC
0.24113718,21751469,NC
0.25704426,21751470,NC
0.24632208,21751471,NC
0.26383355,21751472,NC
0.2693394,21751473,NC
0.27447417,21751474,NC
0.29055542,21751475,NC
0.28610992,21751476,NC
0.27161354,21751477,NC
0.2644926,21751478,NC
0.23839098,21751479,NC
