channel_0,sample #,type
1.655,16716478,A
1.6400001,16716479,NC
1.575,16716480,NC
1.4166667,16716481,NC
1.1700001,16716482,NC
0.8683334,16716483,NC
0.5866667,16716484,NC
0.36833334,16716485,NC
0.22166666,16716486,NC
0.11,16716487,NC
0.01666667,16716488,NC
-0.05666667,16716489,NC
-0.101666674,16716490,NC
-0.12166667,16716491,NC
-0.13666667,16716492,NC
-0.15666667,16716493,NC
-0.19333333,16716494,NC
-0.22666666,16716495,NC
-0.25166667,16716496,NC
-0.26166666,16716497,NC
-0.26500002,16716498,NC
-0.27,16716499,NC
-0.28333336,16716500,NC
-0.3,16716501,NC
-0.31166667,16716502,NC
-0.31166667,16716503,NC
-0.305,16716504,NC
-0.305,16716505,NC
-0.30833334,16716506,NC
-0.3216667,16716507,NC
-0.33,16716508,NC
-0.33333334,16716509,NC
-0.32666668,16716510,NC
-0.32166666,16716511,NC
-0.32500002,16716512,NC
-0.33333334,16716513,NC
-0.335,16716514,NC
-0.33166668,16716515,NC
-0.31666666,16716516,NC
-0.30833334,16716517,NC
-0.30166668,16716518,NC
-0.30833334,16716519,NC
-0.31166667,16716520,NC
-0.30333334,16716521,NC
-0.2916667,16716522,NC
-0.27666667,16716523,NC
-0.275,16716524,NC
-0.275,16716525,NC
-0.27666667,16716526,NC
-0.26833335,16716527,NC
-0.25,16716528,NC
-0.24,16716529,NC
-0.23666668,16716530,NC
-0.24333334,16716531,NC
-0.23833334,16716532,NC
-0.22833334,16716533,NC
-0.20833334,16716534,NC
-0.19333334,16716535,NC
-0.18166667,16716536,NC
-0.18,16716537,NC
-0.17666668,16716538,NC
-0.16333334,16716539,NC
-0.14500001,16716540,NC
-0.12833333,16716541,NC
-0.12,16716542,NC
-0.11833333,16716543,NC
-0.111666664,16716544,NC
-0.10000001,16716545,NC
-0.08166667,16716546,NC
-0.06666666,16716547,NC
-0.056666665,16716548,NC
-0.05166667,16716549,NC
-0.043333337,16716550,NC
-0.026666667,16716551,NC
-0.013333334,16716552,NC
-0.008333333,16716553,NC
-0.016666666,16716554,NC
-0.025,16716555,NC
-0.03333333,16716556,NC
