channel_0,sample #,type
1.2457414,5861075,L
1.2257409,5861076,NC
1.1657397,5861077,NC
1.0685947,5861078,NC
0.93716323,5861079,NC
0.7857314,5861080,NC
0.6542999,5861081,NC
0.5428689,5861082,NC
0.41715193,5861083,NC
0.26286286,5861084,NC
0.102859385,5861085,NC
-0.060001303,5861086,NC
-0.237148,5861087,NC
-0.41715193,5861088,NC
-0.5942986,5861089,NC
-0.7400161,5861090,NC
-0.8428754,5861091,NC
-0.905734,5861092,NC
-0.94287765,5861093,NC
-0.9885929,5861094,NC
-1.0285938,5861095,NC
-1.0400226,5861096,NC
-1.0228794,5861097,NC
-1.0000217,5861098,NC
-0.99716455,5861099,NC
-0.99430734,5861100,NC
-0.9885929,5861101,NC
-0.95716363,5861102,NC
-0.89430517,5861103,NC
-0.8400183,5861104,NC
-0.8057318,5861105,NC
-0.7885886,5861106,NC
-0.78287417,5861107,NC
-0.77144533,5861108,NC
-0.73715883,5861109,NC
-0.70001525,5861110,NC
-0.67144316,5861111,NC
-0.6571571,5861112,NC
-0.6542999,5861113,NC
-0.64001393,5861114,NC
-0.6228707,5861115,NC
-0.60572743,5861116,NC
-0.5942986,5861117,NC
-0.600013,5861118,NC
-0.6085847,5861119,NC
-0.6114419,5861120,NC
-0.60572743,5861121,NC
-0.6028702,5861122,NC
-0.6085847,5861123,NC
-0.6200135,5861124,NC
-0.64001393,5861125,NC
-0.64287114,5861126,NC
-0.6285851,5861127,NC
-0.6285851,5861128,NC
-0.6371567,5861129,NC
-0.64001393,5861130,NC
-0.6485855,5861131,NC
-0.6542999,5861132,NC
-0.64572835,5861133,NC
-0.64287114,5861134,NC
-0.64287114,5861135,NC
-0.6514427,5861136,NC
-0.66287154,5861137,NC
-0.66001433,5861138,NC
-0.6514427,5861139,NC
-0.64001393,5861140,NC
-0.6314423,5861141,NC
-0.6371567,5861142,NC
-0.64572835,5861143,NC
-0.64572835,5861144,NC
-0.6342995,5861145,NC
-0.61144185,5861146,NC
-0.6028702,5861147,NC
-0.61144185,5861148,NC
-0.6200135,5861149,NC
-0.61144185,5861150,NC
-0.5942986,5861151,NC
-0.5742982,5861152,NC
-0.557155,5861153,NC
-0.5542978,5861154,NC
-0.5514406,5861155,NC
-0.53429735,5861156,NC
-0.5085825,5861157,NC
-0.49143925,5861158,NC
-0.47715324,5861159,NC
-0.4657244,5861160,NC
-0.46001,5861161,NC
-0.44286674,5861162,NC
-0.42000914,5861163,NC
-0.40000874,5861164,NC
-0.3828655,5861165,NC
-0.37143663,5861166,NC
-0.36286503,5861167,NC
-0.3428646,5861168,NC
-0.3114353,5861169,NC
-0.2885777,5861170,NC
-0.2742917,5861171,NC
-0.26286283,5861172,NC
-0.24857683,5861173,NC
-0.23429081,5861174,NC
-0.21429038,5861175,NC
-0.18857552,5861176,NC
-0.16857511,5861177,NC
-0.15714628,5861178,NC
-0.15714628,5861179,NC
-0.14857465,5861180,NC
-0.12857422,5861181,NC
-0.11428819,5861182,NC
-0.09143056,5861183,NC
-0.077144526,5861184,NC
-0.08000174,5861185,NC
-0.08000174,5861186,NC
-0.06857292,5861187,NC
-0.051429693,5861188,NC
-0.048572484,5861189,NC
-0.0571441,5861190,NC
-0.074287325,5861191,NC
-0.071430124,5861192,NC
-0.048572484,5861193,NC
-0.037143663,5861194,NC
-0.04000087,5861195,NC
-0.048572484,5861196,NC
-0.06285851,5861197,NC
-0.074287325,5861198,NC
-0.06571571,5861199,NC
-0.0571441,5861200,NC
-0.060001306,5861201,NC
-0.06285851,5861202,NC
-0.06285851,5861203,NC
-0.06571571,5861204,NC
-0.054286893,5861205,NC
-0.04000087,5861206,NC
-0.037143663,5861207,NC
-0.034286458,5861208,NC
-0.037143663,5861209,NC
-0.048572484,5861210,NC
-0.04571528,5861211,NC
-0.037143663,5861212,NC
-0.04000087,5861213,NC
-0.042858075,5861214,NC
-0.051429693,5861215,NC
-0.048572484,5861216,NC
