channel_0,sample #,type
2.4117246,21547681,N
2.3305147,21547682,NC
2.1555538,21547683,NC
1.8668433,21547684,NC
1.4743825,21547685,NC
1.0269216,21547686,NC
0.5757105,21547687,NC
0.15324916,21547688,NC
-0.21796231,21547689,NC
-0.51417387,21547690,NC
-0.7291357,21547691,NC
-0.84909767,21547692,NC
-0.87280977,21547693,NC
-0.8165221,21547694,NC
-0.7139846,21547695,NC
-0.60019726,21547696,NC
-0.50891,21547697,NC
-0.45637298,21547698,NC
-0.44383618,21547699,NC
-0.45629948,21547700,NC
-0.47876292,21547701,NC
-0.49872655,21547702,NC
-0.50869036,21547703,NC
-0.5149044,21547704,NC
-0.51736856,21547705,NC
-0.5235829,21547706,NC
-0.5347973,21547707,NC
-0.5472621,21547708,NC
-0.55597687,21547709,NC
-0.5584418,21547710,NC
-0.55465704,21547711,NC
-0.55462235,21547712,NC
-0.55083793,21547713,NC
-0.55330354,21547714,NC
-0.56326944,21547715,NC
-0.5694854,21547716,NC
-0.5832016,21547717,NC
-0.59316796,21547718,NC
-0.59563446,21547719,NC
-0.59810114,21547720,NC
-0.5968181,21547721,NC
-0.594285,21547722,NC
-0.5942523,21547723,NC
-0.59046966,21547724,NC
-0.5829372,21547725,NC
-0.5716549,21547726,NC
-0.5566228,21547727,NC
-0.54034084,21547728,NC
-0.52905905,21547729,NC
-0.52152747,21547730,NC
-0.517746,21547731,NC
-0.5189647,21547732,NC
-0.51393366,21547733,NC
-0.50140274,21547734,NC
-0.48137197,21547735,NC
-0.45134133,21547736,NC
-0.4188109,21547737,NC
-0.38878068,21547738,NC
-0.3600006,21547739,NC
-0.33372068,21547740,NC
-0.308691,21547741,NC
-0.28241143,21547742,NC
-0.24988206,21547743,NC
-0.21610278,21547744,NC
-0.17982376,21547745,NC
-0.14604488,21547746,NC
-0.11226615,21547747,NC
-0.07598762,21547748,NC
-0.038459256,21547749,NC
0.006568961,21547750,NC
0.05284697,21547751,NC
0.09537484,21547752,NC
0.13665253,21547753,NC
0.17293005,21547754,NC
0.20920739,21547755,NC
0.24673456,21547756,NC
0.28676155,21547757,NC
0.3330384,21547758,NC
0.37806502,21547759,NC
0.42434156,21547760,NC
0.46311787,21547761,NC
0.494394,21547762,NC
0.52317,21547763,NC
0.5456958,21547764,NC
0.57072145,21547765,NC
0.5907469,21547766,NC
0.60577214,21547767,NC
0.6170473,21547768,NC
0.6195722,21547769,NC
0.617097,21547770,NC
0.60962164,21547771,NC
0.60339606,21547772,NC
0.5996703,21547773,NC
0.60219437,21547774,NC
0.6072183,21547775,NC
0.6084921,21547776,NC
0.59976566,21547777,NC
0.582289,21547778,NC
0.5535622,21547779,NC
0.52483535,21547780,NC
0.4986082,21547781,NC
0.4761309,21547782,NC
0.46490347,21547783,NC
0.4499258,21547784,NC
0.44119802,21547785,NC
0.42372003,21547786,NC
0.39999193,21547787,NC
0.3750136,21547788,NC
0.34253508,21547789,NC
0.31505644,21547790,NC
0.2863276,21547791,NC
0.2663486,21547792,NC
0.2451194,21547793,NC
0.22264005,21547794,NC
0.20016053,21547795,NC
0.16893084,21547796,NC
0.14395097,21547797,NC
0.12522092,21547798,NC
0.11024071,21547799,NC
0.10151032,21547800,NC
0.09027977,21547801,NC
0.07529904,21547802,NC
0.05531814,21547803,NC
0.032837063,21547804,NC
0.010355808,21547805,NC
-0.007125601,21547806,NC
-0.015857205,21547807,NC
-0.014588967,21547808,NC
-0.0095709115,21547809,NC
-0.005803019,21547810,NC
-0.002035305,21547811,NC
-0.009517744,21547812,NC
-0.015750393,21547813,NC
-0.019483209,21547814,NC
-0.019466177,21547815,NC
-0.0056993216,21547816,NC
0.01806736,21547817,NC
0.04808387,21547818,NC
0.0831002,21547819,NC
0.11686636,21547820,NC
0.14188235,21547821,NC
0.16689816,21547822,NC
0.1881638,21547823,NC
0.20442927,21547824,NC
0.22694457,21547825,NC
0.24570967,21547826,NC
0.25572464,21547827,NC
