channel_0,sample #,type
2.050347,21514706,N
2.029065,21514707,NC
1.8939749,21514708,NC
1.5951031,21514709,NC
1.1875185,21514710,NC
0.7165333,21514711,NC
0.24016583,21514712,NC
-0.20457186,21514713,NC
-0.5884848,21514714,NC
-0.9053794,21514715,NC
-1.1639404,21514716,NC
-1.3166817,21514717,NC
-1.3763998,21514718,NC
-1.3652886,21514719,NC
-1.2663782,21514720,NC
-1.159815,21514721,NC
-1.0648513,21514722,NC
-0.9969638,21514723,NC
-0.9675382,21514724,NC
-0.9413893,21514725,NC
-0.9453234,21514726,NC
-0.9597465,21514727,NC
-0.9767442,21514728,NC
-1.0011462,21514729,NC
-1.026117,21514730,NC
-1.0452138,21514731,NC
-1.0600133,21514732,NC
-1.0584439,21514733,NC
-1.0635642,21514734,NC
-1.0570103,21514735,NC
-1.0637044,21514736,NC
-1.0721734,21514737,NC
-1.0733176,21514738,NC
-1.0969797,21514739,NC
-1.1078297,21514740,NC
-1.0976849,21514741,NC
-1.1077249,21514742,NC
-1.0941497,21514743,NC
-1.0910518,21514744,NC
-1.1178346,21514745,NC
-1.1406869,21514746,NC
-1.1751926,21514747,NC
-1.1562884,21514748,NC
-1.1506984,21514749,NC
-1.1363394,21514750,NC
-1.1175562,21514751,NC
-1.0903176,21514752,NC
-1.0857166,21514753,NC
-1.0963293,21514754,NC
-1.0993898,21514755,NC
-1.0825111,21514756,NC
-1.0634732,21514757,NC
-1.0436621,21514758,NC
-1.029428,21514759,NC
-1.0229448,21514760,NC
-1.0008107,21514761,NC
-1.0002886,21514762,NC
-0.9586803,21514763,NC
-0.9490846,21514764,NC
-0.9126537,21514765,NC
-0.8743395,21514766,NC
-0.8516749,21514767,NC
-0.82189095,21514768,NC
-0.8079701,21514769,NC
-0.7870518,21514770,NC
-0.7759933,21514771,NC
-0.74492145,21514772,NC
-0.71028,21514773,NC
-0.67010784,21514774,NC
-0.6227549,21514775,NC
-0.571463,21514776,NC
-0.51974267,21514777,NC
-0.4761745,21514778,NC
-0.46343338,21514779,NC
-0.43734026,21514780,NC
-0.39782047,21514781,NC
-0.35350704,21514782,NC
-0.3143275,21514783,NC
-0.2519607,21514784,NC
-0.21844485,21514785,NC
-0.18696466,21514786,NC
-0.1553266,21514787,NC
-0.13210323,21514788,NC
-0.09238897,21514789,NC
-0.050309267,21514790,NC
-0.007914702,21514791,NC
0.0013090158,21514792,NC
0.050189577,21514793,NC
0.053971514,21514794,NC
0.07653393,21514795,NC
0.08489781,21514796,NC
0.09440144,21514797,NC
0.11499085,21514798,NC
0.1396837,21514799,NC
0.14013112,21514800,NC
0.1620246,21514801,NC
0.17137606,21514802,NC
0.15783764,21514803,NC
0.14851934,21514804,NC
0.12370113,21514805,NC
0.107735924,21514806,NC
0.09624527,21514807,NC
0.07581458,21514808,NC
0.07518858,21514809,NC
0.07088335,21514810,NC
0.07809276,21514811,NC
0.06630157,21514812,NC
0.03710624,21514813,NC
0.0019336389,21514814,NC
-0.042013764,21514815,NC
-0.05457857,21514816,NC
-0.06540494,21514817,NC
-0.07834947,21514818,NC
-0.11025252,21514819,NC
-0.14935179,21514820,NC
-0.17415333,21514821,NC
-0.19215085,21514822,NC
-0.2146773,21514823,NC
-0.21810117,21514824,NC
-0.238861,21514825,NC
-0.24832939,21514826,NC
-0.25763586,21514827,NC
-0.29224354,21514828,NC
-0.33092928,21514829,NC
-0.36542988,21514830,NC
-0.40230364,21514831,NC
-0.41195154,21514832,NC
-0.42461827,21514833,NC
-0.42538303,21514834,NC
-0.42801374,21514835,NC
-0.4257374,21514836,NC
-0.44329962,21514837,NC
-0.45834056,21514838,NC
-0.47345817,21514839,NC
-0.48065028,21514840,NC
-0.49610704,21514841,NC
-0.49544886,21514842,NC
-0.5047307,21514843,NC
-0.5086197,21514844,NC
-0.48739517,21514845,NC
-0.47408915,21514846,NC
-0.4549672,21514847,NC
-0.42285213,21514848,NC
-0.38080996,21514849,NC
-0.35036018,21514850,NC
-0.30175748,21514851,NC
-0.2757502,21514852,NC
-0.2631429,21514853,NC
-0.26447093,21514854,NC
-0.2637352,21514855,NC
-0.25468737,21514856,NC
-0.2393289,21514857,NC
-0.22253394,21514858,NC
-0.21686128,21514859,NC
-0.23279172,21514860,NC
-0.23986478,21514861,NC
-0.2773342,21514862,NC
-0.33807078,21514863,NC
-0.39754513,21514864,NC
-0.44731215,21514865,NC
-0.49970955,21514866,NC
-0.5476625,21514867,NC
-0.5759351,21514868,NC
-0.6032716,21514869,NC
-0.62745297,21514870,NC
-0.6468974,21514871,NC
-0.65474826,21514872,NC
-0.64436644,21514873,NC
-0.63589627,21514874,NC
-0.6231338,21514875,NC
-0.62499195,21514876,NC
-0.64226127,21514877,NC
-0.656217,21514878,NC
-0.66633224,21514879,NC
-0.67026556,21514880,NC
-0.6536336,21514881,NC
-0.64418095,21514882,NC
-0.6599189,21514883,NC
-0.65615314,21514884,NC
-0.6857692,21514885,NC
-0.70592904,21514886,NC
-0.7215148,21514887,NC
-0.6808053,21514888,NC
-0.6345882,21514889,NC
-0.5436733,21514890,NC
-0.41036412,21514891,NC
-0.25212967,21514892,NC
-0.08968706,21514893,NC
0.067516625,21514894,NC
0.23472488,21514895,NC
0.3986535,21514896,NC
0.58988553,21514897,NC
0.8072371,21514898,NC
1.059006,21514899,NC
1.2983869,21514900,NC
1.5325208,21514901,NC
1.7411343,21514902,NC
1.9515482,21514903,NC
2.13074,21514904,NC
2.3179233,21514905,NC
2.432682,21514906,F
2.4434857,21514907,NC
2.3842957,21514908,NC
2.2138133,21514909,NC
1.9288068,21514910,NC
1.5341945,21514911,NC
1.0982696,21514912,NC
0.6719459,21514913,NC
0.26225793,21514914,NC
-0.12697425,21514915,NC
-0.44041863,21514916,NC
-0.7015895,21514917,NC
-0.8687351,21514918,NC
-0.96065867,21514919,NC
-0.9707924,21514920,NC
-0.9424418,21514921,NC
-0.9234391,21514922,NC
-0.9020951,21514923,NC
-0.91704893,21514924,NC
-0.93910587,21514925,NC
-0.9675536,21514926,NC
-0.98936707,21514927,NC
-1.036411,21514928,NC
-1.0616693,21514929,NC
-1.0833575,21514930,NC
-1.1045144,21514931,NC
-1.1026003,21514932,NC
-1.0943241,21514933,NC
-1.0950513,21514934,NC
-1.1225665,21514935,NC
-1.1295915,21514936,NC
-1.1486684,21514937,NC
-1.1693485,21514938,NC
-1.2084978,21514939,NC
-1.2095045,21514940,NC
-1.2110761,21514941,NC
-1.2071129,21514942,NC
-1.2033873,21514943,NC
-1.2070687,21514944,NC
-1.2091072,21514945,NC
-1.2290701,21514946,NC
-1.2337438,21514947,NC
-1.2322726,21514948,NC
-1.2622237,21514949,NC
-1.2796477,21514950,NC
-1.2941878,21514951,NC
-1.2967892,21514952,NC
-1.29967,21514953,NC
-1.2877184,21514954,NC
-1.2836527,21514955,NC
-1.270231,21514956,NC
-1.2454491,21514957,NC
-1.2244071,21514958,NC
-1.2391398,21514959,NC
-1.2321007,21514960,NC
-1.2395006,21514961,NC
-1.2481204,21514962,NC
-1.2565882,21514963,NC
-1.2541707,21514964,NC
-1.2325324,21514965,NC
-1.220302,21514966,NC
-1.1983408,21514967,NC
-1.1693465,21514968,NC
-1.1399124,21514969,NC
-1.1219374,21514970,NC
-1.0929023,21514971,NC
-1.0627904,21514972,NC
-1.0193565,21514973,NC
-0.98079675,21514974,NC
-0.9385068,21514975,NC
-0.89703655,21514976,NC
-0.86775213,21514977,NC
-0.8246291,21514978,NC
-0.79527056,21514979,NC
-0.7541727,21514980,NC
-0.70540106,21514981,NC
-0.6674871,21514982,NC
-0.6184098,21514983,NC
-0.5881472,21514984,NC
-0.54892,21514985,NC
-0.52822816,21514986,NC
-0.4937358,21514987,NC
-0.44462693,21514988,NC
-0.40196684,21514989,NC
-0.34120113,21514990,NC
-0.28740582,21514991,NC
-0.24875006,21514992,NC
-0.21566822,21514993,NC
-0.20108967,21514994,NC
-0.17583586,21514995,NC
-0.16378333,21514996,NC
-0.16456416,21514997,NC
-0.13699475,21514998,NC
-0.14481841,21514999,NC
-0.13131887,21515000,NC
-0.13687715,21515001,NC
-0.12581451,21515002,NC
