channel_0,sample #,type
1.5573972,19142160,N
1.5480517,19142161,NC
1.4080652,19142162,NC
1.0861129,19142163,NC
0.6868348,19142164,NC
0.29613748,19142165,NC
-0.017725924,19142166,NC
-0.2003737,19142167,NC
-0.2717507,19142168,NC
-0.27878204,19142169,NC
-0.27332672,19142170,NC
-0.27708095,19142171,NC
-0.27204457,19142172,NC
-0.26188105,19142173,NC
-0.26419777,19142174,NC
-0.27110153,19142175,NC
-0.26672333,19142176,NC
-0.26738313,19142177,NC
-0.27444878,19142178,NC
-0.29989228,19142179,NC
-0.31505114,19142180,NC
-0.2973659,19142181,NC
-0.28504586,19142182,NC
-0.27719778,19142183,NC
-0.29450718,19142184,NC
-0.3022656,19142185,NC
-0.29476222,19142186,NC
-0.29348856,19142187,NC
-0.28321648,19142188,NC
-0.27640387,19142189,NC
-0.28375733,19142190,NC
-0.29777282,19142191,NC
-0.30106786,19142192,NC
-0.2833403,19142193,NC
-0.26162872,19142194,NC
-0.2496483,19142195,NC
-0.2526972,19142196,NC
-0.27190757,19142197,NC
-0.27368376,19142198,NC
-0.25366616,19142199,NC
-0.24103436,19142200,NC
-0.23119673,19142201,NC
-0.24246061,19142202,NC
-0.2409355,19142203,NC
-0.25284764,19142204,NC
-0.2374413,19142205,NC
-0.2121426,19142206,NC
-0.19403973,19142207,NC
-0.19720773,19142208,NC
-0.19967015,19142209,NC
-0.19526821,19142210,NC
-0.18609987,19142211,NC
-0.16415839,19142212,NC
-0.14879946,19142213,NC
-0.15357098,19142214,NC
-0.14557205,19142215,NC
-0.1375931,19142216,NC
-0.1320205,19142217,NC
-0.093411066,19142218,NC
-0.07956393,19142219,NC
-0.0738256,19142220,NC
-0.075013265,19142221,NC
-0.07563261,19142222,NC
-0.06358576,19142223,NC
-0.03371798,19142224,NC
-0.005919748,19142225,NC
-0.004364527,19142226,NC
0.0073625073,19142227,NC
0.0115712285,19142228,NC
0.035557542,19142229,NC
0.069420464,19142230,NC
0.08982112,19142231,NC
0.08875316,19142232,NC
0.09290991,19142233,NC
0.100028574,19142234,NC
0.13457854,19142235,NC
0.15398452,19142236,NC
0.16557527,19142237,NC
0.15712893,19142238,NC
0.16190138,19142239,NC
0.17494364,19142240,NC
0.19581193,19142241,NC
0.21186478,19142242,NC
0.23401095,19142243,NC
0.21642202,19142244,NC
0.19536652,19142245,NC
0.19361384,19142246,NC
0.19059412,19142247,NC
0.1931722,19142248,NC
0.17993781,19142249,NC
0.15663901,19142250,NC
0.1243832,19142251,NC
0.10491664,19142252,NC
0.096557155,19142253,NC
0.07972846,19142254,NC
0.05905546,19142255,NC
0.031795245,19142256,NC
-0.0053433017,19142257,NC
-0.034397967,19142258,NC
-0.047899842,19142259,NC
-0.07857136,19142260,NC
-0.094231784,19142261,NC
-0.11709826,19142262,NC
-0.15504855,19142263,NC
-0.18524414,19142264,NC
-0.18116902,19142265,NC
-0.18266903,19142266,NC
-0.18933761,19142267,NC
-0.2079488,19142268,NC
-0.21915363,19142269,NC
-0.23607165,19142270,NC
-0.23836222,19142271,NC
-0.2312266,19142272,NC
-0.24000353,19142273,NC
-0.2503254,19142274,NC
-0.25801623,19142275,NC
-0.26973626,19142276,NC
-0.2743447,19142277,NC
-0.25626388,19142278,NC
-0.2434706,19142279,NC
-0.25574717,19142280,NC
-0.26971725,19142281,NC
-0.2685699,19142282,NC
-0.26122504,19142283,NC
-0.2570629,19142284,NC
-0.252953,19142285,NC
-0.25090748,19142286,NC
-0.2611493,19142287,NC
-0.26627252,19142288,NC
-0.2545843,19142289,NC
-0.2385759,19142290,NC
-0.23326614,19142291,NC
-0.24001028,19142292,NC
-0.24557601,19142293,NC
-0.25662535,19142294,NC
-0.24445915,19142295,NC
-0.23075134,19142296,NC
-0.21933223,19142297,NC
-0.22382867,19142298,NC
-0.23849392,19142299,NC
-0.24665037,19142300,NC
-0.22456159,19142301,NC
-0.21683268,19142302,NC
-0.20936714,19142303,NC
-0.21411209,19142304,NC
-0.22213745,19142305,NC
-0.21380475,19142306,NC
-0.19241926,19142307,NC
-0.16424567,19142308,NC
-0.1502924,19142309,NC
-0.16038625,19142310,NC
-0.15973565,19142311,NC
-0.15489358,19142312,NC
-0.13992552,19142313,NC
-0.11069493,19142314,NC
-0.08133556,19142315,NC
-0.08894313,19142316,NC
-0.104067646,19142317,NC
-0.08716278,19142318,NC
-0.077286445,19142319,NC
-0.077758156,19142320,NC
-0.06876205,19142321,NC
-0.072917655,19142322,NC
-0.10829162,19142323,NC
-0.1369333,19142324,NC
-0.14864948,19142325,NC
-0.14209886,19142326,NC
-0.1373482,19142327,NC
-0.16194485,19142328,NC
-0.19293356,19142329,NC
-0.21709429,19142330,NC
-0.22809315,19142331,NC
-0.22990948,19142332,NC
-0.24104814,19142333,NC
-0.2573011,19142334,NC
-0.2666108,19142335,NC
-0.2686876,19142336,NC
-0.26716757,19142337,NC
-0.2554991,19142338,NC
-0.23818891,19142339,NC
-0.22667661,19142340,NC
-0.19564386,19142341,NC
-0.15822229,19142342,NC
-0.104390666,19142343,NC
-0.03632249,19142344,NC
0.040580686,19142345,NC
0.10589849,19142346,NC
0.17145942,19142347,NC
0.2434137,19142348,NC
0.33459446,19142349,NC
0.40483287,19142350,NC
0.48747733,19142351,NC
0.53766406,19142352,NC
0.5853618,19142353,NC
0.659593,19142354,NC
0.7494369,19142355,NC
0.8442742,19142356,NC
0.91095704,19142357,NC
0.9641513,19142358,NC
1.0496477,19142359,NC
1.1931013,19142360,NC
1.3799928,19142361,NC
1.5810331,19142362,NC
1.7193422,19142363,NC
1.8049707,19142364,NC
1.8753537,19142365,F
1.9585056,19142366,NC
2.0377476,19142367,NC
2.0298958,19142368,NC
1.8610972,19142369,NC
1.5176455,19142370,NC
1.1243654,19142371,NC
0.76624507,19142372,NC
0.47351855,19142373,NC
0.23883061,19142374,NC
0.0631485,19142375,NC
-0.097123414,19142376,NC
-0.23341794,19142377,NC
-0.32768172,19142378,NC
-0.35563394,19142379,NC
-0.37144634,19142380,NC
-0.3688915,19142381,NC
-0.4096628,19142382,NC
-0.430538,19142383,NC
-0.4537752,19142384,NC
-0.4707621,19142385,NC
-0.4754833,19142386,NC
-0.4890955,19142387,NC
-0.50365704,19142388,NC
-0.52827173,19142389,NC
-0.5222685,19142390,NC
-0.528279,19142391,NC
-0.5090916,19142392,NC
-0.5029856,19142393,NC
-0.530656,19142394,NC
-0.5563615,19142395,NC
-0.55738616,19142396,NC
-0.54482234,19142397,NC
-0.5336045,19142398,NC
-0.53813285,19142399,NC
-0.54524624,19142400,NC
-0.56770474,19142401,NC
-0.5639238,19142402,NC
-0.55676717,19142403,NC
-0.562743,19142404,NC
-0.55601156,19142405,NC
-0.5540326,19142406,NC
-0.57945925,19142407,NC
-0.593047,19142408,NC
-0.5802489,19142409,NC
-0.5707734,19142410,NC
-0.56849533,19142411,NC
-0.58574086,19142412,NC
-0.6092862,19142413,NC
-0.6138572,19142414,NC
-0.60753614,19142415,NC
-0.5982709,19142416,NC
-0.5982146,19142417,NC
-0.60476017,19142418,NC
-0.61990815,19142419,NC
-0.6282494,19142420,NC
-0.61324006,19142421,NC
-0.6033662,19142422,NC
-0.5936166,19142423,NC
-0.5956678,19142424,NC
-0.61422914,19142425,NC
-0.60461956,19142426,NC
-0.5910862,19142427,NC
-0.55497676,19142428,NC
-0.5427578,19142429,NC
-0.53343004,19142430,NC
-0.5363934,19142431,NC
-0.51511395,19142432,NC
-0.50111943,19142433,NC
-0.46184242,19142434,NC
-0.43794322,19142435,NC
-0.43245232,19142436,NC
-0.42834777,19142437,NC
-0.40771163,19142438,NC
-0.38298583,19142439,NC
-0.34772155,19142440,NC
-0.32941237,19142441,NC
-0.3195763,19142442,NC
-0.30883518,19142443,NC
-0.30419177,19142444,NC
-0.2999006,19142445,NC
-0.28732675,19142446,NC
-0.27541324,19142447,NC
-0.27929857,19142448,NC
-0.2915275,19142449,NC
-0.31059584,19142450,NC
-0.30947578,19142451,NC
-0.29996872,19142452,NC
-0.29785773,19142453,NC
-0.3129311,19142454,NC
-0.33754998,19142455,NC
-0.33698875,19142456,NC
-0.33621952,19142457,NC
-0.33979735,19142458,NC
-0.33948934,19142459,NC
-0.34674153,19142460,NC
-0.35071874,19142461,NC
-0.34152383,19142462,NC
-0.34427264,19142463,NC
-0.32815623,19142464,NC
-0.33030844,19142465,NC
-0.34739572,19142466,NC
-0.35244164,19142467,NC
-0.36206362,19142468,NC
-0.3406084,19142469,NC
-0.3225418,19142470,NC
-0.31276006,19142471,NC
-0.3218028,19142472,NC
-0.33585927,19142473,NC
-0.34031397,19142474,NC
-0.32267618,19142475,NC
-0.3132163,19142476,NC
-0.2987678,19142477,NC
-0.31414935,19142478,NC
-0.33180526,19142479,NC
-0.3346926,19142480,NC
-0.32092637,19142481,NC
-0.30059016,19142482,NC
-0.30645233,19142483,NC
-0.31666353,19142484,NC
-0.32812998,19142485,NC
-0.32103106,19142486,NC
-0.30110553,19142487,NC
-0.28066313,19142488,NC
-0.255088,19142489,NC
-0.25276756,19142490,NC
-0.2419836,19142491,NC
-0.22497673,19142492,NC
-0.19227058,19142493,NC
-0.14502944,19142494,NC
-0.09121123,19142495,NC
-0.0527693,19142496,NC
0.005009312,19142497,NC
0.06781938,19142498,NC
0.14957501,19142499,NC
0.2385598,19142500,NC
0.3278381,19142501,NC
0.40847284,19142502,NC
0.49353322,19142503,NC
0.5736054,19142504,NC
0.6706966,19142505,NC
0.7793146,19142506,NC
0.8947834,19142507,NC
0.9769047,19142508,NC
1.0302469,19142509,NC
1.0802103,19142510,V
