channel_0,sample #,type
2.33,21746184,N
2.2325,21746185,NC
2.0324998,21746186,NC
1.7175,21746187,NC
1.315,21746188,NC
0.87125,21746189,NC
0.43124998,21746190,NC
0.026250005,21746191,NC
-0.3275,21746192,NC
-0.61875,21746193,NC
-0.83000004,21746194,NC
-0.95875,21746195,NC
-0.9987499,21746196,NC
-0.96374995,21746197,NC
-0.8825,21746198,NC
-0.78,21746199,NC
-0.68625,21746200,NC
-0.61375,21746201,NC
-0.56874996,21746202,NC
-0.55,21746203,NC
-0.5475,21746204,NC
-0.55625004,21746205,NC
-0.565,21746206,NC
-0.57375,21746207,NC
-0.58375,21746208,NC
-0.59375,21746209,NC
-0.60625,21746210,NC
-0.61875,21746211,NC
-0.6275,21746212,NC
-0.63125,21746213,NC
-0.63,21746214,NC
-0.62625,21746215,NC
-0.62375,21746216,NC
-0.6225,21746217,NC
-0.6225,21746218,NC
-0.6225,21746219,NC
-0.62125003,21746220,NC
-0.61875,21746221,NC
-0.615,21746222,NC
-0.6125,21746223,NC
-0.61125004,21746224,NC
-0.61,21746225,NC
-0.60875,21746226,NC
-0.6025,21746227,NC
-0.58625,21746228,NC
-0.5675,21746229,NC
-0.54375005,21746230,NC
-0.51875,21746231,NC
-0.50374997,21746232,NC
-0.49375,21746233,NC
-0.49,21746234,NC
-0.48875,21746235,NC
-0.47875,21746236,NC
-0.45625,21746237,NC
-0.42624998,21746238,NC
-0.39000002,21746239,NC
-0.35375,21746240,NC
-0.325,21746241,NC
-0.30249998,21746242,NC
-0.285,21746243,NC
-0.27125,21746244,NC
-0.2525,21746245,NC
-0.22875,21746246,NC
-0.205,21746247,NC
-0.17875,21746248,NC
-0.155,21746249,NC
-0.13,21746250,NC
-0.1,21746251,NC
-0.06875,21746252,NC
-0.03625,21746253,NC
-0.0075000008,21746254,NC
0.021249998,21746255,NC
0.0525,21746256,NC
0.08125,21746257,NC
0.11,21746258,NC
0.135,21746259,NC
0.155,21746260,NC
0.1825,21746261,NC
0.21375,21746262,NC
0.25375003,21746263,NC
0.3,21746264,NC
0.34,21746265,NC
0.375,21746266,NC
0.39874998,21746267,NC
0.41375,21746268,NC
0.42624998,21746269,NC
0.44375002,21746270,NC
0.46,21746271,NC
0.47875,21746272,NC
0.49625,21746273,NC
0.50874996,21746274,NC
0.52,21746275,NC
0.52875,21746276,NC
0.53499997,21746277,NC
0.53749996,21746278,NC
0.54,21746279,NC
0.5375,21746280,NC
0.53,21746281,NC
0.51374996,21746282,NC
0.48874998,21746283,NC
0.45749998,21746284,NC
0.42624998,21746285,NC
0.4,21746286,NC
0.38125,21746287,NC
0.3725,21746288,NC
0.3625,21746289,NC
0.34875,21746290,NC
0.32625,21746291,NC
0.2925,21746292,NC
0.25375003,21746293,NC
0.215,21746294,NC
0.17500001,21746295,NC
0.14375,21746296,NC
0.12,21746297,NC
0.0975,21746298,NC
0.07875,21746299,NC
0.054999996,21746300,NC
0.01875,21746301,NC
-0.01625,21746302,NC
-0.048750002,21746303,NC
-0.08,21746304,NC
-0.09625,21746305,NC
-0.1125,21746306,NC
-0.12875,21746307,NC
-0.14750001,21746308,NC
-0.17125,21746309,NC
-0.19,21746310,NC
-0.20499998,21746311,NC
-0.21,21746312,NC
-0.2075,21746313,NC
-0.21000001,21746314,NC
-0.2075,21746315,NC
-0.215,21746316,NC
-0.22375001,21746317,NC
-0.2325,21746318,NC
-0.24625,21746319,NC
-0.25,21746320,NC
-0.25,21746321,NC
-0.24000001,21746322,NC
-0.22125001,21746323,NC
-0.205,21746324,NC
-0.19250001,21746325,NC
-0.18875,21746326,NC
-0.19375,21746327,NC
-0.19999999,21746328,NC
-0.205,21746329,NC
-0.2025,21746330,NC
-0.19625,21746331,NC
-0.17999999,21746332,NC
-0.15875,21746333,NC
-0.13499999,21746334,NC
-0.11,21746335,NC
-0.08375,21746336,NC
-0.0575,21746337,NC
-0.0325,21746338,NC
-0.00625,21746339,NC
0.01375,21746340,NC
0.0275,21746341,NC
0.03875,21746342,NC
0.044999998,21746343,NC
0.05,21746344,NC
0.055,21746345,NC
0.0575,21746346,NC
0.057499997,21746347,NC
0.05,21746348,NC
0.03375,21746349,NC
0.0012499988,21746350,NC
-0.0475,21746351,NC
-0.1075,21746352,NC
-0.17,21746353,NC
-0.2275,21746354,NC
-0.27125,21746355,NC
-0.29874998,21746356,NC
-0.315,21746357,NC
-0.32125,21746358,NC
-0.3225,21746359,NC
-0.3225,21746360,NC
-0.32375,21746361,NC
-0.3225,21746362,NC
-0.3225,21746363,NC
-0.3225,21746364,NC
-0.32375,21746365,NC
-0.32375002,21746366,NC
-0.32874998,21746367,NC
-0.33875,21746368,NC
-0.345,21746369,NC
-0.35250002,21746370,NC
-0.35250002,21746371,NC
-0.34375,21746372,NC
-0.33375,21746373,NC
-0.32375,21746374,NC
-0.32125,21746375,NC
-0.32625002,21746376,NC
-0.34125,21746377,NC
-0.3625,21746378,NC
-0.3875,21746379,NC
-0.42125,21746380,NC
-0.45000002,21746381,NC
-0.47125,21746382,NC
-0.46375,21746383,NC
-0.4,21746384,NC
-0.26500002,21746385,NC
-0.0325,21746386,NC
0.3,21746387,NC
0.7175,21746388,NC
1.19,21746389,NC
1.6600001,21746390,NC
2.0700002,21746391,NC
2.36125,21746392,NC
2.4925,21746393,F
2.4637501,21746394,NC
2.295,21746395,NC
2.03,21746396,NC
1.7149999,21746397,NC
1.37625,21746398,NC
1.0287501,21746399,NC
0.6775,21746400,NC
0.3275,21746401,NC
-0.0062500015,21746402,NC
-0.2925,21746403,NC
-0.50124997,21746404,NC
-0.62125,21746405,NC
-0.65125,21746406,NC
-0.62625,21746407,NC
-0.58375,21746408,NC
-0.55,21746409,NC
-0.54875,21746410,NC
-0.57374996,21746411,NC
-0.615,21746412,NC
-0.65624994,21746413,NC
-0.68625,21746414,NC
-0.70875,21746415,NC
-0.72375,21746416,NC
-0.73625004,21746417,NC
-0.75250006,21746418,NC
-0.76125,21746419,NC
-0.76874995,21746420,NC
-0.7725,21746421,NC
-0.77250004,21746422,NC
-0.77625,21746423,NC
-0.78249997,21746424,NC
-0.79625,21746425,NC
-0.8075,21746426,NC
-0.8225,21746427,NC
-0.83625,21746428,NC
-0.8375,21746429,NC
-0.83875,21746430,NC
-0.83375,21746431,NC
-0.82375,21746432,NC
-0.82124996,21746433,NC
-0.8225,21746434,NC
-0.82374996,21746435,NC
-0.83,21746436,NC
-0.835,21746437,NC
-0.835,21746438,NC
-0.835,21746439,NC
-0.82625,21746440,NC
-0.815,21746441,NC
-0.805,21746442,NC
-0.79375005,21746443,NC
-0.78625,21746444,NC
-0.77874994,21746445,NC
-0.76874995,21746446,NC
-0.7575,21746447,NC
-0.74875003,21746448,NC
-0.7375,21746449,NC
-0.73125005,21746450,NC
-0.72625,21746451,NC
-0.71999997,21746452,NC
-0.71125,21746453,NC
-0.695,21746454,NC
-0.67125,21746455,NC
-0.64,21746456,NC
-0.61,21746457,NC
-0.58,21746458,NC
-0.5575,21746459,NC
-0.54125,21746460,NC
-0.52625,21746461,NC
-0.51374996,21746462,NC
-0.4975,21746463,NC
-0.47375,21746464,NC
-0.44625002,21746465,NC
-0.4125,21746466,NC
-0.38000003,21746467,NC
-0.35125,21746468,NC
-0.3225,21746469,NC
-0.29749998,21746470,NC
-0.26500002,21746471,NC
-0.22749999,21746472,NC
-0.19125,21746473,NC
-0.155,21746474,NC
-0.12625,21746475,NC
-0.10625,21746476,NC
-0.0875,21746477,NC
-0.0675,21746478,NC
-0.044999998,21746479,NC
-0.015,21746480,NC
0.01875,21746481,NC
0.048750002,21746482,NC
0.07875,21746483,NC
0.1,21746484,NC
0.112500004,21746485,NC
0.12375,21746486,NC
0.1275,21746487,NC
0.13499999,21746488,NC
0.145,21746489,NC
0.15625,21746490,NC
0.17,21746491,NC
0.18,21746492,NC
0.1825,21746493,NC
0.17500001,21746494,NC
0.16499999,21746495,NC
0.15124999,21746496,NC
0.13875,21746497,NC
0.13125,21746498,NC
0.125,21746499,NC
0.11625,21746500,NC
0.103750005,21746501,NC
0.09125,21746502,NC
0.073750004,21746503,NC
0.0575,21746504,NC
0.0475,21746505,NC
0.036250003,21746506,NC
0.02375,21746507,NC
0.0075000008,21746508,NC
-0.01625,21746509,NC
-0.041249998,21746510,NC
-0.0725,21746511,NC
-0.1025,21746512,NC
-0.125,21746513,NC
-0.14625001,21746514,NC
-0.15875,21746515,NC
-0.16625,21746516,NC
-0.1775,21746517,NC
-0.1875,21746518,NC
-0.19749999,21746519,NC
-0.21125,21746520,NC
-0.22250001,21746521,NC
-0.235,21746522,NC
-0.2425,21746523,NC
-0.25,21746524,NC
-0.25625,21746525,NC
-0.26,21746526,NC
-0.26624998,21746527,NC
-0.26624998,21746528,NC
-0.26624998,21746529,NC
