channel_0,sample #,type
2.1597185,21724711,N
2.030409,21724712,NC
1.7867103,21724713,NC
1.4236488,21724714,NC
0.9872289,21724715,NC
0.54210556,21724716,NC
0.14049982,21724717,NC
-0.19023427,21724718,NC
-0.4463667,21724719,NC
-0.6403311,21724720,NC
-0.7882911,21724721,NC
-0.90268034,21724722,NC
-0.97106516,21724723,NC
-0.9859855,21724724,NC
-0.9461979,21724725,NC
-0.86040604,21724726,NC
-0.7534769,21724727,NC
-0.6552514,21724728,NC
-0.5868665,21724729,NC
-0.55702585,21724730,NC
-0.5595126,21724731,NC
-0.58189315,21724732,NC
-0.6067603,21724733,NC
-0.6241674,21724734,NC
-0.63535756,21724735,NC
-0.64033103,21724736,NC
-0.6428178,21724737,NC
-0.64903456,21724738,NC
-0.65649474,21724739,NC
-0.663955,21724740,NC
-0.67390186,21724741,NC
-0.6801187,21724742,NC
-0.6801186,21724743,NC
-0.67638856,21724744,NC
-0.67390186,21724745,NC
-0.67514515,21724746,NC
-0.68384874,21724747,NC
-0.695039,21724748,NC
-0.70498586,21724749,NC
-0.7049858,21724750,NC
-0.69752574,21724751,NC
-0.69006556,21724752,NC
-0.67887527,21724753,NC
-0.6701718,21724754,NC
-0.6602249,21724755,NC
-0.6453045,21724756,NC
-0.6241674,21724757,NC
-0.6005435,21724758,NC
-0.5769197,21724759,NC
-0.55578256,21724760,NC
-0.54086214,21724761,NC
-0.52967197,21724762,NC
-0.5184817,21724763,NC
-0.5048047,21724764,NC
-0.4824242,21724765,NC
-0.45507026,21724766,NC
-0.4227428,21724767,NC
-0.3891721,21724768,NC
-0.36057478,21724769,NC
-0.33570752,21724770,NC
-0.31581378,21724771,NC
-0.30213678,21724772,NC
-0.28472975,21724773,NC
-0.26234922,21724774,NC
-0.23623864,21724775,NC
-0.1989378,21724776,NC
-0.16288035,21724777,NC
-0.12557949,21724778,NC
-0.09076538,21724779,NC
-0.059681345,21724780,NC
-0.028597308,21724781,NC
0.0,21724782,NC
0.031084033,21724783,NC
0.062168065,21724784,NC
0.09449546,21724785,NC
0.12433613,21724786,NC
0.1541768,21724787,NC
0.18401748,21724788,NC
0.21510151,21724789,NC
0.25115898,21724790,NC
0.28721645,21724791,NC
0.32327396,21724792,NC
0.35062787,21724793,NC
0.3730084,21724794,NC
0.38668534,21724795,NC
0.39663222,21724796,NC
0.40657914,21724797,NC
0.4140393,21724798,NC
0.4264729,21724799,NC
0.43517646,21724800,NC
0.4401499,21724801,NC
0.4401499,21724802,NC
0.43393308,21724803,NC
0.4214995,21724804,NC
0.40657914,21724805,NC
0.3953889,21724806,NC
0.3792252,21724807,NC
0.36554822,21724808,NC
0.35187125,21724809,NC
0.3332208,21724810,NC
0.31581378,21724811,NC
0.29716334,21724812,NC
0.28348637,21724813,NC
0.2673227,21724814,NC
0.25240234,21724815,NC
0.23375192,21724816,NC
0.20391127,21724817,NC
0.16661043,21724818,NC
0.12309277,21724819,NC
0.08206185,21724820,NC
0.04600437,21724821,NC
0.023623867,21724822,NC
0.013676974,21724823,NC
0.004973445,21724824,NC
-0.0012433613,21724825,NC
-0.014920336,21724826,NC
-0.0385442,21724827,NC
-0.06714151,21724828,NC
-0.10195563,21724829,NC
-0.13552637,21724830,NC
-0.16661042,21724831,NC
-0.19396438,21724832,NC
-0.22007495,21724833,NC
-0.24494219,21724834,NC
-0.27353945,21724835,NC
-0.2921899,21724836,NC
-0.29965007,21724837,NC
-0.29965004,21724838,NC
-0.28721645,21724839,NC
-0.28099966,21724840,NC
-0.2797563,21724841,NC
-0.28721645,21724842,NC
-0.3021368,21724843,NC
-0.31830052,21724844,NC
-0.3282474,21724845,NC
-0.32949075,21724846,NC
-0.32700405,21724847,NC
-0.31954384,21724848,NC
-0.31581378,21724849,NC
-0.30959696,21724850,NC
-0.2984067,21724851,NC
-0.27726957,21724852,NC
-0.24369882,21724853,NC
-0.20391126,21724854,NC
-0.16163698,21724855,NC
-0.12060604,21724856,NC
-0.0932521,21724857,NC
-0.0671415,21724858,NC
-0.043517645,21724859,NC
-0.026110586,21724860,NC
-0.0012433615,21724861,NC
0.01989378,21724862,NC
0.03978756,21724863,NC
0.054707896,21724864,NC
0.05843798,21724865,NC
0.046004366,21724866,NC
0.023623865,21724867,NC
-0.012433613,21724868,NC
-0.055951256,21724869,NC
-0.1056857,21724870,NC
-0.15915024,21724871,NC
-0.2088847,21724872,NC
-0.2536457,21724873,NC
-0.2859731,21724874,NC
-0.3145704,21724875,NC
-0.32576066,21724876,NC
-0.32576066,21724877,NC
-0.32203057,21724878,NC
-0.3183005,21724879,NC
-0.32327396,21724880,NC
-0.33695093,21724881,NC
-0.35187128,21724882,NC
-0.36306152,21724883,NC
-0.36430487,21724884,NC
-0.35684472,21724885,NC
-0.3481412,21724886,NC
-0.33819428,21724887,NC
-0.340681,21724888,NC
-0.35684472,21724889,NC
-0.38668537,21724890,NC
-0.41901278,21724891,NC
-0.45009682,21724892,NC
-0.46750388,21724893,NC
-0.45507026,21724894,NC
-0.4177694,21724895,NC
-0.34814116,21724896,NC
-0.24742891,21724897,NC
-0.12557949,21724898,NC
0.022380512,21724899,NC
0.20018117,21724900,NC
0.40906587,21724901,NC
0.6552514,21724902,NC
0.9387378,21724903,NC
1.2408745,21724904,NC
1.5504715,21724905,NC
