channel_0,sample #,type
2.135,21677584,N
2.055,21677585,NC
1.83,21677586,NC
1.49,21677587,NC
1.065,21677588,NC
0.61,21677589,NC
0.165,21677590,NC
-0.255,21677591,NC
-0.64,21677592,NC
-0.945,21677593,NC
-1.145,21677594,NC
-1.205,21677595,NC
-1.145,21677596,NC
-1.02,21677597,NC
-0.855,21677598,NC
-0.725,21677599,NC
-0.665,21677600,NC
-0.64,21677601,NC
-0.665,21677602,NC
-0.705,21677603,NC
-0.75,21677604,NC
-0.785,21677605,NC
-0.795,21677606,NC
-0.785,21677607,NC
-0.775,21677608,NC
-0.77,21677609,NC
-0.77,21677610,NC
-0.79,21677611,NC
-0.805,21677612,NC
-0.81,21677613,NC
-0.815,21677614,NC
-0.825,21677615,NC
-0.845,21677616,NC
-0.85,21677617,NC
-0.85,21677618,NC
-0.86,21677619,NC
-0.86,21677620,NC
-0.845,21677621,NC
-0.845,21677622,NC
-0.84,21677623,NC
-0.84,21677624,NC
-0.845,21677625,NC
-0.855,21677626,NC
-0.86,21677627,NC
-0.855,21677628,NC
-0.83,21677629,NC
-0.82,21677630,NC
-0.79,21677631,NC
-0.78,21677632,NC
-0.77,21677633,NC
-0.77,21677634,NC
-0.77,21677635,NC
-0.755,21677636,NC
-0.735,21677637,NC
-0.705,21677638,NC
-0.685,21677639,NC
-0.675,21677640,NC
-0.64,21677641,NC
-0.63,21677642,NC
-0.605,21677643,NC
-0.57,21677644,NC
-0.525,21677645,NC
-0.505,21677646,NC
-0.46,21677647,NC
-0.435,21677648,NC
-0.415,21677649,NC
-0.4,21677650,NC
-0.375,21677651,NC
-0.355,21677652,NC
-0.31,21677653,NC
-0.26,21677654,NC
-0.22,21677655,NC
-0.18,21677656,NC
-0.155,21677657,NC
-0.12,21677658,NC
-0.1,21677659,NC
-0.075,21677660,NC
-0.055,21677661,NC
-0.025,21677662,NC
0.005,21677663,NC
0.03,21677664,NC
0.06,21677665,NC
0.085,21677666,NC
0.12,21677667,NC
0.145,21677668,NC
0.19,21677669,NC
0.22,21677670,NC
0.235,21677671,NC
0.225,21677672,NC
0.215,21677673,NC
0.21,21677674,NC
0.205,21677675,NC
0.19,21677676,NC
0.21,21677677,NC
0.22,21677678,NC
0.22,21677679,NC
0.21,21677680,NC
0.18,21677681,NC
0.16,21677682,NC
0.13,21677683,NC
0.105,21677684,NC
0.1,21677685,NC
0.08,21677686,NC
0.045,21677687,NC
0.005,21677688,NC
-0.02,21677689,NC
-0.045,21677690,NC
-0.075,21677691,NC
-0.08,21677692,NC
-0.1,21677693,NC
-0.11,21677694,NC
-0.13,21677695,NC
-0.165,21677696,NC
-0.2,21677697,NC
-0.23,21677698,NC
-0.265,21677699,NC
-0.285,21677700,NC
-0.28,21677701,NC
-0.29,21677702,NC
-0.29,21677703,NC
-0.295,21677704,NC
-0.305,21677705,NC
-0.31,21677706,NC
-0.315,21677707,NC
-0.315,21677708,NC
-0.32,21677709,NC
-0.33,21677710,NC
-0.345,21677711,NC
-0.345,21677712,NC
-0.34,21677713,NC
-0.33,21677714,NC
-0.31,21677715,NC
-0.255,21677716,NC
-0.215,21677717,NC
-0.18,21677718,NC
-0.15,21677719,NC
-0.145,21677720,NC
-0.13,21677721,NC
-0.13,21677722,NC
-0.125,21677723,NC
-0.1,21677724,NC
-0.075,21677725,NC
-0.055,21677726,NC
-0.05,21677727,NC
-0.025,21677728,NC
-0.025,21677729,NC
-0.045,21677730,NC
-0.09,21677731,NC
-0.145,21677732,NC
-0.19,21677733,NC
-0.24,21677734,NC
-0.315,21677735,NC
-0.355,21677736,NC
-0.395,21677737,NC
-0.415,21677738,NC
-0.455,21677739,NC
-0.465,21677740,NC
-0.475,21677741,NC
-0.47,21677742,NC
-0.455,21677743,NC
-0.465,21677744,NC
-0.475,21677745,NC
-0.485,21677746,NC
-0.5,21677747,NC
-0.5,21677748,NC
-0.485,21677749,NC
-0.49,21677750,NC
-0.48,21677751,NC
-0.485,21677752,NC
-0.475,21677753,NC
-0.485,21677754,NC
-0.48,21677755,NC
-0.485,21677756,NC
-0.48,21677757,NC
-0.505,21677758,NC
-0.53,21677759,NC
-0.565,21677760,NC
-0.6,21677761,NC
-0.63,21677762,NC
-0.63,21677763,NC
-0.56,21677764,NC
-0.415,21677765,NC
-0.145,21677766,NC
0.225,21677767,NC
0.65,21677768,NC
1.115,21677769,NC
1.57,21677770,NC
1.955,21677771,NC
2.23,21677772,NC
2.4,21677773,NC
2.44,21677774,F
2.375,21677775,NC
2.19,21677776,NC
1.97,21677777,NC
1.695,21677778,NC
1.39,21677779,NC
1.055,21677780,NC
0.695,21677781,NC
0.3,21677782,NC
-0.09,21677783,NC
-0.445,21677784,NC
-0.695,21677785,NC
-0.81,21677786,NC
-0.82,21677787,NC
-0.765,21677788,NC
-0.715,21677789,NC
-0.675,21677790,NC
-0.68,21677791,NC
-0.735,21677792,NC
-0.78,21677793,NC
-0.84,21677794,NC
-0.885,21677795,NC
-0.89,21677796,NC
-0.895,21677797,NC
-0.89,21677798,NC
-0.89,21677799,NC
-0.9,21677800,NC
-0.93,21677801,NC
-0.94,21677802,NC
-0.955,21677803,NC
-0.97,21677804,NC
-0.98,21677805,NC
-0.995,21677806,NC
-1.0,21677807,NC
-1.01,21677808,NC
-1.02,21677809,NC
-1.045,21677810,NC
-1.045,21677811,NC
-1.045,21677812,NC
-1.04,21677813,NC
-1.04,21677814,NC
-1.055,21677815,NC
-1.065,21677816,NC
-1.07,21677817,NC
-1.095,21677818,NC
-1.105,21677819,NC
-1.105,21677820,NC
-1.085,21677821,NC
-1.07,21677822,NC
-1.075,21677823,NC
-1.05,21677824,NC
-1.07,21677825,NC
-1.05,21677826,NC
-1.05,21677827,NC
-1.04,21677828,NC
-1.03,21677829,NC
-1.01,21677830,NC
-1.0,21677831,NC
-0.985,21677832,NC
-0.96,21677833,NC
-0.945,21677834,NC
-0.915,21677835,NC
-0.885,21677836,NC
-0.855,21677837,NC
-0.81,21677838,NC
-0.77,21677839,NC
-0.76,21677840,NC
-0.74,21677841,NC
-0.72,21677842,NC
-0.695,21677843,NC
-0.66,21677844,NC
-0.62,21677845,NC
-0.555,21677846,NC
-0.51,21677847,NC
-0.45,21677848,NC
-0.42,21677849,NC
-0.385,21677850,NC
-0.355,21677851,NC
-0.315,21677852,NC
-0.28,21677853,NC
-0.245,21677854,NC
-0.2,21677855,NC
-0.155,21677856,NC
-0.12,21677857,NC
-0.095,21677858,NC
-0.075,21677859,NC
-0.045,21677860,NC
-0.02,21677861,NC
0.01,21677862,NC
0.035,21677863,NC
0.055,21677864,NC
0.07,21677865,NC
0.065,21677866,NC
0.065,21677867,NC
0.07,21677868,NC
0.09,21677869,NC
0.105,21677870,NC
0.115,21677871,NC
0.125,21677872,NC
0.115,21677873,NC
0.105,21677874,NC
0.075,21677875,NC
0.05,21677876,NC
0.035,21677877,NC
0.025,21677878,NC
0.02,21677879,NC
0.005,21677880,NC
-0.005,21677881,NC
-0.02,21677882,NC
-0.04,21677883,NC
