channel_0,sample #,type
1.6101971,19006056,N
1.5761446,19006057,NC
1.284266,19006058,NC
0.87563586,19006059,NC
0.44754723,19006060,NC
0.06810501,19006061,NC
-0.17026253,19006062,NC
-0.25782612,19006063,NC
-0.25296146,19006064,NC
-0.24809682,19006065,NC
-0.2335029,19006066,NC
-0.21890897,19006067,NC
-0.2335029,19006068,NC
-0.22863826,19006069,NC
-0.2335029,19006070,NC
-0.24323219,19006071,NC
-0.23836756,19006072,NC
-0.2335029,19006073,NC
-0.23836756,19006074,NC
-0.24809682,19006075,NC
-0.27728468,19006076,NC
-0.27242005,19006077,NC
-0.25782612,19006078,NC
-0.23836756,19006079,NC
-0.22863826,19006080,NC
-0.22863826,19006081,NC
-0.24323219,19006082,NC
-0.23836756,19006083,NC
-0.22863826,19006084,NC
-0.21890897,19006085,NC
-0.24323219,19006086,NC
-0.25782612,19006087,NC
-0.27728468,19006088,NC
-0.26755542,19006089,NC
-0.25296146,19006090,NC
-0.24323219,19006091,NC
-0.23836756,19006092,NC
-0.22377361,19006093,NC
-0.23836756,19006094,NC
-0.22863826,19006095,NC
-0.19945039,19006096,NC
-0.17026253,19006097,NC
-0.1556686,19006098,NC
-0.17026253,19006099,NC
-0.17999183,19006100,NC
-0.19945039,19006101,NC
-0.18485646,19006102,NC
-0.18485646,19006103,NC
-0.18972111,19006104,NC
-0.18485646,19006105,NC
-0.19458576,19006106,NC
-0.19458576,19006107,NC
-0.14593932,19006108,NC
-0.121616095,19006109,NC
-0.10215752,19006110,NC
-0.11675145,19006111,NC
-0.11675145,19006112,NC
-0.107022166,19006113,NC
-0.08756359,19006114,NC
-0.06810501,19006115,NC
-0.058375724,19006116,NC
-0.04864644,19006117,NC
-0.043781795,19006118,NC
-0.04864644,19006119,NC
-0.014593931,19006120,NC
0.0,19006121,NC
0.02432322,19006122,NC
0.03891715,19006123,NC
0.058375724,19006124,NC
0.0778343,19006125,NC
0.10215752,19006126,NC
0.12648073,19006127,NC
0.16053325,19006128,NC
0.15080395,19006129,NC
0.14593932,19006130,NC
0.15080395,19006131,NC
0.17026253,19006132,NC
0.18485646,19006133,NC
0.18485646,19006134,NC
0.17999183,19006135,NC
0.17026253,19006136,NC
0.18972111,19006137,NC
0.20431504,19006138,NC
0.22377361,19006139,NC
0.20917968,19006140,NC
0.18485646,19006141,NC
0.15080395,19006142,NC
0.14107467,19006143,NC
0.13621002,19006144,NC
0.12648073,19006145,NC
0.10215752,19006146,NC
0.063240364,19006147,NC
0.02432322,19006148,NC
-0.004864644,19006149,NC
-0.019458575,19006150,NC
-0.034052506,19006151,NC
-0.04864644,19006152,NC
-0.0778343,19006153,NC
-0.10215752,19006154,NC
-0.107022166,19006155,NC
-0.107022166,19006156,NC
-0.12648073,19006157,NC
-0.13621002,19006158,NC
-0.17026253,19006159,NC
-0.18972111,19006160,NC
-0.18972111,19006161,NC
-0.19945039,19006162,NC
-0.20431504,19006163,NC
-0.21890897,19006164,NC
-0.2335029,19006165,NC
-0.25296146,19006166,NC
-0.24809682,19006167,NC
-0.23836756,19006168,NC
-0.21890897,19006169,NC
-0.22863826,19006170,NC
-0.24809682,19006171,NC
-0.25782612,19006172,NC
-0.25296146,19006173,NC
-0.22377361,19006174,NC
-0.21404433,19006175,NC
-0.21890897,19006176,NC
-0.24323219,19006177,NC
-0.24809682,19006178,NC
-0.23836756,19006179,NC
-0.22377361,19006180,NC
-0.19458576,19006181,NC
-0.20431504,19006182,NC
-0.19945039,19006183,NC
-0.21890897,19006184,NC
-0.24809682,19006185,NC
-0.23836756,19006186,NC
-0.20431504,19006187,NC
-0.19945039,19006188,NC
-0.19945039,19006189,NC
-0.23836756,19006190,NC
-0.26269078,19006191,NC
-0.25782612,19006192,NC
-0.22377361,19006193,NC
-0.20917968,19006194,NC
-0.20917968,19006195,NC
-0.19458576,19006196,NC
-0.17026253,19006197,NC
-0.11188681,19006198,NC
-0.107022166,19006199,NC
-0.121616095,19006200,NC
-0.13621002,19006201,NC
-0.1653979,19006202,NC
-0.15080395,19006203,NC
-0.121616095,19006204,NC
-0.107022166,19006205,NC
-0.107022166,19006206,NC
-0.09729288,19006207,NC
-0.09242823,19006208,NC
-0.058375724,19006209,NC
-0.06810501,19006210,NC
-0.06810501,19006211,NC
-0.08269895,19006212,NC
-0.09729288,19006213,NC
-0.12648073,19006214,NC
-0.13134539,19006215,NC
-0.14107467,19006216,NC
-0.14593932,19006217,NC
-0.14593932,19006218,NC
-0.17999183,19006219,NC
-0.21404433,19006220,NC
-0.22863826,19006221,NC
-0.22863826,19006222,NC
-0.21404433,19006223,NC
-0.20917968,19006224,NC
-0.21404433,19006225,NC
-0.24323219,19006226,NC
-0.24809682,19006227,NC
-0.25296146,19006228,NC
-0.23836756,19006229,NC
-0.22377361,19006230,NC
-0.23836756,19006231,NC
-0.26755542,19006232,NC
-0.27242005,19006233,NC
-0.27242005,19006234,NC
-0.25296146,19006235,NC
-0.24323219,19006236,NC
-0.25296146,19006237,NC
-0.27242005,19006238,NC
-0.27728468,19006239,NC
-0.24323219,19006240,NC
-0.22377361,19006241,NC
