channel_0,sample #,type
2.7223992,21936693,N
2.6539693,21936694,NC
2.4764214,21936695,NC
2.1564655,21936696,NC
1.736639,21936697,NC
1.25763,21936698,NC
0.76567477,21936699,NC
0.29591295,21936700,NC
-0.12761246,21936701,NC
-0.49380472,21936702,NC
-0.774922,21936703,NC
-0.9487709,21936704,NC
-1.006104,21936705,NC
-0.9635665,21936706,NC
-0.86554533,21936707,NC
-0.74718016,21936708,NC
-0.649159,21936709,NC
-0.5844281,21936710,NC
-0.55298734,21936711,NC
-0.547439,21936712,NC
-0.55113786,21936713,NC
-0.5622346,21936714,NC
-0.56778294,21936715,NC
-0.5788797,21936716,NC
-0.58997643,21936717,NC
-0.60847104,21936718,NC
-0.62326664,21936719,NC
-0.6325139,21936720,NC
-0.63436335,21936721,NC
-0.6325139,21936722,NC
-0.63066447,21936723,NC
-0.6362128,21936724,NC
-0.6417612,21936725,NC
-0.6510084,21936726,NC
-0.64915895,21936727,NC
-0.64915895,21936728,NC
-0.64546007,21936729,NC
-0.6436106,21936730,NC
-0.6362128,21936731,NC
-0.6362128,21936732,NC
-0.6399117,21936733,NC
-0.64915895,21936734,NC
-0.6510084,21936735,NC
-0.6547074,21936736,NC
-0.6510085,21936737,NC
-0.6417612,21936738,NC
-0.6269655,21936739,NC
-0.6121699,21936740,NC
-0.6047721,21936741,NC
-0.59922373,21936742,NC
-0.5955248,21936743,NC
-0.59182584,21936744,NC
-0.58257854,21936745,NC
-0.56778294,21936746,NC
-0.5418906,21936747,NC
-0.5141487,21936748,NC
-0.48825637,21936749,NC
-0.4697618,21936750,NC
-0.45496613,21936751,NC
-0.44017053,21936752,NC
-0.42167595,21936753,NC
-0.3994825,21936754,NC
-0.3735901,21936755,NC
-0.3439988,21936756,NC
-0.3144075,21936757,NC
-0.29221404,21936758,NC
-0.27741838,21936759,NC
-0.26077327,21936760,NC
-0.23303144,21936761,NC
-0.19419287,21936762,NC
-0.14980593,21936763,NC
-0.10172008,21936764,NC
-0.059182588,21936765,NC
-0.024042927,21936766,NC
-0.0018494558,21936767,NC
0.016645102,21936768,NC
0.042537484,21936769,NC
0.077677146,21936770,NC
