channel_0,sample #,type
2.1026707,22053575,N
1.9570255,22053576,NC
1.6763984,22053577,NC
1.2956245,22053578,NC
0.8751603,22053579,NC
0.47724557,22053580,NC
0.09346619,22053581,NC
-0.2970962,22053582,NC
-0.67945427,22053583,NC
-0.99616015,22053584,NC
-1.2010654,22053585,NC
-1.290405,22053586,NC
-1.2159865,22053587,NC
-1.1030104,22053588,NC
-0.9602899,22053589,NC
-0.8477959,22053590,NC
-0.77864724,22053591,NC
-0.81067127,22053592,NC
-0.8616041,22053593,NC
-0.91657114,22053594,NC
-0.93700844,22053595,NC
-0.948502,22053596,NC
-0.9530718,22053597,NC
-0.94352186,22053598,NC
-0.9200984,22053599,NC
-0.9248918,22053600,NC
-0.9340723,22053601,NC
-0.9506241,22053602,NC
-0.9579838,22053603,NC
-0.9862368,22053604,NC
-0.9880419,22053605,NC
-0.97947764,22053606,NC
-0.974573,22053607,NC
-0.95340383,22053608,NC
-0.93630964,22053609,NC
-0.9385397,22053610,NC
-0.9515583,22053611,NC
-0.96063477,22053612,NC
-0.97153777,22053613,NC
-0.96789145,22053614,NC
-0.97582185,22053615,NC
-0.94846976,22053616,NC
-0.95108086,22053617,NC
-0.94095236,22053618,NC
-0.94243544,22053619,NC
-0.95214546,22053620,NC
-0.93190014,22053621,NC
-0.88867503,22053622,NC
-0.8539286,22053623,NC
-0.8300295,22053624,NC
-0.8037858,22053625,NC
-0.7969245,22053626,NC
-0.8021088,22053627,NC
-0.80334455,22053628,NC
-0.79399985,22053629,NC
-0.7778637,22053630,NC
-0.74430925,22053631,NC
-0.69727135,22053632,NC
-0.65398455,22053633,NC
-0.6120029,22053634,NC
-0.5687217,22053635,NC
-0.5447363,22053636,NC
-0.52081543,22053637,NC
-0.48682928,22053638,NC
-0.45255625,22053639,NC
-0.37993327,22053640,NC
-0.34737784,22053641,NC
-0.30908477,22053642,NC
-0.2787615,22053643,NC
-0.23547514,22053644,NC
-0.18740459,22053645,NC
-0.14181238,22053646,NC
-0.10407924,22053647,NC
-0.0466609,22053648,NC
0.009133462,22053649,NC
0.07459813,22053650,NC
0.114313915,22053651,NC
0.15008886,22053652,NC
0.15792736,22053653,NC
0.1920896,22053654,NC
0.22119066,22053655,NC
0.25436175,22053656,NC
0.27972084,22053657,NC
0.32520977,22053658,NC
0.3592341,22053659,NC
0.4080823,22053660,NC
0.4281594,22053661,NC
0.45030117,22053662,NC
0.46410778,22053663,NC
0.4943954,22053664,NC
0.5104614,22053665,NC
0.5377864,22053666,NC
0.546639,22053667,NC
0.5542572,22053668,NC
0.5651868,22053669,NC
0.5673767,22053670,NC
0.549668,22053671,NC
0.5538971,22053672,NC
0.5623951,22053673,NC
0.5580628,22053674,NC
0.53505325,22053675,NC
0.5256254,22053676,NC
0.5107585,22053677,NC
0.4885002,22053678,NC
0.4580757,22053679,NC
0.45808205,22053680,NC
0.43348637,22053681,NC
0.40155235,22053682,NC
0.39907962,22053683,NC
0.37910968,22053684,NC
0.33415765,22053685,NC
0.29182616,22053686,NC
0.25533733,22053687,NC
0.23021108,22053688,NC
0.19895756,22053689,NC
0.15562207,22053690,NC
0.13945264,22053691,NC
0.115114726,22053692,NC
0.07884863,22053693,NC
0.04271122,22053694,NC
0.020434,22053695,NC
-0.008512305,22053696,NC
-0.030552963,22053697,NC
-0.07263136,22053698,NC
-0.09868492,22053699,NC
-0.11784707,22053700,NC
-0.14205714,22053701,NC
-0.19225258,22053702,NC
-0.2114157,22053703,NC
-0.22118942,22053704,NC
-0.241886,22053705,NC
-0.20863204,22053706,NC
-0.1974492,22053707,NC
-0.20142594,22053708,NC
-0.21798009,22053709,NC
-0.23133826,22053710,NC
-0.2622621,22053711,NC
-0.2903605,22053712,NC
-0.28168926,22053713,NC
-0.273156,22053714,NC
-0.23958795,22053715,NC
-0.23555414,22053716,NC
-0.21859954,22053717,NC
-0.21249896,22053718,NC
-0.22948992,22053719,NC
-0.2322021,22053720,NC
-0.22207832,22053721,NC
-0.20347951,22053722,NC
-0.19147554,22053723,NC
-0.15963934,22053724,NC
-0.12824562,22053725,NC
-0.09224947,22053726,NC
-0.06304456,22053727,NC
-0.05764029,22053728,NC
-0.0629099,22053729,NC
-0.0390238,22053730,NC
-0.0040152115,22053731,NC
0.027706072,22053732,NC
0.05894657,22053733,NC
0.07762537,22053734,NC
0.09603865,22053735,NC
0.07646376,22053736,NC
0.03325395,22053737,NC
0.04346875,22053738,NC
0.001180311,22053739,NC
-0.030051328,22053740,NC
-0.07925411,22053741,NC
-0.1445936,22053742,NC
-0.2063861,22053743,NC
-0.24672446,22053744,NC
-0.30397347,22053745,NC
-0.31649804,22053746,NC
-0.31998116,22053747,NC
-0.32342222,22053748,NC
-0.31241682,22053749,NC
-0.30887604,22053750,NC
-0.29108408,22053751,NC
-0.2864119,22053752,NC
-0.3156888,22053753,NC
-0.29682446,22053754,NC
-0.32185808,22053755,NC
-0.2965994,22053756,NC
-0.30718964,22053757,NC
-0.3062723,22053758,NC
-0.32648534,22053759,NC
-0.33466008,22053760,NC
-0.35612732,22053761,NC
-0.36617053,22053762,NC
-0.38765994,22053763,NC
-0.40236235,22053764,NC
-0.4114839,22053765,NC
-0.3943498,22053766,NC
-0.37909445,22053767,NC
-0.34239748,22053768,NC
-0.2767438,22053769,NC
-0.18750949,22053770,NC
-0.07204846,22053771,NC
0.06587548,22053772,NC
0.21055509,22053773,NC
0.40842828,22053774,NC
0.6420685,22053775,NC
0.9372808,22053776,NC
1.2549388,22053777,NC
1.6052411,22053778,NC
1.9390122,22053779,NC
2.2524953,22053780,NC
2.5166774,22053781,NC
2.6873863,22053782,NC
2.7753625,22053783,NC
2.7752125,22053784,F
2.7064178,22053785,NC
2.5567973,22053786,NC
2.3509622,22053787,NC
2.0921016,22053788,NC
1.7603253,22053789,NC
1.4153043,22053790,NC
1.0228664,22053791,NC
0.6100948,22053792,NC
0.20508151,22053793,NC
-0.15005088,22053794,NC
-0.42164177,22053795,NC
-0.5851237,22053796,NC
-0.62575316,22053797,NC
-0.61757076,22053798,NC
-0.57546145,22053799,NC
-0.55221313,22053800,NC
-0.5613534,22053801,NC
-0.58453923,22053802,NC
-0.6210666,22053803,NC
-0.65578324,22053804,NC
-0.71002984,22053805,NC
-0.7424042,22053806,NC
-0.74937683,22053807,NC
-0.78463584,22053808,NC
-0.78906643,22053809,NC
-0.8077908,22053810,NC
-0.79916537,22053811,NC
-0.8166274,22053812,NC
-0.8354313,22053813,NC
-0.8366465,22053814,NC
-0.8292,22053815,NC
-0.83949566,22053816,NC
-0.8367705,22053817,NC
-0.847117,22053818,NC
-0.85946774,22053819,NC
-0.8730832,22053820,NC
-0.8853284,22053821,NC
-0.88455325,22053822,NC
-0.8673874,22053823,NC
-0.8608173,22053824,NC
-0.87483007,22053825,NC
-0.8829425,22053826,NC
-0.89055383,22053827,NC
-0.87163794,22053828,NC
-0.89388895,22053829,NC
-0.8909198,22053830,NC
-0.89979666,22053831,NC
-0.90081847,22053832,NC
-0.89572597,22053833,NC
-0.8745165,22053834,NC
-0.8788139,22053835,NC
-0.8905126,22053836,NC
-0.86999947,22053837,NC
-0.86209947,22053838,NC
-0.84250444,22053839,NC
-0.8392868,22053840,NC
-0.83222455,22053841,NC
-0.8149586,22053842,NC
-0.80606014,22053843,NC
-0.7930693,22053844,NC
-0.7807253,22053845,NC
-0.74602807,22053846,NC
-0.7074913,22053847,NC
-0.6861515,22053848,NC
-0.6567826,22053849,NC
-0.623094,22053850,NC
-0.62112063,22053851,NC
-0.6017382,22053852,NC
-0.57383573,22053853,NC
-0.5404568,22053854,NC
-0.49512568,22053855,NC
-0.45426115,22053856,NC
-0.40852726,22053857,NC
-0.37519354,22053858,NC
-0.3377454,22053859,NC
-0.33957785,22053860,NC
-0.31242016,22053861,NC
-0.2782676,22053862,NC
-0.22440825,22053863,NC
-0.19286299,22053864,NC
-0.14471063,22053865,NC
-0.09530549,22053866,NC
-0.039404407,22053867,NC
-0.01863297,22053868,NC
-0.0022842537,22053869,NC
0.025436163,22053870,NC
0.07962899,22053871,NC
0.11845578,22053872,NC
0.12630342,22053873,NC
0.14776239,22053874,NC
0.1336946,22053875,NC
0.11107835,22053876,NC
0.11835054,22053877,NC
0.10346419,22053878,NC
0.08913377,22053879,NC
0.10703633,22053880,NC
0.106305584,22053881,NC
0.08991885,22053882,NC
0.09061208,22053883,NC
0.07565295,22053884,NC
0.045395985,22053885,NC
0.052156776,22053886,NC
0.031272963,22053887,NC
0.0040699467,22053888,NC
0.0110078715,22053889,NC
-0.030505441,22053890,NC
-0.046376668,22053891,NC
-0.07637888,22053892,NC
-0.12821653,22053893,NC
-0.13530867,22053894,NC
-0.17318748,22053895,NC
-0.18793724,22053896,NC
-0.22685236,22053897,NC
-0.22610708,22053898,NC
-0.2644042,22053899,NC
-0.32898885,22053900,NC
-0.34313428,22053901,NC
-0.36818188,22053902,NC
-0.39017966,22053903,NC
-0.38333145,22053904,NC
-0.41127163,22053905,NC
-0.44040006,22053906,NC
-0.44856158,22053907,NC
-0.45806256,22053908,NC
-0.45705584,22053909,NC
-0.46407524,22053910,NC
-0.4366733,22053911,NC
-0.4219752,22053912,NC
-0.42532337,22053913,NC
-0.43819106,22053914,NC
-0.45556605,22053915,NC
-0.46858194,22053916,NC
-0.4730283,22053917,NC
-0.462599,22053918,NC
-0.4228243,22053919,NC
-0.41538376,22053920,NC
-0.38910916,22053921,NC
-0.380854,22053922,NC
-0.38336965,22053923,NC
-0.37403327,22053924,NC
-0.3850489,22053925,NC
-0.39080134,22053926,NC
-0.3923254,22053927,NC
-0.3772372,22053928,NC
-0.36333522,22053929,NC
-0.3474213,22053930,NC
-0.34647578,22053931,NC
-0.3191215,22053932,NC
-0.28647447,22053933,NC
-0.24870455,22053934,NC
-0.20031516,22053935,NC
-0.16002885,22053936,NC
-0.12120506,22053937,NC
-0.13282943,22053938,NC
-0.12133354,22053939,NC
-0.12104661,22053940,NC
-0.12115112,22053941,NC
-0.11789362,22053942,NC
-0.105248794,22053943,NC
-0.08804819,22053944,NC
-0.098206684,22053945,NC
-0.15188502,22053946,NC
-0.21684465,22053947,NC
-0.2676657,22053948,NC
-0.32153916,22053949,NC
-0.3561794,22053950,NC
-0.3932467,22053951,NC
-0.41099498,22053952,NC
-0.41627884,22053953,NC
-0.42279384,22053954,NC
-0.43785462,22053955,NC
-0.4507763,22053956,NC
-0.45273066,22053957,NC
-0.4470127,22053958,NC
-0.4335775,22053959,NC
-0.4143858,22053960,NC
-0.4134366,22053961,NC
-0.43569306,22053962,NC
-0.4501465,22053963,NC
-0.4432972,22053964,NC
-0.46536076,22053965,NC
-0.4475321,22053966,NC
-0.44637263,22053967,NC
-0.4352767,22053968,NC
-0.42036098,22053969,NC
-0.41026092,22053970,NC
-0.3971114,22053971,NC
-0.38767207,22053972,NC
-0.39757,22053973,NC
-0.40921605,22053974,NC
-0.45622915,22053975,NC
-0.48302174,22053976,NC
-0.53172886,22053977,NC
-0.5567004,22053978,NC
-0.54483473,22053979,NC
-0.4879887,22053980,NC
-0.3359932,22053981,NC
-0.07157959,22053982,NC
0.24693254,22053983,NC
0.6300218,22053984,NC
1.0473802,22053985,NC
1.483101,22053986,NC
1.8875196,22053987,NC
2.182558,22053988,NC
2.3433115,22053989,N
