channel_0,sample #,type
1.4001873,19236009,S
1.381731,19236010,NC
1.1349902,19236011,NC
0.78487307,19236012,NC
0.38824347,19236013,NC
0.03653247,19236014,NC
-0.17258206,19236015,NC
-0.24909127,19236016,NC
-0.2738659,19236017,NC
-0.28347245,19236018,NC
-0.31997547,19236019,NC
-0.34346822,19236020,NC
-0.32323936,19236021,NC
-0.30484945,19236022,NC
-0.27015463,19236023,NC
-0.28669697,19236024,NC
-0.30903798,19236025,NC
-0.35589048,19236026,NC
-0.34544247,19236027,NC
-0.33206904,19236028,NC
-0.32235843,19236029,NC
-0.33790404,19236030,NC
-0.34614322,19236031,NC
-0.34541103,19236032,NC
-0.34231243,19236033,NC
-0.33792534,19236034,NC
-0.32519525,19236035,NC
-0.3138883,19236036,NC
-0.32285267,19236037,NC
-0.3370968,19236038,NC
-0.34766486,19236039,NC
-0.3297923,19236040,NC
-0.31377137,19236041,NC
-0.32292765,19236042,NC
-0.32957882,19236043,NC
-0.34405425,19236044,NC
-0.34864375,19236045,NC
-0.34418282,19236046,NC
-0.31646445,19236047,NC
-0.31669217,19236048,NC
-0.32092214,19236049,NC
-0.33128476,19236050,NC
-0.3321586,19236051,NC
-0.3155861,19236052,NC
-0.2988822,19236053,NC
-0.29371423,19236054,NC
-0.30843937,19236055,NC
-0.31232524,19236056,NC
-0.3163511,19236057,NC
-0.30034548,19236058,NC
-0.29781488,19236059,NC
-0.28954887,19236060,NC
-0.29581746,19236061,NC
-0.30657446,19236062,NC
-0.30179182,19236063,NC
-0.28684166,19236064,NC
-0.25871742,19236065,NC
-0.25617447,19236066,NC
-0.24429432,19236067,NC
-0.26626325,19236068,NC
-0.24864411,19236069,NC
-0.23856017,19236070,NC
-0.2119442,19236071,NC
-0.19545902,19236072,NC
-0.20198669,19236073,NC
-0.21550414,19236074,NC
-0.22340082,19236075,NC
-0.18587779,19236076,NC
-0.17127816,19236077,NC
-0.16142774,19236078,NC
-0.1626126,19236079,NC
-0.15351419,19236080,NC
-0.15436362,19236081,NC
-0.1298358,19236082,NC
-0.100274354,19236083,NC
-0.07943496,19236084,NC
-0.085495204,19236085,NC
-0.07877991,19236086,NC
-0.08069971,19236087,NC
-0.06522524,19236088,NC
-0.027568907,19236089,NC
-0.01859503,19236090,NC
-0.022594947,19236091,NC
-0.019067273,19236092,NC
-0.022022072,19236093,NC
-0.0057271365,19236094,NC
0.013409295,19236095,NC
0.030436948,19236096,NC
0.020085653,19236097,NC
-0.0055936,19236098,NC
0.010524628,19236099,NC
0.0039880765,19236100,NC
0.014128019,19236101,NC
0.010862234,19236102,NC
-0.013796487,19236103,NC
-0.052861605,19236104,NC
-0.07976339,19236105,NC
-0.079349086,19236106,NC
-0.09880997,19236107,NC
-0.10477976,19236108,NC
-0.15254569,19236109,NC
-0.19982418,19236110,NC
-0.220988,19236111,NC
-0.22971404,19236112,NC
-0.23649052,19236113,NC
-0.2401257,19236114,NC
-0.2733588,19236115,NC
-0.29647073,19236116,NC
-0.30771604,19236117,NC
-0.32913136,19236118,NC
-0.3015409,19236119,NC
-0.3222995,19236120,NC
-0.35071805,19236121,NC
-0.37038377,19236122,NC
-0.38072035,19236123,NC
-0.38422668,19236124,NC
-0.36083457,19236125,NC
-0.3592274,19236126,NC
-0.36997652,19236127,NC
-0.39207882,19236128,NC
-0.39394107,19236129,NC
-0.38219428,19236130,NC
-0.36934426,19236131,NC
-0.3753054,19236132,NC
-0.38681653,19236133,NC
-0.39647016,19236134,NC
-0.41245586,19236135,NC
-0.39243808,19236136,NC
-0.37274906,19236137,NC
-0.3767666,19236138,NC
-0.3827099,19236139,NC
-0.39333206,19236140,NC
-0.39373708,19236141,NC
-0.38834962,19236142,NC
-0.36642125,19236143,NC
-0.37399375,19236144,NC
-0.39357632,19236145,NC
-0.40706283,19236146,NC
-0.40276033,19236147,NC
-0.38208872,19236148,NC
-0.3578094,19236149,NC
-0.3599725,19236150,NC
-0.36814857,19236151,NC
-0.38135585,19236152,NC
-0.38462847,19236153,NC
-0.37609622,19236154,NC
-0.35492882,19236155,NC
-0.3595303,19236156,NC
-0.3886485,19236157,NC
-0.38102743,19236158,NC
-0.3812866,19236159,NC
-0.37534732,19236160,NC
-0.36847147,19236161,NC
-0.35910538,19236162,NC
-0.36549166,19236163,NC
-0.37447324,19236164,NC
-0.39388186,19236165,NC
-0.3682696,19236166,NC
-0.34954533,19236167,NC
-0.36025846,19236168,NC
-0.38050646,19236169,NC
-0.3899457,19236170,NC
-0.38175553,19236171,NC
