channel_0,sample #,type
0.745,15335684,V
0.805,15335685,NC
0.78,15335686,NC
0.66,15335687,NC
0.46,15335688,NC
0.24,15335689,NC
0.035,15335690,NC
-0.195,15335691,NC
-0.395,15335692,NC
-0.555,15335693,NC
-0.655,15335694,NC
-0.715,15335695,NC
-0.715,15335696,NC
-0.7,15335697,NC
-0.69,15335698,NC
-0.655,15335699,NC
-0.61,15335700,NC
-0.52,15335701,NC
-0.435,15335702,NC
-0.375,15335703,NC
-0.33,15335704,NC
-0.305,15335705,NC
-0.275,15335706,NC
-0.24,15335707,NC
-0.23,15335708,NC
-0.245,15335709,NC
-0.275,15335710,NC
-0.28,15335711,NC
-0.245,15335712,NC
-0.21,15335713,NC
-0.185,15335714,NC
-0.185,15335715,NC
-0.2,15335716,NC
-0.225,15335717,NC
-0.245,15335718,NC
-0.25,15335719,NC
-0.25,15335720,NC
-0.235,15335721,NC
-0.22,15335722,NC
-0.235,15335723,NC
-0.24,15335724,NC
-0.25,15335725,NC
-0.24,15335726,NC
-0.24,15335727,NC
-0.24,15335728,NC
-0.25,15335729,NC
-0.245,15335730,NC
-0.22,15335731,NC
-0.21,15335732,NC
-0.21,15335733,NC
-0.2,15335734,NC
-0.195,15335735,NC
-0.17,15335736,NC
-0.15,15335737,NC
-0.16,15335738,NC
-0.145,15335739,NC
-0.135,15335740,NC
-0.14,15335741,NC
-0.13,15335742,NC
-0.14,15335743,NC
-0.15,15335744,NC
-0.15,15335745,NC
-0.145,15335746,NC
-0.14,15335747,NC
-0.14,15335748,NC
-0.14,15335749,NC
-0.14,15335750,NC
-0.145,15335751,NC
-0.14,15335752,NC
-0.15,15335753,NC
-0.13,15335754,NC
-0.115,15335755,NC
-0.11,15335756,NC
-0.125,15335757,NC
-0.13,15335758,NC
-0.135,15335759,NC
-0.13,15335760,NC
-0.13,15335761,NC
-0.135,15335762,NC
-0.125,15335763,NC
-0.145,15335764,NC
-0.145,15335765,NC
-0.15,15335766,NC
-0.14,15335767,NC
-0.13,15335768,NC
-0.13,15335769,NC
-0.155,15335770,NC
-0.17,15335771,NC
-0.16,15335772,NC
-0.14,15335773,NC
-0.11,15335774,NC
-0.09,15335775,NC
-0.1,15335776,NC
-0.135,15335777,NC
-0.13,15335778,NC
-0.135,15335779,NC
-0.13,15335780,NC
-0.12,15335781,NC
-0.125,15335782,NC
-0.135,15335783,NC
-0.135,15335784,NC
-0.145,15335785,NC
-0.15,15335786,NC
-0.15,15335787,NC
-0.155,15335788,NC
-0.155,15335789,NC
-0.14,15335790,NC
-0.15,15335791,NC
-0.145,15335792,NC
-0.16,15335793,NC
-0.175,15335794,NC
-0.185,15335795,NC
-0.18,15335796,NC
-0.175,15335797,NC
-0.16,15335798,NC
-0.15,15335799,NC
-0.16,15335800,NC
-0.17,15335801,NC
-0.165,15335802,NC
-0.17,15335803,NC
-0.175,15335804,NC
-0.19,15335805,NC
-0.19,15335806,NC
-0.19,15335807,NC
-0.175,15335808,NC
-0.185,15335809,NC
-0.195,15335810,NC
-0.21,15335811,NC
-0.215,15335812,NC
-0.21,15335813,NC
-0.17,15335814,NC
-0.155,15335815,NC
-0.155,15335816,NC
-0.19,15335817,NC
-0.22,15335818,NC
-0.225,15335819,NC
-0.21,15335820,NC
-0.19,15335821,NC
-0.165,15335822,NC
-0.16,15335823,NC
-0.185,15335824,NC
-0.225,15335825,NC
-0.225,15335826,NC
-0.195,15335827,NC
-0.17,15335828,NC
-0.17,15335829,NC
-0.19,15335830,NC
-0.195,15335831,NC
-0.18,15335832,NC
-0.175,15335833,NC
-0.165,15335834,NC
-0.17,15335835,NC
-0.2,15335836,NC
-0.23,15335837,NC
-0.245,15335838,NC
-0.22,15335839,NC
-0.21,15335840,NC
-0.195,15335841,NC
-0.2,15335842,NC
-0.2,15335843,NC
-0.185,15335844,NC
-0.18,15335845,NC
-0.175,15335846,NC
-0.19,15335847,NC
-0.195,15335848,NC
-0.205,15335849,NC
-0.205,15335850,NC
-0.205,15335851,NC
-0.205,15335852,NC
-0.22,15335853,NC
-0.235,15335854,NC
-0.21,15335855,NC
-0.195,15335856,NC
-0.195,15335857,NC
