channel_0,sample #,type
2.135,22351716,L
2.215,22351717,NC
2.19,22351718,NC
2.025,22351719,NC
1.71,22351720,NC
1.29,22351721,NC
0.89,22351722,NC
0.62,22351723,NC
0.465,22351724,NC
0.375,22351725,NC
0.32,22351726,NC
0.285,22351727,NC
0.285,22351728,NC
0.265,22351729,NC
0.24,22351730,NC
0.21,22351731,NC
0.175,22351732,NC
0.125,22351733,NC
0.075,22351734,NC
0.03,22351735,NC
-0.025,22351736,NC
-0.055,22351737,NC
-0.075,22351738,NC
-0.11,22351739,NC
-0.155,22351740,NC
-0.185,22351741,NC
-0.21,22351742,NC
-0.23,22351743,NC
-0.27,22351744,NC
-0.29,22351745,NC
-0.295,22351746,NC
-0.32,22351747,NC
-0.345,22351748,NC
-0.375,22351749,NC
-0.39,22351750,NC
-0.39,22351751,NC
-0.37,22351752,NC
-0.385,22351753,NC
-0.375,22351754,NC
-0.4,22351755,NC
-0.425,22351756,NC
-0.45,22351757,NC
-0.415,22351758,NC
-0.39,22351759,NC
-0.375,22351760,NC
-0.4,22351761,NC
-0.42,22351762,NC
-0.425,22351763,NC
-0.425,22351764,NC
-0.43,22351765,NC
-0.42,22351766,NC
-0.42,22351767,NC
-0.43,22351768,NC
-0.45,22351769,NC
-0.455,22351770,NC
-0.44,22351771,NC
-0.455,22351772,NC
-0.455,22351773,NC
-0.48,22351774,NC
-0.46,22351775,NC
-0.455,22351776,NC
-0.445,22351777,NC
-0.465,22351778,NC
-0.47,22351779,NC
-0.49,22351780,NC
-0.5,22351781,NC
-0.49,22351782,NC
-0.485,22351783,NC
-0.49,22351784,NC
-0.515,22351785,NC
-0.575,22351786,NC
-0.58,22351787,NC
-0.57,22351788,NC
-0.55,22351789,NC
-0.545,22351790,NC
-0.565,22351791,NC
-0.57,22351792,NC
-0.6,22351793,NC
-0.585,22351794,NC
-0.59,22351795,NC
-0.59,22351796,NC
-0.61,22351797,NC
-0.61,22351798,NC
-0.625,22351799,NC
-0.635,22351800,NC
-0.6,22351801,NC
-0.595,22351802,NC
-0.585,22351803,NC
-0.595,22351804,NC
-0.58,22351805,NC
-0.575,22351806,NC
-0.555,22351807,NC
-0.545,22351808,NC
-0.545,22351809,NC
-0.55,22351810,NC
-0.53,22351811,NC
-0.5,22351812,NC
-0.47,22351813,NC
-0.45,22351814,NC
-0.43,22351815,NC
-0.42,22351816,NC
-0.39,22351817,NC
-0.35,22351818,NC
-0.31,22351819,NC
-0.285,22351820,NC
-0.28,22351821,NC
-0.27,22351822,NC
-0.255,22351823,NC
-0.22,22351824,NC
-0.19,22351825,NC
-0.17,22351826,NC
-0.17,22351827,NC
-0.19,22351828,NC
-0.175,22351829,NC
-0.175,22351830,NC
-0.15,22351831,NC
-0.155,22351832,NC
-0.145,22351833,NC
