channel_0,sample #,type
0.97,20108019,N
1.13,20108020,NC
1.135,20108021,NC
0.945,20108022,NC
0.62,20108023,NC
0.21,20108024,NC
-0.245,20108025,NC
-0.655,20108026,NC
-0.88,20108027,NC
-0.9,20108028,NC
-0.795,20108029,NC
-0.685,20108030,NC
-0.595,20108031,NC
-0.505,20108032,NC
-0.44,20108033,NC
-0.405,20108034,NC
-0.36,20108035,NC
-0.315,20108036,NC
-0.295,20108037,NC
-0.315,20108038,NC
-0.33,20108039,NC
-0.33,20108040,NC
-0.345,20108041,NC
-0.33,20108042,NC
-0.31,20108043,NC
-0.28,20108044,NC
-0.255,20108045,NC
-0.215,20108046,NC
-0.205,20108047,NC
-0.15,20108048,NC
-0.085,20108049,NC
-0.125,20108050,NC
-0.275,20108051,NC
-0.425,20108052,NC
-0.43,20108053,NC
-0.365,20108054,NC
-0.345,20108055,NC
-0.36,20108056,NC
-0.375,20108057,NC
-0.355,20108058,NC
-0.315,20108059,NC
-0.325,20108060,NC
-0.345,20108061,NC
-0.325,20108062,NC
-0.29,20108063,NC
-0.28,20108064,NC
-0.275,20108065,NC
-0.275,20108066,NC
-0.285,20108067,NC
-0.29,20108068,NC
-0.305,20108069,NC
-0.315,20108070,NC
-0.31,20108071,NC
-0.31,20108072,NC
-0.255,20108073,NC
-0.19,20108074,NC
-0.14,20108075,NC
-0.13,20108076,NC
-0.175,20108077,NC
-0.215,20108078,NC
-0.22,20108079,NC
-0.145,20108080,NC
-0.06,20108081,NC
-0.06,20108082,NC
-0.15,20108083,NC
-0.22,20108084,NC
-0.21,20108085,NC
-0.16,20108086,NC
-0.11,20108087,NC
-0.085,20108088,NC
-0.1,20108089,NC
-0.1,20108090,NC
-0.08,20108091,NC
-0.06,20108092,NC
-0.055,20108093,NC
-0.055,20108094,NC
-0.055,20108095,NC
-0.025,20108096,NC
-0.005,20108097,NC
0.0,20108098,NC
0.005,20108099,NC
-0.01,20108100,NC
-0.01,20108101,NC
-0.015,20108102,NC
0.005,20108103,NC
0.01,20108104,NC
-0.005,20108105,NC
-0.035,20108106,NC
-0.045,20108107,NC
-0.045,20108108,NC
-0.06,20108109,NC
-0.08,20108110,NC
-0.115,20108111,NC
-0.13,20108112,NC
-0.125,20108113,NC
-0.125,20108114,NC
-0.12,20108115,NC
-0.145,20108116,NC
-0.175,20108117,NC
-0.205,20108118,NC
-0.225,20108119,NC
-0.235,20108120,NC
-0.24,20108121,NC
-0.265,20108122,NC
-0.305,20108123,NC
-0.345,20108124,NC
-0.355,20108125,NC
-0.335,20108126,NC
-0.31,20108127,NC
-0.28,20108128,NC
-0.29,20108129,NC
-0.315,20108130,NC
-0.34,20108131,NC
-0.33,20108132,NC
-0.325,20108133,NC
-0.335,20108134,NC
-0.36,20108135,NC
-0.37,20108136,NC
-0.36,20108137,NC
