channel_0,sample #,type
0.8315106,11675947,R
0.97654146,11675948,NC
0.93786657,11675949,NC
0.6671422,11675950,NC
0.18370582,11675951,NC
-0.39158347,11675952,NC
-0.92336345,11675953,NC
-1.3391187,11675954,NC
-1.6050087,11675955,NC
-1.7887146,11675956,NC
-1.9144081,11675957,NC
-2.0159297,11675958,NC
-2.0884452,11675959,NC
-2.1367888,11675960,NC
-2.165795,11675961,NC
-2.180298,11675962,NC
-2.218973,11675963,NC
-2.2238073,11675964,NC
-2.2479792,11675965,NC
-2.2383106,11675966,NC
-2.2238073,11675967,NC
-2.194801,11675968,NC
-2.1319544,11675969,NC
-2.0401013,11675970,NC
-1.9530829,11675971,NC
-1.8708987,11675972,NC
-1.7548741,11675973,NC
-1.6291806,11675974,NC
-1.4938184,11675975,NC
-1.3391187,11675976,NC
-1.208591,11675977,NC
-1.0877318,11675978,NC
-0.9717071,11675979,NC
-0.87018543,11675980,NC
-0.79767,11675981,NC
-0.76382947,11675982,NC
-0.76382947,11675983,NC
-0.77349824,11675984,NC
-0.77349824,11675985,NC
-0.79283565,11675986,NC
-0.7880013,11675987,NC
-0.80250436,11675988,NC
-0.79283565,11675989,NC
-0.7686639,11675990,NC
-0.74932635,11675991,NC
-0.7251546,11675992,NC
-0.71065146,11675993,NC
-0.70098275,11675994,NC
-0.6768109,11675995,NC
-0.67197657,11675996,NC
-0.6816453,11675997,NC
-0.691314,11675998,NC
-0.71065146,11675999,NC
-0.7203202,11676000,NC
-0.7589951,11676001,NC
-0.8315106,11676002,NC
-0.8943573,11676003,NC
-0.8750198,11676004,NC
-0.8556824,11676005,NC
-0.82667625,11676006,NC
-0.8170075,11676007,NC
-0.8315106,11676008,NC
-0.8605167,11676009,NC
-0.88952297,11676010,NC
-0.8846886,11676011,NC
-0.8750198,11676012,NC
-0.8750198,11676013,NC
-0.91369474,11676014,NC
-0.9717071,11676015,NC
-1.0200506,11676016,NC
-1.0345539,11676017,NC
-1.0297196,11676018,NC
-1.0152164,11676019,NC
-0.9813758,11676020,NC
-0.96687275,11676021,NC
-0.95720404,11676022,NC
-0.9813758,11676023,NC
-0.97654146,11676024,NC
-1.0007132,11676025,NC
-1.0055476,11676026,NC
-1.0055476,11676027,NC
-1.0007132,11676028,NC
-0.9910445,11676029,NC
-0.97654146,11676030,NC
-0.942701,11676031,NC
-0.91369474,11676032,NC
-0.90402603,11676033,NC
-0.88952297,11676034,NC
-0.8943573,11676035,NC
-0.8798542,11676036,NC
-0.8798542,11676037,NC
-0.8846886,11676038,NC
-0.87018543,11676039,NC
-0.82667625,11676040,NC
-0.76382947,11676041,NC
-0.7058171,11676042,NC
-0.64780474,11676043,NC
-0.61879855,11676044,NC
-0.64780474,11676045,NC
-0.64780474,11676046,NC
-0.66230786,11676047,NC
-0.67197657,11676048,NC
-0.6768109,11676049,NC
-0.6574735,11676050,NC
-0.6768109,11676051,NC
-0.6864796,11676052,NC
-0.6816453,11676053,NC
-0.6236329,11676054,NC
-0.5752893,11676055,NC
-0.5511175,11676056,NC
-0.5414488,11676057,NC
-0.55595183,11676058,NC
-0.5607862,11676059,NC
-0.5946267,11676060,NC
-0.584958,11676061,NC
-0.5462831,11676062,NC
-0.52694565,11676063,NC
-0.56562054,11676064,NC
-0.60912985,11676065,NC
-0.6574735,11676066,NC
-0.6816453,11676067,NC
-0.6816453,11676068,NC
-0.64780474,11676069,NC
-0.6042955,11676070,NC
-0.52694565,11676071,NC
-0.49793947,11676072,NC
-0.48827073,11676073,NC
-0.49793947,11676074,NC
-0.5414488,11676075,NC
-0.584958,11676076,NC
-0.62846726,11676077,NC
-0.6574735,11676078,NC
-0.67197657,11676079,NC
-0.6429704,11676080,NC
-0.6139642,11676081,NC
-0.58012366,11676082,NC
-0.53661436,11676083,NC
-0.52694565,11676084,NC
-0.55595183,11676085,NC
-0.5704549,11676086,NC
-0.584958,11676087,NC
-0.6042955,11676088,NC
-0.6574735,11676089,NC
-0.67197657,11676090,NC
-0.70098275,11676091,NC
-0.6864796,11676092,NC
-0.66230786,11676093,NC
-0.6429704,11676094,NC
-0.638136,11676095,NC
-0.6236329,11676096,NC
-0.6139642,11676097,NC
-0.64780474,11676098,NC
-0.6961484,11676099,NC
-0.73965764,11676100,NC
-0.76382947,11676101,NC
-0.7154859,11676102,NC
-0.67197657,11676103,NC
-0.64780474,11676104,NC
-0.62846726,11676105,NC
-0.6236329,11676106,NC
-0.6236329,11676107,NC
-0.6429704,11676108,NC
-0.66230786,11676109,NC
-0.6768109,11676110,NC
-0.691314,11676111,NC
-0.70098275,11676112,NC
-0.7154859,11676113,NC
-0.6961484,11676114,NC
-0.6574735,11676115,NC
-0.6333016,11676116,NC
-0.59946114,11676117,NC
-0.59946114,11676118,NC
-0.6139642,11676119,NC
-0.61879855,11676120,NC
-0.62846726,11676121,NC
-0.6574735,11676122,NC
-0.6961484,11676123,NC
-0.744492,11676124,NC
-0.7783326,11676125,NC
-0.79283565,11676126,NC
-0.7686639,11676127,NC
-0.7154859,11676128,NC
-0.6333016,11676129,NC
-0.5752893,11676130,NC
-0.52694565,11676131,NC
-0.53178,11676132,NC
-0.5124425,11676133,NC
-0.5124425,11676134,NC
-0.48343638,11676135,NC
-0.44959584,11676136,NC
-0.44959584,11676137,NC
-0.46893328,11676138,NC
-0.44476148,11676139,NC
-0.42058966,11676140,NC
-0.39158347,11676141,NC
-0.36741164,11676142,NC
-0.37708035,11676143,NC
-0.425424,11676144,NC
-0.5076082,11676145,NC
-0.59946114,11676146,NC
-0.67197657,11676147,NC
-0.7154859,11676148,NC
-0.70098275,11676149,NC
-0.61879855,11676150,NC
-0.5414488,11676151,NC
-0.4544302,11676152,NC
-0.40608653,11676153,NC
-0.43025836,11676154,NC
-0.47860202,11676155,NC
-0.55595183,11676156,NC
-0.5752893,11676157,NC
-0.6042955,11676158,NC
-0.60912985,11676159,NC
-0.6574735,11676160,NC
-0.744492,11676161,NC
-0.80250436,11676162,NC
-0.8170075,11676163,NC
-0.81217307,11676164,NC
-0.78316694,11676165,NC
-0.77349824,11676166,NC
-0.7880013,11676167,NC
-0.78316694,11676168,NC
-0.8073387,11676169,NC
-0.8411793,11676170,NC
-0.8605167,11676171,NC
-0.8605167,11676172,NC
-0.8170075,11676173,NC
-0.78316694,11676174,NC
-0.7589951,11676175,NC
-0.8073387,11676176,NC
-0.8556824,11676177,NC
-0.8798542,11676178,NC
-0.8991917,11676179,NC
-0.850848,11676180,NC
-0.82667625,11676181,NC
-0.7880013,11676182,NC
-0.78316694,11676183,NC
-0.77349824,11676184,NC
-0.7589951,11676185,NC
-0.7783326,11676186,NC
-0.80250436,11676187,NC
-0.8073387,11676188,NC
-0.8170075,11676189,NC
-0.81217307,11676190,NC
-0.8170075,11676191,NC
-0.84601367,11676192,NC
-0.8798542,11676193,NC
-0.88952297,11676194,NC
-0.87018543,11676195,NC
-0.7686639,11676196,NC
-0.6333016,11676197,NC
-0.44476148,11676198,NC
-0.26589,11676199,NC
-0.14019655,11676200,NC
-0.08218419,11676201,NC
-0.06284673,11676202,NC
-0.04834364,11676203,NC
0.04834364,11676204,NC
0.25622126,11676205,NC
0.51727694,11676206,NC
0.8073387,11676207,R
0.9620384,11676208,NC
0.8798542,11676209,NC
0.5752893,11676210,NC
0.06284673,11676211,NC
-0.55595183,11676212,NC
-1.169916,11676213,NC
-1.6726899,11676214,NC
-1.9724203,11676215,NC
-2.112617,11676216,NC
-2.1851325,11676217,NC
-2.218973,11676218,NC
-2.2479792,11676219,NC
-2.2914884,11676220,NC
-2.3349977,11676221,NC
-2.3591695,11676222,NC
-2.3446665,11676223,NC
-2.3156602,11676224,NC
-2.2673166,11676225,NC
-2.2286417,11676226,NC
-2.2093043,11676227,NC
-2.1754637,11676228,NC
-2.112617,11676229,NC
-2.044936,11676230,NC
-1.9869236,11676231,NC
-1.8757331,11676232,NC
-1.701696,11676233,NC
-1.4986527,11676234,NC
-1.276272,11676235,NC
-1.102235,11676236,NC
-0.97654146,11676237,NC
-0.9185291,11676238,NC
-0.90402603,11676239,NC
-0.88952297,11676240,NC
-0.87018543,11676241,NC
