channel_0,sample #,type
0.8956733,21050752,R
0.9598232,21050753,NC
0.8269685,21050754,NC
0.4925276,21050755,NC
0.07561956,21050756,NC
-0.28631052,21050757,NC
-0.5245402,21050758,NC
-0.5840913,21050759,NC
-0.5611754,21050760,NC
-0.5382597,21050761,NC
-0.5519961,21050762,NC
-0.56573254,21050763,NC
-0.61153966,21050764,NC
-0.6390208,21050765,NC
-0.675665,21050766,NC
-0.70772785,21050767,NC
-0.7168833,21050768,NC
-0.69854975,21050769,NC
-0.6756348,21050770,NC
-0.65272,21050771,NC
-0.66645724,21050772,NC
-0.68477607,21050773,NC
-0.71683955,21050774,NC
-0.71225107,21050775,NC
-0.6572662,21050776,NC
-0.5976998,21050777,NC
-0.5472966,21050778,NC
-0.5243825,21050779,NC
-0.51979446,21050780,NC
-0.492299,21050781,NC
-0.4373146,21050782,NC
-0.37316734,21050783,NC
-0.31360164,21050784,NC
-0.27694353,21050785,NC
-0.24944854,21050786,NC
-0.23111662,21050787,NC
-0.2173663,21050788,NC
-0.19445306,21050789,NC
-0.19444743,21050790,NC
-0.18527886,21050791,NC
-0.2081809,21050792,NC
-0.20817554,21050793,NC
-0.18068127,21050794,NC
-0.14860554,21050795,NC
-0.12569295,21050796,NC
-0.12568794,21050797,NC
-0.12568302,21050798,NC
-0.121096686,21050799,NC
-0.12567344,21050800,NC
-0.1210873,21050801,NC
-0.10733821,21050802,NC
-0.107333735,21050803,NC
-0.09816635,21050804,NC
-0.10274355,21050805,NC
-0.07525034,21050806,NC
-0.024849702,21050807,NC
-0.034008678,21050808,NC
-0.07065676,21050809,NC
-0.07981592,21050810,NC
-0.084393665,21050811,NC
-0.04773798,21050812,NC
0.025569635,21050813,NC
0.039317627,21050814,NC
0.011832014,21050815,NC
-0.011072189,21050816,NC
-0.0064874664,21050817,NC
0.021004677,21050818,NC
0.039333723,21050819,NC
0.03017367,21050820,NC
0.034758035,21050821,NC
0.05308681,21050822,NC
0.075997,21050823,NC
0.0943256,21050824,NC
0.12639861,21050825,NC
0.14472704,21050826,NC
0.13556635,21050827,NC
0.14931309,21050828,NC
0.17222275,21050829,NC
0.17222479,21050830,NC
0.18138978,21050831,NC
0.16764714,21050832,NC
0.1447414,21050833,NC
0.1355801,21050834,NC
0.1355817,21050835,NC
0.15849072,21050836,NC
0.17223665,21050837,NC
0.16307497,21050838,NC
0.13100572,21050839,NC
