channel_0,sample #,type
0.41617334,11095830,R
0.54511994,11095831,NC
0.56091446,11095832,NC
0.40574953,11095833,NC
0.0439481,11095834,NC
-0.4945742,11095835,NC
-1.0295693,11095836,NC
-1.4810871,11095837,NC
-1.799441,11095838,NC
-1.9624274,11095839,NC
-2.0529444,11095840,NC
-2.070023,11095841,NC
-2.094357,11095842,NC
-2.1097105,11095843,NC
-2.1355643,11095844,NC
-2.1550612,11095845,NC
-2.1703808,11095846,NC
-2.1807601,11095847,NC
-2.1636446,11095848,NC
-2.1452801,11095849,NC
-2.1250455,11095850,NC
-2.101794,11095851,NC
-2.071005,11095852,NC
-2.0194182,11095853,NC
-1.9842603,11095854,NC
-1.9127674,11095855,NC
-1.7934355,11095856,NC
-1.6400371,11095857,NC
-1.4864149,11095858,NC
-1.336887,11095859,NC
-1.2378178,11095860,NC
-1.1072358,11095861,NC
-1.0452095,11095862,NC
-1.0005008,11095863,NC
-0.9640979,11095864,NC
-0.9376918,11095865,NC
-0.926265,11095866,NC
-0.91587937,11095867,NC
-0.9138145,11095868,NC
-0.91769695,11095869,NC
-0.9400493,11095870,NC
-0.9460866,11095871,NC
-0.9364616,11095872,NC
-0.93097436,11095873,NC
-0.90811604,11095874,NC
-0.8848964,11095875,NC
-0.87004024,11095876,NC
-0.8574199,11095877,NC
-0.8743379,11095878,NC
-0.86817616,11095879,NC
-0.8849363,11095880,NC
-0.8874296,11095881,NC
-0.91634315,11095882,NC
-0.90766525,11095883,NC
-0.92583144,11095884,NC
-0.9153942,11095885,NC
-0.90670544,11095886,NC
-0.8982016,11095887,NC
-0.8946839,11095888,NC
-0.8997512,11095889,NC
-0.9207628,11095890,NC
-0.93089277,11095891,NC
-0.95210725,11095892,NC
-0.9658512,11095893,NC
-0.9769954,11095894,NC
-0.99678195,11095895,NC
-1.0040895,11095896,NC
-0.99878323,11095897,NC
-0.9957263,11095898,NC
-1.0146863,11095899,NC
-1.0081652,11095900,NC
-0.9996895,11095901,NC
-1.0332298,11095902,NC
-1.0412182,11095903,NC
-1.0756242,11095904,NC
-1.0717759,11095905,NC
-1.0856756,11095906,NC
-1.0892025,11095907,NC
-1.1057003,11095908,NC
-1.1085597,11095909,NC
-1.1032692,11095910,NC
-1.0967746,11095911,NC
-1.1164765,11095912,NC
-1.1119808,11095913,NC
-1.1239252,11095914,NC
-1.1233699,11095915,NC
-1.1300892,11095916,NC
-1.1434636,11095917,NC
-1.1167405,11095918,NC
-1.1276219,11095919,NC
-1.0976422,11095920,NC
-1.1038369,11095921,NC
-1.084774,11095922,NC
-1.075499,11095923,NC
-1.0598143,11095924,NC
-1.0394671,11095925,NC
-1.0623264,11095926,NC
-1.0616248,11095927,NC
-1.0393025,11095928,NC
-1.0402408,11095929,NC
-1.0153893,11095930,NC
-1.0036126,11095931,NC
-1.0014595,11095932,NC
-0.9694017,11095933,NC
-0.9377713,11095934,NC
-0.91142374,11095935,NC
-0.8678647,11095936,NC
-0.8544679,11095937,NC
-0.84606075,11095938,NC
-0.8538827,11095939,NC
-0.8713901,11095940,NC
-0.8802893,11095941,NC
-0.8596509,11095942,NC
-0.8510348,11095943,NC
-0.8492347,11095944,NC
-0.84027416,11095945,NC
-0.83754236,11095946,NC
-0.821403,11095947,NC
-0.81418824,11095948,NC
-0.7950208,11095949,NC
-0.7734023,11095950,NC
-0.76215255,11095951,NC
-0.75805503,11095952,NC
-0.75077254,11095953,NC
-0.75627756,11095954,NC
-0.7817978,11095955,NC
-0.7833126,11095956,NC
-0.77589774,11095957,NC
-0.79175496,11095958,NC
-0.7765396,11095959,NC
-0.7613479,11095960,NC
-0.74528795,11095961,NC
-0.76937497,11095962,NC
-0.7540126,11095963,NC
-0.76880467,11095964,NC
-0.76098955,11095965,NC
-0.77294886,11095966,NC
-0.78068763,11095967,NC
-0.7762625,11095968,NC
-0.7946084,11095969,NC
-0.78109396,11095970,NC
-0.78450644,11095971,NC
-0.7676406,11095972,NC
-0.7549916,11095973,NC
-0.79463947,11095974,NC
-0.7863513,11095975,NC
-0.80581343,11095976,NC
-0.78936696,11095977,NC
-0.8204467,11095978,NC
-0.8088605,11095979,NC
-0.81451833,11095980,NC
-0.8130057,11095981,NC
-0.8161388,11095982,NC
-0.80678546,11095983,NC
-0.779561,11095984,NC
-0.777237,11095985,NC
-0.78544044,11095986,NC
-0.81464124,11095987,NC
-0.8272222,11095988,NC
-0.8365055,11095989,NC
-0.8393334,11095990,NC
-0.8338365,11095991,NC
-0.8429776,11095992,NC
-0.83351123,11095993,NC
-0.8143452,11095994,NC
-0.791775,11095995,NC
-0.7868885,11095996,NC
-0.7710795,11095997,NC
-0.76407397,11095998,NC
-0.779278,11095999,NC
-0.7929432,11096000,NC
-0.8166754,11096001,NC
-0.84831005,11096002,NC
-0.8558956,11096003,NC
-0.8509294,11096004,NC
-0.8442569,11096005,NC
-0.82185715,11096006,NC
-0.7955798,11096007,NC
-0.7770181,11096008,NC
-0.779383,11096009,NC
-0.7829948,11096010,NC
-0.7863847,11096011,NC
-0.79884845,11096012,NC
-0.81660384,11096013,NC
-0.81452674,11096014,NC
-0.80495906,11096015,NC
-0.8100085,11096016,NC
-0.8019912,11096017,NC
-0.8271695,11096018,NC
-0.81776905,11096019,NC
-0.8189505,11096020,NC
-0.8027024,11096021,NC
-0.8182077,11096022,NC
-0.81820303,11096023,NC
-0.8096121,11096024,NC
-0.8329115,11096025,NC
-0.82814664,11096026,NC
-0.8358978,11096027,NC
-0.8292614,11096028,NC
-0.80856204,11096029,NC
-0.7843549,11096030,NC
-0.77179694,11096031,NC
-0.7610228,11096032,NC
-0.7753752,11096033,NC
-0.77257323,11096034,NC
-0.7748891,11096035,NC
-0.7855311,11096036,NC
-0.7855956,11096037,NC
-0.7903608,11096038,NC
-0.77796173,11096039,NC
-0.77210957,11096040,NC
-0.7657489,11096041,NC
-0.7427939,11096042,NC
-0.747609,11096043,NC
-0.7463158,11096044,NC
-0.71356267,11096045,NC
-0.71281826,11096046,NC
-0.6811083,11096047,NC
-0.67745805,11096048,NC
-0.6954472,11096049,NC
-0.69430023,11096050,NC
-0.69999903,11096051,NC
-0.6721461,11096052,NC
-0.63930196,11096053,NC
-0.61006224,11096054,NC
-0.5971975,11096055,NC
-0.5811093,11096056,NC
-0.57205755,11096057,NC
-0.5802451,11096058,NC
-0.58910537,11096059,NC
-0.5939626,11096060,NC
-0.58762497,11096061,NC
-0.61642253,11096062,NC
-0.62698513,11096063,NC
-0.63712066,11096064,NC
-0.65660465,11096065,NC
-0.63888955,11096066,NC
-0.6303456,11096067,NC
