channel_0,sample #,type
-1.180593,18203357,V
-1.1834447,18203358,NC
-1.1820188,18203359,NC
-1.172038,18203360,NC
-1.1406696,18203361,NC
-1.0921911,18203362,NC
-1.0266026,18203363,NC
-0.95673656,18203364,NC
-0.8968515,18203365,NC
-0.8540764,18203366,NC
-0.8326888,18203367,NC
-0.8255596,18203368,NC
-0.82983714,18203369,NC
-0.84266967,18203370,NC
-0.8640572,18203371,NC
-0.8868706,18203372,NC
-0.9111098,18203373,NC
-0.93677485,18203374,NC
-0.95531076,18203375,NC
-0.9724208,18203376,NC
-0.98382753,18203377,NC
-0.9838276,18203378,NC
-0.98097587,18203379,NC
-0.98097587,18203380,NC
-0.9824017,18203381,NC
-0.9866792,18203382,NC
-0.99095666,18203383,NC
-0.98810506,18203384,NC
-0.9824017,18203385,NC
-0.98097587,18203386,NC
-0.98097587,18203387,NC
-0.9866792,18203388,NC
-0.988105,18203389,NC
-0.98382753,18203390,NC
-0.97955,18203391,NC
-0.97955,18203392,NC
-0.98810506,18203393,NC
-0.99808586,18203394,NC
-1.005215,18203395,NC
-0.99808586,18203396,NC
-0.98525333,18203397,NC
-0.9838275,18203398,NC
-0.9838275,18203399,NC
-0.98667914,18203400,NC
-0.988105,18203401,NC
-0.9766983,18203402,NC
-0.96101415,18203403,NC
-0.95245904,18203404,NC
-0.9467557,18203405,NC
-0.9410524,18203406,NC
-0.93677485,18203407,NC
-0.92821985,18203408,NC
-0.91966486,18203409,NC
-0.91253567,18203410,NC
-0.91253567,18203411,NC
-0.91538733,18203412,NC
-0.91681314,18203413,NC
-0.9139615,18203414,NC
-0.9039806,18203415,NC
-0.8954257,18203416,NC
-0.89114815,18203417,NC
-0.8882964,18203418,NC
-0.8840189,18203419,NC
-0.8683348,18203420,NC
-0.84694713,18203421,NC
-0.8355404,18203422,NC
-0.8284113,18203423,NC
-0.82555956,18203424,NC
-0.821282,18203425,NC
-0.8055979,18203426,NC
-0.78706205,18203427,NC
-0.7713778,18203428,NC
-0.7628228,18203429,NC
-0.7585453,18203430,NC
-0.7528419,18203431,NC
-0.7414352,18203432,NC
-0.72717685,18203433,NC
-0.71291846,18203434,NC
-0.70578927,18203435,NC
-0.7015118,18203436,NC
-0.6958085,18203437,NC
-0.6829759,18203438,NC
-0.6701434,18203439,NC
-0.6587367,18203440,NC
-0.6487558,18203441,NC
-0.6444783,18203442,NC
-0.63449746,18203443,NC
-0.62166494,18203444,NC
-0.60598075,18203445,NC
-0.5902965,18203446,NC
-0.5788898,18203447,NC
-0.56890893,18203448,NC
-0.55892813,18203449,NC
-0.54609555,18203450,NC
-0.533263,18203451,NC
-0.5232822,18203452,NC
-0.5190047,18203453,NC
-0.5204305,18203454,NC
-0.5147272,18203455,NC
-0.5047463,18203456,NC
-0.4904879,18203457,NC
-0.4748037,18203458,NC
-0.46482286,18203459,NC
-0.4576937,18203460,NC
-0.44628695,18203461,NC
-0.4306028,18203462,NC
-0.41349274,18203463,NC
-0.39923435,18203464,NC
-0.38782766,18203465,NC
-0.37927264,18203466,NC
-0.36644012,18203467,NC
-0.34647837,18203468,NC
-0.32651666,18203469,NC
-0.31368414,18203470,NC
-0.30940664,18203471,NC
-0.30940664,18203472,NC
-0.30940664,18203473,NC
-0.30085164,18203474,NC
-0.2851674,18203475,NC
-0.27233487,18203476,NC
-0.26235402,18203477,NC
-0.25379896,18203478,NC
-0.24809563,18203479,NC
-0.2352631,18203480,NC
-0.2238564,18203481,NC
-0.21815306,18203482,NC
-0.21672723,18203483,NC
-0.21815306,18203484,NC
-0.2153014,18203485,NC
-0.20246886,18203486,NC
-0.19106215,18203487,NC
-0.18250713,18203488,NC
-0.17965546,18203489,NC
-0.18393297,18203490,NC
-0.1810813,18203491,NC
-0.1768038,18203492,NC
-0.16682294,18203493,NC
-0.16254541,18203494,NC
-0.16539708,18203495,NC
-0.17537794,18203496,NC
-0.1853588,18203497,NC
-0.18393296,18203498,NC
-0.1810813,18203499,NC
-0.17822963,18203500,NC
-0.17965546,18203501,NC
-0.1810813,18203502,NC
-0.17965546,18203503,NC
-0.1653971,18203504,NC
-0.14971289,18203505,NC
-0.14686121,18203506,NC
-0.14828706,18203507,NC
-0.15541624,18203508,NC
-0.16111958,18203509,NC
-0.15826792,18203510,NC
-0.1539904,18203511,NC
-0.15969375,18203512,NC
-0.16682293,18203513,NC
-0.17395212,18203514,NC
-0.17252627,18203515,NC
-0.1653971,18203516,NC
-0.15969375,18203517,NC
-0.15541624,18203518,NC
-0.15969375,18203519,NC
-0.16397125,18203520,NC
-0.16254541,18203521,NC
-0.15684207,18203522,NC
-0.15113872,18203523,NC
-0.14686121,18203524,NC
-0.14686121,18203525,NC
-0.14971289,18203526,NC
-0.14828704,18203527,NC
-0.14115787,18203528,NC
-0.13402867,18203529,NC
-0.13117701,18203530,NC
-0.13688034,18203531,NC
-0.14686121,18203532,NC
-0.15541624,18203533,NC
-0.15969375,18203534,NC
-0.15399039,18203535,NC
-0.15256456,18203536,NC
-0.15684207,18203537,NC
-0.15969375,18203538,NC
-0.16682291,18203539,NC
-0.15684205,18203540,NC
-0.14543536,18203541,NC
-0.14115787,18203542,NC
-0.13830619,18203543,NC
-0.14543538,18203544,NC
-0.14400953,18203545,NC
-0.13688035,18203546,NC
-0.12975115,18203547,NC
-0.12689948,18203548,NC
-0.13260284,18203549,NC
-0.1383062,18203550,NC
-0.14400953,18203551,NC
-0.14400953,18203552,NC
-0.14400953,18203553,NC
-0.14400953,18203554,NC
-0.14686121,18203555,NC
-0.14971288,18203556,NC
-0.15256456,18203557,NC
-0.14971289,18203558,NC
-0.14115787,18203559,NC
-0.13973203,18203560,NC
-0.14115787,18203561,NC
-0.14543536,18203562,NC
-0.14686121,18203563,NC
-0.13973202,18203564,NC
-0.1268995,18203565,NC
-0.12119614,18203566,NC
-0.12119614,18203567,NC
-0.1268995,18203568,NC
-0.12975118,18203569,NC
-0.12689948,18203570,NC
-0.12832533,18203571,NC
