channel_0,sample #,type
1.5248767,14781662,R
1.4201536,14781663,NC
1.2704326,14781664,NC
1.0557134,14781665,NC
0.8009963,14781666,NC
0.5362811,14781667,NC
0.2815679,14781668,NC
0.026856631,14781669,NC
-0.2328527,14781670,NC
-0.4825601,14781671,NC
-0.71226555,14781672,NC
-0.89696914,14781673,NC
-1.0066708,14781674,NC
-1.0913706,14781675,NC
-1.1310686,14781676,NC
-1.1407646,14781677,NC
-1.1354587,14781678,NC
-1.130151,14781679,NC
-1.1048415,14781680,NC
-1.0645301,14781681,NC
-1.0242169,14781682,NC
-0.9939019,14781683,NC
-0.97358507,14781684,NC
-0.96326643,14781685,NC
-0.947946,14781686,NC
-0.94262385,14781687,NC
-0.9572999,14781688,NC
-0.9669742,14781689,NC
-0.9716468,14781690,NC
-0.9813176,14781691,NC
-0.97598666,14781692,NC
-0.965654,14781693,NC
-0.9653197,14781694,NC
-0.96498364,14781695,NC
-0.9546459,14781696,NC
-0.9593064,14781697,NC
-0.9789654,14781698,NC
-0.95362264,14781699,NC
-0.98327833,14781700,NC
-0.97793233,14781701,NC
-0.99258465,14781702,NC
-0.97223544,14781703,NC
-0.9768846,14781704,NC
-0.9615322,14781705,NC
-0.9611782,14781706,NC
-0.9658226,14781707,NC
-0.9654654,14781708,NC
-0.9701067,14781709,NC
-0.9797465,14781710,NC
-0.9743847,14781711,NC
-0.9940215,14781712,NC
-0.9886567,14781713,NC
-0.98329043,14781714,NC
-0.99292266,14781715,NC
-0.9825535,14781716,NC
-0.9821828,14781717,NC
-0.9818107,14781718,NC
-0.97143716,14781719,NC
-0.9710622,14781720,NC
-0.9706858,14781721,NC
-0.98030794,14781722,NC
-0.9849288,14781723,NC
-0.9895482,14781724,NC
-1.0091662,14781725,NC
-0.998783,14781726,NC
-0.99839836,14781727,NC
-1.0080124,14781728,NC
-1.0126251,14781729,NC
-1.0072365,14781730,NC
-0.9918466,14781731,NC
-0.9914555,14781732,NC
-0.99606305,14781733,NC
-1.0106694,14781734,NC
-1.0052744,14781735,NC
-1.0298783,14781736,NC
-1.0344808,14781737,NC
-1.0340823,14781738,NC
-1.0286825,14781739,NC
-1.0182815,14781740,NC
-1.0178792,14781741,NC
-1.012476,14781742,NC
-1.0120715,14781743,NC
-1.0116658,14781744,NC
-1.0062591,14781745,NC
-1.0108513,14781746,NC
-1.0354422,14781747,NC
-1.0250323,14781748,NC
-1.0196211,14781749,NC
-1.0342089,14781750,NC
-1.0387957,14781751,NC
-1.0233815,14781752,NC
-1.0229661,14781753,NC
-1.0075499,14781754,NC
-0.99213254,14781755,NC
-0.99671423,14781756,NC
-0.996295,14781757,NC
-1.0058748,14781758,NC
-1.0054536,14781759,NC
-1.0150316,14781760,NC
-1.0096085,14781761,NC
-0.9991846,14781762,NC
-0.98875976,14781763,NC
-0.98333406,14781764,NC
-0.9579075,14781765,NC
-0.9474801,14781766,NC
-0.9320518,14781767,NC
-0.9366227,14781768,NC
-0.93119276,14781769,NC
-0.925762,14781770,NC
-0.9203305,14781771,NC
-0.9098982,14781772,NC
-0.8944652,14781773,NC
-0.8940314,14781774,NC
-0.87359685,14781775,NC
-0.8531616,14781776,NC
-0.8327256,14781777,NC
-0.81228894,14781778,NC
-0.8018516,14781779,NC
-0.79641354,14781780,NC
-0.77597487,14781781,NC
-0.76053554,14781782,NC
-0.7550956,14781783,NC
-0.749655,14781784,NC
-0.72921383,14781785,NC
-0.71377206,14781786,NC
-0.69832975,14781787,NC
-0.67788684,14781788,NC
-0.66244334,14781789,NC
-0.64199936,14781790,NC
-0.6315549,14781791,NC
-0.6311099,14781792,NC
-0.63066435,14781793,NC
-0.6352184,14781794,NC
-0.62977195,14781795,NC
-0.634325,14781796,NC
-0.62887764,14781797,NC
-0.6384299,14781798,NC
-0.6379817,14781799,NC
