channel_0,sample #,type
0.4574313,11364762,R
0.6593728,11364763,NC
0.77717745,11364764,NC
0.6818366,11364765,NC
0.37335017,11364766,NC
-0.12584555,11364767,NC
-0.72600526,11364768,NC
-1.3149475,11364769,NC
-1.7692726,11364770,NC
-2.0441077,11364771,NC
-2.189935,11364772,NC
-2.2684534,11364773,NC
-2.358191,11364774,NC
-2.4086657,11364775,NC
-2.4759681,11364776,NC
-2.5376625,11364777,NC
-2.5825295,11364778,NC
-2.5937436,11364779,NC
-2.5769122,11364780,NC
-2.5488636,11364781,NC
-2.5376432,11364782,NC
-2.5320318,11364783,NC
-2.5208125,11364784,NC
-2.5039847,11364785,NC
-2.4703302,11364786,NC
-2.41424,11364787,NC
-2.3076687,11364788,NC
-2.1730528,11364789,NC
-1.9711287,11364790,NC
-1.769205,11364791,NC
-1.5841094,11364792,NC
-1.4382778,11364793,NC
-1.3204923,11364794,NC
-1.253189,11364795,NC
-1.1914957,11364796,NC
-1.1802844,11364797,NC
-1.1690739,11364798,NC
-1.1522549,11364799,NC
-1.1410458,11364800,NC
-1.1354463,11364801,NC
-1.101802,11364802,NC
-1.0737675,11364803,NC
-1.0681698,11364804,NC
-1.062573,11364805,NC
-1.0569767,11364806,NC
-1.0625991,11364807,NC
-1.0626131,11364808,NC
-1.0626279,11364809,NC
-1.0738614,11364810,NC
-1.0963135,11364811,NC
-1.0963302,11364812,NC
-1.0851291,11364813,NC
-1.0907562,11364814,NC
-1.0851656,11364815,NC
-1.0739665,11364816,NC
-1.0683773,11364817,NC
-1.090834,11364818,NC
-1.096464,11364819,NC
-1.1245313,11364820,NC
-1.163817,11364821,NC
-1.1862763,11364822,NC
-1.1750817,11364823,NC
-1.1919333,11364824,NC
-1.1919582,11364825,NC
-1.2144198,11364826,NC
-1.1976188,11364827,NC
-1.1976457,11364828,NC
-1.1920639,11364829,NC
-1.2201372,11364830,NC
-1.2369932,11364831,NC
-1.2594588,11364832,NC
-1.2875342,11364833,NC
-1.3100011,11364834,NC
-1.3212504,11364835,NC
-1.3325005,11364836,NC
-1.3605783,11364837,NC
-1.3550023,11364838,NC
-1.3382088,11364839,NC
-1.3438522,11364840,NC
-1.3551054,11364841,NC
-1.3607502,11364842,NC
-1.3776137,11364843,NC
-1.3776504,11364844,NC
-1.3832971,11364845,NC
-1.3833351,11364846,NC
-1.3777648,11364847,NC
-1.3946315,11364848,NC
-1.4114989,11364849,NC
-1.383494,11364850,NC
-1.3667082,11364851,NC
-1.372359,11364852,NC
-1.3387471,11364853,NC
-1.3219632,11364854,NC
-1.3276161,11364855,NC
-1.294006,11364856,NC
-1.3052692,11364857,NC
-1.2997057,11364858,NC
-1.2604884,11364859,NC
-1.23249,11364860,NC
-1.2101012,11364861,NC
-1.1764951,11364862,NC
-1.1372802,11364863,NC
-1.1148933,11364864,NC
-1.0644616,11364865,NC
-1.0364668,11364866,NC
-1.0365182,11364867,NC
-1.0029156,11364868,NC
-1.0029681,11364869,NC
-1.0086303,11364870,NC
-1.008684,11364871,NC
-0.99752027,11364872,NC
-0.97513896,11364873,NC
-0.96397644,11364874,NC
-0.9247691,11364875,NC
-0.9192169,11364876,NC
-0.9024471,11364877,NC
-0.89689606,11364878,NC
-0.8913457,11364879,NC
-0.8745777,11364880,NC
-0.88585585,11364881,NC
-0.89152545,11364882,NC
-0.9028047,11364883,NC
-0.8972574,11364884,NC
-0.90292877,11364885,NC
-0.8973827,11364886,NC
-0.88622814,11364887,NC
-0.86385596,11364888,NC
-0.8583117,11364889,NC
-0.86398613,11364890,NC
-0.8528341,11364891,NC
-0.8585098,11364892,NC
-0.86979514,11364893,NC
-0.875472,11364894,NC
-0.8979769,11364895,NC
-0.90365493,11364896,NC
-0.91494274,11364897,NC
-0.909404,11364898,NC
-0.8926476,11364899,NC
-0.8646736,11364900,NC
-0.88718206,11364901,NC
-0.8816457,11364902,NC
-0.8761098,11364903,NC
-0.8874018,11364904,NC
-0.89308536,11364905,NC
-0.9099877,11364906,NC
-0.91567236,11364907,NC
-0.92135775,11364908,NC
-0.9270437,11364909,NC
-0.93273014,11364910,NC
-0.9271992,11364911,NC
-0.9104506,11364912,NC
-0.91052985,11364913,NC
-0.9218278,11364914,NC
-0.9219082,11364915,NC
-0.9444255,11364916,NC
-0.95011616,11364917,NC
-0.96141654,11364918,NC
-0.9671084,11364919,NC
-0.984019,11364920,NC
-0.9672758,11364921,NC
-0.97296935,11364922,NC
-0.9562273,11364923,NC
-0.9507039,11364924,NC
-0.93957204,11364925,NC
-0.9340499,11364926,NC
-0.93974644,11364927,NC
-0.9510526,11364928,NC
-0.9623594,11364929,NC
-0.95683956,11364930,NC
-0.9625384,11364931,NC
-0.9850651,11364932,NC
-0.9739379,11364933,NC
-0.95720226,11364934,NC
-0.9516852,11364935,NC
-0.957387,11364936,NC
-0.94065297,11364937,NC
-0.9463559,11364938,NC
-0.9464503,11364939,NC
-0.9353272,11364940,NC
-0.95785904,11364941,NC
-0.9579551,11364942,NC
-0.9580518,11364943,NC
-0.96936727,11364944,NC
-0.9470287,11364945,NC
-0.95273614,11364946,NC
-0.94161695,11364947,NC
-0.9248893,11364948,NC
-0.9137713,11364949,NC
-0.9138719,11364950,NC
-0.9195822,11364951,NC
-0.919684,11364952,NC
-0.92539537,11364953,NC
-0.9423255,11364954,NC
-0.9256017,11364955,NC
-0.9200967,11364956,NC
-0.903374,11364957,NC
-0.86982465,11364958,NC
-0.8587122,11364959,NC
-0.8195549,11364960,NC
-0.80844355,11364961,NC
-0.80855083,11364962,NC
-0.79183155,11364963,NC
-0.797549,11364964,NC
-0.797658,11364965,NC
-0.78654945,11364966,NC
-0.7642232,11364967,NC
-0.72507036,11364968,NC
-0.69152707,11364969,NC
-0.6467661,11364970,NC
-0.5963967,11364971,NC
-0.5852914,11364972,NC
-0.5910138,11364973,NC
-0.6023458,11364974,NC
-0.64733297,11364975,NC
-0.6811024,11364976,NC
-0.7204814,11364977,NC
-0.75425196,11364978,NC
-0.7768048,11364979,NC
-0.7600947,11364980,NC
-0.73216695,11364981,NC
-0.68741256,11364982,NC
-0.6426586,11364983,NC
-0.62595063,11364984,NC
-0.6260704,11364985,NC
-0.6654542,11364986,NC
-0.7048386,11364987,NC
-0.7722689,11364988,NC
-0.8228724,11364989,NC
-0.8790856,11364990,NC
-0.9016448,11364991,NC
-0.957859,11364992,NC
-0.95798296,11364993,NC
-0.96932566,11364994,NC
-0.9470143,11364995,NC
-0.9807943,11364996,NC
-0.9753113,11364997,NC
-0.9642196,11364998,NC
-0.9755649,11364999,NC
-0.9813015,11365000,NC
-0.9870387,11365001,NC
-1.0039945,11365002,NC
-0.9985145,11365003,NC
-1.0098622,11365004,NC
-1.0099924,11365005,NC
-0.9932957,11365006,NC
-1.010254,11365007,NC
-0.9991675,11365008,NC
-0.99369055,11365009,NC
-0.99943227,11365010,NC
-0.9995654,11365011,NC
-1.0109172,11365012,NC
-1.0110513,11365013,NC
-1.0167949,11365014,NC
-1.0225391,11365015,NC
-1.039502,11365016,NC
-1.0452472,11365017,NC
-1.0285565,11365018,NC
-1.0062572,11365019,NC
-1.0007857,11365020,NC
-0.9840966,11365021,NC
-1.0010623,11365022,NC
-1.0012014,11365023,NC
-1.0069499,11365024,NC
-1.0351353,11365025,NC
-1.0464939,11365026,NC
-1.063462,11365027,NC
-1.0916488,11365028,NC
-1.0917907,11365029,NC
-1.0751059,11365030,NC
-1.0359852,11365031,NC
-0.97442865,11365032,NC
-0.85678184,11365033,NC
-0.6830446,11365034,NC
-0.47565353,11365035,NC
-0.2626538,11365036,NC
-0.08891806,11365037,NC
0.006290138,11365038,NC
0.0061435523,11365039,NC
-0.016439807,11365040,NC
-0.055850856,11365041,NC
