channel_0,sample #,type
1.186095,21040463,R
1.2731247,21040464,NC
1.1795204,21040465,NC
0.8583311,21040466,NC
0.42034665,21040467,NC
-0.023077263,21040468,NC
-0.3443848,21040469,NC
-0.4733094,21040470,NC
-0.47273582,21040471,NC
-0.3997473,21040472,NC
-0.37471998,21040473,NC
-0.3811247,21040474,NC
-0.41276383,21040475,NC
-0.47547767,21040476,NC
-0.52105254,21040477,NC
-0.57657254,21040478,NC
-0.6040931,21040479,NC
-0.5742524,21040480,NC
-0.53387225,21040481,NC
-0.523962,21040482,NC
-0.5230043,21040483,NC
-0.55113655,21040484,NC
-0.58034146,21040485,NC
-0.62276375,21040486,NC
-0.597416,21040487,NC
-0.57313,21040488,NC
-0.5614131,21040489,NC
-0.5420819,21040490,NC
-0.52440953,21040491,NC
-0.46761042,21040492,NC
-0.40245196,21040493,NC
-0.3286458,21040494,NC
-0.28238207,21040495,NC
-0.23944193,21040496,NC
-0.17616048,21040497,NC
-0.14479512,21040498,NC
-0.117305644,21040499,NC
-0.10031387,21040500,NC
-0.09350554,21040501,NC
-0.09426274,21040502,NC
-0.09857531,21040503,NC
-0.08898266,21040504,NC
-0.101624265,21040505,NC
-0.06820916,21040506,NC
-0.07834708,21040507,NC
-0.07628311,21040508,NC
-0.066476725,21040509,NC
-0.037527822,21040510,NC
-0.028720824,21040511,NC
-0.024730435,21040512,NC
-0.04835683,21040513,NC
-0.06299482,21040514,NC
-0.023030622,21040515,NC
-0.006464468,21040516,NC
0.012482807,21040517,NC
-0.0073977713,21040518,NC
-0.0033094562,21040519,NC
-0.0042742537,21040520,NC
0.009448587,21040521,NC
0.017942894,21040522,NC
0.04986205,21040523,NC
0.050354555,21040524,NC
0.051662512,21040525,NC
0.07091175,21040526,NC
0.089477405,21040527,NC
0.11780799,21040528,NC
0.12470755,21040529,NC
0.15928662,21040530,NC
0.1539796,21040531,NC
0.14299215,21040532,NC
0.11649379,21040533,NC
0.13173029,21040534,NC
0.17425244,21040535,NC
0.20743547,21040536,NC
0.23446025,21040537,NC
0.2525724,21040538,NC
0.25131536,21040539,NC
0.25817925,21040540,NC
0.25549108,21040541,NC
0.25768992,21040542,NC
0.25210434,21040543,NC
0.2702666,21040544,NC
0.29137585,21040545,NC
0.32767946,21040546,NC
0.35443285,21040547,NC
0.3552425,21040548,NC
0.3178983,21040549,NC
0.2836179,21040550,NC
0.24870013,21040551,NC
0.2237571,21040552,NC
0.19644102,21040553,NC
0.18071133,21040554,NC
0.11096187,21040555,NC
0.103193924,21040556,NC
0.088845365,21040557,NC
0.07956542,21040558,NC
0.06487213,21040559,NC
0.040755525,21040560,NC
0.013847617,21040561,NC
-0.009592375,21040562,NC
-0.0294572,21040563,NC
-0.027131917,21040564,NC
-0.015879162,21040565,NC
-0.030317683,21040566,NC
-0.063516706,21040567,NC
-0.10474827,21040568,NC
-0.1382523,21040569,NC
-0.16564134,21040570,NC
-0.1520341,21040571,NC
-0.16907878,21040572,NC
-0.16974948,21040573,NC
-0.21137126,21040574,NC
-0.17809105,21040575,NC
-0.15366372,21040576,NC
-0.1456235,21040577,NC
-0.17575237,21040578,NC
-0.23802167,21040579,NC
-0.2751576,21040580,NC
-0.27038082,21040581,NC
-0.24512094,21040582,NC
-0.22644329,21040583,NC
-0.19742386,21040584,NC
-0.18364297,21040585,NC
-0.1904373,21040586,NC
-0.19336104,21040587,NC
-0.20481597,21040588,NC
-0.23794492,21040589,NC
-0.23003304,21040590,NC
-0.21868052,21040591,NC
-0.20773837,21040592,NC
-0.19184218,21040593,NC
-0.16657516,21040594,NC
-0.13140446,21040595,NC
-0.14961292,21040596,NC
-0.1871629,21040597,NC
-0.21799254,21040598,NC
-0.20983148,21040599,NC
-0.2053588,21040600,NC
-0.17162447,21040601,NC
-0.17529324,21040602,NC
-0.17497829,21040603,NC
-0.1924165,21040604,NC
-0.18566582,21040605,NC
-0.18675609,21040606,NC
-0.19450213,21040607,NC
-0.19603303,21040608,NC
-0.18983047,21040609,NC
-0.17766291,21040610,NC
-0.16467683,21040611,NC
-0.14814852,21040612,NC
-0.15321694,21040613,NC
-0.16500743,21040614,NC
-0.15592864,21040615,NC
-0.1675173,21040616,NC
-0.17999862,21040617,NC
-0.18532977,21040618,NC
-0.14440547,21040619,NC
-0.13047744,21040620,NC
-0.12164044,21040621,NC
-0.09850203,21040622,NC
-0.07817643,21040623,NC
-0.062229995,21040624,NC
-0.02004838,21040625,NC
-0.01673627,21040626,NC
-0.0052716266,21040627,NC
0.015653381,21040628,NC
0.06273387,21040629,NC
0.085850954,21040630,NC
0.10649853,21040631,NC
0.11955431,21040632,NC
0.10288891,21040633,NC
0.07451373,21040634,NC
0.06202442,21040635,NC
0.051243134,21040636,NC
0.024741083,21040637,NC
0.023574559,21040638,NC
0.0063710744,21040639,NC
-0.026346266,21040640,NC
-0.075216025,21040641,NC
-0.12559286,21040642,NC
-0.1387106,21040643,NC
-0.14830008,21040644,NC
-0.16795191,21040645,NC
-0.19376628,21040646,NC
-0.18202579,21040647,NC
-0.1945508,21040648,NC
-0.18650468,21040649,NC
-0.18291356,21040650,NC
-0.20567973,21040651,NC
-0.24136218,21040652,NC
-0.22752938,21040653,NC
-0.22343458,21040654,NC
-0.22846906,21040655,NC
-0.23615515,21040656,NC
-0.24943323,21040657,NC
-0.2701192,21040658,NC
-0.25520724,21040659,NC
-0.2413987,21040660,NC
-0.21310282,21040661,NC
-0.21236281,21040662,NC
-0.23107806,21040663,NC
-0.25492316,21040664,NC
-0.26066852,21040665,NC
-0.22952862,21040666,NC
-0.20479368,21040667,NC
-0.19518304,21040668,NC
-0.19686003,21040669,NC
-0.2229646,21040670,NC
-0.18894494,21040671,NC
-0.12981017,21040672,NC
-0.10397727,21040673,NC
-0.06571823,21040674,NC
-0.049677633,21040675,NC
0.044887856,21040676,NC
0.1856747,21040677,NC
0.41422948,21040678,NC
0.6574895,21040679,NC
0.8879177,21040680,NC
1.0762628,21040681,NC
1.2222853,21040682,R
