channel_0,sample #,type
1.6164052,29223005,R
1.4218012,29223006,NC
0.9721941,29223007,NC
0.4325842,29223008,NC
-0.027028628,29223009,NC
-0.34164435,29223010,NC
-0.47126302,29223011,NC
-0.4708846,29223012,NC
-0.4355091,29223013,NC
-0.41513664,29223014,NC
-0.4447671,29223015,NC
-0.5144006,29223016,NC
-0.6190371,29223017,NC
-0.7336767,29223018,NC
-0.81831926,29223019,NC
-0.8629649,29223020,NC
-0.8676137,29223021,NC
-0.8572655,29223022,NC
-0.8169204,29223023,NC
-0.77657855,29223024,NC
-0.7062397,29223025,NC
-0.6009041,29223026,NC
-0.52557164,29223027,NC
-0.4302423,29223028,NC
-0.3699162,29223029,NC
-0.29959333,29223030,NC
-0.24927367,29223031,NC
-0.21395725,29223032,NC
-0.1936441,29223033,NC
-0.18333417,29223034,NC
-0.16802755,29223035,NC
-0.1627242,29223036,NC
-0.14242417,29223037,NC
-0.13712746,29223038,NC
-0.12183407,29223039,NC
-0.10154403,29223040,NC
-0.09625732,29223041,NC
-0.08597401,29223042,NC
-0.09569405,29223043,NC
-0.0904175,29223044,NC
-0.08014433,29223045,NC
-0.089874595,29223046,NC
-0.09460827,29223047,NC
-0.09434539,29223048,NC
-0.10408597,29223049,NC
-0.09883,29223050,NC
-0.0835775,29223051,NC
-0.073328465,29223052,NC
-0.06808294,29223053,NC
-0.042840905,29223054,NC
-0.047602385,29223055,NC
-0.047367394,29223056,NC
-0.052135944,29223057,NC
-0.05690802,29223058,NC
-0.051683657,29223059,NC
-0.05146286,29223060,NC
-0.046245612,29223061,NC
-0.026031964,29223062,NC
-0.0358219,29223063,NC
-0.015615441,29223064,NC
-0.010412581,29223065,NC
-0.015213348,29223066,NC
-0.015017733,29223067,NC
-0.024825744,29223068,NC
-0.024637409,29223069,NC
-0.024452716,29223070,NC
-0.01927168,29223071,NC
-0.0040943176,29223072,NC
0.006079383,29223073,NC
0.016249396,29223074,NC
0.026415732,29223075,NC
0.03657836,29223076,NC
0.026737299,29223077,NC
0.031892523,29223078,NC
0.027044032,29223079,NC
0.04719182,29223080,NC
0.037335884,29223081,NC
0.03247621,29223082,NC
0.0576128,29223083,NC
0.062745646,29223084,NC
0.07287473,29223085,NC
0.08800007,29223086,NC
0.09812164,29223087,NC
0.113239445,29223088,NC
0.10835348,29223089,NC
0.11346374,29223090,NC
0.113570206,29223091,NC
0.1186729,29223092,NC
0.1237718,29223093,NC
0.113866895,29223094,NC
0.1239582,29223095,NC
0.13404569,29223096,NC
0.13412939,29223097,NC
0.16420928,29223098,NC
0.17928535,29223099,NC
0.1993576,29223100,NC
0.19942603,29223101,NC
0.20949063,29223102,NC
0.20455141,29223103,NC
0.20460837,29223104,NC
0.20966148,29223105,NC
0.22471079,29223106,NC
0.23475623,29223107,NC
0.22979784,29223108,NC
0.25483564,29223109,NC
0.27486956,29223110,NC
0.28489965,29223111,NC
0.29492593,29223112,NC
0.2949483,29223113,NC
0.3049669,29223114,NC
0.31498158,29223115,NC
0.31999248,29223116,NC
0.32499948,29223117,NC
0.32000268,29223118,NC
0.33000198,29223119,NC
0.34499747,29223120,NC
0.3499891,29223121,NC
0.37497687,29223122,NC
0.37996083,29223123,NC
0.38994092,29223124,NC
0.3999172,29223125,NC
0.3948896,29223126,NC
0.38985813,29223127,NC
0.39982283,29223128,NC
0.39978373,29223129,NC
0.39974076,29223130,NC
0.40969396,29223131,NC
0.41464332,29223132,NC
0.42958888,29223133,NC
0.4345306,29223134,NC
0.43946844,29223135,NC
0.43440253,29223136,NC
0.42433274,29223137,NC
0.42425916,29223138,NC
0.39918175,29223139,NC
0.38410053,29223140,NC
0.3690155,29223141,NC
0.34392667,29223142,NC
0.32383406,29223143,NC
0.30873764,29223144,NC
0.2936374,29223145,NC
0.2835334,29223146,NC
0.27342558,29223147,NC
0.25331402,29223148,NC
0.22819865,29223149,NC
0.21307954,29223150,NC
0.18295664,29223151,NC
0.16283,29223152,NC
0.13769959,29223153,NC
0.10256544,29223154,NC
0.08742754,29223155,NC
0.0822859,29223156,NC
0.06214054,29223157,NC
0.056991443,29223158,NC
0.036838632,29223159,NC
0.03668211,29223160,NC
0.016521879,29223161,NC
0.011357948,29223162,NC
0.0061903372,29223163,NC
-0.0039809793,29223164,NC
-0.01915595,29223165,NC
-0.034334607,29223166,NC
-0.034516916,29223167,NC
-0.049702898,29223168,NC
-0.03989251,29223169,NC
-0.040085763,29223170,NC
-0.030282646,29223171,NC
-0.015483148,29223172,NC
-0.015687272,29223173,NC
-0.02089499,29223174,NC
-0.031106316,29223175,NC
-0.041321218,29223176,NC
-0.036539696,29223177,NC
-0.041761756,29223178,NC
-0.04198736,29223179,NC
-0.032216527,29223180,NC
-0.022449218,29223181,NC
-0.027685449,29223182,NC
-0.027925193,29223183,NC
-0.0081684515,29223184,NC
0.0015848055,29223185,NC
-0.0086654425,29223186,NC
-0.003919162,29223187,NC
-0.019176342,29223188,NC
-0.029436983,29223189,NC
-0.029701069,29223190,NC
-0.019968584,29223191,NC
-0.015239522,29223192,NC
-0.025513865,29223193,NC
-0.025791615,29223194,NC
-0.01607275,29223195,NC
-0.011357255,29223196,NC
-0.011645123,29223197,NC
-0.011936344,29223198,NC
-0.027230896,29223199,NC
-0.03252878,29223200,NC
-0.04782997,29223201,NC
-0.04313446,29223202,NC
-0.043442234,29223203,NC
-0.058753297,29223204,NC
-0.0490676,29223205,NC
-0.054385155,29223206,NC
-0.05470594,29223207,NC
-0.050029956,29223208,NC
-0.070357166,29223209,NC
-0.07568758,29223210,NC
-0.07602116,29223211,NC
-0.0763579,29223212,NC
-0.08169779,29223213,NC
-0.08704081,29223214,NC
-0.09238697,29223215,NC
-0.107736215,29223216,NC
-0.09808855,29223217,NC
-0.09344397,29223218,NC
-0.08880243,29223219,NC
-0.094163954,29223220,NC
-0.089528486,29223221,NC
-0.09989605,29223222,NC
-0.1202666,29223223,NC
-0.110640146,29223224,NC
-0.11601664,29223225,NC
-0.12639609,29223226,NC
-0.121778466,29223227,NC
-0.12716377,29223228,NC
-0.12255197,29223229,NC
-0.117943056,29223230,NC
-0.108337,29223231,NC
-0.108733796,29223232,NC
-0.11413344,29223233,NC
-0.12453588,29223234,NC
-0.12994112,29223235,NC
-0.12534915,29223236,NC
-0.14075994,29223237,NC
-0.14617348,29223238,NC
-0.15658975,29223239,NC
-0.14700872,29223240,NC
-0.1424304,29223241,NC
-0.14285475,29223242,NC
-0.12828174,29223243,NC
-0.13371138,29223244,NC
-0.12414365,29223245,NC
-0.13957852,29223246,NC
-0.14001596,29223247,NC
-0.15045597,29223248,NC
-0.15089852,29223249,NC
-0.1763436,29223250,NC
-0.17679119,29223251,NC
-0.15724128,29223252,NC
-0.15769383,29223253,NC
-0.16314882,29223254,NC
-0.15860626,29223255,NC
-0.13906609,29223256,NC
-0.14452833,29223257,NC
-0.13999292,29223258,NC
-0.14545988,29223259,NC
-0.15592915,29223260,NC
-0.16140077,29223261,NC
-0.16187465,29223262,NC
-0.1673508,29223263,NC
-0.16282922,29223264,NC
-0.16830985,29223265,NC
-0.1587927,29223266,NC
-0.14927775,29223267,NC
-0.12476495,29223268,NC
-0.13525431,29223269,NC
-0.12574579,29223270,NC
-0.12123938,29223271,NC
-0.12173505,29223272,NC
-0.122232795,29223273,NC
-0.11773257,29223274,NC
-0.11323436,29223275,NC
-0.10873817,29223276,NC
-0.07924394,29223277,NC
-0.089751676,29223278,NC
-0.05526134,29223279,NC
-0.050772917,29223280,NC
-0.04628639,29223281,NC
-0.031801727,29223282,NC
-0.012318909,29223283,NC
-0.0028379224,29223284,NC
-0.003358733,29223285,NC
0.0011186749,29223286,NC
-0.009405676,29223287,NC
-0.004931763,29223288,NC
-0.010459561,29223289,NC
-0.03098905,29223290,NC
-0.046520207,29223291,NC
-0.03705301,29223292,NC
-0.047587436,29223293,NC
-0.04812346,29223294,NC
-0.07366106,29223295,NC
-0.09920022,29223296,NC
-0.1197409,29223297,NC
-0.1452831,29223298,NC
-0.17582676,29223299,NC
-0.1863719,29223300,NC
-0.18691847,29223301,NC
-0.20246646,29223302,NC
-0.20801584,29223303,NC
-0.2035666,29223304,NC
-0.19411868,29223305,NC
-0.1996721,29223306,NC
-0.20522681,29223307,NC
-0.21578279,29223308,NC
-0.22634001,29223309,NC
-0.22689846,29223310,NC
-0.23245811,29223311,NC
-0.22801895,29223312,NC
-0.23358093,29223313,NC
-0.22914405,29223314,NC
-0.22470829,29223315,NC
-0.23027357,29223316,NC
-0.23083994,29223317,NC
-0.23140733,29223318,NC
-0.24197572,29223319,NC
-0.23254512,29223320,NC
-0.23811546,29223321,NC
-0.23868674,29223322,NC
-0.24425894,29223323,NC
-0.24483201,29223324,NC
-0.23540597,29223325,NC
-0.22598076,29223326,NC
-0.22155634,29223327,NC
-0.22213271,29223328,NC
-0.22270986,29223329,NC
-0.23328775,29223330,NC
-0.26886636,29223331,NC
-0.29944563,29223332,NC
-0.3550256,29223333,NC
-0.4156062,29223334,NC
-0.4811874,29223335,NC
-0.5217692,29223336,NC
-0.5073515,29223337,NC
-0.40793446,29223338,NC
-0.20351788,29223339,NC
0.070898205,29223340,NC
0.42031384,29223341,NC
0.769729,29223342,NC
1.1141438,29223343,NC
1.3735582,29223344,NC
1.5129721,29223345,NC
1.4423858,29223346,R
1.1917992,29223347,NC
0.7812122,29223348,NC
0.30062503,29223349,NC
-0.06996242,29223350,NC
-0.29555008,29223351,NC
-0.3861379,29223352,NC
-0.38172594,29223353,NC
-0.3723141,29223354,NC
-0.37790236,29223355,NC
-0.4434907,29223356,NC
-0.5390792,29223357,NC
-0.66466767,29223358,NC
-0.79525614,29223359,NC
-0.8958445,29223360,NC
-0.97643304,29223361,NC
-1.0020213,29223362,NC
-0.9876097,29223363,NC
-0.9781979,29223364,NC
-0.92378587,29223365,NC
-0.86437374,29223366,NC
-0.79496145,29223367,NC
-0.7255489,29223368,NC
-0.6511361,29223369,NC
-0.5667231,29223370,NC
-0.4823098,29223371,NC
-0.42289615,29223372,NC
-0.38348222,29223373,NC
-0.3490679,29223374,NC
-0.30465317,29223375,NC
-0.29023805,29223376,NC
-0.29082248,29223377,NC
-0.28140646,29223378,NC
-0.27198994,29223379,NC
-0.2725729,29223380,NC
-0.27315533,29223381,NC
-0.27373722,29223382,NC
-0.2643185,29223383,NC
-0.27489918,29223384,NC
-0.2654792,29223385,NC
-0.2560586,29223386,NC
-0.25163728,29223387,NC
-0.24721527,29223388,NC
-0.2427925,29223389,NC
-0.23836899,29223390,NC
-0.23894468,29223391,NC
-0.24951957,29223392,NC
-0.24009362,29223393,NC
-0.2456668,29223394,NC
-0.24623913,29223395,NC
-0.23681054,29223396,NC
-0.23238099,29223397,NC
-0.2279505,29223398,NC
-0.20851904,29223399,NC
-0.20408657,29223400,NC
-0.19965306,29223401,NC
-0.2002185,29223402,NC
-0.20578288,29223403,NC
-0.20134613,29223404,NC
-0.20690827,29223405,NC
-0.20746925,29223406,NC
-0.20302905,29223407,NC
-0.20858768,29223408,NC
-0.19414507,29223409,NC
-0.17970121,29223410,NC
-0.17025608,29223411,NC
-0.17080966,29223412,NC
-0.16636193,29223413,NC
-0.16191283,29223414,NC
-0.1574624,29223415,NC
-0.15801057,29223416,NC
-0.14855734,29223417,NC
-0.15410265,29223418,NC
-0.13964652,29223419,NC
-0.1451889,29223420,NC
-0.1257298,29223421,NC
-0.111269146,29223422,NC
-0.10680695,29223423,NC
-0.10234317,29223424,NC
-0.1028778,29223425,NC
-0.09341082,29223426,NC
-0.078942195,29223427,NC
-0.0794719,29223428,NC
-0.07499991,29223429,NC
-0.080526225,29223430,NC
-0.0710508,29223431,NC
-0.051573627,29223432,NC
-0.04709467,29223433,NC
-0.022613917,29223434,NC
-0.013131341,29223435,NC
0.006353084,29223436,NC
0.020839367,29223437,NC
0.035327543,29223438,NC
0.04481763,29223439,NC
0.039309643,29223440,NC
0.053803615,29223441,NC
0.058299553,29223442,NC
0.07279749,29223443,NC
0.07729746,29223444,NC
0.10179946,29223445,NC
0.11130351,29223446,NC
0.14080966,29223447,NC
0.1603179,29223448,NC
0.16982827,29223449,NC
0.16434078,29223450,NC
0.16885546,29223451,NC
0.17837232,29223452,NC
0.1878914,29223453,NC
0.1974127,29223454,NC
0.20693623,29223455,NC
0.21146205,29223456,NC
0.23099016,29223457,NC
0.23552057,29223458,NC
0.24005331,29223459,NC
0.2395884,29223460,NC
0.24412589,29223461,NC
0.25366572,29223462,NC
0.25820798,29223463,NC
0.24775267,29223464,NC
0.25729978,29223465,NC
0.2518494,29223466,NC
0.25640148,29223467,NC
0.2709561,29223468,NC
0.2705132,29223469,NC
0.26507282,29223470,NC
0.26963508,29223471,NC
0.27919987,29223472,NC
0.25876728,29223473,NC
0.2583373,29223474,NC
0.23790996,29223475,NC
0.22248524,29223476,NC
0.20206323,29223477,NC
0.1816439,29223478,NC
0.17622729,29223479,NC
0.1658134,29223480,NC
0.15040225,29223481,NC
0.13999386,29223482,NC
0.13958825,29223483,NC
0.109185435,29223484,NC
0.08878545,29223485,NC
0.06338827,29223486,NC
0.037993953,29223487,NC
0.017602503,29223488,NC
-0.0127860755,29223489,NC
-0.038171746,29223490,NC
-0.06855451,29223491,NC
-0.07393435,29223492,NC
-0.07931122,29223493,NC
-0.10468514,29223494,NC
-0.09505609,29223495,NC
-0.10542403,29223496,NC
-0.12078896,29223497,NC
-0.13615087,29223498,NC
-0.15150973,29223499,NC
-0.18186554,29223500,NC
-0.1972183,29223501,NC
-0.20756795,29223502,NC
-0.2079145,29223503,NC
-0.21325792,29223504,NC
-0.21359822,29223505,NC
-0.20893538,29223506,NC
-0.21926937,29223507,NC
-0.20960018,29223508,NC
-0.21492782,29223509,NC
-0.22025223,29223510,NC
-0.22557345,29223511,NC
-0.23089142,29223512,NC
-0.23620614,29223513,NC
-0.23651762,29223514,NC
-0.26182583,29223515,NC
-0.24713075,29223516,NC
-0.24243237,29223517,NC
-0.23773068,29223518,NC
-0.24802566,29223519,NC
-0.23831731,29223520,NC
-0.22860563,29223521,NC
-0.22389056,29223522,NC
-0.23417214,29223523,NC
-0.2394503,29223524,NC
-0.23972511,29223525,NC
-0.24999648,29223526,NC
-0.23526445,29223527,NC
-0.23552898,29223528,NC
-0.24579006,29223529,NC
-0.2210477,29223530,NC
-0.21630187,29223531,NC
-0.22155255,29223532,NC
-0.22679976,29223533,NC
-0.22204348,29223534,NC
-0.21228367,29223535,NC
-0.21752036,29223536,NC
-0.22275352,29223537,NC
-0.23798314,29223538,NC
-0.2432092,29223539,NC
-0.23343173,29223540,NC
-0.22865066,29223541,NC
-0.22386603,29223542,NC
-0.20907782,29223543,NC
-0.21928601,29223544,NC
-0.2194906,29223545,NC
-0.22469157,29223546,NC
-0.22488892,29223547,NC
-0.23508266,29223548,NC
-0.23527274,29223549,NC
-0.24545917,29223550,NC
-0.25564197,29223551,NC
-0.2508211,29223552,NC
-0.24599655,29223553,NC
-0.24116834,29223554,NC
-0.24133644,29223555,NC
-0.23650084,29223556,NC
-0.23666155,29223557,NC
-0.24181855,29223558,NC
-0.24197185,29223559,NC
-0.2621214,29223560,NC
-0.25726727,29223561,NC
-0.26740938,29223562,NC
-0.27754778,29223563,NC
-0.2876824,29223564,NC
-0.27281332,29223565,NC
-0.26794046,29223566,NC
-0.26306382,29223567,NC
-0.25318342,29223568,NC
-0.2632993,29223569,NC
-0.26341134,29223570,NC
-0.26851964,29223571,NC
-0.27862412,29223572,NC
-0.29372483,29223573,NC
-0.29882175,29223574,NC
-0.3039149,29223575,NC
-0.2990042,29223576,NC
-0.28908974,29223577,NC
-0.28417143,29223578,NC
-0.28424934,29223579,NC
-0.27932343,29223580,NC
-0.28439367,29223581,NC
-0.27946013,29223582,NC
-0.28452274,29223583,NC
-0.28458154,29223584,NC
-0.2846365,29223585,NC
-0.29968762,29223586,NC
-0.2997349,29223587,NC
-0.30977836,29223588,NC
-0.304818,29223589,NC
-0.28485376,29223590,NC
-0.2998857,29223591,NC
-0.2849138,29223592,NC
-0.27993804,29223593,NC
-0.29495847,29223594,NC
-0.28997502,29223595,NC
-0.30498773,29223596,NC
-0.3049966,29223597,NC
-0.3150016,29223598,NC
-0.3150028,29223599,NC
-0.31000012,29223600,NC
-0.3049936,29223601,NC
-0.2949832,29223602,NC
-0.28996903,29223603,NC
-0.29995093,29223604,NC
-0.30492905,29223605,NC
