channel_0,sample #,type
1.3553904,14339276,R
1.2993639,14339277,NC
1.152495,14339278,NC
0.9445175,14339279,NC
0.6882459,14339280,NC
0.41537687,14339281,NC
0.14139833,14339282,NC
-0.12675478,14339283,NC
-0.38264,14339284,NC
-0.63206345,14339285,NC
-0.86510926,14339286,NC
-1.0477306,14339287,NC
-1.169989,14339288,NC
-1.2480967,14339289,NC
-1.2805644,14339290,NC
-1.283842,14339291,NC
-1.2751466,14339292,NC
-1.248424,14339293,NC
-1.219592,14339294,NC
-1.1981888,14339295,NC
-1.1788434,14339296,NC
-1.154448,14339297,NC
-1.1252633,14339298,NC
-1.1111106,14339299,NC
-1.1143613,14339300,NC
-1.1230319,14339301,NC
-1.13408,14339302,NC
-1.1463897,14339303,NC
-1.1584091,14339304,NC
-1.1660233,14339305,NC
-1.1604437,14339306,NC
-1.1516972,14339307,NC
-1.1431825,14339308,NC
-1.1341717,14339309,NC
-1.127086,14339310,NC
-1.1217184,14339311,NC
-1.1247538,14339312,NC
-1.1259004,14339313,NC
-1.1316862,14339314,NC
-1.1421826,14339315,NC
-1.1436785,14339316,NC
-1.1575232,14339317,NC
-1.1682813,14339318,NC
-1.1591175,14339319,NC
-1.1515745,14339320,NC
-1.1529133,14339321,NC
-1.147678,14339322,NC
-1.1412328,14339323,NC
-1.1426244,14339324,NC
-1.1505392,14339325,NC
-1.1603799,14339326,NC
-1.1767758,14339327,NC
-1.1934634,14339328,NC
-1.1896421,14339329,NC
-1.1881067,14339330,NC
-1.1930571,14339331,NC
-1.1899362,14339332,NC
-1.1827354,14339333,NC
-1.1713896,14339334,NC
-1.1561605,14339335,NC
-1.1502194,14339336,NC
-1.1618925,14339337,NC
-1.1734482,14339338,NC
-1.1854715,14339339,NC
-1.2029108,14339340,NC
-1.2161535,14339341,NC
-1.2213434,14339342,NC
-1.2255723,14339343,NC
-1.2225595,14339344,NC
-1.214984,14339345,NC
-1.2096766,14339346,NC
-1.2002071,14339347,NC
-1.207331,14339348,NC
-1.218856,14339349,NC
-1.231411,14339350,NC
-1.2433016,14339351,NC
-1.2488643,14339352,NC
-1.2633927,14339353,NC
-1.2672858,14339354,NC
-1.2722806,14339355,NC
-1.2852535,14339356,NC
-1.2861944,14339357,NC
-1.2740301,14339358,NC
-1.2651287,14339359,NC
-1.2660475,14339360,NC
-1.2780194,14339361,NC
-1.2966857,14339362,NC
-1.3077344,14339363,NC
-1.3158655,14339364,NC
-1.3233153,14339365,NC
-1.3324584,14339366,NC
-1.3341789,14339367,NC
-1.3259208,14339368,NC
-1.318922,14339369,NC
-1.3184453,14339370,NC
-1.3236287,14339371,NC
-1.3266249,14339372,NC
-1.3299619,14339373,NC
-1.3356344,14339374,NC
-1.3441948,14339375,NC
-1.3534793,14339376,NC
-1.3592943,14339377,NC
-1.3549453,14339378,NC
-1.3497697,14339379,NC
-1.3453108,14339380,NC
-1.3365357,14339381,NC
-1.3175615,14339382,NC
-1.2894033,14339383,NC
-1.2871954,14339384,NC
-1.2878668,14339385,NC
-1.2725857,14339386,NC
-1.2717882,14339387,NC
-1.2750527,14339388,NC
-1.272414,14339389,NC
-1.2571155,14339390,NC
-1.2437197,14339391,NC
-1.2304091,14339392,NC
-1.1987805,14339393,NC
-1.1770988,14339394,NC
-1.1492846,14339395,NC
-1.1246233,14339396,NC
-1.1129439,14339397,NC
-1.1048217,14339398,NC
-1.0984395,14339399,NC
-1.096469,14339400,NC
-1.0916165,14339401,NC
-1.0683879,14339402,NC
-1.0453291,14339403,NC
-1.027869,14339404,NC
-1.0058491,14339405,NC
-0.98105735,14339406,NC
-0.9589541,14339407,NC
-0.9416406,14339408,NC
-0.941257,14339409,NC
-0.9518819,14339410,NC
-0.9515583,14339411,NC
-0.95408416,14339412,NC
-0.96435535,14339413,NC
-0.9697469,14339414,NC
-0.965194,14339415,NC
-0.9539101,14339416,NC
-0.9511895,14339417,NC
-0.9501667,14339418,NC
-0.95044804,14339419,NC
-0.9548204,14339420,NC
-0.9681688,14339421,NC
-0.9883341,14339422,NC
-1.0024085,14339423,NC
-1.0205522,14339424,NC
-1.0400332,14339425,NC
-1.0547352,14339426,NC
-1.067125,14339427,NC
-1.0745169,14339428,NC
-1.080184,14339429,NC
-1.0793377,14339430,NC
-1.0865465,14339431,NC
-1.1005054,14339432,NC
-1.1080334,14339433,NC
-1.1215711,14339434,NC
-1.1405127,14339435,NC
-1.1486118,14339436,NC
-1.1651753,14339437,NC
-1.1739696,14339438,NC
-1.1618859,14339439,NC
-1.1551468,14339440,NC
-1.1503772,14339441,NC
-1.1375275,14339442,NC
-1.1256713,14339443,NC
-1.1240333,14339444,NC
-1.1287438,14339445,NC
-1.1347238,14339446,NC
-1.1378088,14339447,NC
-1.1405712,14339448,NC
-1.138876,14339449,NC
-1.1392562,14339450,NC
-1.1351417,14339451,NC
-1.1204504,14339452,NC
-1.1104006,14339453,NC
-1.1129842,14339454,NC
-1.1107748,14339455,NC
-1.0975212,14339456,NC
-1.0925689,14339457,NC
-1.1088411,14339458,NC
-1.1246749,14339459,NC
-1.1270995,14339460,NC
-1.1226758,14339461,NC
-1.112719,14339462,NC
-1.1025331,14339463,NC
-1.0846859,14339464,NC
-1.0765613,14339465,NC
-1.0711828,14339466,NC
-1.057783,14339467,NC
-1.0598141,14339468,NC
-1.0587682,14339469,NC
-1.0578864,14339470,NC
-1.0674843,14339471,NC
-1.0722212,14339472,NC
-1.0720677,14339473,NC
-1.0715649,14339474,NC
-1.0612562,14339475,NC
-1.0478308,14339476,NC
-1.0405334,14339477,NC
-1.030501,14339478,NC
-1.0238293,14339479,NC
-1.0195236,14339480,NC
-1.0180329,14339481,NC
-1.0215566,14339482,NC
-1.0290246,14339483,NC
-1.0422754,14339484,NC
-1.0480843,14339485,NC
-1.042771,14339486,NC
-1.040251,14339487,NC
-1.0342897,14339488,NC
-1.0202866,14339489,NC
-1.0049729,14339490,NC
-0.99683964,14339491,NC
-0.9996959,14339492,NC
-0.9966159,14339493,NC
-0.9930759,14339494,NC
-1.0018929,14339495,NC
-1.0122991,14339496,NC
-1.0179938,14339497,NC
-1.0179205,14339498,NC
-1.0165659,14339499,NC
-1.0119503,14339500,NC
-1.0084223,14339501,NC
-1.0031375,14339502,NC
