channel_0,sample #,type
1.2291257,21184912,R
1.2787033,21184913,NC
1.165416,21184914,NC
0.85441786,21184915,NC
0.39999273,21184916,NC
-0.04628873,21184917,NC
-0.38521352,21184918,NC
-0.5685386,21184919,NC
-0.56794816,21184920,NC
-0.5002499,21184921,NC
-0.47917342,21184922,NC
-0.48519036,21184923,NC
-0.52946705,21184924,NC
-0.5541389,21184925,NC
-0.60549736,21184926,NC
-0.6353547,21184927,NC
-0.6388684,21184928,NC
-0.6150638,21184929,NC
-0.6042633,21184930,NC
-0.6186784,21184931,NC
-0.6604157,21184932,NC
-0.6663949,21184933,NC
-0.6596599,21184934,NC
-0.6349719,21184935,NC
-0.6044811,21184936,NC
-0.573481,21184937,NC
-0.5536954,21184938,NC
-0.5346866,21184939,NC
-0.47428897,21184940,NC
-0.41501525,21184941,NC
-0.36069313,21184942,NC
-0.28014344,21184943,NC
-0.21951915,21184944,NC
-0.18456316,21184945,NC
-0.1303104,21184946,NC
-0.09096166,21184947,NC
-0.08568043,21184948,NC
-0.09562126,21184949,NC
-0.088017456,21184950,NC
-0.10560243,21184951,NC
-0.08527843,21184952,NC
-0.049572147,21184953,NC
-0.030565139,21184954,NC
-0.024541523,21184955,NC
-0.04011473,21184956,NC
-0.040309157,21184957,NC
-0.032648917,21184958,NC
-0.014901259,21184959,NC
0.0010658789,21184960,NC
0.010348761,21184961,NC
0.005207631,21184962,NC
-0.0057666814,21184963,NC
0.015269137,21184964,NC
0.055397794,21184965,NC
0.06964414,21184966,NC
0.05957036,21184967,NC
0.044348788,21184968,NC
0.030004166,21184969,NC
0.059784975,21184970,NC
0.069895394,21184971,NC
0.10429093,21184972,NC
0.12618239,21184973,NC
0.12072192,21184974,NC
0.123115264,21184975,NC
0.13475192,21184976,NC
0.17526715,21184977,NC
0.1745824,21184978,NC
0.17369217,21184979,NC
0.18082267,21184980,NC
0.19427712,21184981,NC
0.21433814,21184982,NC
0.25885972,21184983,NC
0.28207088,21184984,NC
0.2706295,21184985,NC
0.26932967,21184986,NC
0.24912532,21184987,NC
0.27998903,21184988,NC
0.31427073,21184989,NC
0.33445582,21184990,NC
0.3400135,21184991,NC
0.3504723,21184992,NC
0.36485127,21184993,NC
0.3903745,21184994,NC
0.41083324,21184995,NC
0.4191246,21184996,NC
0.40065813,21184997,NC
0.37188038,21184998,NC
0.35510477,21184999,NC
0.3395393,21185000,NC
0.3635344,21185001,NC
0.34916914,21185002,NC
0.31826374,21185003,NC
0.28506708,21185004,NC
0.24936901,21185005,NC
0.22441857,21185006,NC
0.21914095,21185007,NC
0.19541325,21185008,NC
0.15379363,21185009,NC
0.118328884,21185010,NC
0.094491966,21185011,NC
0.07950798,21185012,NC
0.07524873,21185013,NC
0.05571446,21185014,NC
0.023727722,21185015,NC
-0.023802834,21185016,NC
-0.043337498,21185017,NC
-0.07152519,21185018,NC
-0.06904733,21185019,NC
-0.062920064,21185020,NC
-0.100829765,21185021,NC
-0.124897294,21185022,NC
-0.12908076,21185023,NC
-0.13002345,21185024,NC
-0.13677852,21185025,NC
-0.12825587,21185026,NC
-0.15594813,21185027,NC
-0.1568173,21185028,NC
-0.16065729,21185029,NC
-0.15331857,21185030,NC
-0.1427478,21185031,NC
-0.13007331,21185032,NC
-0.1447881,21185033,NC
-0.16568173,21185034,NC
-0.18491226,21185035,NC
-0.17549174,21185036,NC
-0.16137329,21185037,NC
-0.15514532,21185038,NC
-0.14102115,21185039,NC
-0.14973342,21185040,NC
-0.14973526,21185041,NC
-0.15392251,21185042,NC
-0.14578886,21185043,NC
-0.14980008,21185044,NC
-0.15699154,21185045,NC
-0.1747296,21185046,NC
-0.18050271,21185047,NC
-0.1845907,21185048,NC
-0.14898658,21185049,NC
-0.13973619,21185050,NC
-0.17058961,21185051,NC
-0.18540433,21185052,NC
-0.21928912,21185053,NC
-0.1796778,21185054,NC
-0.164566,21185055,NC
-0.15579747,21185056,NC
-0.15056391,21185057,NC
-0.16344993,21185058,NC
-0.17510438,21185059,NC
-0.16965052,21185060,NC
-0.16335477,21185061,NC
-0.15948427,21185062,NC
-0.1903102,21185063,NC
-0.2049001,21185064,NC
-0.19199575,21185065,NC
-0.17381844,21185066,NC
-0.17236449,21185067,NC
-0.1719557,21185068,NC
-0.16771461,21185069,NC
-0.17892402,21185070,NC
-0.19022389,21185071,NC
-0.18518537,21185072,NC
-0.17545202,21185073,NC
-0.15483916,21185074,NC
-0.14568974,21185075,NC
-0.124152295,21185076,NC
-0.109475195,21185077,NC
-0.09357103,21185078,NC
-0.0958121,21185079,NC
-0.08006901,21185080,NC
-0.07360471,21185081,NC
-0.05498207,21185082,NC
-0.058080878,21185083,NC
-0.030041182,21185084,NC
0.026016148,21185085,NC
0.059732776,21185086,NC
0.064837836,21185087,NC
0.038380116,21185088,NC
0.06101813,21185089,NC
0.04999233,21185090,NC
0.049947247,21185091,NC
0.052255906,21185092,NC
0.033686727,21185093,NC
-0.00059478136,21185094,NC
-0.018863905,21185095,NC
-0.049778774,21185096,NC
-0.08067873,21185097,NC
-0.120490134,21185098,NC
-0.1558935,21185099,NC
-0.20047379,21185100,NC
-0.22613566,21185101,NC
-0.21782002,21185102,NC
-0.20612381,21185103,NC
-0.19144881,21185104,NC
-0.20703153,21185105,NC
-0.23912641,21185106,NC
-0.2751503,21185107,NC
-0.2747956,21185108,NC
-0.27525762,21185109,NC
-0.2701716,21185110,NC
-0.2759118,21185111,NC
-0.301943,21185112,NC
-0.29348847,21185113,NC
-0.28797296,21185114,NC
-0.26684618,21185115,NC
-0.27069056,21185116,NC
-0.28456652,21185117,NC
-0.3046577,21185118,NC
