channel_0,sample #,type
-0.105,28642444,""""
-0.1025,28642445,NC
-0.103750005,28642446,NC
-0.10625,28642447,NC
-0.118750006,28642448,NC
-0.13125,28642449,NC
-0.14125,28642450,NC
-0.155,28642451,NC
-0.1675,28642452,NC
-0.17999999,28642453,NC
-0.19624999,28642454,NC
-0.2125,28642455,NC
-0.23500001,28642456,NC
-0.25875,28642457,NC
-0.28625,28642458,NC
-0.3125,28642459,NC
-0.33,28642460,NC
-0.345,28642461,NC
-0.35,28642462,NC
-0.3525,28642463,NC
-0.35625,28642464,NC
-0.35875,28642465,NC
-0.36,28642466,NC
-0.36125,28642467,NC
-0.36,28642468,NC
-0.35500002,28642469,NC
-0.35625002,28642470,NC
-0.35250002,28642471,NC
-0.35125002,28642472,NC
-0.35625002,28642473,NC
-0.36125,28642474,NC
-0.3725,28642475,NC
-0.39,28642476,NC
-0.40374997,28642477,NC
-0.41125,28642478,NC
-0.41625,28642479,NC
-0.41125,28642480,NC
-0.4025,28642481,NC
-0.39375,28642482,NC
-0.38625,28642483,NC
-0.3775,28642484,NC
-0.3725,28642485,NC
-0.3725,28642486,NC
-0.3725,28642487,NC
-0.3775,28642488,NC
-0.38375,28642489,NC
-0.39,28642490,NC
-0.39624998,28642491,NC
-0.39749998,28642492,NC
-0.395,28642493,NC
-0.38875002,28642494,NC
-0.38,28642495,NC
-0.37375,28642496,NC
-0.37,28642497,NC
-0.37125,28642498,NC
-0.3775,28642499,NC
-0.38625,28642500,NC
-0.39374998,28642501,NC
-0.39625,28642502,NC
-0.39375,28642503,NC
-0.39249998,28642504,NC
-0.39124998,28642505,NC
-0.39,28642506,NC
-0.39,28642507,NC
-0.38875,28642508,NC
-0.39,28642509,NC
-0.39249998,28642510,NC
-0.3975,28642511,NC
-0.4025,28642512,NC
-0.40625,28642513,NC
-0.41,28642514,NC
-0.41,28642515,NC
-0.40625,28642516,NC
-0.40125,28642517,NC
-0.39749998,28642518,NC
-0.39624998,28642519,NC
-0.39874998,28642520,NC
-0.40625,28642521,NC
-0.4125,28642522,NC
-0.42000002,28642523,NC
-0.42624998,28642524,NC
-0.43125004,28642525,NC
-0.42875,28642526,NC
-0.42249998,28642527,NC
-0.415,28642528,NC
-0.40375,28642529,NC
-0.4,28642530,NC
-0.3975,28642531,NC
-0.39625,28642532,NC
-0.4,28642533,NC
-0.405,28642534,NC
-0.41,28642535,NC
-0.415,28642536,NC
-0.4175,28642537,NC
-0.4175,28642538,NC
-0.41375,28642539,NC
-0.41,28642540,NC
-0.405,28642541,NC
-0.39875,28642542,NC
-0.39999998,28642543,NC
-0.39874998,28642544,NC
-0.40249997,28642545,NC
-0.41250002,28642546,NC
-0.41750002,28642547,NC
-0.425,28642548,NC
-0.42875004,28642549,NC
-0.4275,28642550,NC
-0.42875004,28642551,NC
-0.42625,28642552,NC
-0.425,28642553,NC
-0.425,28642554,NC
-0.42125,28642555,NC
-0.42,28642556,NC
-0.4175,28642557,NC
-0.41875,28642558,NC
-0.4225,28642559,NC
-0.4275,28642560,NC
-0.43125004,28642561,NC
-0.43,28642562,NC
-0.42624998,28642563,NC
-0.42249998,28642564,NC
-0.4175,28642565,NC
-0.41125,28642566,NC
-0.4075,28642567,NC
-0.4025,28642568,NC
-0.40125,28642569,NC
-0.40375,28642570,NC
-0.4075,28642571,NC
-0.41125,28642572,NC
-0.4125,28642573,NC
-0.41125,28642574,NC
-0.40875,28642575,NC
-0.40125,28642576,NC
-0.39624998,28642577,NC
-0.39,28642578,NC
-0.38625,28642579,NC
-0.38375,28642580,NC
-0.38625,28642581,NC
-0.39,28642582,NC
-0.39249998,28642583,NC
-0.39875,28642584,NC
-0.39875,28642585,NC
-0.40125,28642586,NC
-0.4025,28642587,NC
-0.40375,28642588,NC
-0.40125,28642589,NC
-0.39625,28642590,NC
-0.39374998,28642591,NC
-0.39,28642592,NC
