channel_0,sample #,type
1.065,21020897,R
1.12,21020898,NC
1.095,21020899,NC
0.8075,21020900,NC
0.3725,21020901,NC
-0.042500004,21020902,NC
-0.3475,21020903,NC
-0.5175,21020904,NC
-0.54999995,21020905,NC
-0.5,21020906,NC
-0.475,21020907,NC
-0.53,21020908,NC
-0.62,21020909,NC
-0.6775,21020910,NC
-0.6975,21020911,NC
-0.7025,21020912,NC
-0.705,21020913,NC
-0.6925,21020914,NC
-0.6625,21020915,NC
-0.635,21020916,NC
-0.62,21020917,NC
-0.615,21020918,NC
-0.625,21020919,NC
-0.65,21020920,NC
-0.6775,21020921,NC
-0.6775,21020922,NC
-0.63750005,21020923,NC
-0.57,21020924,NC
-0.48749998,21020925,NC
-0.415,21020926,NC
-0.35750002,21020927,NC
-0.3,21020928,NC
-0.2475,21020929,NC
-0.19749999,21020930,NC
-0.145,21020931,NC
-0.1075,21020932,NC
-0.1025,21020933,NC
-0.13499999,21020934,NC
-0.16,21020935,NC
-0.1425,21020936,NC
-0.1325,21020937,NC
-0.17750001,21020938,NC
-0.22749999,21020939,NC
-0.215,21020940,NC
-0.1625,21020941,NC
-0.112500004,21020942,NC
-0.075,21020943,NC
-0.044999998,21020944,NC
-0.022499999,21020945,NC
-0.035,21020946,NC
-0.065,21020947,NC
-0.075,21020948,NC
-0.0675,21020949,NC
-0.044999998,21020950,NC
-0.005,21020951,NC
0.052500002,21020952,NC
0.1025,21020953,NC
0.1075,21020954,NC
0.0725,21020955,NC
0.0375,21020956,NC
0.0275,21020957,NC
0.0325,21020958,NC
0.052500002,21020959,NC
0.075,21020960,NC
0.082499996,21020961,NC
0.1025,21020962,NC
0.14,21020963,NC
0.16749999,21020964,NC
0.16499999,21020965,NC
0.14750001,21020966,NC
0.1575,21020967,NC
0.2025,21020968,NC
0.23750001,21020969,NC
0.245,21020970,NC
0.26749998,21020971,NC
0.3075,21020972,NC
0.3275,21020973,NC
0.3275,21020974,NC
0.305,21020975,NC
0.265,21020976,NC
0.21000001,21020977,NC
0.16749999,21020978,NC
0.16499999,21020979,NC
0.1875,21020980,NC
0.22,21020981,NC
0.2475,21020982,NC
0.2575,21020983,NC
0.2575,21020984,NC
0.2525,21020985,NC
0.24000001,21020986,NC
0.2175,21020987,NC
0.19,21020988,NC
0.17500001,21020989,NC
0.17500001,21020990,NC
0.1875,21020991,NC
0.19749999,21020992,NC
0.18,21020993,NC
0.12,21020994,NC
0.01,21020995,NC
-0.1025,21020996,NC
-0.13749999,21020997,NC
-0.099999994,21020998,NC
-0.0375,21020999,NC
0.035,21021000,NC
0.09,21021001,NC
0.055,21021002,NC
-0.080000006,21021003,NC
-0.2225,21021004,NC
-0.2775,21021005,NC
-0.26,21021006,NC
-0.23750001,21021007,NC
-0.25,21021008,NC
-0.29500002,21021009,NC
-0.325,21021010,NC
-0.33,21021011,NC
-0.3125,21021012,NC
-0.27249998,21021013,NC
-0.24000001,21021014,NC
-0.245,21021015,NC
-0.28,21021016,NC
-0.305,21021017,NC
-0.2825,21021018,NC
-0.22,21021019,NC
-0.17500001,21021020,NC
-0.17750001,21021021,NC
