channel_0,sample #,type
-0.155,18272051,V
-0.15666667,18272052,NC
-0.16666667,18272053,NC
-0.19833334,18272054,NC
-0.25166667,18272055,NC
-0.31833333,18272056,NC
-0.385,18272057,NC
-0.44666666,18272058,NC
-0.50166667,18272059,NC
-0.55500007,18272060,NC
-0.60833335,18272061,NC
-0.6616667,18272062,NC
-0.69666666,18272063,NC
-0.71166664,18272064,NC
-0.7083333,18272065,NC
-0.7083333,18272066,NC
-0.71333337,18272067,NC
-0.72,18272068,NC
-0.71500003,18272069,NC
-0.6983334,18272070,NC
-0.68,18272071,NC
-0.665,18272072,NC
-0.6616667,18272073,NC
-0.6716667,18272074,NC
-0.6966667,18272075,NC
-0.725,18272076,NC
-0.7366667,18272077,NC
-0.73833334,18272078,NC
-0.735,18272079,NC
-0.7366667,18272080,NC
-0.73,18272081,NC
-0.7116667,18272082,NC
-0.68333334,18272083,NC
-0.65666664,18272084,NC
-0.635,18272085,NC
-0.62,18272086,NC
-0.6016667,18272087,NC
-0.57500005,18272088,NC
-0.54833335,18272089,NC
-0.52500004,18272090,NC
-0.51666665,18272091,NC
-0.51,18272092,NC
-0.49666667,18272093,NC
-0.4633333,18272094,NC
-0.41833335,18272095,NC
-0.375,18272096,NC
-0.34333336,18272097,NC
-0.32333332,18272098,NC
-0.31,18272099,NC
-0.29333335,18272100,NC
-0.27166668,18272101,NC
-0.25333336,18272102,NC
-0.24833333,18272103,NC
-0.24833333,18272104,NC
-0.25166667,18272105,NC
-0.24666667,18272106,NC
-0.24333332,18272107,NC
-0.23833333,18272108,NC
-0.24166667,18272109,NC
-0.245,18272110,NC
-0.24333334,18272111,NC
-0.22666666,18272112,NC
-0.20833334,18272113,NC
-0.19333333,18272114,NC
-0.195,18272115,NC
-0.19666666,18272116,NC
-0.19666666,18272117,NC
-0.19,18272118,NC
-0.18166667,18272119,NC
-0.18,18272120,NC
-0.18333334,18272121,NC
-0.19666666,18272122,NC
-0.20333332,18272123,NC
-0.20166667,18272124,NC
-0.195,18272125,NC
-0.19,18272126,NC
-0.19166666,18272127,NC
-0.19333333,18272128,NC
-0.19999999,18272129,NC
-0.19833332,18272130,NC
-0.19166666,18272131,NC
-0.17666668,18272132,NC
-0.17500001,18272133,NC
-0.17833334,18272134,NC
-0.18,18272135,NC
-0.17166668,18272136,NC
-0.16,18272137,NC
-0.155,18272138,NC
-0.15666668,18272139,NC
-0.16,18272140,NC
-0.16166666,18272141,NC
-0.15166667,18272142,NC
-0.14,18272143,NC
-0.12833335,18272144,NC
-0.12666667,18272145,NC
-0.13,18272146,NC
-0.13166668,18272147,NC
-0.125,18272148,NC
-0.111666664,18272149,NC
-0.10333334,18272150,NC
-0.10333333,18272151,NC
-0.10833334,18272152,NC
-0.10666667,18272153,NC
-0.101666674,18272154,NC
-0.09,18272155,NC
-0.08,18272156,NC
-0.075,18272157,NC
-0.07666667,18272158,NC
-0.07833333,18272159,NC
-0.068333335,18272160,NC
-0.055000007,18272161,NC
-0.043333337,18272162,NC
-0.041666668,18272163,NC
-0.045,18272164,NC
-0.045,18272165,NC
-0.03666667,18272166,NC
-0.026666667,18272167,NC
-0.018333334,18272168,NC
-0.018333334,18272169,NC
-0.016666666,18272170,NC
-0.02,18272171,NC
-0.01,18272172,NC
-0.0016666669,18272173,NC
0.01,18272174,NC
0.005,18272175,NC
0.0016666667,18272176,NC
0.0033333332,18272177,NC
0.011666667,18272178,NC
0.02,18272179,NC
0.023333333,18272180,NC
0.023333333,18272181,NC
0.016666668,18272182,NC
0.015000001,18272183,NC
0.02,18272184,NC
0.033333335,18272185,NC
0.041666668,18272186,NC
0.04,18272187,NC
0.033333335,18272188,NC
0.028333334,18272189,NC
0.033333335,18272190,NC
0.043333337,18272191,NC
0.046666667,18272192,NC
0.04,18272193,NC
0.028333336,18272194,NC
0.026666667,18272195,NC
0.031666666,18272196,NC
0.041666668,18272197,NC
0.043333337,18272198,NC
0.03666667,18272199,NC
0.02,18272200,NC
0.011666667,18272201,NC
0.011666667,18272202,NC
0.016666666,18272203,NC
0.013333334,18272204,NC
0.0033333334,18272205,NC
-0.006666667,18272206,NC
-0.011666667,18272207,NC
-0.006666666,18272208,NC
-0.0016666667,18272209,NC
-0.0033333332,18272210,NC
-0.015,18272211,NC
-0.030000001,18272212,NC
-0.04,18272213,NC
-0.046666667,18272214,NC
-0.045,18272215,NC
-0.048333336,18272216,NC
-0.053333335,18272217,NC
-0.065,18272218,NC
-0.07333334,18272219,NC
-0.07666667,18272220,NC
-0.075,18272221,NC
-0.07666667,18272222,NC
-0.08666667,18272223,NC
-0.1,18272224,NC
-0.11000001,18272225,NC
-0.11166667,18272226,NC
-0.11166667,18272227,NC
-0.11333334,18272228,NC
-0.120000005,18272229,NC
-0.13166666,18272230,NC
-0.14,18272231,NC
-0.14166667,18272232,NC
-0.14,18272233,NC
-0.14,18272234,NC
-0.14833334,18272235,NC
-0.15833333,18272236,NC
-0.16666667,18272237,NC
-0.165,18272238,NC
-0.16,18272239,NC
-0.155,18272240,NC
-0.16000001,18272241,NC
-0.17,18272242,NC
-0.18,18272243,NC
-0.17833334,18272244,NC
-0.17333335,18272245,NC
-0.16833334,18272246,NC
-0.17666668,18272247,NC
-0.185,18272248,NC
-0.19166666,18272249,NC
-0.19166666,18272250,NC
-0.18833333,18272251,NC
-0.18833333,18272252,NC
-0.19166666,18272253,NC
-0.19666666,18272254,NC
-0.20000002,18272255,NC
-0.19166668,18272256,NC
-0.18833333,18272257,NC
-0.185,18272258,NC
-0.19333333,18272259,NC
-0.19999999,18272260,NC
-0.20500001,18272261,NC
-0.20333333,18272262,NC
-0.195,18272263,NC
-0.19166666,18272264,NC
-0.19166666,18272265,NC
-0.19833332,18272266,NC
-0.20333332,18272267,NC
-0.20166667,18272268,NC
-0.195,18272269,NC
-0.18833333,18272270,NC
-0.195,18272271,NC
-0.205,18272272,NC
-0.20833334,18272273,NC
-0.20166668,18272274,NC
-0.19166666,18272275,NC
-0.19,18272276,NC
-0.19833334,18272277,NC
-0.21000001,18272278,NC
-0.21666668,18272279,NC
-0.21333334,18272280,NC
-0.20666668,18272281,NC
-0.19833334,18272282,NC
-0.19666666,18272283,NC
-0.19833332,18272284,NC
-0.20500001,18272285,NC
-0.20166667,18272286,NC
-0.195,18272287,NC
-0.19,18272288,NC
-0.19666666,18272289,NC
-0.20333332,18272290,NC
-0.20500001,18272291,NC
-0.2,18272292,NC
-0.19166666,18272293,NC
-0.18666667,18272294,NC
-0.19333334,18272295,NC
-0.20333335,18272296,NC
-0.21000001,18272297,NC
-0.20166667,18272298,NC
-0.19,18272299,NC
-0.18666667,18272300,NC
-0.19,18272301,NC
-0.19833332,18272302,NC
-0.19833334,18272303,NC
-0.19666666,18272304,NC
-0.195,18272305,NC
-0.195,18272306,NC
-0.20333333,18272307,NC
-0.21000001,18272308,NC
-0.21333334,18272309,NC
-0.20500001,18272310,NC
-0.195,18272311,NC
-0.18833333,18272312,NC
-0.19500001,18272313,NC
-0.20333335,18272314,NC
-0.21000001,18272315,NC
-0.20166667,18272316,NC
-0.19333333,18272317,NC
-0.18833333,18272318,NC
-0.19333333,18272319,NC
-0.20166665,18272320,NC
-0.20500001,18272321,NC
-0.20333335,18272322,NC
-0.19500001,18272323,NC
-0.19166666,18272324,NC
-0.19333333,18272325,NC
-0.19999999,18272326,NC
-0.20500001,18272327,NC
-0.2,18272328,NC
-0.195,18272329,NC
-0.19166666,18272330,NC
-0.20166667,18272331,NC
-0.20833334,18272332,NC
-0.21333334,18272333,NC
-0.20333333,18272334,NC
-0.19666666,18272335,NC
-0.19166666,18272336,NC
-0.19333333,18272337,NC
-0.19833332,18272338,NC
-0.19999999,18272339,NC
-0.19666667,18272340,NC
-0.18666667,18272341,NC
-0.18166667,18272342,NC
-0.18833333,18272343,NC
-0.19833332,18272344,NC
-0.20333335,18272345,NC
-0.19666667,18272346,NC
-0.18666667,18272347,NC
-0.18666667,18272348,NC
-0.19333333,18272349,NC
-0.20666668,18272350,NC
-0.20833334,18272351,NC
-0.20500001,18272352,NC
-0.19166666,18272353,NC
-0.18833333,18272354,NC
-0.19333333,18272355,NC
-0.19999999,18272356,NC
-0.20333332,18272357,NC
-0.195,18272358,NC
-0.18833333,18272359,NC
-0.18333334,18272360,NC
-0.19333334,18272361,NC
-0.20833334,18272362,NC
-0.21166667,18272363,NC
-0.20166668,18272364,NC
-0.19333333,18272365,NC
-0.19,18272366,NC
-0.19166666,18272367,NC
-0.19833334,18272368,NC
-0.20333335,18272369,NC
-0.20166668,18272370,NC
-0.19333333,18272371,NC
-0.185,18272372,NC
-0.19,18272373,NC
-0.19333333,18272374,NC
-0.20333335,18272375,NC
-0.2,18272376,NC
-0.19333333,18272377,NC
-0.18666667,18272378,NC
-0.19166666,18272379,NC
-0.20166665,18272380,NC
-0.20666668,18272381,NC
-0.20166667,18272382,NC
-0.195,18272383,NC
-0.18833333,18272384,NC
-0.19333333,18272385,NC
-0.19833332,18272386,NC
-0.20833334,18272387,NC
-0.20166668,18272388,NC
-0.19500001,18272389,NC
-0.18833333,18272390,NC
-0.2,18272391,NC
-0.20333333,18272392,NC
-0.20333333,18272393,NC
-0.19333333,18272394,NC
-0.18833333,18272395,NC
-0.19,18272396,NC
-0.195,18272397,NC
-0.20500001,18272398,NC
-0.20166667,18272399,NC
-0.19333333,18272400,NC
-0.18166667,18272401,NC
-0.18,18272402,NC
-0.18666667,18272403,NC
-0.19666666,18272404,NC
-0.2,18272405,NC
-0.19666666,18272406,NC
-0.18833333,18272407,NC
-0.18833333,18272408,NC
-0.19,18272409,NC
-0.19666666,18272410,NC
-0.19999999,18272411,NC
-0.19833334,18272412,NC
-0.19666666,18272413,NC
-0.19166666,18272414,NC
-0.19833332,18272415,NC
-0.19833332,18272416,NC
-0.195,18272417,NC
-0.19,18272418,NC
-0.185,18272419,NC
-0.185,18272420,NC
-0.18333334,18272421,NC
-0.19166666,18272422,NC
-0.19666666,18272423,NC
-0.195,18272424,NC
-0.185,18272425,NC
-0.18333334,18272426,NC
-0.185,18272427,NC
-0.19333333,18272428,NC
-0.195,18272429,NC
-0.19666666,18272430,NC
-0.18833333,18272431,NC
-0.185,18272432,NC
-0.18666667,18272433,NC
-0.19833332,18272434,NC
-0.20333335,18272435,NC
-0.19833334,18272436,NC
-0.18833333,18272437,NC
-0.18166667,18272438,NC
-0.18166667,18272439,NC
-0.18666667,18272440,NC
-0.19,18272441,NC
-0.19,18272442,NC
-0.18333334,18272443,NC
-0.17833334,18272444,NC
-0.18,18272445,NC
-0.18666667,18272446,NC
-0.19333333,18272447,NC
-0.19,18272448,NC
-0.18166667,18272449,NC
-0.17666668,18272450,NC
-0.18333334,18272451,NC
-0.19666666,18272452,NC
-0.20166667,18272453,NC
-0.19333333,18272454,NC
-0.18833333,18272455,NC
-0.18833333,18272456,NC
-0.195,18272457,NC
-0.19833332,18272458,NC
-0.19999999,18272459,NC
-0.19666667,18272460,NC
-0.18666667,18272461,NC
-0.18166667,18272462,NC
-0.185,18272463,NC
-0.19333333,18272464,NC
-0.19666666,18272465,NC
-0.19666666,18272466,NC
-0.195,18272467,NC
-0.19166666,18272468,NC
-0.19,18272469,NC
-0.19,18272470,NC
-0.19,18272471,NC
-0.18666667,18272472,NC
-0.18166667,18272473,NC
-0.18166667,18272474,NC
-0.18333334,18272475,NC
-0.185,18272476,NC
-0.17666668,18272477,NC
-0.16333333,18272478,NC
-0.14333333,18272479,NC
-0.13666667,18272480,NC
-0.13666667,18272481,NC
-0.14500001,18272482,NC
-0.14833334,18272483,NC
-0.14666668,18272484,NC
-0.14833334,18272485,NC
-0.15333334,18272486,NC
-0.16166668,18272487,NC
-0.16666667,18272488,NC
-0.17,18272489,NC
-0.17166667,18272490,NC
-0.17,18272491,NC
-0.17166668,18272492,NC
-0.185,18272493,NC
-0.19666666,18272494,NC
-0.20166667,18272495,NC
-0.19333333,18272496,NC
-0.18833333,18272497,NC
-0.18833333,18272498,NC
-0.19666666,18272499,NC
-0.20833333,18272500,NC
-0.21333334,18272501,NC
-0.20666668,18272502,NC
-0.195,18272503,NC
-0.18833333,18272504,NC
-0.19166666,18272505,NC
-0.19999999,18272506,NC
-0.20500001,18272507,NC
-0.20500001,18272508,NC
-0.19833334,18272509,NC
-0.195,18272510,NC
-0.20166667,18272511,NC
-0.21000001,18272512,NC
-0.215,18272513,NC
-0.20666668,18272514,NC
-0.19833332,18272515,NC
-0.195,18272516,NC
-0.19999999,18272517,NC
-0.20833334,18272518,NC
-0.20833334,18272519,NC
-0.20500001,18272520,NC
-0.19666667,18272521,NC
-0.19999999,18272522,NC
-0.205,18272523,NC
-0.21333335,18272524,NC
-0.21333334,18272525,NC
-0.20833334,18272526,NC
-0.19833334,18272527,NC
-0.195,18272528,NC
-0.2,18272529,NC
-0.21000002,18272530,NC
-0.21333334,18272531,NC
-0.20666668,18272532,NC
-0.19666666,18272533,NC
-0.19166666,18272534,NC
-0.19833334,18272535,NC
-0.20833334,18272536,NC
-0.21500002,18272537,NC
-0.20833334,18272538,NC
-0.20333335,18272539,NC
-0.19666666,18272540,NC
-0.20166665,18272541,NC
-0.21,18272542,NC
-0.22666669,18272543,NC
-0.23666666,18272544,NC
-0.245,18272545,NC
-0.245,18272546,NC
-0.245,18272547,NC
-0.23666666,18272548,NC
-0.215,18272549,NC
-0.16166668,18272550,NC
-0.08833334,18272551,NC
-0.0016666669,18272552,NC
0.075,18272553,NC
0.13833334,18272554,NC
0.19666667,18272555,NC
0.255,18272556,NC
0.32333332,18272557,NC
0.39333332,18272558,NC
0.45666665,18272559,NC
0.50666666,18272560,NC
0.52500004,18272561,R
0.5233334,18272562,NC
0.49333334,18272563,NC
0.44,18272564,NC
0.3466667,18272565,NC
0.22,18272566,NC
0.08,18272567,NC
-0.048333336,18272568,NC
-0.14000002,18272569,NC
-0.20333335,18272570,NC
-0.255,18272571,NC
-0.30333334,18272572,NC
-0.35,18272573,NC
-0.38,18272574,NC
-0.39666665,18272575,NC
-0.395,18272576,NC
-0.39,18272577,NC
-0.38166666,18272578,NC
-0.36833334,18272579,NC
-0.34333336,18272580,NC
-0.31333333,18272581,NC
-0.285,18272582,NC
-0.26166666,18272583,NC
-0.24499999,18272584,NC
-0.23333333,18272585,NC
-0.23333333,18272586,NC
-0.24000001,18272587,NC
-0.25666666,18272588,NC
-0.275,18272589,NC
-0.29333335,18272590,NC
-0.29833335,18272591,NC
-0.29333335,18272592,NC
-0.285,18272593,NC
-0.28666666,18272594,NC
-0.29333335,18272595,NC
-0.30166668,18272596,NC
-0.30333334,18272597,NC
-0.3,18272598,NC
-0.29500002,18272599,NC
-0.29166666,18272600,NC
-0.29666668,18272601,NC
-0.3,18272602,NC
-0.305,18272603,NC
-0.30166668,18272604,NC
-0.29500002,18272605,NC
-0.29166666,18272606,NC
-0.29500002,18272607,NC
-0.30333334,18272608,NC
-0.305,18272609,NC
-0.30166668,18272610,NC
-0.29333335,18272611,NC
-0.28666666,18272612,NC
-0.28833336,18272613,NC
-0.29500002,18272614,NC
-0.29833335,18272615,NC
-0.29500002,18272616,NC
-0.285,18272617,NC
-0.285,18272618,NC
-0.28333333,18272619,NC
-0.2916667,18272620,NC
-0.2916667,18272621,NC
-0.29000002,18272622,NC
-0.28,18272623,NC
-0.27666667,18272624,NC
-0.275,18272625,NC
-0.28333333,18272626,NC
-0.27666667,18272627,NC
-0.27166668,18272628,NC
-0.25666666,18272629,NC
-0.25666666,18272630,NC
-0.255,18272631,NC
-0.25666666,18272632,NC
-0.255,18272633,NC
-0.24666667,18272634,NC
-0.23666666,18272635,NC
-0.22500001,18272636,NC
-0.22500001,18272637,NC
-0.22500001,18272638,NC
-0.22666667,18272639,NC
-0.22,18272640,NC
-0.215,18272641,NC
-0.20833334,18272642,NC
-0.20500001,18272643,NC
-0.20333335,18272644,NC
-0.2,18272645,NC
-0.195,18272646,NC
-0.18666667,18272647,NC
-0.17833334,18272648,NC
-0.18,18272649,NC
-0.18166667,18272650,NC
-0.18166667,18272651,NC
-0.17166668,18272652,NC
-0.16333333,18272653,NC
-0.155,18272654,NC
-0.15166667,18272655,NC
-0.15,18272656,NC
-0.15166667,18272657,NC
-0.14333335,18272658,NC
-0.13166666,18272659,NC
-0.11833333,18272660,NC
-0.11833334,18272661,NC
-0.120000005,18272662,NC
-0.120000005,18272663,NC
-0.11,18272664,NC
-0.095,18272665,NC
-0.085,18272666,NC
-0.08166667,18272667,NC
-0.085,18272668,NC
-0.08833334,18272669,NC
-0.08166667,18272670,NC
-0.07166667,18272671,NC
-0.061666664,18272672,NC
-0.06,18272673,NC
-0.065,18272674,NC
-0.06333333,18272675,NC
-0.056666672,18272676,NC
-0.043333333,18272677,NC
-0.035,18272678,NC
-0.035,18272679,NC
-0.035,18272680,NC
-0.03666667,18272681,NC
-0.030000001,18272682,NC
-0.021666668,18272683,NC
-0.016666666,18272684,NC
-0.018333334,18272685,NC
-0.023333333,18272686,NC
-0.021666668,18272687,NC
-0.015000001,18272688,NC
0.0,18272689,NC
0.008333333,18272690,NC
0.011666667,18272691,NC
0.0033333332,18272692,NC
0.0016666667,18272693,NC
0.006666667,18272694,NC
0.016666668,18272695,NC
0.013333334,18272696,NC
0.005,18272697,NC
-0.0033333334,18272698,NC
0.0016666667,18272699,NC
0.011666667,18272700,NC
0.02,18272701,NC
0.021666668,18272702,NC
0.016666668,18272703,NC
0.006666666,18272704,NC
0.0,18272705,NC
0.0016666665,18272706,NC
0.005,18272707,NC
0.005,18272708,NC
-0.006666667,18272709,NC
-0.013333334,18272710,NC
-0.02,18272711,NC
-0.023333333,18272712,NC
-0.026666667,18272713,NC
-0.028333334,18272714,NC
-0.04,18272715,NC
-0.058333334,18272716,NC
-0.06833333,18272717,NC
-0.07,18272718,NC
-0.068333335,18272719,NC
-0.07833333,18272720,NC
-0.08666667,18272721,NC
-0.1,18272722,NC
-0.10333334,18272723,NC
-0.10833334,18272724,NC
-0.10833334,18272725,NC
-0.123333335,18272726,NC
-0.13833334,18272727,NC
-0.15833333,18272728,NC
-0.16833334,18272729,NC
-0.175,18272730,NC
-0.17666668,18272731,NC
-0.18333334,18272732,NC
-0.20166667,18272733,NC
-0.21666667,18272734,NC
-0.22833334,18272735,NC
-0.22833334,18272736,NC
-0.23166667,18272737,NC
-0.23833334,18272738,NC
-0.25166667,18272739,NC
-0.26666668,18272740,NC
-0.275,18272741,NC
-0.26833335,18272742,NC
-0.25833336,18272743,NC
-0.25,18272744,NC
-0.25666666,18272745,NC
-0.26000002,18272746,NC
-0.26000002,18272747,NC
-0.24333334,18272748,NC
-0.225,18272749,NC
-0.21500002,18272750,NC
-0.22000001,18272751,NC
-0.23,18272752,NC
-0.23333333,18272753,NC
-0.225,18272754,NC
-0.21666667,18272755,NC
-0.215,18272756,NC
-0.23166668,18272757,NC
-0.25833333,18272758,NC
-0.2916667,18272759,NC
-0.32833332,18272760,NC
-0.37833333,18272761,NC
-0.43666667,18272762,NC
-0.505,18272763,NC
-0.57000005,18272764,NC
-0.62333333,18272765,NC
-0.66333336,18272766,NC
-0.69500005,18272767,NC
-0.72833335,18272768,NC
-0.7633333,18272769,NC
-0.78999996,18272770,NC
-0.80666673,18272771,V
