channel_0,sample #,type
0.385,11648489,R
0.57,11648490,NC
0.575,11648491,NC
0.39,11648492,NC
-0.01,11648493,NC
-0.55,11648494,NC
-1.11,11648495,NC
-1.55,11648496,NC
-1.805,11648497,NC
-1.94,11648498,NC
-1.95,11648499,NC
-1.95,11648500,NC
-1.94,11648501,NC
-1.96,11648502,NC
-2.01,11648503,NC
-2.035,11648504,NC
-2.045,11648505,NC
-2.065,11648506,NC
-2.05,11648507,NC
-2.05,11648508,NC
-2.015,11648509,NC
-1.98,11648510,NC
-1.935,11648511,NC
-1.91,11648512,NC
-1.83,11648513,NC
-1.72,11648514,NC
-1.585,11648515,NC
-1.445,11648516,NC
-1.29,11648517,NC
-1.17,11648518,NC
-1.065,11648519,NC
-0.97,11648520,NC
-0.94,11648521,NC
-0.93,11648522,NC
-0.93,11648523,NC
-0.925,11648524,NC
-0.905,11648525,NC
-0.87,11648526,NC
-0.845,11648527,NC
-0.83,11648528,NC
-0.83,11648529,NC
-0.83,11648530,NC
-0.81,11648531,NC
-0.785,11648532,NC
-0.76,11648533,NC
-0.74,11648534,NC
-0.75,11648535,NC
-0.8,11648536,NC
-0.815,11648537,NC
-0.84,11648538,NC
-0.84,11648539,NC
-0.84,11648540,NC
-0.835,11648541,NC
-0.835,11648542,NC
-0.845,11648543,NC
-0.835,11648544,NC
-0.825,11648545,NC
-0.835,11648546,NC
-0.825,11648547,NC
-0.845,11648548,NC
-0.87,11648549,NC
-0.93,11648550,NC
-0.955,11648551,NC
-0.955,11648552,NC
-0.945,11648553,NC
-0.945,11648554,NC
-0.96,11648555,NC
-0.985,11648556,NC
-1.005,11648557,NC
-0.99,11648558,NC
-0.97,11648559,NC
-0.95,11648560,NC
-0.945,11648561,NC
-0.97,11648562,NC
-0.97,11648563,NC
-0.99,11648564,NC
-1.015,11648565,NC
-1.025,11648566,NC
-1.005,11648567,NC
-0.995,11648568,NC
-0.97,11648569,NC
-0.96,11648570,NC
-0.95,11648571,NC
-0.935,11648572,NC
-0.945,11648573,NC
-0.965,11648574,NC
-1.025,11648575,NC
-1.03,11648576,NC
-1.035,11648577,NC
-1.015,11648578,NC
-0.99,11648579,NC
-0.98,11648580,NC
-0.985,11648581,NC
-0.98,11648582,NC
-0.94,11648583,NC
-0.9,11648584,NC
-0.875,11648585,NC
-0.85,11648586,NC
-0.8,11648587,NC
-0.77,11648588,NC
-0.75,11648589,NC
-0.745,11648590,NC
-0.785,11648591,NC
-0.825,11648592,NC
-0.83,11648593,NC
-0.835,11648594,NC
-0.79,11648595,NC
-0.765,11648596,NC
-0.735,11648597,NC
-0.725,11648598,NC
-0.725,11648599,NC
-0.76,11648600,NC
-0.755,11648601,NC
-0.795,11648602,NC
-0.81,11648603,NC
-0.83,11648604,NC
-0.825,11648605,NC
-0.795,11648606,NC
-0.735,11648607,NC
-0.705,11648608,NC
-0.705,11648609,NC
-0.745,11648610,NC
-0.8,11648611,NC
-0.81,11648612,NC
-0.81,11648613,NC
-0.82,11648614,NC
-0.82,11648615,NC
-0.81,11648616,NC
-0.79,11648617,NC
-0.765,11648618,NC
-0.745,11648619,NC
-0.72,11648620,NC
-0.7,11648621,NC
-0.71,11648622,NC
-0.73,11648623,NC
-0.76,11648624,NC
-0.815,11648625,NC
-0.85,11648626,NC
-0.855,11648627,NC
-0.835,11648628,NC
-0.81,11648629,NC
-0.805,11648630,NC
-0.78,11648631,NC
-0.775,11648632,NC
-0.805,11648633,NC
-0.785,11648634,NC
-0.81,11648635,NC
-0.845,11648636,NC
-0.9,11648637,NC
-0.92,11648638,NC
-0.91,11648639,NC
-0.895,11648640,NC
-0.87,11648641,NC
-0.84,11648642,NC
-0.78,11648643,NC
-0.755,11648644,NC
-0.74,11648645,NC
-0.74,11648646,NC
-0.815,11648647,NC
-0.86,11648648,NC
-0.905,11648649,NC
-0.905,11648650,NC
-0.865,11648651,NC
-0.81,11648652,NC
-0.73,11648653,NC
-0.675,11648654,NC
-0.655,11648655,NC
-0.655,11648656,NC
-0.685,11648657,NC
-0.71,11648658,NC
-0.715,11648659,NC
-0.73,11648660,NC
-0.74,11648661,NC
-0.73,11648662,NC
-0.72,11648663,NC
-0.695,11648664,NC
-0.705,11648665,NC
-0.71,11648666,NC
-0.7,11648667,NC
-0.68,11648668,NC
-0.64,11648669,NC
-0.64,11648670,NC
-0.655,11648671,NC
-0.7,11648672,NC
-0.74,11648673,NC
-0.745,11648674,NC
-0.73,11648675,NC
-0.71,11648676,NC
-0.67,11648677,NC
-0.65,11648678,NC
-0.65,11648679,NC
-0.68,11648680,NC
-0.725,11648681,NC
-0.735,11648682,NC
-0.72,11648683,NC
-0.72,11648684,NC
-0.72,11648685,NC
-0.73,11648686,NC
-0.755,11648687,NC
-0.785,11648688,NC
-0.83,11648689,NC
-0.865,11648690,NC
-0.865,11648691,NC
-0.87,11648692,NC
-0.855,11648693,NC
-0.845,11648694,NC
-0.855,11648695,NC
-0.89,11648696,NC
-0.915,11648697,NC
-0.915,11648698,NC
-0.895,11648699,NC
-0.885,11648700,NC
-0.88,11648701,NC
-0.905,11648702,NC
-0.925,11648703,NC
-0.935,11648704,NC
-0.935,11648705,NC
-0.885,11648706,NC
-0.87,11648707,NC
-0.85,11648708,NC
-0.865,11648709,NC
-0.885,11648710,NC
-0.88,11648711,NC
-0.85,11648712,NC
-0.805,11648713,NC
-0.805,11648714,NC
-0.82,11648715,NC
-0.875,11648716,NC
-0.935,11648717,NC
-0.965,11648718,NC
-0.985,11648719,NC
-0.995,11648720,NC
-0.985,11648721,NC
-0.955,11648722,NC
-0.865,11648723,NC
-0.735,11648724,NC
-0.57,11648725,NC
-0.42,11648726,NC
-0.3,11648727,NC
-0.245,11648728,NC
-0.235,11648729,NC
-0.24,11648730,NC
-0.225,11648731,NC
-0.145,11648732,NC
0.04,11648733,NC
0.265,11648734,NC
0.48,11648735,R
0.635,11648736,NC
0.67,11648737,NC
0.475,11648738,NC
0.06,11648739,NC
-0.5,11648740,NC
-1.07,11648741,NC
-1.525,11648742,NC
-1.805,11648743,NC
-1.93,11648744,NC
-1.955,11648745,NC
-1.97,11648746,NC
-1.99,11648747,NC
-2.03,11648748,NC
-2.075,11648749,NC
-2.095,11648750,NC
-2.125,11648751,NC
-2.1,11648752,NC
-2.075,11648753,NC
-2.02,11648754,NC
-1.99,11648755,NC
-1.94,11648756,NC
-1.895,11648757,NC
-1.86,11648758,NC
-1.82,11648759,NC
-1.725,11648760,NC
-1.61,11648761,NC
-1.47,11648762,NC
-1.315,11648763,NC
-1.18,11648764,NC
-1.065,11648765,NC
-0.98,11648766,NC
-0.965,11648767,NC
-0.955,11648768,NC
-0.95,11648769,NC
-0.955,11648770,NC
-0.925,11648771,NC
-0.92,11648772,NC
-0.895,11648773,NC
-0.91,11648774,NC
-0.935,11648775,NC
-0.96,11648776,NC
-0.97,11648777,NC
-0.965,11648778,NC
-0.96,11648779,NC
-0.935,11648780,NC
-0.91,11648781,NC
-0.895,11648782,NC
-0.885,11648783,NC
-0.875,11648784,NC
-0.87,11648785,NC
-0.885,11648786,NC
-0.88,11648787,NC
-0.87,11648788,NC
-0.885,11648789,NC
-0.89,11648790,NC
-0.9,11648791,NC
-0.885,11648792,NC
-0.87,11648793,NC
-0.855,11648794,NC
-0.855,11648795,NC
-0.9,11648796,NC
-1.005,11648797,NC
-1.075,11648798,NC
-1.14,11648799,NC
-1.135,11648800,NC
-1.115,11648801,NC
-1.085,11648802,NC
-1.08,11648803,NC
-1.12,11648804,NC
-1.145,11648805,NC
-1.14,11648806,NC
-1.1,11648807,NC
-1.06,11648808,NC
-1.04,11648809,NC
-1.025,11648810,NC
-1.04,11648811,NC
-1.07,11648812,NC
-1.085,11648813,NC
-1.07,11648814,NC
-1.05,11648815,NC
-1.035,11648816,NC
-1.025,11648817,NC
-1.03,11648818,NC
-1.055,11648819,NC
-1.05,11648820,NC
-1.04,11648821,NC
-1.025,11648822,NC
-1.005,11648823,NC
-0.975,11648824,NC
-0.945,11648825,NC
-0.92,11648826,NC
-0.885,11648827,NC
-0.85,11648828,NC
-0.83,11648829,NC
-0.835,11648830,NC
-0.855,11648831,NC
-0.86,11648832,NC
-0.905,11648833,NC
-0.925,11648834,NC
-0.925,11648835,NC
