channel_0,sample #,type
1.5464379,19014414,F
1.7959607,19014415,NC
2.0737066,19014416,NC
2.3175845,19014417,NC
2.4880831,19014418,NC
2.449731,19014419,NC
2.146083,19014420,NC
1.6843863,19014421,NC
1.126731,19014422,NC
0.6198765,19014423,NC
0.23720264,19014424,NC
0.023866069,19014425,NC
-0.104802184,19014426,NC
-0.20524809,19014427,NC
-0.27182713,19014428,NC
-0.29325017,19014429,NC
-0.2751618,19014430,NC
-0.2852973,19014431,NC
-0.31801206,19014432,NC
-0.3563723,19014433,NC
-0.389089,19014434,NC
-0.38793916,19014435,NC
-0.38114586,19014436,NC
-0.3799983,19014437,NC
-0.3957857,19014438,NC
-0.40028518,19014439,NC
-0.4217198,19014440,NC
-0.43186656,19014441,NC
-0.43072557,19014442,NC
-0.41829687,19014443,NC
-0.41151428,19014444,NC
-0.41602245,19014445,NC
-0.44311062,19014446,NC
-0.4250437,19014447,NC
-0.42391232,19014448,NC
-0.40584895,19014449,NC
-0.4047212,19014450,NC
-0.44310746,19014451,NC
-0.45327267,19014452,NC
-0.45779532,19014453,NC
-0.43409705,19014454,NC
-0.43297926,19014455,NC
-0.44315276,19014456,NC
-0.458973,19014457,NC
-0.4635064,19014458,NC
-0.45110828,19014459,NC
-0.4500017,19014460,NC
-0.44889748,19014461,NC
-0.4534403,19014462,NC
-0.47491947,19014463,NC
-0.48511195,19014464,NC
-0.46708405,19014465,NC
-0.45470342,19014466,NC
-0.46490386,19014467,NC
-0.46381786,19014468,NC
-0.4853131,19014469,NC
-0.4955219,19014470,NC
-0.47751066,19014471,NC
-0.46514696,19014472,NC
-0.45843083,19014473,NC
-0.45736238,19014474,NC
-0.47887543,19014475,NC
-0.48345777,19014476,NC
-0.4767542,19014477,NC
-0.45876458,19014478,NC
-0.45771208,19014479,NC
-0.4340845,19014480,NC
-0.42739415,19014481,NC
-0.41506264,19014482,NC
-0.41402376,19014483,NC
-0.37347627,19014484,NC
-0.3555107,19014485,NC
-0.34319338,19014486,NC
-0.34781352,19014487,NC
-0.34114817,19014488,NC
-0.32319742,19014489,NC
-0.29960585,19014490,NC
-0.27037355,19014491,NC
-0.24678978,19014492,NC
-0.2627221,19014493,NC
-0.23914623,19014494,NC
-0.21557444,19014495,NC
-0.1976513,19014496,NC
-0.15715393,19014497,NC
-0.15052831,19014498,NC
-0.15519607,19014499,NC
-0.13728976,19014500,NC
-0.12503232,19014501,NC
-0.10713466,19014502,NC
-0.10053057,19014503,NC
-0.10522013,19014504,NC
-0.13813713,19014505,NC
-0.1428357,19014506,NC
-0.15318343,19014507,NC
-0.14095742,19014508,NC
-0.13438064,19014509,NC
-0.14474234,19014510,NC
-0.1720426,19014511,NC
-0.18241383,19014512,NC
-0.18714531,19014513,NC
-0.1693033,19014514,NC
-0.15711078,19014515,NC
-0.1675016,19014516,NC
-0.18918657,19014517,NC
-0.2165212,19014518,NC
-0.22692715,19014519,NC
-0.20347062,19014520,NC
-0.18001923,19014521,NC
-0.19044064,19014522,NC
-0.22344565,19014523,NC
-0.2395221,19014524,NC
-0.21609178,19014525,NC
-0.1926668,19014526,NC
-0.18053639,19014527,NC
-0.19098979,19014528,NC
-0.21273784,19014529,NC
-0.21755765,19014530,NC
-0.2054492,19014531,NC
-0.18205714,19014532,NC
-0.18689367,19014533,NC
-0.19738045,19014534,NC
-0.22480673,19014535,NC
-0.2409495,19014536,NC
-0.21194138,19014537,NC
-0.18858358,19014538,NC
-0.17652084,19014539,NC
-0.17575315,19014540,NC
-0.18628055,19014541,NC
-0.19116929,19014542,NC
-0.20735323,19014543,NC
-0.17838642,19014544,NC
-0.15507023,19014545,NC
-0.17127231,19014546,NC
-0.16490209,19014547,NC
-0.15853806,19014548,NC
-0.1521802,19014549,NC
-0.1063164,19014550,NC
-0.07739261,19014551,NC
-0.037185937,19014552,NC
-0.019563928,19014553,NC
0.031919308,19014554,NC
0.083396144,19014555,NC
0.15180038,19014556,NC
0.21455358,19014557,NC
0.3111679,19014558,NC
0.3908419,19014559,NC
0.47050938,19014560,NC
0.5671041,19014561,NC
0.68062603,19014562,NC
0.78849673,19014563,NC
0.8907162,19014564,NC
0.9872845,19014565,NC
1.1233581,19014566,NC
1.2707143,19014567,NC
1.4124191,19014568,NC
1.5541171,19014569,NC
1.645007,19014570,NC
1.7020224,19014571,NC
1.7928987,19014572,NC
1.8837678,19014573,V
1.9181844,19014574,NC
1.9130816,19014575,NC
1.8063694,19014576,NC
1.7052947,19014577,NC
1.6267915,19014578,NC
1.5990825,19014579,NC
1.5713664,19014580,NC
1.5379988,19014581,NC
1.4820454,19014582,NC
1.4204407,19014583,NC
1.3757625,19014584,NC
1.3480108,19014585,NC
1.3315411,19014586,NC
1.3658656,19014587,NC
1.3606707,19014588,NC
1.3498238,19014589,NC
1.2768794,19014590,NC
1.1531261,19014591,NC
0.96163046,19014592,NC
0.71368164,19014593,NC
0.443147,19014594,NC
0.18953882,19014595,NC
-0.013275415,19014596,NC
-0.16529572,19014597,NC
-0.26087752,19014598,NC
-0.33953297,19014599,NC
-0.4012621,19014600,NC
-0.4629987,19014601,NC
-0.5021644,19014602,NC
-0.5244039,19014603,NC
-0.54100627,19014604,NC
-0.52374864,19014605,NC
-0.55165523,19014606,NC
-0.5852141,19014607,NC
-0.6131358,19014608,NC
-0.6354206,19014609,NC
-0.6294901,19014610,NC
-0.6348563,19014611,NC
-0.6515194,19014612,NC
-0.6738347,19014613,NC
-0.6961576,19014614,NC
-0.6902653,19014615,NC
