channel_0,sample #,type
1.3698093,18956047,N
1.3419242,18956048,NC
1.132925,18956049,NC
0.8139807,18956050,NC
0.46311247,18956051,NC
0.17468607,18956052,NC
-0.024158424,18956053,NC
-0.12716895,18956054,NC
-0.16934484,18956055,NC
-0.18820259,18956056,NC
-0.17958662,18956057,NC
-0.18278198,18956058,NC
-0.18444535,18956059,NC
-0.18848681,18956060,NC
-0.19490336,18956061,NC
-0.21979223,18956062,NC
-0.22402069,18956063,NC
-0.22786275,18956064,NC
-0.2283464,18956065,NC
-0.21487886,18956066,NC
-0.22444344,18956067,NC
-0.21319267,18956068,NC
-0.22185194,18956069,NC
-0.21601908,18956070,NC
-0.21963091,18956071,NC
-0.24090897,18956072,NC
-0.2332756,18956073,NC
-0.22083145,18956074,NC
-0.20148708,18956075,NC
-0.19783926,18956076,NC
-0.19708419,18956077,NC
-0.20145977,18956078,NC
-0.20319265,18956079,NC
-0.21784224,18956080,NC
-0.22279671,18956081,NC
-0.21783516,18956082,NC
-0.24049088,18956083,NC
-0.21629262,18956084,NC
-0.20329288,18956085,NC
-0.19180197,18956086,NC
-0.21114114,18956087,NC
-0.218086,18956088,NC
-0.20509322,18956089,NC
-0.21195008,18956090,NC
-0.20711114,18956091,NC
-0.18153223,18956092,NC
-0.16616096,18956093,NC
-0.1617314,18956094,NC
-0.16258858,18956095,NC
-0.16944161,18956096,NC
-0.17187777,18956097,NC
-0.15636012,18956098,NC
-0.14483345,18956099,NC
-0.12249866,18956100,NC
-0.12392172,18956101,NC
-0.13469438,18956102,NC
-0.11881773,18956103,NC
-0.104164064,18956104,NC
-0.07033144,18956105,NC
-0.07539578,18956106,NC
-0.08981896,18956107,NC
-0.08321437,18956108,NC
-0.068958715,18956109,NC
-0.042654715,18956110,NC
-0.009926698,18956111,NC
-0.012959528,18956112,NC
-0.017428348,18956113,NC
-0.03560894,18956114,NC
-0.008669708,18956115,NC
0.00072664634,18956116,NC
0.014216585,18956117,NC
0.023162706,18956118,NC
0.014811582,18956119,NC
0.02208777,18956120,NC
0.03739108,18956121,NC
0.061700016,18956122,NC
0.08754598,18956123,NC
0.08540254,18956124,NC
0.077112265,18956125,NC
0.088879064,18956126,NC
0.10775454,18956127,NC
0.11174328,18956128,NC
