channel_0,sample #,type
1.6249264,30264716,N
1.6249264,30264717,NC
1.5808606,30264718,NC
1.4624338,30264719,NC
1.2861706,30264720,NC
1.0493169,30264721,NC
0.7518727,30264722,NC
0.42413333,30264723,NC
0.11842684,30264724,NC
-0.11842684,30264725,NC
-0.27541125,30264726,NC
-0.3580346,30264727,NC
-0.3965922,30264728,NC
-0.42413333,30264729,NC
-0.44616622,30264730,NC
-0.47646147,30264731,NC
-0.52052724,30264732,NC
-0.57010126,30264733,NC
-0.6086589,30264734,NC
-0.63344586,30264735,NC
-0.6444623,30264736,NC
-0.63344586,30264737,NC
-0.6169212,30264738,NC
-0.60315067,30264739,NC
-0.60315067,30264740,NC
-0.6169212,30264741,NC
-0.63344586,30264742,NC
-0.65823287,30264743,NC
-0.6775117,30264744,NC
-0.6830199,30264745,NC
-0.6747576,30264746,NC
-0.66649526,30264747,NC
-0.6582329,30264748,NC
-0.6527246,30264749,NC
-0.6554788,30264750,NC
-0.660987,30264751,NC
-0.6775117,30264752,NC
-0.69403636,30264753,NC
-0.69679046,30264754,NC
-0.7050528,30264755,NC
-0.7078069,30264756,NC
-0.69679046,30264757,NC
-0.685774,30264758,NC
-0.66924936,30264759,NC
-0.6527246,30264760,NC
-0.64997053,30264761,NC
-0.660987,30264762,NC
-0.6720035,30264763,NC
-0.6885281,30264764,NC
-0.7133151,30264765,NC
-0.7298398,30264766,NC
-0.7436104,30264767,NC
-0.7518727,30264768,NC
-0.75462687,30264769,NC
-0.74911857,30264770,NC
-0.7325939,30264771,NC
-0.72157747,30264772,NC
-0.7160692,30264773,NC
-0.72157747,30264774,NC
-0.7325939,30264775,NC
-0.75187266,30264776,NC
-0.7739056,30264777,NC
-0.7931844,30264778,NC
-0.81246316,30264779,NC
-0.8317419,30264780,NC
-0.8482666,30264781,NC
-0.8510207,30264782,NC
-0.8592831,30264783,NC
-0.8702996,30264784,NC
-0.8785619,30264785,NC
-0.8978407,30264786,NC
-0.906103,30264787,NC
-0.906103,30264788,NC
-0.9198736,30264789,NC
-0.93089,30264790,NC
-0.93915236,30264791,NC
-0.9446606,30264792,NC
-0.9446606,30264793,NC
-0.9446606,30264794,NC
-0.9419065,30264795,NC
-0.93089,30264796,NC
-0.9253818,30264797,NC
-0.9253818,30264798,NC
-0.906103,30264799,NC
-0.881316,30264800,NC
-0.856529,30264801,NC
-0.82623374,30264802,NC
-0.80144674,30264803,NC
-0.7766597,30264804,NC
-0.75462687,30264805,NC
-0.7325939,30264806,NC
-0.7050528,30264807,NC
-0.6775117,30264808,NC
-0.64997053,30264809,NC
-0.62242943,30264810,NC
-0.5921342,30264811,NC
-0.57010126,30264812,NC
-0.54531425,30264813,NC
-0.52328134,30264814,NC
-0.50675666,30264815,NC
-0.49023202,30264816,NC
-0.49023202,30264817,NC
-0.5040026,30264818,NC
-0.5040026,30264819,NC
-0.49298614,30264820,NC
-0.49298614,30264821,NC
-0.49023202,30264822,NC
-0.48196968,30264823,NC
-0.47370735,30264824,NC
-0.45718268,30264825,NC
-0.45442855,30264826,NC
-0.45718265,30264827,NC
-0.44616622,30264828,NC
-0.42688745,30264829,NC
-0.4186251,30264830,NC
-0.41036275,30264831,NC
-0.39108396,30264832,NC
-0.38006753,30264833,NC
-0.36078876,30264834,NC
-0.3277394,30264835,NC
-0.30019826,30264836,NC
-0.27265716,30264837,NC
-0.23134544,30264838,NC
-0.18727964,30264839,NC
-0.14045975,30264840,NC
-0.07711515,30264841,NC
-0.008262337,30264842,NC
0.060590476,30264843,NC
0.15147619,30264844,NC
0.2423619,30264845,NC
0.3277394,30264846,NC
0.4213792,30264847,NC
0.52052724,30264848,NC
0.6059047,30264849,NC
0.63619995,30264850,NC
0.56734717,30264851,NC
0.37731344,30264852,NC
0.05232814,30264853,NC
-0.39108396,30264854,NC
-0.8702995,30264855,NC
-1.321974,30264856,NC
-1.6992874,30264857,NC
-1.9774528,30264858,NC
-2.1867652,30264859,NC
-2.3465037,30264860,NC
-2.4621766,30264861,NC
-2.547554,30264862,NC
-2.6136527,30264863,V
-2.6577187,30264864,NC
-2.671489,30264865,NC
-2.6604726,30264866,NC
-2.624669,30264867,NC
-2.5613246,30264868,NC
-2.4869635,30264869,NC
-2.3960776,30264870,NC
-2.272143,30264871,NC
-2.1399455,30264872,NC
-2.0077481,30264873,NC
-1.8727965,30264874,NC
-1.7598778,30264875,NC
-1.6634839,30264876,NC
-1.5753524,30264877,NC
-1.4872208,30264878,NC
-1.3880727,30264879,NC
-1.2834165,30264880,NC
-1.1732519,30264881,NC
-1.0548251,30264882,NC
-0.93639827,30264883,NC
-0.83725023,30264884,NC
-0.76288915,30264885,NC
-0.7133151,30264886,NC
-0.6747576,30264887,NC
-0.62242943,30264888,NC
-0.5508225,30264889,NC
-0.45442855,30264890,NC
-0.3332476,30264891,NC
-0.20655844,30264892,NC
-0.090885706,30264893,NC
0.0027541127,30264894,NC
0.06885281,30264895,NC
0.08813161,30264896,NC
0.06885281,30264897,NC
0.04681991,30264898,NC
0.027541123,30264899,NC
0.008262337,30264900,NC
0.0,30264901,NC
0.016524674,30264902,NC
0.04681991,30264903,NC
0.07436104,30264904,NC
0.11016449,30264905,NC
0.14045975,30264906,NC
0.15973853,30264907,NC
0.17350909,30264908,NC
0.1790173,30264909,NC
0.18727964,30264910,NC
0.19554198,30264911,NC
0.21206665,30264912,NC
0.23409957,30264913,NC
0.24787013,30264914,NC
0.2671489,30264915,NC
0.29193592,30264916,NC
0.31121472,30264917,NC
0.3332476,30264918,NC
0.35528052,30264919,NC
0.37455928,30264920,NC
0.3965922,30264921,NC
0.41036278,30264922,NC
0.4186251,30264923,NC
0.42964154,30264924,NC
0.44892034,30264925,NC
0.47921556,30264926,NC
0.5040026,30264927,NC
0.53154373,30264928,NC
0.5645931,30264929,NC
0.5948883,30264930,NC
0.6251836,30264931,NC
0.64446235,30264932,NC
0.6554788,30264933,NC
0.660987,30264934,NC
0.660987,30264935,NC
0.66924936,30264936,NC
0.6802658,30264937,NC
0.69679046,30264938,NC
0.710561,30264939,NC
0.7160692,30264940,NC
0.7188233,30264941,NC
0.7188233,30264942,NC
