channel_0,sample #,type
1.5803174,19033914,N
1.548873,19033915,NC
1.4473313,19033916,NC
1.2656925,19033917,NC
0.9915536,19033918,NC
0.68616474,19033919,NC
0.4082758,19033920,NC
0.19163685,19033921,NC
0.051247895,19033922,NC
-0.029141076,19033923,NC
-0.075780034,19033924,NC
-0.10991897,19033925,NC
-0.13155788,19033926,NC
-0.14569674,19033927,NC
-0.14983556,19033928,NC
-0.14647432,19033929,NC
-0.14936301,19033930,NC
-0.15225163,19033931,NC
-0.15889016,19033932,NC
-0.16677858,19033933,NC
-0.17216688,19033934,NC
-0.1675551,19033935,NC
-0.16044317,19033936,NC
-0.15708111,19033937,NC
-0.1549689,19033938,NC
-0.16285653,19033939,NC
-0.166994,19033940,NC
-0.16363129,19033941,NC
-0.1590184,19033942,NC
-0.1544053,19033943,NC
-0.15729201,19033944,NC
-0.1651785,19033945,NC
-0.17306475,19033946,NC
-0.17345078,19033947,NC
-0.16633657,19033948,NC
-0.1579721,19033949,NC
-0.15210736,19033950,NC
-0.15124235,19033951,NC
-0.15162706,19033952,NC
-0.14951149,19033953,NC
-0.14114559,19033954,NC
-0.13527939,19033955,NC
-0.13191286,19033956,NC
-0.13354602,19033957,NC
-0.1351788,19033958,NC
-0.13056126,19033959,NC
-0.123443365,19033960,NC
-0.11632509,19033961,NC
-0.11670643,19033962,NC
-0.119587384,19033963,NC
-0.11871793,19033964,NC
-0.10909808,19033965,NC
-0.0957278,19033966,NC
-0.0823571,19033967,NC
-0.07523596,19033968,NC
-0.06936438,19033969,NC
-0.059742343,19033970,NC
-0.047619835,19033971,NC
-0.03174685,19033972,NC
-0.018373381,19033973,NC
-0.009999418,19033974,NC
-0.0053749494,19033975,NC
0.0005000313,19033976,NC
0.010125535,19033977,NC
0.024751572,19033978,NC
0.04187815,19033979,NC
0.05025528,19033980,NC
0.06238297,19033981,NC
0.07201123,19033982,NC
0.08914007,19033983,NC
0.1150195,19033984,NC
0.13339952,19033985,NC
0.15303016,19033986,NC
0.1614114,19033987,NC
0.16979328,19033988,NC
0.18192579,19033989,NC
0.19780894,19033990,NC
0.21619275,19033991,NC
0.22457722,19033992,NC
0.22546238,19033993,NC
0.22759819,19033994,NC
0.23098473,19033995,NC
0.24562195,19033996,NC
0.26025987,19033997,NC
0.27114853,19033998,NC
0.27703786,19033999,NC
0.281678,19034000,NC
0.29006886,19034001,NC
0.29471046,19034002,NC
0.30060282,19034003,NC
0.296496,19034004,NC
0.2823899,19034005,NC
0.26453462,19034006,NC
0.25168014,19034007,NC
0.23882642,19034008,NC
0.22347358,19034009,NC
0.20187154,19034010,NC
0.17152035,19034011,NC
0.13992,19034012,NC
0.11582049,19034013,NC
0.09797186,19034014,NC
0.08137408,19034015,NC
0.06602719,19034016,NC
0.04318118,19034017,NC
0.024086075,19034018,NC
0.008741873,19034019,NC
