channel_0,sample #,type
-1.3299123,30525902,V
-1.254797,30525903,NC
-1.1596781,30525904,NC
-1.0595559,30525905,NC
-0.99443024,30525906,NC
-0.92930126,30525907,NC
-0.8691689,30525908,NC
-0.8040331,30525909,NC
-0.72889394,30525910,NC
-0.6187514,30525911,NC
-0.5186056,30525912,NC
-0.41845635,30525913,NC
-0.32830378,30525914,NC
-0.27814794,30525915,NC
-0.24298874,30525916,NC
-0.23282623,30525917,NC
-0.23766041,30525918,NC
-0.2374913,30525919,NC
-0.2023189,30525920,NC
-0.20214322,30525921,NC
-0.20696427,30525922,NC
-0.19178206,30525923,NC
-0.2065966,30525924,NC
-0.2064079,30525925,NC
-0.20621598,30525926,NC
-0.20602083,30525927,NC
-0.20582247,30525928,NC
-0.21062091,30525929,NC
-0.19041616,30525930,NC
-0.18520823,30525931,NC
-0.17499714,30525932,NC
-0.16478288,30525933,NC
-0.15956548,30525934,NC
-0.14934495,30525935,NC
-0.15412131,30525936,NC
-0.16889453,30525937,NC
-0.16366467,30525938,NC
-0.16343173,30525939,NC
-0.1631957,30525940,NC
-0.16795662,30525941,NC
-0.18771449,30525942,NC
-0.17246932,30525943,NC
-0.16722113,30525944,NC
-0.16196993,30525945,NC
-0.15671572,30525946,NC
-0.13145855,30525947,NC
-0.11619839,30525948,NC
-0.105935276,30525949,NC
-0.12566923,30525950,NC
-0.15540025,30525951,NC
-0.17512834,30525952,NC
-0.19485354,30525953,NC
-0.19457586,30525954,NC
-0.16429532,30525955,NC
-0.1490119,30525956,NC
-0.123725645,30525957,NC
-0.113436565,30525958,NC
-0.088144675,30525959,NC
-0.07784999,30525960,NC
-0.06255253,30525961,NC
-0.05725229,30525962,NC
-0.05694931,30525963,NC
-0.0516436,30525964,NC
-0.066335164,30525965,NC
-0.066024035,30525966,NC
-0.050710224,30525967,NC
-0.050393738,30525968,NC
-0.025074603,30525969,NC
0.020247165,30525970,NC
0.03557155,30525971,NC
0.050898537,30525972,NC
0.06622811,30525973,NC
0.066560246,30525974,NC
0.07189493,30525975,NC
0.06723215,30525976,NC
0.072571866,30525977,NC
0.087914094,30525978,NC
0.1082588,30525979,NC
0.12860595,30525980,NC
0.15395555,30525981,NC
0.16430756,30525982,NC
0.18966201,30525983,NC
0.20001882,30525984,NC
0.185378,30525985,NC
0.19073951,30525986,NC
0.15610337,30525987,NC
0.13646954,30525988,NC
0.121837996,30525989,NC
0.117208704,30525990,NC
0.112581685,30525991,NC
0.1129569,30525992,NC
0.11333431,30525993,NC
0.11371393,30525994,NC
0.124095716,30525995,NC
0.11947964,30525996,NC
0.11986571,30525997,NC
0.1252539,30525998,NC
0.11564416,30525999,NC
0.101036504,30526000,NC
0.10143089,30526001,NC
0.08682731,30526002,NC
0.10722573,30526003,NC
0.12762615,30526004,NC
0.15802853,30526005,NC
0.18343286,30526006,NC
0.2238391,30526007,NC
0.25924724,30526008,NC
0.2996573,30526009,NC
0.35006917,30526010,NC
0.40048292,30526011,NC
0.46589845,30526012,NC
0.5313158,30526013,NC
0.5767349,30526014,NC
0.6221557,30526015,NC
0.67757833,30526016,NC
0.6930027,30526017,NC
0.6434287,30526018,NC
0.5338563,30526019,NC
0.36428556,30526020,NC
0.11471645,30526021,NC
-0.15485106,30526022,NC
-0.429417,30526023,NC
-0.7139814,30526024,NC
-0.97854424,30526025,NC
-1.2181057,30526026,NC
-1.4326655,30526027,NC
-1.627224,30526028,NC
-1.786781,30526029,NC
-1.9113365,30526030,NC
-1.9958907,30526031,NC
-2.0254436,30526032,V
-2.0299952,30526033,NC
-2.0245452,30526034,NC
-2.0090942,30526035,NC
-1.9886419,30526036,NC
-1.9481882,30526037,NC
-1.8777333,30526038,NC
-1.7722774,30526039,NC
-1.6618202,30526040,NC
-1.5413618,30526041,NC
-1.4409024,30526042,NC
-1.3504418,30526043,NC
-1.2799801,30526044,NC
-1.2145175,30526045,NC
-1.1540537,30526046,NC
-1.0935891,30526047,NC
-1.0431232,30526048,NC
-1.0076566,30526049,NC
-0.93718904,30526050,NC
-0.88672054,30526051,NC
-0.81125116,30526052,NC
-0.7707809,30526053,NC
-0.73030984,30526054,NC
-0.67483807,30526055,NC
-0.58936536,30526056,NC
-0.48889196,30526057,NC
-0.36841783,30526058,NC
-0.21794301,30526059,NC
-0.067467496,30526060,NC
0.078008674,30526061,NC
0.20348547,30526062,NC
0.2889629,30526063,NC
0.35444087,30526064,NC
0.3799194,30526065,NC
0.41039848,30526066,NC
0.41087806,30526067,NC
0.41135812,30526068,NC
0.43683863,30526069,NC
0.4773196,30526070,NC
0.5178009,30526071,NC
0.5482827,30526072,NC
0.56876475,30526073,NC
0.5842471,30526074,NC
0.58472985,30526075,NC
0.58021283,30526076,NC
0.57569605,30526077,NC
0.5911796,30526078,NC
0.6116632,30526079,NC
0.63714707,30526080,NC
0.6726311,30526081,NC
0.69811517,30526082,NC
